,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,audio_features,4KROoGIaPaR1pBHPnR3bwC,spotify:track:4KROoGIaPaR1pBHPnR3bwC,https://api.spotify.com/v1/tracks/4KROoGIaPaR1pBHPnR3bwC,https://api.spotify.com/v1/audio-analysis/4KROoGIaPaR1pBHPnR3bwC,124001,4,Pink Moon,spotify:track:4KROoGIaPaR1pBHPnR3bwC,Nick Drake,5c3GLXai8YOMid29ZEuR9y
1,0.547,0.38,5,-9.521,1,0.0282,0.865,0.152,0.107,0.395,83.579,audio_features,5QUeSXjTMHbq1fW5da2waF,spotify:track:5QUeSXjTMHbq1fW5da2waF,https://api.spotify.com/v1/tracks/5QUeSXjTMHbq1fW5da2waF,https://api.spotify.com/v1/audio-analysis/5QUeSXjTMHbq1fW5da2waF,160926,4,Place To Be,spotify:track:5QUeSXjTMHbq1fW5da2waF,Nick Drake,5c3GLXai8YOMid29ZEuR9y
2,0.586,0.426,4,-8.673,0,0.0362,0.842,0.815,0.0898,0.793,150.968,audio_features,5ir0VEsMI7cLhN6SEiaKol,spotify:track:5ir0VEsMI7cLhN6SEiaKol,https://api.spotify.com/v1/tracks/5ir0VEsMI7cLhN6SEiaKol,https://api.spotify.com/v1/audio-analysis/5ir0VEsMI7cLhN6SEiaKol,119450,4,Road,spotify:track:5ir0VEsMI7cLhN6SEiaKol,Nick Drake,5c3GLXai8YOMid29ZEuR9y
3,0.629,0.362,11,-9.571,0,0.0257,0.909,0.0462,0.0956,0.348,95.274,audio_features,4Cg0paoTgxlo2LC85HKaab,spotify:track:4Cg0paoTgxlo2LC85HKaab,https://api.spotify.com/v1/tracks/4Cg0paoTgxlo2LC85HKaab,https://api.spotify.com/v1/audio-analysis/4Cg0paoTgxlo2LC85HKaab,176951,4,Which Will,spotify:track:4Cg0paoTgxlo2LC85HKaab,Nick Drake,5c3GLXai8YOMid29ZEuR9y
4,0.593,0.0933,1,-11.412,1,0.2,0.967,0.918,0.121,0.254,136.635,audio_features,4A1t2K9lsLZWb5oHAtT9xs,spotify:track:4A1t2K9lsLZWb5oHAtT9xs,https://api.spotify.com/v1/tracks/4A1t2K9lsLZWb5oHAtT9xs,https://api.spotify.com/v1/audio-analysis/4A1t2K9lsLZWb5oHAtT9xs,81851,3,Horn,spotify:track:4A1t2K9lsLZWb5oHAtT9xs,Nick Drake,5c3GLXai8YOMid29ZEuR9y
5,0.67,0.311,1,-10.182,1,0.0377,0.846,0.0512,0.119,0.243,102.869,audio_features,2s89qv9maW8RMCoaxtvNtn,spotify:track:2s89qv9maW8RMCoaxtvNtn,https://api.spotify.com/v1/tracks/2s89qv9maW8RMCoaxtvNtn,https://api.spotify.com/v1/audio-analysis/2s89qv9maW8RMCoaxtvNtn,234476,4,Things Behind The Sun,spotify:track:2s89qv9maW8RMCoaxtvNtn,Nick Drake,5c3GLXai8YOMid29ZEuR9y
6,0.71,0.131,11,-13.064,0,0.065,0.899,0.826,0.107,0.706,120.439,audio_features,0SRtzKvwd4Z7SBTonUbw6d,spotify:track:0SRtzKvwd4Z7SBTonUbw6d,https://api.spotify.com/v1/tracks/0SRtzKvwd4Z7SBTonUbw6d,https://api.spotify.com/v1/audio-analysis/0SRtzKvwd4Z7SBTonUbw6d,144601,4,Know,spotify:track:0SRtzKvwd4Z7SBTonUbw6d,Nick Drake,5c3GLXai8YOMid29ZEuR9y
7,0.61,0.353,11,-9.289,1,0.0296,0.76,0.000127,0.102,0.237,131.257,audio_features,2tlhnUxHtYDqu0i9KIraUu,spotify:track:2tlhnUxHtYDqu0i9KIraUu,https://api.spotify.com/v1/tracks/2tlhnUxHtYDqu0i9KIraUu,https://api.spotify.com/v1/audio-analysis/2tlhnUxHtYDqu0i9KIraUu,214026,4,Parasite,spotify:track:2tlhnUxHtYDqu0i9KIraUu,Nick Drake,5c3GLXai8YOMid29ZEuR9y
8,0.815,0.263,0,-9.757,1,0.0426,0.913,0.17,0.112,0.576,120.202,audio_features,2ZwgXfgkcnO9I2UQI6wQFh,spotify:track:2ZwgXfgkcnO9I2UQI6wQFh,https://api.spotify.com/v1/tracks/2ZwgXfgkcnO9I2UQI6wQFh,https://api.spotify.com/v1/audio-analysis/2ZwgXfgkcnO9I2UQI6wQFh,182576,4,Free Ride,spotify:track:2ZwgXfgkcnO9I2UQI6wQFh,Nick Drake,5c3GLXai8YOMid29ZEuR9y
9,0.735,0.444,3,-10.893,1,0.0555,0.885,0.014,0.114,0.281,118.497,audio_features,47s4suMScnmNQ2Vu4e0blc,spotify:track:47s4suMScnmNQ2Vu4e0blc,https://api.spotify.com/v1/tracks/47s4suMScnmNQ2Vu4e0blc,https://api.spotify.com/v1/audio-analysis/47s4suMScnmNQ2Vu4e0blc,95701,4,Harvest Breed,spotify:track:47s4suMScnmNQ2Vu4e0blc,Nick Drake,5c3GLXai8YOMid29ZEuR9y
10,0.644,0.325,0,-11.056,1,0.036,0.869,0.0511,0.11,0.367,108.933,audio_features,6meH4I9A4WZtD3z8hnQKqr,spotify:track:6meH4I9A4WZtD3z8hnQKqr,https://api.spotify.com/v1/tracks/6meH4I9A4WZtD3z8hnQKqr,https://api.spotify.com/v1/audio-analysis/6meH4I9A4WZtD3z8hnQKqr,150851,4,From The Morning,spotify:track:6meH4I9A4WZtD3z8hnQKqr,Nick Drake,5c3GLXai8YOMid29ZEuR9y
11,0.254,0.177,7,-19.158,1,0.035,0.0798,0.853,0.148,0.361,91.153,audio_features,7unUg1rIAVXyYVH5LPHc4R,spotify:track:7unUg1rIAVXyYVH5LPHc4R,https://api.spotify.com/v1/tracks/7unUg1rIAVXyYVH5LPHc4R,https://api.spotify.com/v1/audio-analysis/7unUg1rIAVXyYVH5LPHc4R,92307,3,Introduction,spotify:track:7unUg1rIAVXyYVH5LPHc4R,Nick Drake,5c3GLXai8YOMid29ZEuR9y
12,0.637,0.46,10,-17.001,1,0.0317,0.227,0.133,0.074,0.945,150.313,audio_features,1Juj6Rg5MhutU8gW43934B,spotify:track:1Juj6Rg5MhutU8gW43934B,https://api.spotify.com/v1/tracks/1Juj6Rg5MhutU8gW43934B,https://api.spotify.com/v1/audio-analysis/1Juj6Rg5MhutU8gW43934B,226427,4,Hazey Jane II,spotify:track:1Juj6Rg5MhutU8gW43934B,Nick Drake,5c3GLXai8YOMid29ZEuR9y
13,0.482,0.209,8,-19.163,0,0.0354,0.589,0.000723,0.121,0.174,99.764,audio_features,5lc8or13c2lgTWTOVIos6W,spotify:track:5lc8or13c2lgTWTOVIos6W,https://api.spotify.com/v1/tracks/5lc8or13c2lgTWTOVIos6W,https://api.spotify.com/v1/audio-analysis/5lc8or13c2lgTWTOVIos6W,285613,4,At The Chime Of A City Clock,spotify:track:5lc8or13c2lgTWTOVIos6W,Nick Drake,5c3GLXai8YOMid29ZEuR9y
14,0.604,0.37,4,-18.45,1,0.0362,0.836,0.346,0.0954,0.666,90.339,audio_features,0hNVjU6JKydHts0SAjHCno,spotify:track:0hNVjU6JKydHts0SAjHCno,https://api.spotify.com/v1/tracks/0hNVjU6JKydHts0SAjHCno,https://api.spotify.com/v1/audio-analysis/0hNVjU6JKydHts0SAjHCno,290733,3,One Of These Things First,spotify:track:0hNVjU6JKydHts0SAjHCno,Nick Drake,5c3GLXai8YOMid29ZEuR9y
15,0.529,0.268,2,-19.784,1,0.0314,0.661,0.369,0.188,0.717,118.799,audio_features,0l2MlJk8MAvKfYDvJ4nv6l,spotify:track:0l2MlJk8MAvKfYDvJ4nv6l,https://api.spotify.com/v1/tracks/0l2MlJk8MAvKfYDvJ4nv6l,https://api.spotify.com/v1/audio-analysis/0l2MlJk8MAvKfYDvJ4nv6l,269347,4,Hazey Jane I,spotify:track:0l2MlJk8MAvKfYDvJ4nv6l,Nick Drake,5c3GLXai8YOMid29ZEuR9y
16,0.656,0.164,5,-20.924,0,0.0425,0.815,0.832,0.109,0.609,121.507,audio_features,4ZYVAWHjnGFEuGGNrlHk4Y,spotify:track:4ZYVAWHjnGFEuGGNrlHk4Y,https://api.spotify.com/v1/tracks/4ZYVAWHjnGFEuGGNrlHk4Y,https://api.spotify.com/v1/audio-analysis/4ZYVAWHjnGFEuGGNrlHk4Y,200667,4,Bryter Layter,spotify:track:4ZYVAWHjnGFEuGGNrlHk4Y,Nick Drake,5c3GLXai8YOMid29ZEuR9y
