,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.457,0.576,1,-8.948,1,0.163,0.134,0.0186,0.124,0.5,122.865,audio_features,51VRYRP3caA5er15c3kdme,spotify:track:51VRYRP3caA5er15c3kdme,https://api.spotify.com/v1/tracks/51VRYRP3caA5er15c3kdme,https://api.spotify.com/v1/audio-analysis/51VRYRP3caA5er15c3kdme,226135,1,Small Things,spotify:track:51VRYRP3caA5er15c3kdme,Nick Hakim,1Goe2NezNnym45kco2xTk6
1,0.344,0.545,1,-8.921,0,0.0722,0.189,0.489,0.134,0.176,83.019,audio_features,0zpPa2ZDysC8WZVb4Cla9g,spotify:track:0zpPa2ZDysC8WZVb4Cla9g,https://api.spotify.com/v1/tracks/0zpPa2ZDysC8WZVb4Cla9g,https://api.spotify.com/v1/audio-analysis/0zpPa2ZDysC8WZVb4Cla9g,258930,4,Things to Like and Not Like in America,spotify:track:0zpPa2ZDysC8WZVb4Cla9g,Nick Hakim,1Goe2NezNnym45kco2xTk6
2,0.608,0.482,7,-7.282,1,0.0359,0.439,6.68e-05,0.368,0.218,102.054,audio_features,20ES1vwyFhcjzOuvwaAjQ9,spotify:track:20ES1vwyFhcjzOuvwaAjQ9,https://api.spotify.com/v1/tracks/20ES1vwyFhcjzOuvwaAjQ9,https://api.spotify.com/v1/audio-analysis/20ES1vwyFhcjzOuvwaAjQ9,213401,4,Moonman,spotify:track:20ES1vwyFhcjzOuvwaAjQ9,Nick Hakim,1Goe2NezNnym45kco2xTk6
3,0.715,0.853,4,-7.604,0,0.341,0.655,0.0585,0.346,0.481,135.877,audio_features,4lIG7x9N8w60zN6aoZhvqJ,spotify:track:4lIG7x9N8w60zN6aoZhvqJ,https://api.spotify.com/v1/tracks/4lIG7x9N8w60zN6aoZhvqJ,https://api.spotify.com/v1/audio-analysis/4lIG7x9N8w60zN6aoZhvqJ,214730,4,Cry and Party,spotify:track:4lIG7x9N8w60zN6aoZhvqJ,Nick Hakim,1Goe2NezNnym45kco2xTk6
4,0.379,0.56,8,-11.176,1,0.113,0.521,0.217,0.0799,0.48,146.94,audio_features,1yuRXi5CyPfVGhRYkumn94,spotify:track:1yuRXi5CyPfVGhRYkumn94,https://api.spotify.com/v1/tracks/1yuRXi5CyPfVGhRYkumn94,https://api.spotify.com/v1/audio-analysis/1yuRXi5CyPfVGhRYkumn94,235331,3,New Guy to Look At,spotify:track:1yuRXi5CyPfVGhRYkumn94,Nick Hakim,1Goe2NezNnym45kco2xTk6
5,0.416,0.809,5,-7.815,0,0.104,0.266,0.00175,0.346,0.314,119.901,audio_features,1IkigCZtoghOgpJjWm4fqf,spotify:track:1IkigCZtoghOgpJjWm4fqf,https://api.spotify.com/v1/tracks/1IkigCZtoghOgpJjWm4fqf,https://api.spotify.com/v1/audio-analysis/1IkigCZtoghOgpJjWm4fqf,261614,4,All the Things You Are (Reimagined),spotify:track:1IkigCZtoghOgpJjWm4fqf,Nick Hakim,1Goe2NezNnym45kco2xTk6
6,0.321,0.627,8,-7.726,1,0.05,0.102,0.0019,0.165,0.11,132.553,audio_features,1eRteSQkTXsXTMWpB86LVm,spotify:track:1eRteSQkTXsXTMWpB86LVm,https://api.spotify.com/v1/tracks/1eRteSQkTXsXTMWpB86LVm,https://api.spotify.com/v1/audio-analysis/1eRteSQkTXsXTMWpB86LVm,217667,3,Small Things 2,spotify:track:1eRteSQkTXsXTMWpB86LVm,Nick Hakim,1Goe2NezNnym45kco2xTk6
7,0.268,0.587,8,-8.462,0,0.0463,0.378,0.883,0.156,0.233,106.677,audio_features,6E87TCG8TKin0WRg5mHRVa,spotify:track:6E87TCG8TKin0WRg5mHRVa,https://api.spotify.com/v1/tracks/6E87TCG8TKin0WRg5mHRVa,https://api.spotify.com/v1/audio-analysis/6E87TCG8TKin0WRg5mHRVa,216800,4,ALL THESE CHANGES - Sarlo Remix,spotify:track:6E87TCG8TKin0WRg5mHRVa,Nick Hakim,1Goe2NezNnym45kco2xTk6
8,0.674,0.656,5,-8.955,0,0.0591,0.395,0.715,0.126,0.814,81.553,audio_features,1UyzyFdFhxCmPVHILs9Zgz,spotify:track:1UyzyFdFhxCmPVHILs9Zgz,https://api.spotify.com/v1/tracks/1UyzyFdFhxCmPVHILs9Zgz,https://api.spotify.com/v1/audio-analysis/1UyzyFdFhxCmPVHILs9Zgz,286397,4,WTMMG - Cleo Reed Remix,spotify:track:1UyzyFdFhxCmPVHILs9Zgz,Nick Hakim,1Goe2NezNnym45kco2xTk6
9,0.517,0.684,9,-9.631,1,0.0445,0.0243,0.0555,0.203,0.205,159.962,audio_features,4SfihFjxaz2tqUJSo3bDnp,spotify:track:4SfihFjxaz2tqUJSo3bDnp,https://api.spotify.com/v1/tracks/4SfihFjxaz2tqUJSo3bDnp,https://api.spotify.com/v1/audio-analysis/4SfihFjxaz2tqUJSo3bDnp,261546,4,BOUNCING - Nelson Bandela Remix,spotify:track:4SfihFjxaz2tqUJSo3bDnp,Nick Hakim,1Goe2NezNnym45kco2xTk6
