,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.573,0.867,5,-2.876,0,0.168,0.0853,0.0,0.38,0.231,74.861,audio_features,1TZv3bujNaYz646eezRE91,spotify:track:1TZv3bujNaYz646eezRE91,https://api.spotify.com/v1/tracks/1TZv3bujNaYz646eezRE91,https://api.spotify.com/v1/audio-analysis/1TZv3bujNaYz646eezRE91,339506,4,Seeing Green (with Drake & Lil Wayne),spotify:track:1TZv3bujNaYz646eezRE91,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
1,0.924,0.523,0,-6.362,1,0.132,0.011,0.0,0.17,0.144,131.892,audio_features,28PeqNMnFfVQnXvXmyf88G,spotify:track:28PeqNMnFfVQnXvXmyf88G,https://api.spotify.com/v1/tracks/28PeqNMnFfVQnXvXmyf88G,https://api.spotify.com/v1/audio-analysis/28PeqNMnFfVQnXvXmyf88G,181690,4,Fractions,spotify:track:28PeqNMnFfVQnXvXmyf88G,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
2,0.635,0.634,1,-8.91,0,0.356,0.195,0.000107,0.198,0.224,107.008,audio_features,2nxy7TbWDWOBm2bseZJX2A,spotify:track:2nxy7TbWDWOBm2bseZJX2A,https://api.spotify.com/v1/tracks/2nxy7TbWDWOBm2bseZJX2A,https://api.spotify.com/v1/audio-analysis/2nxy7TbWDWOBm2bseZJX2A,217883,4,Crocodile Teeth (with Skillibeng) - Remix,spotify:track:2nxy7TbWDWOBm2bseZJX2A,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
3,0.762,0.439,10,-14.007,0,0.419,0.328,4e-05,0.107,0.354,145.818,audio_features,5dOcS75jq0kLKbvCY9P2Ex,spotify:track:5dOcS75jq0kLKbvCY9P2Ex,https://api.spotify.com/v1/tracks/5dOcS75jq0kLKbvCY9P2Ex,https://api.spotify.com/v1/audio-analysis/5dOcS75jq0kLKbvCY9P2Ex,231984,4,Chi-Raq (with G Herbo),spotify:track:5dOcS75jq0kLKbvCY9P2Ex,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
4,0.657,0.611,1,-7.899,1,0.491,0.032,0.0,0.469,0.408,140.151,audio_features,7eLCcnhpYGH3Y6Pqrk68Gz,spotify:track:7eLCcnhpYGH3Y6Pqrk68Gz,https://api.spotify.com/v1/tracks/7eLCcnhpYGH3Y6Pqrk68Gz,https://api.spotify.com/v1/audio-analysis/7eLCcnhpYGH3Y6Pqrk68Gz,248832,5,Boss Ass Bitch (with PTAF) - Remix,spotify:track:7eLCcnhpYGH3Y6Pqrk68Gz,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
5,0.571,0.21,4,-23.569,1,0.895,0.67,0.0,0.393,0.492,102.612,audio_features,0n377bTr2jXfQVs4fnjmRU,spotify:track:0n377bTr2jXfQVs4fnjmRU,https://api.spotify.com/v1/tracks/0n377bTr2jXfQVs4fnjmRU,https://api.spotify.com/v1/audio-analysis/0n377bTr2jXfQVs4fnjmRU,63791,5,Intro,spotify:track:0n377bTr2jXfQVs4fnjmRU,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
6,0.761,0.722,7,-4.343,1,0.391,0.12,0.0,0.0649,0.798,92.45,audio_features,1uYxHHZBRliM9cNzCxq93g,spotify:track:1uYxHHZBRliM9cNzCxq93g,https://api.spotify.com/v1/tracks/1uYxHHZBRliM9cNzCxq93g,https://api.spotify.com/v1/audio-analysis/1uYxHHZBRliM9cNzCxq93g,246753,4,Itty Bitty Piggy,spotify:track:1uYxHHZBRliM9cNzCxq93g,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
7,0.796,0.807,1,-5.524,1,0.325,0.0836,0.0,0.76,0.532,99.614,audio_features,2bRE4HKlZQDHkiVcDr58aZ,spotify:track:2bRE4HKlZQDHkiVcDr58aZ,https://api.spotify.com/v1/tracks/2bRE4HKlZQDHkiVcDr58aZ,https://api.spotify.com/v1/audio-analysis/2bRE4HKlZQDHkiVcDr58aZ,220970,4,I Get Crazy (feat. Lil Wayne),spotify:track:2bRE4HKlZQDHkiVcDr58aZ,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
8,0.677,0.802,8,-4.909,1,0.363,0.0543,0.0,0.343,0.746,93.289,audio_features,2aYDLsHweKpcPcdmivH8G9,spotify:track:2aYDLsHweKpcPcdmivH8G9,https://api.spotify.com/v1/tracks/2aYDLsHweKpcPcdmivH8G9,https://api.spotify.com/v1/audio-analysis/2aYDLsHweKpcPcdmivH8G9,181238,4,Kill Da DJ,spotify:track:2aYDLsHweKpcPcdmivH8G9,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
9,0.789,0.196,9,-22.138,1,0.899,0.711,0.0,0.25,0.927,50.287,audio_features,4UI1MqLR8B1PIfU09jFvYG,spotify:track:4UI1MqLR8B1PIfU09jFvYG,https://api.spotify.com/v1/tracks/4UI1MqLR8B1PIfU09jFvYG,https://api.spotify.com/v1/audio-analysis/4UI1MqLR8B1PIfU09jFvYG,19487,4,Nicki Minaj Speaks,spotify:track:4UI1MqLR8B1PIfU09jFvYG,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
10,0.883,0.829,11,-3.581,1,0.381,0.312,0.0,0.348,0.711,140.382,audio_features,4FCvf3FGTFIlsZmP3yoBLH,spotify:track:4FCvf3FGTFIlsZmP3yoBLH,https://api.spotify.com/v1/tracks/4FCvf3FGTFIlsZmP3yoBLH,https://api.spotify.com/v1/audio-analysis/4FCvf3FGTFIlsZmP3yoBLH,210521,4,Slumber Party (feat. Gucci Mane),spotify:track:4FCvf3FGTFIlsZmP3yoBLH,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
11,0.814,0.71,1,-3.383,1,0.296,0.174,0.0,0.337,0.627,133.069,audio_features,1KVvVwHnGz3TPTVxQ86JDm,spotify:track:1KVvVwHnGz3TPTVxQ86JDm,https://api.spotify.com/v1/tracks/1KVvVwHnGz3TPTVxQ86JDm,https://api.spotify.com/v1/audio-analysis/1KVvVwHnGz3TPTVxQ86JDm,332434,4,"Shopaholic (feat. Gucci Mane, Bobby V, & F1Jo)",spotify:track:1KVvVwHnGz3TPTVxQ86JDm,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
12,0.594,0.917,1,-3.489,1,0.0931,0.0588,0.0,0.559,0.416,130.088,audio_features,6ZrhD4XUvgjaRXh7TD6otO,spotify:track:6ZrhD4XUvgjaRXh7TD6otO,https://api.spotify.com/v1/tracks/6ZrhD4XUvgjaRXh7TD6otO,https://api.spotify.com/v1/audio-analysis/6ZrhD4XUvgjaRXh7TD6otO,355631,4,Gotta Go Hard (feat. Lil Wayne),spotify:track:6ZrhD4XUvgjaRXh7TD6otO,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
13,0.627,0.222,1,-17.328,1,0.487,0.753,0.0,0.84,0.61,47.468,audio_features,527H9PG4cjnjK8kCj1py49,spotify:track:527H9PG4cjnjK8kCj1py49,https://api.spotify.com/v1/tracks/527H9PG4cjnjK8kCj1py49,https://api.spotify.com/v1/audio-analysis/527H9PG4cjnjK8kCj1py49,69956,4,Nicki Minaj Speaks #2,spotify:track:527H9PG4cjnjK8kCj1py49,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
14,0.4,0.874,8,-2.698,1,0.281,0.232,0.0,0.16,0.647,160.794,audio_features,6DzTaNNwdUXiJI1l0u6wNe,spotify:track:6DzTaNNwdUXiJI1l0u6wNe,https://api.spotify.com/v1/tracks/6DzTaNNwdUXiJI1l0u6wNe,https://api.spotify.com/v1/audio-analysis/6DzTaNNwdUXiJI1l0u6wNe,325825,4,Best I Ever Had Remix,spotify:track:6DzTaNNwdUXiJI1l0u6wNe,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
15,0.585,0.73,1,-6.429,0,0.371,0.622,0.0,0.329,0.497,82.326,audio_features,5ROuFdNB1Z4xSSyxZDS8Mj,spotify:track:5ROuFdNB1Z4xSSyxZDS8Mj,https://api.spotify.com/v1/tracks/5ROuFdNB1Z4xSSyxZDS8Mj,https://api.spotify.com/v1/audio-analysis/5ROuFdNB1Z4xSSyxZDS8Mj,170580,4,Keys Under Palm Trees,spotify:track:5ROuFdNB1Z4xSSyxZDS8Mj,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
16,0.881,0.722,0,-5.417,1,0.399,0.188,0.0,0.0614,0.724,76.777,audio_features,60VxBi9kb7iZPmO8ZJhOMs,spotify:track:60VxBi9kb7iZPmO8ZJhOMs,https://api.spotify.com/v1/tracks/60VxBi9kb7iZPmO8ZJhOMs,https://api.spotify.com/v1/audio-analysis/60VxBi9kb7iZPmO8ZJhOMs,90149,4,Silly,spotify:track:60VxBi9kb7iZPmO8ZJhOMs,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
