,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.215,0.549,9,-12.418,0,0.0481,0.912,0.605,0.108,0.432,71.875,audio_features,7gVzTcAQUUruUbgtZs7kFa,spotify:track:7gVzTcAQUUruUbgtZs7kFa,https://api.spotify.com/v1/tracks/7gVzTcAQUUruUbgtZs7kFa,https://api.spotify.com/v1/audio-analysis/7gVzTcAQUUruUbgtZs7kFa,87307,3,Shout Out! (Intro),spotify:track:7gVzTcAQUUruUbgtZs7kFa,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
1,0.619,0.184,9,-12.242,0,0.0324,0.651,0.847,0.134,0.389,146.338,audio_features,2ArtqtUYw6Oo295YuCkKVJ,spotify:track:2ArtqtUYw6Oo295YuCkKVJ,https://api.spotify.com/v1/tracks/2ArtqtUYw6Oo295YuCkKVJ,https://api.spotify.com/v1/audio-analysis/2ArtqtUYw6Oo295YuCkKVJ,274973,4,Imagineering,spotify:track:2ArtqtUYw6Oo295YuCkKVJ,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
2,0.647,0.444,9,-13.194,0,0.0342,0.278,0.509,0.269,0.534,96.015,audio_features,3aTCWSyQzSKASr6DDFK99W,spotify:track:3aTCWSyQzSKASr6DDFK99W,https://api.spotify.com/v1/tracks/3aTCWSyQzSKASr6DDFK99W,https://api.spotify.com/v1/audio-analysis/3aTCWSyQzSKASr6DDFK99W,226787,4,Creator SOS,spotify:track:3aTCWSyQzSKASr6DDFK99W,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
3,0.442,0.482,11,-12.194,1,0.0448,0.376,0.869,0.1,0.283,173.21,audio_features,3dVnr92hiKVZuq8gU0h9pp,spotify:track:3dVnr92hiKVZuq8gU0h9pp,https://api.spotify.com/v1/tracks/3dVnr92hiKVZuq8gU0h9pp,https://api.spotify.com/v1/audio-analysis/3dVnr92hiKVZuq8gU0h9pp,417493,4,3D Warrior,spotify:track:3dVnr92hiKVZuq8gU0h9pp,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
4,0.732,0.77,1,-9.795,1,0.0403,0.242,0.787,0.0946,0.803,140.017,audio_features,23XZHHyAv5NAQPTjzIoA2T,spotify:track:23XZHHyAv5NAQPTjzIoA2T,https://api.spotify.com/v1/tracks/23XZHHyAv5NAQPTjzIoA2T,https://api.spotify.com/v1/audio-analysis/23XZHHyAv5NAQPTjzIoA2T,119200,4,Miami 80,spotify:track:23XZHHyAv5NAQPTjzIoA2T,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
5,0.377,0.841,9,-18.475,1,0.708,0.981,0.00784,0.496,0.563,97.971,audio_features,3IIkkAh0hI7kiW0ld2Kauq,spotify:track:3IIkkAh0hI7kiW0ld2Kauq,https://api.spotify.com/v1/tracks/3IIkkAh0hI7kiW0ld2Kauq,https://api.spotify.com/v1/audio-analysis/3IIkkAh0hI7kiW0ld2Kauq,34213,3,GTP Call,spotify:track:3IIkkAh0hI7kiW0ld2Kauq,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
6,0.657,0.395,6,-13.403,1,0.283,0.299,0.0,0.473,0.582,79.965,audio_features,5AIMaGkuQ0RuoacVDZJPxd,spotify:track:5AIMaGkuQ0RuoacVDZJPxd,https://api.spotify.com/v1/tracks/5AIMaGkuQ0RuoacVDZJPxd,https://api.spotify.com/v1/audio-analysis/5AIMaGkuQ0RuoacVDZJPxd,253759,4,Wikid Satellites,spotify:track:5AIMaGkuQ0RuoacVDZJPxd,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
7,0.481,0.727,8,-8.848,1,0.0479,0.0442,0.0282,0.289,0.546,77.028,audio_features,64WyvZPRqHDl6zNdgoIZy5,spotify:track:64WyvZPRqHDl6zNdgoIZy5,https://api.spotify.com/v1/tracks/64WyvZPRqHDl6zNdgoIZy5,https://api.spotify.com/v1/audio-analysis/64WyvZPRqHDl6zNdgoIZy5,237973,4,Breathe In,spotify:track:64WyvZPRqHDl6zNdgoIZy5,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
8,0.265,0.182,9,-21.85,0,0.0431,0.938,0.788,0.108,0.0378,75.216,audio_features,4F8Kn8Y5o5xIChHYqevLrm,spotify:track:4F8Kn8Y5o5xIChHYqevLrm,https://api.spotify.com/v1/tracks/4F8Kn8Y5o5xIChHYqevLrm,https://api.spotify.com/v1/audio-analysis/4F8Kn8Y5o5xIChHYqevLrm,41427,1,To Freedom (Interlude),spotify:track:4F8Kn8Y5o5xIChHYqevLrm,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
9,0.387,0.538,11,-10.872,1,0.035,0.627,0.608,0.0998,0.0825,113.946,audio_features,46zwrQ8cbxA2GWVTDYgEsc,spotify:track:46zwrQ8cbxA2GWVTDYgEsc,https://api.spotify.com/v1/tracks/46zwrQ8cbxA2GWVTDYgEsc,https://api.spotify.com/v1/audio-analysis/46zwrQ8cbxA2GWVTDYgEsc,392560,4,Wonder,spotify:track:46zwrQ8cbxA2GWVTDYgEsc,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0
