,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.505,0.456,10,-15.594,0,0.0909,0.38,0.501,0.087,0.142,141.984,audio_features,0guLwwLoql0wteHugc3x7e,spotify:track:0guLwwLoql0wteHugc3x7e,https://api.spotify.com/v1/tracks/0guLwwLoql0wteHugc3x7e,https://api.spotify.com/v1/audio-analysis/0guLwwLoql0wteHugc3x7e,243715,4,Replicating Highs,spotify:track:0guLwwLoql0wteHugc3x7e,No Genre,2OFw6xaq6hw3PNGt4VPsaM
1,0.683,0.208,4,-17.112,0,0.0595,0.83,0.546,0.166,0.402,89.994,audio_features,74ZwynKBqdJKgipzz9wLAX,spotify:track:74ZwynKBqdJKgipzz9wLAX,https://api.spotify.com/v1/tracks/74ZwynKBqdJKgipzz9wLAX,https://api.spotify.com/v1/audio-analysis/74ZwynKBqdJKgipzz9wLAX,222910,4,Cloud Nine,spotify:track:74ZwynKBqdJKgipzz9wLAX,No Genre,2OFw6xaq6hw3PNGt4VPsaM
2,0.315,0.391,0,-14.937,0,0.038,0.00305,0.88,0.184,0.176,139.944,audio_features,5n9zD6ZFBd32snpyOZdoHB,spotify:track:5n9zD6ZFBd32snpyOZdoHB,https://api.spotify.com/v1/tracks/5n9zD6ZFBd32snpyOZdoHB,https://api.spotify.com/v1/audio-analysis/5n9zD6ZFBd32snpyOZdoHB,167925,4,Saturated Kaliedoscopes,spotify:track:5n9zD6ZFBd32snpyOZdoHB,No Genre,2OFw6xaq6hw3PNGt4VPsaM
3,0.583,0.478,4,-13.204,0,0.0333,0.66,0.523,0.0605,0.459,139.798,audio_features,44WCAlQ4EwEBo70cqiTWbw,spotify:track:44WCAlQ4EwEBo70cqiTWbw,https://api.spotify.com/v1/tracks/44WCAlQ4EwEBo70cqiTWbw,https://api.spotify.com/v1/audio-analysis/44WCAlQ4EwEBo70cqiTWbw,227368,4,Waves of Consciousness,spotify:track:44WCAlQ4EwEBo70cqiTWbw,No Genre,2OFw6xaq6hw3PNGt4VPsaM
4,0.571,0.366,3,-16.577,1,0.0363,0.442,0.0552,0.0957,0.315,180.056,audio_features,2ctDuGXWj8ItLgFnNZwa82,spotify:track:2ctDuGXWj8ItLgFnNZwa82,https://api.spotify.com/v1/tracks/2ctDuGXWj8ItLgFnNZwa82,https://api.spotify.com/v1/audio-analysis/2ctDuGXWj8ItLgFnNZwa82,173870,4,Her Favourite Flowers,spotify:track:2ctDuGXWj8ItLgFnNZwa82,No Genre,2OFw6xaq6hw3PNGt4VPsaM
5,0.682,0.573,0,-11.701,0,0.058,0.109,0.962,0.264,0.566,99.997,audio_features,2lAFKpV4zmZzRKQ5peAtBK,spotify:track:2lAFKpV4zmZzRKQ5peAtBK,https://api.spotify.com/v1/tracks/2lAFKpV4zmZzRKQ5peAtBK,https://api.spotify.com/v1/audio-analysis/2lAFKpV4zmZzRKQ5peAtBK,125844,4,Bombay Sapphire,spotify:track:2lAFKpV4zmZzRKQ5peAtBK,No Genre,2OFw6xaq6hw3PNGt4VPsaM
6,0.657,0.509,0,-15.923,0,0.0413,0.39,0.936,0.193,0.277,119.979,audio_features,3F2rBdcAoJULbv61F81Ptv,spotify:track:3F2rBdcAoJULbv61F81Ptv,https://api.spotify.com/v1/tracks/3F2rBdcAoJULbv61F81Ptv,https://api.spotify.com/v1/audio-analysis/3F2rBdcAoJULbv61F81Ptv,520916,4,Divine Comedy (Pts. I-III) (Interlude),spotify:track:3F2rBdcAoJULbv61F81Ptv,No Genre,2OFw6xaq6hw3PNGt4VPsaM
7,0.643,0.519,7,-15.604,0,0.0436,0.114,0.142,0.115,0.805,124.998,audio_features,2w0pXOB6mRiEPCrlqwu2aa,spotify:track:2w0pXOB6mRiEPCrlqwu2aa,https://api.spotify.com/v1/tracks/2w0pXOB6mRiEPCrlqwu2aa,https://api.spotify.com/v1/audio-analysis/2w0pXOB6mRiEPCrlqwu2aa,161981,4,Rebirth,spotify:track:2w0pXOB6mRiEPCrlqwu2aa,No Genre,2OFw6xaq6hw3PNGt4VPsaM
8,0.667,0.592,0,-9.545,0,0.0496,0.183,0.394,0.119,0.617,159.879,audio_features,5nxqa6wbriLR9wL5u6D0q4,spotify:track:5nxqa6wbriLR9wL5u6D0q4,https://api.spotify.com/v1/tracks/5nxqa6wbriLR9wL5u6D0q4,https://api.spotify.com/v1/audio-analysis/5nxqa6wbriLR9wL5u6D0q4,155967,4,Lost Stockholm Disaster,spotify:track:5nxqa6wbriLR9wL5u6D0q4,No Genre,2OFw6xaq6hw3PNGt4VPsaM
9,0.408,0.451,5,-12.938,0,0.1,0.748,0.901,0.121,0.335,75.266,audio_features,6vK0HVhNzDsO2Vv4Opm4Po,spotify:track:6vK0HVhNzDsO2Vv4Opm4Po,https://api.spotify.com/v1/tracks/6vK0HVhNzDsO2Vv4Opm4Po,https://api.spotify.com/v1/audio-analysis/6vK0HVhNzDsO2Vv4Opm4Po,265983,4,Sitcom Days,spotify:track:6vK0HVhNzDsO2Vv4Opm4Po,No Genre,2OFw6xaq6hw3PNGt4VPsaM
