,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.809,0.541,3,-6.525,1,0.252,0.855,0.000977,0.142,0.811,92.132,audio_features,0nKiPnnqn6bfn8sPOZJGs8,spotify:track:0nKiPnnqn6bfn8sPOZJGs8,https://api.spotify.com/v1/tracks/0nKiPnnqn6bfn8sPOZJGs8,https://api.spotify.com/v1/audio-analysis/0nKiPnnqn6bfn8sPOZJGs8,94933,4,Self,spotify:track:0nKiPnnqn6bfn8sPOZJGs8,Noname,1EpyA68dKpjf7jXmQL88Hy
1,0.891,0.827,11,-6.139,1,0.351,0.091,1.53e-06,0.221,0.861,100.987,audio_features,5gkyPW8MTcyy3678POqUPs,spotify:track:5gkyPW8MTcyy3678POqUPs,https://api.spotify.com/v1/tracks/5gkyPW8MTcyy3678POqUPs,https://api.spotify.com/v1/audio-analysis/5gkyPW8MTcyy3678POqUPs,133057,4,Blaxploitation,spotify:track:5gkyPW8MTcyy3678POqUPs,Noname,1EpyA68dKpjf7jXmQL88Hy
2,0.785,0.561,9,-8.843,0,0.141,0.678,1.58e-05,0.085,0.535,112.363,audio_features,4G6gcHiEzUtG6lp9i75Xrc,spotify:track:4G6gcHiEzUtG6lp9i75Xrc,https://api.spotify.com/v1/tracks/4G6gcHiEzUtG6lp9i75Xrc,https://api.spotify.com/v1/audio-analysis/4G6gcHiEzUtG6lp9i75Xrc,257899,4,Prayer Song,spotify:track:4G6gcHiEzUtG6lp9i75Xrc,Noname,1EpyA68dKpjf7jXmQL88Hy
3,0.344,0.572,1,-9.466,1,0.125,0.742,0.00183,0.472,0.414,173.837,audio_features,3NHWqn77CzGiT0qyi4fkOk,spotify:track:3NHWqn77CzGiT0qyi4fkOk,https://api.spotify.com/v1/tracks/3NHWqn77CzGiT0qyi4fkOk,https://api.spotify.com/v1/audio-analysis/3NHWqn77CzGiT0qyi4fkOk,278124,4,Window,spotify:track:3NHWqn77CzGiT0qyi4fkOk,Noname,1EpyA68dKpjf7jXmQL88Hy
4,0.736,0.468,1,-6.116,1,0.237,0.43,0.13,0.0885,0.681,75.555,audio_features,4XNncEnP3zZBpTlJuepmCX,spotify:track:4XNncEnP3zZBpTlJuepmCX,https://api.spotify.com/v1/tracks/4XNncEnP3zZBpTlJuepmCX,https://api.spotify.com/v1/audio-analysis/4XNncEnP3zZBpTlJuepmCX,219028,4,Don't Forget About Me,spotify:track:4XNncEnP3zZBpTlJuepmCX,Noname,1EpyA68dKpjf7jXmQL88Hy
5,0.339,0.482,6,-11.734,1,0.0989,0.819,0.253,0.122,0.485,79.591,audio_features,5Pn2CGpnW6D5MlqMbpLCKZ,spotify:track:5Pn2CGpnW6D5MlqMbpLCKZ,https://api.spotify.com/v1/tracks/5Pn2CGpnW6D5MlqMbpLCKZ,https://api.spotify.com/v1/audio-analysis/5Pn2CGpnW6D5MlqMbpLCKZ,168363,1,Regal,spotify:track:5Pn2CGpnW6D5MlqMbpLCKZ,Noname,1EpyA68dKpjf7jXmQL88Hy
6,0.59,0.553,5,-10.872,0,0.0857,0.785,0.177,0.0827,0.69,151.936,audio_features,4PJ4WEQOFG3BwRl5gU6WJL,spotify:track:4PJ4WEQOFG3BwRl5gU6WJL,https://api.spotify.com/v1/tracks/4PJ4WEQOFG3BwRl5gU6WJL,https://api.spotify.com/v1/audio-analysis/4PJ4WEQOFG3BwRl5gU6WJL,163616,4,Montego Bae,spotify:track:4PJ4WEQOFG3BwRl5gU6WJL,Noname,1EpyA68dKpjf7jXmQL88Hy
7,0.686,0.509,10,-9.173,1,0.404,0.864,0.0,0.12,0.651,106.889,audio_features,06fNR3xo4ksfvM4UTeEoZJ,spotify:track:06fNR3xo4ksfvM4UTeEoZJ,https://api.spotify.com/v1/tracks/06fNR3xo4ksfvM4UTeEoZJ,https://api.spotify.com/v1/audio-analysis/06fNR3xo4ksfvM4UTeEoZJ,182752,4,Ace,spotify:track:06fNR3xo4ksfvM4UTeEoZJ,Noname,1EpyA68dKpjf7jXmQL88Hy
8,0.811,0.552,4,-5.679,0,0.294,0.439,0.0,0.322,0.689,89.981,audio_features,50dWXNA6rcB2PL1Z3g5GVW,spotify:track:50dWXNA6rcB2PL1Z3g5GVW,https://api.spotify.com/v1/tracks/50dWXNA6rcB2PL1Z3g5GVW,https://api.spotify.com/v1/audio-analysis/50dWXNA6rcB2PL1Z3g5GVW,195840,4,Part of me,spotify:track:50dWXNA6rcB2PL1Z3g5GVW,Noname,1EpyA68dKpjf7jXmQL88Hy
9,0.518,0.58,3,-8.614,1,0.201,0.488,0.00245,0.12,0.519,83.849,audio_features,6C7RVi8iQo8PkGkRejQeQI,spotify:track:6C7RVi8iQo8PkGkRejQeQI,https://api.spotify.com/v1/tracks/6C7RVi8iQo8PkGkRejQeQI,https://api.spotify.com/v1/audio-analysis/6C7RVi8iQo8PkGkRejQeQI,149106,4,With You,spotify:track:6C7RVi8iQo8PkGkRejQeQI,Noname,1EpyA68dKpjf7jXmQL88Hy
