,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.275,0.806,2,-4.956,1,0.0442,1.79e-05,0.824,0.979,0.196,99.911,audio_features,5fHljq1slZpvaGJ66wR7Ou,spotify:track:5fHljq1slZpvaGJ66wR7Ou,https://api.spotify.com/v1/tracks/5fHljq1slZpvaGJ66wR7Ou,https://api.spotify.com/v1/audio-analysis/5fHljq1slZpvaGJ66wR7Ou,287722,4,"Columbia (Live at Knebworth, 10 August '96)",spotify:track:5fHljq1slZpvaGJ66wR7Ou,Oasis,2DaxqgrOhkeH0fpeiQq2f4
1,0.26,0.926,7,-4.668,1,0.0619,8.69e-06,0.884,0.982,0.253,124.697,audio_features,7xd1i75Dx84peKNqYuWnDU,spotify:track:7xd1i75Dx84peKNqYuWnDU,https://api.spotify.com/v1/tracks/7xd1i75Dx84peKNqYuWnDU,https://api.spotify.com/v1/audio-analysis/7xd1i75Dx84peKNqYuWnDU,236778,4,"Acquiesce (Live at Knebworth, 10 August '96)",spotify:track:7xd1i75Dx84peKNqYuWnDU,Oasis,2DaxqgrOhkeH0fpeiQq2f4
2,0.258,0.928,9,-4.918,1,0.0941,4.89e-05,0.489,0.985,0.422,122.963,audio_features,6iVdHiSrIJWFszztAUEJLU,spotify:track:6iVdHiSrIJWFszztAUEJLU,https://api.spotify.com/v1/tracks/6iVdHiSrIJWFszztAUEJLU,https://api.spotify.com/v1/audio-analysis/6iVdHiSrIJWFszztAUEJLU,309880,4,"Supersonic (Live at Knebworth, 10 August '96)",spotify:track:6iVdHiSrIJWFszztAUEJLU,Oasis,2DaxqgrOhkeH0fpeiQq2f4
3,0.119,0.962,5,-4.118,1,0.0842,1.77e-05,0.589,0.856,0.15,149.61,audio_features,6RnwvtFjIItxaTfHsCHmnj,spotify:track:6RnwvtFjIItxaTfHsCHmnj,https://api.spotify.com/v1/tracks/6RnwvtFjIItxaTfHsCHmnj,https://api.spotify.com/v1/audio-analysis/6RnwvtFjIItxaTfHsCHmnj,175536,4,"Hello (Live at Knebworth, 11 August '96)",spotify:track:6RnwvtFjIItxaTfHsCHmnj,Oasis,2DaxqgrOhkeH0fpeiQq2f4
4,0.168,0.869,2,-4.122,1,0.0736,8.75e-06,0.458,0.921,0.177,123.259,audio_features,5tB6SSx2TKSAC6D0BYjrsG,spotify:track:5tB6SSx2TKSAC6D0BYjrsG,https://api.spotify.com/v1/tracks/5tB6SSx2TKSAC6D0BYjrsG,https://api.spotify.com/v1/audio-analysis/5tB6SSx2TKSAC6D0BYjrsG,304629,4,"Some Might Say (Live at Knebworth, 11 August '96)",spotify:track:5tB6SSx2TKSAC6D0BYjrsG,Oasis,2DaxqgrOhkeH0fpeiQq2f4
5,0.197,0.943,0,-4.109,1,0.104,9.59e-06,0.92,0.978,0.113,129.385,audio_features,7uZduqfBBNuHqcNcsjCwRv,spotify:track:7uZduqfBBNuHqcNcsjCwRv,https://api.spotify.com/v1/tracks/7uZduqfBBNuHqcNcsjCwRv,https://api.spotify.com/v1/audio-analysis/7uZduqfBBNuHqcNcsjCwRv,245377,4,"Roll With It (Live at Knebworth, 11 August '96)",spotify:track:7uZduqfBBNuHqcNcsjCwRv,Oasis,2DaxqgrOhkeH0fpeiQq2f4
6,0.155,0.897,9,-4.016,0,0.0688,3.64e-06,0.907,0.962,0.391,132.355,audio_features,416d71bOQmFO9edQPzhZJY,spotify:track:416d71bOQmFO9edQPzhZJY,https://api.spotify.com/v1/tracks/416d71bOQmFO9edQPzhZJY,https://api.spotify.com/v1/audio-analysis/416d71bOQmFO9edQPzhZJY,347653,3,"Slide Away (Live at Knebworth, 11 August '96)",spotify:track:416d71bOQmFO9edQPzhZJY,Oasis,2DaxqgrOhkeH0fpeiQq2f4
7,0.213,0.909,4,-4.167,0,0.107,2.69e-05,0.605,0.962,0.194,140.566,audio_features,0LIOjnuMG3C6qJPiwYjCYb,spotify:track:0LIOjnuMG3C6qJPiwYjCYb,https://api.spotify.com/v1/tracks/0LIOjnuMG3C6qJPiwYjCYb,https://api.spotify.com/v1/audio-analysis/0LIOjnuMG3C6qJPiwYjCYb,252877,4,"Morning Glory (Live at Knebworth, 11 August '96)",spotify:track:0LIOjnuMG3C6qJPiwYjCYb,Oasis,2DaxqgrOhkeH0fpeiQq2f4
8,0.145,0.933,7,-3.605,1,0.0783,0.000703,0.687,0.956,0.132,148.025,audio_features,4eVPDhFRLO4X3NZXTHV47x,spotify:track:4eVPDhFRLO4X3NZXTHV47x,https://api.spotify.com/v1/tracks/4eVPDhFRLO4X3NZXTHV47x,https://api.spotify.com/v1/audio-analysis/4eVPDhFRLO4X3NZXTHV47x,287879,4,"Round Are Way (Live at Knebworth, 10 August '96)",spotify:track:4eVPDhFRLO4X3NZXTHV47x,Oasis,2DaxqgrOhkeH0fpeiQq2f4
9,0.209,0.977,9,-5.184,1,0.0855,2.89e-05,0.0129,0.821,0.25,130.462,audio_features,1cOAWC3A03xMiw8LzBKBIV,spotify:track:1cOAWC3A03xMiw8LzBKBIV,https://api.spotify.com/v1/tracks/1cOAWC3A03xMiw8LzBKBIV,https://api.spotify.com/v1/audio-analysis/1cOAWC3A03xMiw8LzBKBIV,282917,4,"Cigarettes & Alcohol (Live at Knebworth, 10 August '96)",spotify:track:1cOAWC3A03xMiw8LzBKBIV,Oasis,2DaxqgrOhkeH0fpeiQq2f4
