,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.672,0.268,5,-16.823,1,0.097,0.856,0.939,0.09,0.226,79.983,audio_features,15sjdKb5HG2YSXuRtTFmyM,spotify:track:15sjdKb5HG2YSXuRtTFmyM,https://api.spotify.com/v1/tracks/15sjdKb5HG2YSXuRtTFmyM,https://api.spotify.com/v1/audio-analysis/15sjdKb5HG2YSXuRtTFmyM,151414,4,Abstract Concepts,spotify:track:15sjdKb5HG2YSXuRtTFmyM,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
1,0.747,0.225,3,-16.5,1,0.0744,0.853,0.95,0.0961,0.326,83.06,audio_features,4PBrGWCmA4WnLQAZHHfh1f,spotify:track:4PBrGWCmA4WnLQAZHHfh1f,https://api.spotify.com/v1/tracks/4PBrGWCmA4WnLQAZHHfh1f,https://api.spotify.com/v1/audio-analysis/4PBrGWCmA4WnLQAZHHfh1f,173996,4,Imaginary Lights,spotify:track:4PBrGWCmA4WnLQAZHHfh1f,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
2,0.65,0.286,8,-16.552,1,0.0549,0.53,0.933,0.111,0.234,156.031,audio_features,0Xlthct8SOi0gAdnn2GbRT,spotify:track:0Xlthct8SOi0gAdnn2GbRT,https://api.spotify.com/v1/tracks/0Xlthct8SOi0gAdnn2GbRT,https://api.spotify.com/v1/audio-analysis/0Xlthct8SOi0gAdnn2GbRT,160044,4,Artful Haze,spotify:track:0Xlthct8SOi0gAdnn2GbRT,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
3,0.768,0.27,7,-17.331,1,0.0743,0.725,0.931,0.11,0.285,160.062,audio_features,2afipVQcYOHwXFxrQdoCZW,spotify:track:2afipVQcYOHwXFxrQdoCZW,https://api.spotify.com/v1/tracks/2afipVQcYOHwXFxrQdoCZW,https://api.spotify.com/v1/audio-analysis/2afipVQcYOHwXFxrQdoCZW,168020,4,Curious Shadows,spotify:track:2afipVQcYOHwXFxrQdoCZW,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
4,0.454,0.334,0,-22.971,1,0.056,0.835,0.94,0.101,0.084,221.878,audio_features,0RTrSrHFlihNSXboGdaVRq,spotify:track:0RTrSrHFlihNSXboGdaVRq,https://api.spotify.com/v1/tracks/0RTrSrHFlihNSXboGdaVRq,https://api.spotify.com/v1/audio-analysis/0RTrSrHFlihNSXboGdaVRq,177307,3,Gravity Ablaze,spotify:track:0RTrSrHFlihNSXboGdaVRq,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
5,0.553,0.154,5,-19.808,0,0.0296,0.843,0.943,0.112,0.125,95.006,audio_features,6VYj37Lkqk9mtC6VZXdpD9,spotify:track:6VYj37Lkqk9mtC6VZXdpD9,https://api.spotify.com/v1/tracks/6VYj37Lkqk9mtC6VZXdpD9,https://api.spotify.com/v1/audio-analysis/6VYj37Lkqk9mtC6VZXdpD9,169898,4,Midnight Motif,spotify:track:6VYj37Lkqk9mtC6VZXdpD9,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
6,0.729,0.237,1,-17.857,1,0.0354,0.887,0.953,0.112,0.137,112.595,audio_features,1OrPBp0pZxsAydGQgoymsG,spotify:track:1OrPBp0pZxsAydGQgoymsG,https://api.spotify.com/v1/tracks/1OrPBp0pZxsAydGQgoymsG,https://api.spotify.com/v1/audio-analysis/1OrPBp0pZxsAydGQgoymsG,187710,3,Nocturnal Visions,spotify:track:1OrPBp0pZxsAydGQgoymsG,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
7,0.643,0.284,1,-15.849,0,0.0548,0.63,0.91,0.182,0.428,83.008,audio_features,6nqOGykFeVWsM3Okw3V73C,spotify:track:6nqOGykFeVWsM3Okw3V73C,https://api.spotify.com/v1/tracks/6nqOGykFeVWsM3Okw3V73C,https://api.spotify.com/v1/audio-analysis/6nqOGykFeVWsM3Okw3V73C,161039,4,Floating Between,spotify:track:6nqOGykFeVWsM3Okw3V73C,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
8,0.621,0.201,7,-19.587,1,0.0373,0.813,0.928,0.101,0.319,82.015,audio_features,6nrESrOmCxL2dWrKNmKSyL,spotify:track:6nrESrOmCxL2dWrKNmKSyL,https://api.spotify.com/v1/tracks/6nrESrOmCxL2dWrKNmKSyL,https://api.spotify.com/v1/audio-analysis/6nrESrOmCxL2dWrKNmKSyL,155876,4,Lucid Dreaming,spotify:track:6nrESrOmCxL2dWrKNmKSyL,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
9,0.745,0.383,9,-17.446,1,0.0614,0.7,0.954,0.108,0.157,80.005,audio_features,6DTKZsmOR9drYUqPqxe48U,spotify:track:6DTKZsmOR9drYUqPqxe48U,https://api.spotify.com/v1/tracks/6DTKZsmOR9drYUqPqxe48U,https://api.spotify.com/v1/audio-analysis/6DTKZsmOR9drYUqPqxe48U,149831,4,Painting My Thoughts,spotify:track:6DTKZsmOR9drYUqPqxe48U,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
10,0.724,0.284,7,-17.168,1,0.0366,0.65,0.913,0.101,0.276,84.013,audio_features,2bosOvjRCNRUCkJBvhOlGm,spotify:track:2bosOvjRCNRUCkJBvhOlGm,https://api.spotify.com/v1/tracks/2bosOvjRCNRUCkJBvhOlGm,https://api.spotify.com/v1/audio-analysis/2bosOvjRCNRUCkJBvhOlGm,159107,4,Metamorphosis,spotify:track:2bosOvjRCNRUCkJBvhOlGm,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
11,0.553,0.347,1,-16.06,1,0.0441,0.76,0.915,0.116,0.256,168.011,audio_features,6K0Ysjw928mSSA4udBJd2s,spotify:track:6K0Ysjw928mSSA4udBJd2s,https://api.spotify.com/v1/tracks/6K0Ysjw928mSSA4udBJd2s,https://api.spotify.com/v1/audio-analysis/6K0Ysjw928mSSA4udBJd2s,153135,4,Golden Eye,spotify:track:6K0Ysjw928mSSA4udBJd2s,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
12,0.624,0.238,0,-16.882,0,0.0509,0.792,0.958,0.0946,0.346,176.24,audio_features,35TEwXps2V5OY2SQuj4MZR,spotify:track:35TEwXps2V5OY2SQuj4MZR,https://api.spotify.com/v1/tracks/35TEwXps2V5OY2SQuj4MZR,https://api.spotify.com/v1/audio-analysis/35TEwXps2V5OY2SQuj4MZR,152589,4,Colors Reborn,spotify:track:35TEwXps2V5OY2SQuj4MZR,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
13,0.61,0.242,0,-20.875,1,0.113,0.875,0.914,0.1,0.227,169.989,audio_features,62gZWnn1oiyGNkwFNfQhy8,spotify:track:62gZWnn1oiyGNkwFNfQhy8,https://api.spotify.com/v1/tracks/62gZWnn1oiyGNkwFNfQhy8,https://api.spotify.com/v1/audio-analysis/62gZWnn1oiyGNkwFNfQhy8,160198,4,Change in the Air,spotify:track:62gZWnn1oiyGNkwFNfQhy8,Obie Hans,59WcuCFVwOnZdOUvAHW1NV
