,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.617,0.409,0,-5.899,0,0.0287,0.649,0.0,0.114,0.428,115.921,audio_features,44W5tInDK41nwJ3k3AEplU,spotify:track:44W5tInDK41nwJ3k3AEplU,https://api.spotify.com/v1/tracks/44W5tInDK41nwJ3k3AEplU,https://api.spotify.com/v1/audio-analysis/44W5tInDK41nwJ3k3AEplU,170882,4,Hurricane - Acoustic Version,spotify:track:44W5tInDK41nwJ3k3AEplU,Ofenbach,4AKwRarlmsUlLjIwt38NLw
1,0.56,0.851,2,-2.851,0,0.0486,0.225,2.9e-06,0.177,0.461,125.947,audio_features,1nkPeGTLbCgw7DCXAcHdde,spotify:track:1nkPeGTLbCgw7DCXAcHdde,https://api.spotify.com/v1/tracks/1nkPeGTLbCgw7DCXAcHdde,https://api.spotify.com/v1/audio-analysis/1nkPeGTLbCgw7DCXAcHdde,147140,4,Hurricane,spotify:track:1nkPeGTLbCgw7DCXAcHdde,Ofenbach,4AKwRarlmsUlLjIwt38NLw
2,0.617,0.729,5,-4.459,1,0.0309,0.00224,0.0,0.663,0.535,125.912,audio_features,65PF5Tk0yr85gfTM10z9B1,spotify:track:65PF5Tk0yr85gfTM10z9B1,https://api.spotify.com/v1/tracks/65PF5Tk0yr85gfTM10z9B1,https://api.spotify.com/v1/audio-analysis/65PF5Tk0yr85gfTM10z9B1,152381,4,Hurricane (LODATO Remix),spotify:track:65PF5Tk0yr85gfTM10z9B1,Ofenbach,4AKwRarlmsUlLjIwt38NLw
3,0.725,0.932,0,-2.761,1,0.0485,0.0352,2.53e-05,0.0824,0.664,125.982,audio_features,63ywZJe9yA8vpMHeAeQLc7,spotify:track:63ywZJe9yA8vpMHeAeQLc7,https://api.spotify.com/v1/tracks/63ywZJe9yA8vpMHeAeQLc7,https://api.spotify.com/v1/audio-analysis/63ywZJe9yA8vpMHeAeQLc7,176042,4,Hurricane (VIP Remix),spotify:track:63ywZJe9yA8vpMHeAeQLc7,Ofenbach,4AKwRarlmsUlLjIwt38NLw
4,0.56,0.851,2,-2.851,0,0.0486,0.225,2.9e-06,0.177,0.461,125.947,audio_features,3dINYA89LWb9mucj4FkJdP,spotify:track:3dINYA89LWb9mucj4FkJdP,https://api.spotify.com/v1/tracks/3dINYA89LWb9mucj4FkJdP,https://api.spotify.com/v1/audio-analysis/3dINYA89LWb9mucj4FkJdP,147140,4,Hurricane,spotify:track:3dINYA89LWb9mucj4FkJdP,Ofenbach,4AKwRarlmsUlLjIwt38NLw
5,0.861,0.832,2,-3.35,1,0.0457,0.0119,0.0,0.0461,0.917,126.989,audio_features,7lt5wi1ZMmLgki8XmWskje,spotify:track:7lt5wi1ZMmLgki8XmWskje,https://api.spotify.com/v1/tracks/7lt5wi1ZMmLgki8XmWskje,https://api.spotify.com/v1/audio-analysis/7lt5wi1ZMmLgki8XmWskje,187248,4,Shivers - Ofenbach Remix,spotify:track:7lt5wi1ZMmLgki8XmWskje,Ofenbach,4AKwRarlmsUlLjIwt38NLw
6,0.56,0.851,2,-2.851,0,0.0486,0.225,2.9e-06,0.177,0.461,125.947,audio_features,0iVkWge9ytV4Scgy2hQ2za,spotify:track:0iVkWge9ytV4Scgy2hQ2za,https://api.spotify.com/v1/tracks/0iVkWge9ytV4Scgy2hQ2za,https://api.spotify.com/v1/audio-analysis/0iVkWge9ytV4Scgy2hQ2za,147140,4,Hurricane,spotify:track:0iVkWge9ytV4Scgy2hQ2za,Ofenbach,4AKwRarlmsUlLjIwt38NLw
7,0.719,0.738,2,-4.259,0,0.0406,0.0602,0.000576,0.108,0.354,125.991,audio_features,7LOgSjOojmHTuj7LOOB8Lj,spotify:track:7LOgSjOojmHTuj7LOOB8Lj,https://api.spotify.com/v1/tracks/7LOgSjOojmHTuj7LOOB8Lj,https://api.spotify.com/v1/audio-analysis/7LOgSjOojmHTuj7LOOB8Lj,230634,4,Hurricane - Extended Version,spotify:track:7LOgSjOojmHTuj7LOOB8Lj,Ofenbach,4AKwRarlmsUlLjIwt38NLw
8,0.742,0.607,11,-8.925,0,0.21,0.136,0.0002,0.137,0.697,120.994,audio_features,0DwAYWVJM5cTfyZ7UcbK7I,spotify:track:0DwAYWVJM5cTfyZ7UcbK7I,https://api.spotify.com/v1/tracks/0DwAYWVJM5cTfyZ7UcbK7I,https://api.spotify.com/v1/audio-analysis/0DwAYWVJM5cTfyZ7UcbK7I,137172,4,Call Me Papi (feat. Dawty Music) - FDVM Remix,spotify:track:0DwAYWVJM5cTfyZ7UcbK7I,Ofenbach,4AKwRarlmsUlLjIwt38NLw
9,0.785,0.908,4,-6.049,0,0.0674,0.028,0.453,0.0833,0.226,125.987,audio_features,7CB5jAMKHSAePtyQ4ZBrp5,spotify:track:7CB5jAMKHSAePtyQ4ZBrp5,https://api.spotify.com/v1/tracks/7CB5jAMKHSAePtyQ4ZBrp5,https://api.spotify.com/v1/audio-analysis/7CB5jAMKHSAePtyQ4ZBrp5,262876,4,Call Me Papi (feat. Dawty Music) - Mosimann Remix,spotify:track:7CB5jAMKHSAePtyQ4ZBrp5,Ofenbach,4AKwRarlmsUlLjIwt38NLw
