,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.183,0.254,8,-25.597,1,0.0628,0.83,0.837,0.197,0.704,78.847,audio_features,7zi2RgHB644wPBttyT6WoC,spotify:track:7zi2RgHB644wPBttyT6WoC,https://api.spotify.com/v1/tracks/7zi2RgHB644wPBttyT6WoC,https://api.spotify.com/v1/audio-analysis/7zi2RgHB644wPBttyT6WoC,48493,4,little one,spotify:track:7zi2RgHB644wPBttyT6WoC,Oklou,6fFcUOFcbjeIuEomuUthkw
1,0.495,0.256,8,-16.51,1,0.0655,0.971,0.104,0.104,0.366,175.96,audio_features,0fz95mqy1U1zXgBhxTJXt0,spotify:track:0fz95mqy1U1zXgBhxTJXt0,https://api.spotify.com/v1/tracks/0fz95mqy1U1zXgBhxTJXt0,https://api.spotify.com/v1/audio-analysis/0fz95mqy1U1zXgBhxTJXt0,133293,4,fall,spotify:track:0fz95mqy1U1zXgBhxTJXt0,Oklou,6fFcUOFcbjeIuEomuUthkw
2,0.678,0.399,9,-11.592,0,0.109,0.914,0.048,0.172,0.205,122.964,audio_features,0o0nTaIpXTcZmiGCen7SYN,spotify:track:0o0nTaIpXTcZmiGCen7SYN,https://api.spotify.com/v1/tracks/0o0nTaIpXTcZmiGCen7SYN,https://api.spotify.com/v1/audio-analysis/0o0nTaIpXTcZmiGCen7SYN,205467,4,unearth me,spotify:track:0o0nTaIpXTcZmiGCen7SYN,Oklou,6fFcUOFcbjeIuEomuUthkw
3,0.67,0.475,0,-14.656,0,0.0837,0.93,0.811,0.136,0.0529,94.262,audio_features,28Ykh9f8Fg5TCEZ4lp5p6N,spotify:track:28Ykh9f8Fg5TCEZ4lp5p6N,https://api.spotify.com/v1/tracks/28Ykh9f8Fg5TCEZ4lp5p6N,https://api.spotify.com/v1/audio-analysis/28Ykh9f8Fg5TCEZ4lp5p6N,183507,4,god's chariots,spotify:track:28Ykh9f8Fg5TCEZ4lp5p6N,Oklou,6fFcUOFcbjeIuEomuUthkw
4,0.733,0.18,6,-13.11,1,0.0721,0.99,0.0226,0.0872,0.732,124.972,audio_features,1LIvGk25RyGiTumGQacAtq,spotify:track:1LIvGk25RyGiTumGQacAtq,https://api.spotify.com/v1/tracks/1LIvGk25RyGiTumGQacAtq,https://api.spotify.com/v1/audio-analysis/1LIvGk25RyGiTumGQacAtq,148227,4,galore,spotify:track:1LIvGk25RyGiTumGQacAtq,Oklou,6fFcUOFcbjeIuEomuUthkw
5,0.681,0.303,0,-13.631,1,0.078,0.952,0.0639,0.0884,0.273,134.844,audio_features,6pEVO8ONIPUOWg46F6w2y3,spotify:track:6pEVO8ONIPUOWg46F6w2y3,https://api.spotify.com/v1/tracks/6pEVO8ONIPUOWg46F6w2y3,https://api.spotify.com/v1/audio-analysis/6pEVO8ONIPUOWg46F6w2y3,131333,4,nightime,spotify:track:6pEVO8ONIPUOWg46F6w2y3,Oklou,6fFcUOFcbjeIuEomuUthkw
6,0.612,0.608,5,-12.968,1,0.0653,0.246,0.793,0.107,0.368,94.034,audio_features,1auwQwLhuxRkPSLHb3xxe1,spotify:track:1auwQwLhuxRkPSLHb3xxe1,https://api.spotify.com/v1/tracks/1auwQwLhuxRkPSLHb3xxe1,https://api.spotify.com/v1/audio-analysis/1auwQwLhuxRkPSLHb3xxe1,91907,4,asturias,spotify:track:1auwQwLhuxRkPSLHb3xxe1,Oklou,6fFcUOFcbjeIuEomuUthkw
7,0.835,0.381,7,-11.668,0,0.0495,0.955,0.276,0.361,0.454,114.014,audio_features,604gZvxsjgUPQAR0XgJBpd,spotify:track:604gZvxsjgUPQAR0XgJBpd,https://api.spotify.com/v1/tracks/604gZvxsjgUPQAR0XgJBpd,https://api.spotify.com/v1/audio-analysis/604gZvxsjgUPQAR0XgJBpd,165533,4,rosebud,spotify:track:604gZvxsjgUPQAR0XgJBpd,Oklou,6fFcUOFcbjeIuEomuUthkw
8,0.701,0.401,7,-10.728,1,0.105,0.727,0.00973,0.195,0.451,161.96,audio_features,5froNAu6PVTcVoHS109PNk,spotify:track:5froNAu6PVTcVoHS109PNk,https://api.spotify.com/v1/tracks/5froNAu6PVTcVoHS109PNk,https://api.spotify.com/v1/audio-analysis/5froNAu6PVTcVoHS109PNk,179680,4,girl on my throne,spotify:track:5froNAu6PVTcVoHS109PNk,Oklou,6fFcUOFcbjeIuEomuUthkw
9,0.752,0.538,10,-10.373,1,0.0422,0.633,0.472,0.105,0.159,89.981,audio_features,1EwjwcPsJJkxxJCupnXC8T,spotify:track:1EwjwcPsJJkxxJCupnXC8T,https://api.spotify.com/v1/tracks/1EwjwcPsJJkxxJCupnXC8T,https://api.spotify.com/v1/audio-analysis/1EwjwcPsJJkxxJCupnXC8T,222147,4,another night,spotify:track:1EwjwcPsJJkxxJCupnXC8T,Oklou,6fFcUOFcbjeIuEomuUthkw
