,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.765,0.503,10,-7.569,0,0.0548,0.542,0.00365,0.289,0.522,91.007,audio_features,19BVUqAjTZfLKz9sc8gVSE,spotify:track:19BVUqAjTZfLKz9sc8gVSE,https://api.spotify.com/v1/tracks/19BVUqAjTZfLKz9sc8gVSE,https://api.spotify.com/v1/audio-analysis/19BVUqAjTZfLKz9sc8gVSE,195507,4,The World Is In A Bad Room,spotify:track:19BVUqAjTZfLKz9sc8gVSE,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
1,0.653,0.552,5,-5.975,0,0.0304,0.399,0.468,0.127,0.396,101.007,audio_features,4SNFAhRNqWFMprpKbkffpo,spotify:track:4SNFAhRNqWFMprpKbkffpo,https://api.spotify.com/v1/tracks/4SNFAhRNqWFMprpKbkffpo,https://api.spotify.com/v1/audio-analysis/4SNFAhRNqWFMprpKbkffpo,213909,4,Rolling On The Spot,spotify:track:4SNFAhRNqWFMprpKbkffpo,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
2,0.607,0.53,3,-7.928,0,0.0414,0.151,0.000111,0.0836,0.631,83.97,audio_features,6kXxxzPlNhYekCt3Eer00N,spotify:track:6kXxxzPlNhYekCt3Eer00N,https://api.spotify.com/v1/tracks/6kXxxzPlNhYekCt3Eer00N,https://api.spotify.com/v1/audio-analysis/6kXxxzPlNhYekCt3Eer00N,175104,4,Splendid Matter,spotify:track:6kXxxzPlNhYekCt3Eer00N,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
3,0.802,0.482,9,-10.145,0,0.0319,0.267,0.629,0.103,0.712,122.352,audio_features,3qT55gnpvYMqkJNR8bX7NA,spotify:track:3qT55gnpvYMqkJNR8bX7NA,https://api.spotify.com/v1/tracks/3qT55gnpvYMqkJNR8bX7NA,https://api.spotify.com/v1/audio-analysis/3qT55gnpvYMqkJNR8bX7NA,226813,4,Homeboy,spotify:track:3qT55gnpvYMqkJNR8bX7NA,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
4,0.754,0.737,0,-8.615,1,0.049,0.676,0.00791,0.142,0.432,95.018,audio_features,1HgTBokEG5pie8n9C81yBI,spotify:track:1HgTBokEG5pie8n9C81yBI,https://api.spotify.com/v1/tracks/1HgTBokEG5pie8n9C81yBI,https://api.spotify.com/v1/audio-analysis/1HgTBokEG5pie8n9C81yBI,233684,4,Lush Lyfe,spotify:track:1HgTBokEG5pie8n9C81yBI,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
5,0.64,0.642,0,-7.446,1,0.028,0.0244,0.000291,0.165,0.439,129.963,audio_features,2uyYPhHMQL9iS6z0bCwBAC,spotify:track:2uyYPhHMQL9iS6z0bCwBAC,https://api.spotify.com/v1/tracks/2uyYPhHMQL9iS6z0bCwBAC,https://api.spotify.com/v1/audio-analysis/2uyYPhHMQL9iS6z0bCwBAC,225557,4,In The Summer,spotify:track:2uyYPhHMQL9iS6z0bCwBAC,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
6,0.262,0.322,5,-12.782,1,0.0303,0.976,0.552,0.118,0.0917,174.225,audio_features,12867AFr4xhgjrxwwIrP61,spotify:track:12867AFr4xhgjrxwwIrP61,https://api.spotify.com/v1/tracks/12867AFr4xhgjrxwwIrP61,https://api.spotify.com/v1/audio-analysis/12867AFr4xhgjrxwwIrP61,227467,3,Rum,spotify:track:12867AFr4xhgjrxwwIrP61,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
7,0.623,0.559,10,-8.955,0,0.028,0.00262,0.292,0.144,0.685,98.015,audio_features,2sr12mukPfsRNRaE03e5b2,spotify:track:2sr12mukPfsRNRaE03e5b2,https://api.spotify.com/v1/tracks/2sr12mukPfsRNRaE03e5b2,https://api.spotify.com/v1/audio-analysis/2sr12mukPfsRNRaE03e5b2,271232,4,Favours,spotify:track:2sr12mukPfsRNRaE03e5b2,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
8,0.366,0.334,5,-12.288,1,0.0267,0.494,0.09,0.098,0.209,155.578,audio_features,3k9AumiAL5seVIXNueabLa,spotify:track:3k9AumiAL5seVIXNueabLa,https://api.spotify.com/v1/tracks/3k9AumiAL5seVIXNueabLa,https://api.spotify.com/v1/audio-analysis/3k9AumiAL5seVIXNueabLa,224485,4,Madness,spotify:track:3k9AumiAL5seVIXNueabLa,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
9,0.71,0.493,11,-9.956,0,0.0397,0.3,0.0564,0.304,0.108,122.973,audio_features,23hPSPKXZaOMDrPyZXFwM3,spotify:track:23hPSPKXZaOMDrPyZXFwM3,https://api.spotify.com/v1/tracks/23hPSPKXZaOMDrPyZXFwM3,https://api.spotify.com/v1/audio-analysis/23hPSPKXZaOMDrPyZXFwM3,226747,4,Land of All Pretend,spotify:track:23hPSPKXZaOMDrPyZXFwM3,Oly Sherman,5reK8WyX1RXvnRw8J0ZpgE
