,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.842,0.463,6,-6.798,1,0.206,0.734,0.0,0.0888,0.852,141.996,audio_features,2CjkDYjXLssgYhKzKGbTXg,spotify:track:2CjkDYjXLssgYhKzKGbTXg,https://api.spotify.com/v1/tracks/2CjkDYjXLssgYhKzKGbTXg,https://api.spotify.com/v1/audio-analysis/2CjkDYjXLssgYhKzKGbTXg,143160,4,I'm Amazing,spotify:track:2CjkDYjXLssgYhKzKGbTXg,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
1,0.706,0.732,2,-5.184,0,0.172,0.275,0.000149,0.0942,0.445,94.988,audio_features,4VaixCVa5ZJFNSnQuGdrPt,spotify:track:4VaixCVa5ZJFNSnQuGdrPt,https://api.spotify.com/v1/tracks/4VaixCVa5ZJFNSnQuGdrPt,https://api.spotify.com/v1/audio-analysis/4VaixCVa5ZJFNSnQuGdrPt,210915,4,Kamikaze,spotify:track:4VaixCVa5ZJFNSnQuGdrPt,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
2,0.571,0.443,0,-6.76,1,0.0451,0.3,6.95e-06,0.101,0.621,143.923,audio_features,7JfCxBy9vde28wCbwJyI4Q,spotify:track:7JfCxBy9vde28wCbwJyI4Q,https://api.spotify.com/v1/tracks/7JfCxBy9vde28wCbwJyI4Q,https://api.spotify.com/v1/audio-analysis/7JfCxBy9vde28wCbwJyI4Q,247720,3,Want U Around (feat. Ruel),spotify:track:7JfCxBy9vde28wCbwJyI4Q,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
3,0.549,0.408,7,-7.675,1,0.0939,0.77,4.22e-06,0.151,0.671,124.717,audio_features,0REQoRjs9HgH5ZboZnL7Jq,spotify:track:0REQoRjs9HgH5ZboZnL7Jq,https://api.spotify.com/v1/tracks/0REQoRjs9HgH5ZboZnL7Jq,https://api.spotify.com/v1/audio-analysis/0REQoRjs9HgH5ZboZnL7Jq,159859,4,Stayback,spotify:track:0REQoRjs9HgH5ZboZnL7Jq,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
4,0.752,0.502,0,-10.473,0,0.37,0.452,0.00481,0.085,0.652,151.628,audio_features,416InP3xkis2tDrFc8soq1,spotify:track:416InP3xkis2tDrFc8soq1,https://api.spotify.com/v1/tracks/416InP3xkis2tDrFc8soq1,https://api.spotify.com/v1/audio-analysis/416InP3xkis2tDrFc8soq1,102160,4,Hey Boy (feat. Kali Uchis),spotify:track:416InP3xkis2tDrFc8soq1,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
5,0.701,0.854,9,-4.9,0,0.0505,0.31,2.96e-06,0.309,0.542,100.125,audio_features,1tn4LyXEWCtJxwBTzGPimY,spotify:track:1tn4LyXEWCtJxwBTzGPimY,https://api.spotify.com/v1/tracks/1tn4LyXEWCtJxwBTzGPimY,https://api.spotify.com/v1/audio-analysis/1tn4LyXEWCtJxwBTzGPimY,187418,3,Dos Uno Nueve (219),spotify:track:1tn4LyXEWCtJxwBTzGPimY,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
6,0.612,0.565,5,-7.609,1,0.0414,0.585,0.00174,0.0827,0.545,89.895,audio_features,3J1wzTFypi6yWMQsRHqkQs,spotify:track:3J1wzTFypi6yWMQsRHqkQs,https://api.spotify.com/v1/tracks/3J1wzTFypi6yWMQsRHqkQs,https://api.spotify.com/v1/audio-analysis/3J1wzTFypi6yWMQsRHqkQs,183693,4,Useless,spotify:track:3J1wzTFypi6yWMQsRHqkQs,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
7,0.82,0.843,7,-7.222,1,0.327,0.299,0.0,0.127,0.303,84.047,audio_features,70bUS8pEuhzhzZvokHDxhc,spotify:track:70bUS8pEuhzhzZvokHDxhc,https://api.spotify.com/v1/tracks/70bUS8pEuhzhzZvokHDxhc,https://api.spotify.com/v1/audio-analysis/70bUS8pEuhzhzZvokHDxhc,171560,4,Bi Fren,spotify:track:70bUS8pEuhzhzZvokHDxhc,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
8,0.528,0.653,10,-6.965,0,0.0632,0.599,0.0339,0.247,0.592,178.236,audio_features,2KGTVAU0e5zBO1AeS9KxWf,spotify:track:2KGTVAU0e5zBO1AeS9KxWf,https://api.spotify.com/v1/tracks/2KGTVAU0e5zBO1AeS9KxWf,https://api.spotify.com/v1/audio-analysis/2KGTVAU0e5zBO1AeS9KxWf,152067,4,The Two of Us,spotify:track:2KGTVAU0e5zBO1AeS9KxWf,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
9,0.37,0.333,0,-7.516,1,0.0322,0.861,0.0,0.111,0.324,172.814,audio_features,0q0fJWjbiK5DSKCSN1GKsK,spotify:track:0q0fJWjbiK5DSKCSN1GKsK,https://api.spotify.com/v1/tracks/0q0fJWjbiK5DSKCSN1GKsK,https://api.spotify.com/v1/audio-analysis/0q0fJWjbiK5DSKCSN1GKsK,186933,4,Friends,spotify:track:0q0fJWjbiK5DSKCSN1GKsK,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
