,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.213,0.968,9,-1.883,1,0.105,0.00644,4.08e-05,0.979,0.115,103.615,audio_features,0C6nrsfPJh5UgqTZqsSZAA,spotify:track:0C6nrsfPJh5UgqTZqsSZAA,https://api.spotify.com/v1/tracks/0C6nrsfPJh5UgqTZqsSZAA,https://api.spotify.com/v1/audio-analysis/0C6nrsfPJh5UgqTZqsSZAA,244413,4,Just Like a Pill - Live,spotify:track:0C6nrsfPJh5UgqTZqsSZAA,P!nk,1KCSPY1glIKqW2TotWuXOR
1,0.463,0.958,9,-2.834,1,0.0796,0.0101,2.85e-05,0.971,0.269,139.955,audio_features,2QZANFoLXjA75VuDTksaNe,spotify:track:2QZANFoLXjA75VuDTksaNe,https://api.spotify.com/v1/tracks/2QZANFoLXjA75VuDTksaNe,https://api.spotify.com/v1/audio-analysis/2QZANFoLXjA75VuDTksaNe,212640,4,Who Knew - Live,spotify:track:2QZANFoLXjA75VuDTksaNe,P!nk,1KCSPY1glIKqW2TotWuXOR
2,0.554,0.975,11,-3.048,0,0.0731,0.00109,0.000845,0.855,0.44,107.042,audio_features,0XwJmU51QSR9A433dyVo7h,spotify:track:0XwJmU51QSR9A433dyVo7h,https://api.spotify.com/v1/tracks/0XwJmU51QSR9A433dyVo7h,https://api.spotify.com/v1/audio-analysis/0XwJmU51QSR9A433dyVo7h,378227,4,Funhouse/Just A Girl - Live,spotify:track:0XwJmU51QSR9A433dyVo7h,P!nk,1KCSPY1glIKqW2TotWuXOR
3,0.524,0.824,2,-2.577,0,0.0357,0.0339,0.0,0.946,0.268,124.928,audio_features,0oLdc8Y1i7v3j4ja8E6En1,spotify:track:0oLdc8Y1i7v3j4ja8E6En1,https://api.spotify.com/v1/tracks/0oLdc8Y1i7v3j4ja8E6En1,https://api.spotify.com/v1/audio-analysis/0oLdc8Y1i7v3j4ja8E6En1,216587,4,River - Live,spotify:track:0oLdc8Y1i7v3j4ja8E6En1,P!nk,1KCSPY1glIKqW2TotWuXOR
4,0.538,0.813,7,-3.132,1,0.0378,0.0876,0.0,0.94,0.284,95.075,audio_features,2OXizk74od271DGGa6uyaW,spotify:track:2OXizk74od271DGGa6uyaW,https://api.spotify.com/v1/tracks/2OXizk74od271DGGa6uyaW,https://api.spotify.com/v1/audio-analysis/2OXizk74od271DGGa6uyaW,277987,4,Just Give Me a Reason (feat. Nate Ruess) - Live,spotify:track:2OXizk74od271DGGa6uyaW,P!nk,1KCSPY1glIKqW2TotWuXOR
5,0.564,0.335,2,-7.462,1,0.0251,0.828,0.0,0.601,0.236,100.177,audio_features,5P8I0Sk0YoMOrNrwF1fK7P,spotify:track:5P8I0Sk0YoMOrNrwF1fK7P,https://api.spotify.com/v1/tracks/5P8I0Sk0YoMOrNrwF1fK7P,https://api.spotify.com/v1/audio-analysis/5P8I0Sk0YoMOrNrwF1fK7P,206147,4,Time After Time - Live,spotify:track:5P8I0Sk0YoMOrNrwF1fK7P,P!nk,1KCSPY1glIKqW2TotWuXOR
6,0.511,0.976,5,-2.374,1,0.0987,0.187,0.0,0.905,0.308,136.991,audio_features,4kHKFXk2xfTfdoATXnn1Oa,spotify:track:4kHKFXk2xfTfdoATXnn1Oa,https://api.spotify.com/v1/tracks/4kHKFXk2xfTfdoATXnn1Oa,https://api.spotify.com/v1/audio-analysis/4kHKFXk2xfTfdoATXnn1Oa,328000,4,I Am Here - Live,spotify:track:4kHKFXk2xfTfdoATXnn1Oa,P!nk,1KCSPY1glIKqW2TotWuXOR
7,0.404,0.914,7,-3.043,1,0.096,0.0418,0.0,0.981,0.366,91.944,audio_features,74P8r5EATmn7hFbxbbF4NW,spotify:track:74P8r5EATmn7hFbxbbF4NW,https://api.spotify.com/v1/tracks/74P8r5EATmn7hFbxbbF4NW,https://api.spotify.com/v1/audio-analysis/74P8r5EATmn7hFbxbbF4NW,243333,4,F**kin' Perfect - Live,spotify:track:74P8r5EATmn7hFbxbbF4NW,P!nk,1KCSPY1glIKqW2TotWuXOR
8,0.501,0.699,8,-9.728,0,0.658,0.885,0.0,0.956,0.269,80.702,audio_features,5yZJWgQe7BYbwLEPSp0eJc,spotify:track:5yZJWgQe7BYbwLEPSp0eJc,https://api.spotify.com/v1/tracks/5yZJWgQe7BYbwLEPSp0eJc,https://api.spotify.com/v1/audio-analysis/5yZJWgQe7BYbwLEPSp0eJc,136080,4,MTV Video Vanguard Award Speech,spotify:track:5yZJWgQe7BYbwLEPSp0eJc,P!nk,1KCSPY1glIKqW2TotWuXOR
9,0.365,0.764,8,-4.555,1,0.102,0.199,0.0,0.978,0.371,114.143,audio_features,55J7uEpBLrNgkNTC9KodQZ,spotify:track:55J7uEpBLrNgkNTC9KodQZ,https://api.spotify.com/v1/tracks/55J7uEpBLrNgkNTC9KodQZ,https://api.spotify.com/v1/audio-analysis/55J7uEpBLrNgkNTC9KodQZ,450573,4,Cash Cash Remix intro/What About Us - Live,spotify:track:55J7uEpBLrNgkNTC9KodQZ,P!nk,1KCSPY1glIKqW2TotWuXOR
10,0.473,0.592,5,-6.859,1,0.138,0.0528,0.0,0.131,0.292,159.7,audio_features,4vGQwZBwmeYuNn6BPUWjlt,spotify:track:4vGQwZBwmeYuNn6BPUWjlt,https://api.spotify.com/v1/tracks/4vGQwZBwmeYuNn6BPUWjlt,https://api.spotify.com/v1/audio-analysis/4vGQwZBwmeYuNn6BPUWjlt,138573,4,Cover Me In Sunshine,spotify:track:4vGQwZBwmeYuNn6BPUWjlt,P!nk,1KCSPY1glIKqW2TotWuXOR
11,0.575,0.638,4,-5.747,1,0.0365,0.0533,0.0,0.0979,0.295,107.946,audio_features,2OmNeyXVpnTpoDaqIaOnMA,spotify:track:2OmNeyXVpnTpoDaqIaOnMA,https://api.spotify.com/v1/tracks/2OmNeyXVpnTpoDaqIaOnMA,https://api.spotify.com/v1/audio-analysis/2OmNeyXVpnTpoDaqIaOnMA,280276,4,All I Know So Far,spotify:track:2OmNeyXVpnTpoDaqIaOnMA,P!nk,1KCSPY1glIKqW2TotWuXOR
12,0.265,0.661,10,-5.749,1,0.0366,0.0948,1.07e-05,0.702,0.249,154.083,audio_features,5jnxScfRVyWskdfPGjTF7c,spotify:track:5jnxScfRVyWskdfPGjTF7c,https://api.spotify.com/v1/tracks/5jnxScfRVyWskdfPGjTF7c,https://api.spotify.com/v1/audio-analysis/5jnxScfRVyWskdfPGjTF7c,349747,4,Bohemian Rhapsody - Live,spotify:track:5jnxScfRVyWskdfPGjTF7c,P!nk,1KCSPY1glIKqW2TotWuXOR
13,0.221,0.84,10,-4.547,1,0.0471,0.132,0.000797,0.74,0.143,91.837,audio_features,5ckOpe6IlaKJe6PNHEoHWX,spotify:track:5ckOpe6IlaKJe6PNHEoHWX,https://api.spotify.com/v1/tracks/5ckOpe6IlaKJe6PNHEoHWX,https://api.spotify.com/v1/audio-analysis/5ckOpe6IlaKJe6PNHEoHWX,96267,3,We Are The Champions - Live,spotify:track:5ckOpe6IlaKJe6PNHEoHWX,P!nk,1KCSPY1glIKqW2TotWuXOR
14,0.488,0.983,2,-2.26,1,0.0538,0.000205,0.000264,0.991,0.284,125.957,audio_features,5cDi9DqOYhof1pVGPL9UkC,spotify:track:5cDi9DqOYhof1pVGPL9UkC,https://api.spotify.com/v1/tracks/5cDi9DqOYhof1pVGPL9UkC,https://api.spotify.com/v1/audio-analysis/5cDi9DqOYhof1pVGPL9UkC,413693,4,So What - Live,spotify:track:5cDi9DqOYhof1pVGPL9UkC,P!nk,1KCSPY1glIKqW2TotWuXOR
15,0.724,0.813,9,-5.083,0,0.334,0.0564,0.0,0.0842,0.559,97.038,audio_features,6TQSdD4LmZyM8fFB51m3nL,spotify:track:6TQSdD4LmZyM8fFB51m3nL,https://api.spotify.com/v1/tracks/6TQSdD4LmZyM8fFB51m3nL,https://api.spotify.com/v1/audio-analysis/6TQSdD4LmZyM8fFB51m3nL,175600,4,Hustle,spotify:track:6TQSdD4LmZyM8fFB51m3nL,P!nk,1KCSPY1glIKqW2TotWuXOR
16,0.699,0.767,10,-4.402,1,0.0514,0.0466,0.000157,0.127,0.454,104.081,audio_features,6fgOlbYSdvp9n039CYc8cn,spotify:track:6fgOlbYSdvp9n039CYc8cn,https://api.spotify.com/v1/tracks/6fgOlbYSdvp9n039CYc8cn,https://api.spotify.com/v1/audio-analysis/6fgOlbYSdvp9n039CYc8cn,203147,4,(Hey Why) Miss You Sometime,spotify:track:6fgOlbYSdvp9n039CYc8cn,P!nk,1KCSPY1glIKqW2TotWuXOR
17,0.652,0.453,1,-6.119,1,0.0445,0.0519,0.0,0.179,0.432,88.038,audio_features,6jfEZdUJ2Yla6h7gTJgKuo,spotify:track:6jfEZdUJ2Yla6h7gTJgKuo,https://api.spotify.com/v1/tracks/6jfEZdUJ2Yla6h7gTJgKuo,https://api.spotify.com/v1/audio-analysis/6jfEZdUJ2Yla6h7gTJgKuo,177391,3,Walk Me Home,spotify:track:6jfEZdUJ2Yla6h7gTJgKuo,P!nk,1KCSPY1glIKqW2TotWuXOR
18,0.65,0.709,7,-7.146,1,0.124,0.0355,4.83e-06,0.137,0.164,103.966,audio_features,6BoGECI8eEAII2fjOV88He,spotify:track:6BoGECI8eEAII2fjOV88He,https://api.spotify.com/v1/tracks/6BoGECI8eEAII2fjOV88He,https://api.spotify.com/v1/audio-analysis/6BoGECI8eEAII2fjOV88He,182333,4,My Attic,spotify:track:6BoGECI8eEAII2fjOV88He,P!nk,1KCSPY1glIKqW2TotWuXOR
19,0.657,0.377,7,-5.398,0,0.0721,0.774,0.0,0.109,0.366,66.132,audio_features,4AGXxDQjRWTimOdvt6BtZF,spotify:track:4AGXxDQjRWTimOdvt6BtZF,https://api.spotify.com/v1/tracks/4AGXxDQjRWTimOdvt6BtZF,https://api.spotify.com/v1/audio-analysis/4AGXxDQjRWTimOdvt6BtZF,230853,4,90 Days (feat. Wrabel),spotify:track:4AGXxDQjRWTimOdvt6BtZF,P!nk,1KCSPY1glIKqW2TotWuXOR
20,0.463,0.62,7,-5.647,1,0.167,0.131,0.0,0.0619,0.158,83.031,audio_features,2BM7nF0pMIpLQOT04o691Z,spotify:track:2BM7nF0pMIpLQOT04o691Z,https://api.spotify.com/v1/tracks/2BM7nF0pMIpLQOT04o691Z,https://api.spotify.com/v1/audio-analysis/2BM7nF0pMIpLQOT04o691Z,202640,1,Hurts 2B Human (feat. Khalid),spotify:track:2BM7nF0pMIpLQOT04o691Z,P!nk,1KCSPY1glIKqW2TotWuXOR
21,0.524,0.806,1,-3.447,0,0.406,0.197,0.0,0.101,0.45,115.172,audio_features,7GfKD5B7fVAzUgDvqAIbSL,spotify:track:7GfKD5B7fVAzUgDvqAIbSL,https://api.spotify.com/v1/tracks/7GfKD5B7fVAzUgDvqAIbSL,https://api.spotify.com/v1/audio-analysis/7GfKD5B7fVAzUgDvqAIbSL,224360,4,Can We Pretend (feat. Cash Cash),spotify:track:7GfKD5B7fVAzUgDvqAIbSL,P!nk,1KCSPY1glIKqW2TotWuXOR
22,0.511,0.913,0,-4.657,1,0.109,0.00153,0.0,0.111,0.338,92.05,audio_features,3wNPirSnPtlJOS2PSBQGqG,spotify:track:3wNPirSnPtlJOS2PSBQGqG,https://api.spotify.com/v1/tracks/3wNPirSnPtlJOS2PSBQGqG,https://api.spotify.com/v1/audio-analysis/3wNPirSnPtlJOS2PSBQGqG,259440,4,Courage,spotify:track:3wNPirSnPtlJOS2PSBQGqG,P!nk,1KCSPY1glIKqW2TotWuXOR
23,0.645,0.502,11,-6.932,1,0.053,0.0163,0.0,0.0644,0.328,135.926,audio_features,45ThktsHkQGbCQQDkSzI3s,spotify:track:45ThktsHkQGbCQQDkSzI3s,https://api.spotify.com/v1/tracks/45ThktsHkQGbCQQDkSzI3s,https://api.spotify.com/v1/audio-analysis/45ThktsHkQGbCQQDkSzI3s,181720,4,Happy,spotify:track:45ThktsHkQGbCQQDkSzI3s,P!nk,1KCSPY1glIKqW2TotWuXOR
24,0.688,0.836,8,-3.464,1,0.0474,0.0147,0.0,0.102,0.699,130.026,audio_features,4J46tS7XglXAakeKCFLePh,spotify:track:4J46tS7XglXAakeKCFLePh,https://api.spotify.com/v1/tracks/4J46tS7XglXAakeKCFLePh,https://api.spotify.com/v1/audio-analysis/4J46tS7XglXAakeKCFLePh,273333,4,We Could Have It All,spotify:track:4J46tS7XglXAakeKCFLePh,P!nk,1KCSPY1glIKqW2TotWuXOR
25,0.368,0.321,3,-5.904,1,0.0272,0.769,0.0,0.135,0.0673,139.001,audio_features,4Kmp7D3Gg95xv5dzg2mPMq,spotify:track:4Kmp7D3Gg95xv5dzg2mPMq,https://api.spotify.com/v1/tracks/4Kmp7D3Gg95xv5dzg2mPMq,https://api.spotify.com/v1/audio-analysis/4Kmp7D3Gg95xv5dzg2mPMq,188120,4,Love Me Anyway (feat. Chris Stapleton),spotify:track:4Kmp7D3Gg95xv5dzg2mPMq,P!nk,1KCSPY1glIKqW2TotWuXOR
26,0.415,0.364,7,-7.065,1,0.0576,0.814,0.0,0.0611,0.149,92.853,audio_features,3U0bZHXECn3AvCRfgzsWQU,spotify:track:3U0bZHXECn3AvCRfgzsWQU,https://api.spotify.com/v1/tracks/3U0bZHXECn3AvCRfgzsWQU,https://api.spotify.com/v1/audio-analysis/3U0bZHXECn3AvCRfgzsWQU,294440,3,Circle Game,spotify:track:3U0bZHXECn3AvCRfgzsWQU,P!nk,1KCSPY1glIKqW2TotWuXOR
27,0.529,0.257,2,-7.426,1,0.0311,0.611,0.0,0.113,0.16,120.083,audio_features,5zbpdOuaFibWW4MH0PCchl,spotify:track:5zbpdOuaFibWW4MH0PCchl,https://api.spotify.com/v1/tracks/5zbpdOuaFibWW4MH0PCchl,https://api.spotify.com/v1/audio-analysis/5zbpdOuaFibWW4MH0PCchl,233653,4,The Last Song Of Your Life,spotify:track:5zbpdOuaFibWW4MH0PCchl,P!nk,1KCSPY1glIKqW2TotWuXOR
28,0.641,0.624,7,-6.412,1,0.0678,0.0756,3.76e-06,0.387,0.207,95.969,audio_features,2GCCFm4IUNvWLyPEdk5U73,spotify:track:2GCCFm4IUNvWLyPEdk5U73,https://api.spotify.com/v1/tracks/2GCCFm4IUNvWLyPEdk5U73,https://api.spotify.com/v1/audio-analysis/2GCCFm4IUNvWLyPEdk5U73,250053,4,Beautiful Trauma,spotify:track:2GCCFm4IUNvWLyPEdk5U73,P!nk,1KCSPY1glIKqW2TotWuXOR
