,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.62,0.806,6,-7.071,0,0.0387,0.0264,0.101,0.389,0.128,121.992,audio_features,2bbXE41g0xq9l2Pnzz37eM,spotify:track:2bbXE41g0xq9l2Pnzz37eM,https://api.spotify.com/v1/tracks/2bbXE41g0xq9l2Pnzz37eM,https://api.spotify.com/v1/audio-analysis/2bbXE41g0xq9l2Pnzz37eM,255287,4,Dripped in Blue - Original Mix Edit,spotify:track:2bbXE41g0xq9l2Pnzz37eM,Pakka,5ZMVAg4TLKUrkb131bOctY
1,0.614,0.762,6,-8.014,0,0.0367,0.0195,0.886,0.391,0.074,121.997,audio_features,1Cg8vWNOsoNdDiYI7Y1exw,spotify:track:1Cg8vWNOsoNdDiYI7Y1exw,https://api.spotify.com/v1/tracks/1Cg8vWNOsoNdDiYI7Y1exw,https://api.spotify.com/v1/audio-analysis/1Cg8vWNOsoNdDiYI7Y1exw,255287,4,Dripped in Blue - Instrumental Mix Edit,spotify:track:1Cg8vWNOsoNdDiYI7Y1exw,Pakka,5ZMVAg4TLKUrkb131bOctY
2,0.686,0.687,6,-7.83,0,0.048,0.0237,0.363,0.0976,0.324,121.996,audio_features,5fePptWVN0HmleQg4e7Qi1,spotify:track:5fePptWVN0HmleQg4e7Qi1,https://api.spotify.com/v1/tracks/5fePptWVN0HmleQg4e7Qi1,https://api.spotify.com/v1/audio-analysis/5fePptWVN0HmleQg4e7Qi1,383648,4,Dripped in Blue,spotify:track:5fePptWVN0HmleQg4e7Qi1,Pakka,5ZMVAg4TLKUrkb131bOctY
3,0.683,0.675,6,-8.538,0,0.0432,0.0142,0.888,0.128,0.191,121.998,audio_features,0Q8f04NPbzaO75mozOsjpt,spotify:track:0Q8f04NPbzaO75mozOsjpt,https://api.spotify.com/v1/tracks/0Q8f04NPbzaO75mozOsjpt,https://api.spotify.com/v1/audio-analysis/0Q8f04NPbzaO75mozOsjpt,383648,4,Dripped in Blue - Instrumental Mix,spotify:track:0Q8f04NPbzaO75mozOsjpt,Pakka,5ZMVAg4TLKUrkb131bOctY
4,0.58,0.743,2,-9.241,1,0.038,0.00732,0.786,0.0985,0.24,123.99,audio_features,7kjojAMWjhgozayLBViug1,spotify:track:7kjojAMWjhgozayLBViug1,https://api.spotify.com/v1/tracks/7kjojAMWjhgozayLBViug1,https://api.spotify.com/v1/audio-analysis/7kjojAMWjhgozayLBViug1,367757,4,Dust To Dust,spotify:track:7kjojAMWjhgozayLBViug1,Pakka,5ZMVAg4TLKUrkb131bOctY
5,0.709,0.862,10,-5.371,0,0.0823,0.0238,0.828,0.096,0.13,124.059,audio_features,5AeHvffleqtcyDOlqzVdQj,spotify:track:5AeHvffleqtcyDOlqzVdQj,https://api.spotify.com/v1/tracks/5AeHvffleqtcyDOlqzVdQj,https://api.spotify.com/v1/audio-analysis/5AeHvffleqtcyDOlqzVdQj,405000,4,Dust To Dust - Easy Tyger Remix,spotify:track:5AeHvffleqtcyDOlqzVdQj,Pakka,5ZMVAg4TLKUrkb131bOctY
6,0.624,0.687,1,-6.915,0,0.0313,0.00334,0.655,0.107,0.126,123.006,audio_features,6QKELPEjGmymHp7wm3he5l,spotify:track:6QKELPEjGmymHp7wm3he5l,https://api.spotify.com/v1/tracks/6QKELPEjGmymHp7wm3he5l,https://api.spotify.com/v1/audio-analysis/6QKELPEjGmymHp7wm3he5l,302526,4,Dream World - Re-Dreamed Extended Mix,spotify:track:6QKELPEjGmymHp7wm3he5l,Pakka,5ZMVAg4TLKUrkb131bOctY
7,0.698,0.643,6,-13.221,0,0.0427,0.0148,0.744,0.101,0.291,123.989,audio_features,0bUKrTYrp9kYLLCmKdww5r,spotify:track:0bUKrTYrp9kYLLCmKdww5r,https://api.spotify.com/v1/tracks/0bUKrTYrp9kYLLCmKdww5r,https://api.spotify.com/v1/audio-analysis/0bUKrTYrp9kYLLCmKdww5r,313668,4,Dream World - Jope Remix,spotify:track:0bUKrTYrp9kYLLCmKdww5r,Pakka,5ZMVAg4TLKUrkb131bOctY
8,0.737,0.775,6,-5.056,0,0.0433,0.0131,0.0926,0.0818,0.366,126.023,audio_features,0kYCzJfEYBLF6DzoAbAq7Z,spotify:track:0kYCzJfEYBLF6DzoAbAq7Z,https://api.spotify.com/v1/tracks/0kYCzJfEYBLF6DzoAbAq7Z,https://api.spotify.com/v1/audio-analysis/0kYCzJfEYBLF6DzoAbAq7Z,226160,4,Dream World - Mordax Bastards Remix,spotify:track:0kYCzJfEYBLF6DzoAbAq7Z,Pakka,5ZMVAg4TLKUrkb131bOctY
9,0.609,0.832,1,-6.515,0,0.0304,0.0028,0.268,0.385,0.0968,122.991,audio_features,218hHIECRzuIqHFG8Cq5r8,spotify:track:218hHIECRzuIqHFG8Cq5r8,https://api.spotify.com/v1/tracks/218hHIECRzuIqHFG8Cq5r8,https://api.spotify.com/v1/audio-analysis/218hHIECRzuIqHFG8Cq5r8,210543,4,Dream World - Re-Dreamed Radio Mix,spotify:track:218hHIECRzuIqHFG8Cq5r8,Pakka,5ZMVAg4TLKUrkb131bOctY
