,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.598,0.906,7,-3.435,1,0.0447,0.00931,3.95e-05,0.16,0.525,97.007,audio_features,41FCZduFUjoymvDXb6ZviB,spotify:track:41FCZduFUjoymvDXb6ZviB,https://api.spotify.com/v1/tracks/41FCZduFUjoymvDXb6ZviB,https://api.spotify.com/v1/audio-analysis/41FCZduFUjoymvDXb6ZviB,172280,4,Change,spotify:track:41FCZduFUjoymvDXb6ZviB,Pale Waves,0wOej91SVqB1zcYkW6xUtA
1,0.712,0.7,7,-3.272,1,0.0318,0.16,0.0,0.0586,0.723,99.996,audio_features,7t3q3ZixlUHoHM03juk2VJ,spotify:track:7t3q3ZixlUHoHM03juk2VJ,https://api.spotify.com/v1/tracks/7t3q3ZixlUHoHM03juk2VJ,https://api.spotify.com/v1/audio-analysis/7t3q3ZixlUHoHM03juk2VJ,167893,4,Fall to Pieces,spotify:track:7t3q3ZixlUHoHM03juk2VJ,Pale Waves,0wOej91SVqB1zcYkW6xUtA
2,0.522,0.726,4,-4.115,1,0.0383,0.348,5.47e-06,0.148,0.331,161.867,audio_features,0LwJllN73QYBHEBdGUTyEp,spotify:track:0LwJllN73QYBHEBdGUTyEp,https://api.spotify.com/v1/tracks/0LwJllN73QYBHEBdGUTyEp,https://api.spotify.com/v1/audio-analysis/0LwJllN73QYBHEBdGUTyEp,189587,4,She's My Religion,spotify:track:0LwJllN73QYBHEBdGUTyEp,Pale Waves,0wOej91SVqB1zcYkW6xUtA
3,0.405,0.811,8,-3.82,1,0.0528,0.0407,0.000221,0.0727,0.63,175.018,audio_features,5fUnnt23dSx1vVuanwfQhQ,spotify:track:5fUnnt23dSx1vVuanwfQhQ,https://api.spotify.com/v1/tracks/5fUnnt23dSx1vVuanwfQhQ,https://api.spotify.com/v1/audio-analysis/5fUnnt23dSx1vVuanwfQhQ,174333,4,Easy,spotify:track:5fUnnt23dSx1vVuanwfQhQ,Pale Waves,0wOej91SVqB1zcYkW6xUtA
4,0.633,0.723,4,-5.321,1,0.0253,0.039,1.64e-06,0.364,0.421,104.019,audio_features,0ZdgF9lRRLBNNneR6ZQwr2,spotify:track:0ZdgF9lRRLBNNneR6ZQwr2,https://api.spotify.com/v1/tracks/0ZdgF9lRRLBNNneR6ZQwr2,https://api.spotify.com/v1/audio-analysis/0ZdgF9lRRLBNNneR6ZQwr2,161320,4,Wish U Were Here,spotify:track:0ZdgF9lRRLBNNneR6ZQwr2,Pale Waves,0wOej91SVqB1zcYkW6xUtA
5,0.52,0.937,5,-1.943,1,0.0606,0.0128,0.0,0.315,0.416,144.059,audio_features,7djIHhS6Rg5Cor0OVmNLpH,spotify:track:7djIHhS6Rg5Cor0OVmNLpH,https://api.spotify.com/v1/tracks/7djIHhS6Rg5Cor0OVmNLpH,https://api.spotify.com/v1/audio-analysis/7djIHhS6Rg5Cor0OVmNLpH,157373,4,Tomorrow,spotify:track:7djIHhS6Rg5Cor0OVmNLpH,Pale Waves,0wOej91SVqB1zcYkW6xUtA
6,0.503,0.888,1,-2.914,0,0.0368,0.000164,8.26e-05,0.345,0.452,170.067,audio_features,6OlUobd7pMI0XVWflcetU8,spotify:track:6OlUobd7pMI0XVWflcetU8,https://api.spotify.com/v1/tracks/6OlUobd7pMI0XVWflcetU8,https://api.spotify.com/v1/audio-analysis/6OlUobd7pMI0XVWflcetU8,196200,4,You Don't Own Me,spotify:track:6OlUobd7pMI0XVWflcetU8,Pale Waves,0wOej91SVqB1zcYkW6xUtA
7,0.623,0.872,2,-3.64,1,0.0402,0.0419,0.00123,0.103,0.653,140.123,audio_features,3lqm790H1ZQlMid2mvChDn,spotify:track:3lqm790H1ZQlMid2mvChDn,https://api.spotify.com/v1/tracks/3lqm790H1ZQlMid2mvChDn,https://api.spotify.com/v1/audio-analysis/3lqm790H1ZQlMid2mvChDn,186387,4,I Just Needed You,spotify:track:3lqm790H1ZQlMid2mvChDn,Pale Waves,0wOej91SVqB1zcYkW6xUtA
8,0.297,0.565,5,-4.17,1,0.0365,0.559,0.0,0.162,0.223,83.72,audio_features,1ymADEesY3hx4rBSPd5c1J,spotify:track:1ymADEesY3hx4rBSPd5c1J,https://api.spotify.com/v1/tracks/1ymADEesY3hx4rBSPd5c1J,https://api.spotify.com/v1/audio-analysis/1ymADEesY3hx4rBSPd5c1J,181893,3,Odd Ones Out,spotify:track:1ymADEesY3hx4rBSPd5c1J,Pale Waves,0wOej91SVqB1zcYkW6xUtA
9,0.441,0.931,6,-2.379,1,0.0382,0.0116,0.0,0.074,0.404,167.946,audio_features,67s7JuuQlWvknhwArBcBM9,spotify:track:67s7JuuQlWvknhwArBcBM9,https://api.spotify.com/v1/tracks/67s7JuuQlWvknhwArBcBM9,https://api.spotify.com/v1/audio-analysis/67s7JuuQlWvknhwArBcBM9,165967,4,Run To,spotify:track:67s7JuuQlWvknhwArBcBM9,Pale Waves,0wOej91SVqB1zcYkW6xUtA
10,0.628,0.332,4,-6.477,1,0.0297,0.682,0.0,0.1,0.114,124.046,audio_features,3tdRZ2pkNUide5Eolvr5yZ,spotify:track:3tdRZ2pkNUide5Eolvr5yZ,https://api.spotify.com/v1/tracks/3tdRZ2pkNUide5Eolvr5yZ,https://api.spotify.com/v1/audio-analysis/3tdRZ2pkNUide5Eolvr5yZ,271133,4,Who Am I?,spotify:track:3tdRZ2pkNUide5Eolvr5yZ,Pale Waves,0wOej91SVqB1zcYkW6xUtA
11,0.569,0.827,7,-4.741,1,0.03,0.00071,0.0392,0.14,0.148,126.015,audio_features,0xjVzfcuAmVgHjGlKuCf0V,spotify:track:0xjVzfcuAmVgHjGlKuCf0V,https://api.spotify.com/v1/tracks/0xjVzfcuAmVgHjGlKuCf0V,https://api.spotify.com/v1/audio-analysis/0xjVzfcuAmVgHjGlKuCf0V,180803,4,Eighteen,spotify:track:0xjVzfcuAmVgHjGlKuCf0V,Pale Waves,0wOej91SVqB1zcYkW6xUtA
12,0.486,0.869,2,-4.013,1,0.0451,0.000237,2.59e-05,0.0983,0.115,121.869,audio_features,7x340DZyQlxuXZOsBHT7kd,spotify:track:7x340DZyQlxuXZOsBHT7kd,https://api.spotify.com/v1/tracks/7x340DZyQlxuXZOsBHT7kd,https://api.spotify.com/v1/audio-analysis/7x340DZyQlxuXZOsBHT7kd,230928,4,There's a Honey,spotify:track:7x340DZyQlxuXZOsBHT7kd,Pale Waves,0wOej91SVqB1zcYkW6xUtA
13,0.52,0.681,0,-4.647,1,0.0258,0.000155,0.000357,0.166,0.171,100.976,audio_features,5Y6md8wUw4g1iTJQRG2RiQ,spotify:track:5Y6md8wUw4g1iTJQRG2RiQ,https://api.spotify.com/v1/tracks/5Y6md8wUw4g1iTJQRG2RiQ,https://api.spotify.com/v1/audio-analysis/5Y6md8wUw4g1iTJQRG2RiQ,246714,4,Noises,spotify:track:5Y6md8wUw4g1iTJQRG2RiQ,Pale Waves,0wOej91SVqB1zcYkW6xUtA
14,0.553,0.792,0,-4.72,1,0.0576,0.0127,0.0834,0.13,0.287,126.056,audio_features,4NO6gML7zOPWTdFMwUuF6H,spotify:track:4NO6gML7zOPWTdFMwUuF6H,https://api.spotify.com/v1/tracks/4NO6gML7zOPWTdFMwUuF6H,https://api.spotify.com/v1/audio-analysis/4NO6gML7zOPWTdFMwUuF6H,183845,4,Came in Close,spotify:track:4NO6gML7zOPWTdFMwUuF6H,Pale Waves,0wOej91SVqB1zcYkW6xUtA
15,0.564,0.831,0,-4.061,1,0.0388,0.00254,5.65e-05,0.0658,0.426,106.013,audio_features,6CtLGKThn0G5WXGHGH7FUd,spotify:track:6CtLGKThn0G5WXGHGH7FUd,https://api.spotify.com/v1/tracks/6CtLGKThn0G5WXGHGH7FUd,https://api.spotify.com/v1/audio-analysis/6CtLGKThn0G5WXGHGH7FUd,184483,4,Loveless Girl,spotify:track:6CtLGKThn0G5WXGHGH7FUd,Pale Waves,0wOej91SVqB1zcYkW6xUtA
16,0.483,0.922,6,-4.156,1,0.0514,2.63e-05,0.000541,0.0481,0.161,104.989,audio_features,6RlL0UxscL4EMAKpQmT7p4,spotify:track:6RlL0UxscL4EMAKpQmT7p4,https://api.spotify.com/v1/tracks/6RlL0UxscL4EMAKpQmT7p4,https://api.spotify.com/v1/audio-analysis/6RlL0UxscL4EMAKpQmT7p4,254791,4,Drive,spotify:track:6RlL0UxscL4EMAKpQmT7p4,Pale Waves,0wOej91SVqB1zcYkW6xUtA
17,0.412,0.66,3,-4.233,1,0.0337,0.00589,1.14e-05,0.106,0.153,119.141,audio_features,2DYvkEHX3euVePxMuTCdz6,spotify:track:2DYvkEHX3euVePxMuTCdz6,https://api.spotify.com/v1/tracks/2DYvkEHX3euVePxMuTCdz6,https://api.spotify.com/v1/audio-analysis/2DYvkEHX3euVePxMuTCdz6,237344,4,When Did I Lose It All?,spotify:track:2DYvkEHX3euVePxMuTCdz6,Pale Waves,0wOej91SVqB1zcYkW6xUtA
