,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.507,0.788,8,-5.129,1,0.0558,0.000605,7.81e-06,0.135,0.583,144.097,audio_features,11OP4yHKHbmW1ssim6Xwg5,spotify:track:11OP4yHKHbmW1ssim6Xwg5,https://api.spotify.com/v1/tracks/11OP4yHKHbmW1ssim6Xwg5,https://api.spotify.com/v1/audio-analysis/11OP4yHKHbmW1ssim6Xwg5,209032,4,Home is Where the Heart Is,spotify:track:11OP4yHKHbmW1ssim6Xwg5,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
1,0.544,0.913,1,-4.144,1,0.0511,0.00326,0.0,0.253,0.76,150.03,audio_features,4IG9m8BfwmX7pCeVROLDpp,spotify:track:4IG9m8BfwmX7pCeVROLDpp,https://api.spotify.com/v1/tracks/4IG9m8BfwmX7pCeVROLDpp,https://api.spotify.com/v1/audio-analysis/4IG9m8BfwmX7pCeVROLDpp,218309,4,Late Night Lost Love,spotify:track:4IG9m8BfwmX7pCeVROLDpp,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
2,0.456,0.806,0,-5.128,1,0.0306,0.0076,1.55e-05,0.0454,0.7,180.027,audio_features,1kW6vMkMUGyvAefDYioS5q,spotify:track:1kW6vMkMUGyvAefDYioS5q,https://api.spotify.com/v1/tracks/1kW6vMkMUGyvAefDYioS5q,https://api.spotify.com/v1/audio-analysis/1kW6vMkMUGyvAefDYioS5q,255317,4,Tired of Loving You,spotify:track:1kW6vMkMUGyvAefDYioS5q,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
3,0.505,0.941,11,-4.989,1,0.0518,0.00417,5.62e-05,0.184,0.495,136.954,audio_features,3CtdecHuKWIDE7bras7Kne,spotify:track:3CtdecHuKWIDE7bras7Kne,https://api.spotify.com/v1/tracks/3CtdecHuKWIDE7bras7Kne,https://api.spotify.com/v1/audio-analysis/3CtdecHuKWIDE7bras7Kne,207773,4,Tomorrow,spotify:track:3CtdecHuKWIDE7bras7Kne,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
4,0.489,0.919,6,-4.934,0,0.0543,0.000372,5.15e-06,0.0653,0.415,176.942,audio_features,1ComyGLPB1zuJKeHlP9OrQ,spotify:track:1ComyGLPB1zuJKeHlP9OrQ,https://api.spotify.com/v1/tracks/1ComyGLPB1zuJKeHlP9OrQ,https://api.spotify.com/v1/audio-analysis/1ComyGLPB1zuJKeHlP9OrQ,252035,3,The Back Seat,spotify:track:1ComyGLPB1zuJKeHlP9OrQ,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
5,0.524,0.701,8,-5.749,1,0.0335,0.0571,0.000527,0.124,0.37,133.993,audio_features,4BeiTQ8w6u8Z1WJt91Y6I4,spotify:track:4BeiTQ8w6u8Z1WJt91Y6I4,https://api.spotify.com/v1/tracks/4BeiTQ8w6u8Z1WJt91Y6I4,https://api.spotify.com/v1/audio-analysis/4BeiTQ8w6u8Z1WJt91Y6I4,255009,4,I Can't Keep up with Your Love,spotify:track:4BeiTQ8w6u8Z1WJt91Y6I4,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
6,0.623,0.752,9,-5.051,1,0.0324,0.00116,2.01e-05,0.0442,0.439,120.045,audio_features,0s5BBphTGyjqHDo85RktIX,spotify:track:0s5BBphTGyjqHDo85RktIX,https://api.spotify.com/v1/tracks/0s5BBphTGyjqHDo85RktIX,https://api.spotify.com/v1/audio-analysis/0s5BBphTGyjqHDo85RktIX,212819,4,Twenty Two,spotify:track:0s5BBphTGyjqHDo85RktIX,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
7,0.434,0.918,9,-2.971,0,0.0371,5.34e-05,6.45e-06,0.0553,0.371,138.033,audio_features,2oIyMJAizS0Ls6EMulGZ5g,spotify:track:2oIyMJAizS0Ls6EMulGZ5g,https://api.spotify.com/v1/tracks/2oIyMJAizS0Ls6EMulGZ5g,https://api.spotify.com/v1/audio-analysis/2oIyMJAizS0Ls6EMulGZ5g,201746,4,You Haven't Loved Until You've Lost,spotify:track:2oIyMJAizS0Ls6EMulGZ5g,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
8,0.526,0.795,9,-5.598,1,0.0317,0.000373,0.000306,0.099,0.444,125.048,audio_features,7s6gRfwwSsJD9fhGRECin3,spotify:track:7s6gRfwwSsJD9fhGRECin3,https://api.spotify.com/v1/tracks/7s6gRfwwSsJD9fhGRECin3,https://api.spotify.com/v1/audio-analysis/7s6gRfwwSsJD9fhGRECin3,239233,4,The Mess We Made,spotify:track:7s6gRfwwSsJD9fhGRECin3,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
9,0.471,0.605,8,-8.06,0,0.027,0.0708,0.000294,0.138,0.235,132.193,audio_features,4ycTigZ1gDkUkzCKpMECZX,spotify:track:4ycTigZ1gDkUkzCKpMECZX,https://api.spotify.com/v1/tracks/4ycTigZ1gDkUkzCKpMECZX,https://api.spotify.com/v1/audio-analysis/4ycTigZ1gDkUkzCKpMECZX,304396,4,Goodbye,spotify:track:4ycTigZ1gDkUkzCKpMECZX,Paris Youth Foundation,0VbV5uXwfAeHwknldpuAYa
