,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.409,0.51,0,-10.333,0,0.0307,0.205,0.0918,0.0813,0.138,137.19,audio_features,5P99Kx9vAKV6XWIk6Wl9D0,spotify:track:5P99Kx9vAKV6XWIk6Wl9D0,https://api.spotify.com/v1/tracks/5P99Kx9vAKV6XWIk6Wl9D0,https://api.spotify.com/v1/audio-analysis/5P99Kx9vAKV6XWIk6Wl9D0,415746,4,Wind Up Bird,spotify:track:5P99Kx9vAKV6XWIk6Wl9D0,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
1,0.265,0.259,9,-13.161,0,0.0321,0.951,0.0569,0.103,0.118,75.286,audio_features,5HM97cVYWsbEQuSTr8lwMD,spotify:track:5HM97cVYWsbEQuSTr8lwMD,https://api.spotify.com/v1/tracks/5HM97cVYWsbEQuSTr8lwMD,https://api.spotify.com/v1/audio-analysis/5HM97cVYWsbEQuSTr8lwMD,176459,4,The Bats in Your Hair,spotify:track:5HM97cVYWsbEQuSTr8lwMD,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
2,0.453,0.336,7,-11.852,1,0.0278,0.92,0.0518,0.108,0.0712,133.104,audio_features,11vEmTK20KK641SqUCm31x,spotify:track:11vEmTK20KK641SqUCm31x,https://api.spotify.com/v1/tracks/11vEmTK20KK641SqUCm31x,https://api.spotify.com/v1/audio-analysis/11vEmTK20KK641SqUCm31x,239367,3,At the Bottom of the Hill,spotify:track:11vEmTK20KK641SqUCm31x,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
3,0.312,0.258,7,-13.039,1,0.0305,0.888,0.36,0.111,0.159,103.775,audio_features,7u5c0sDTq3QTIFgTaoB51d,spotify:track:7u5c0sDTq3QTIFgTaoB51d,https://api.spotify.com/v1/tracks/7u5c0sDTq3QTIFgTaoB51d,https://api.spotify.com/v1/audio-analysis/7u5c0sDTq3QTIFgTaoB51d,267302,5,I Never Saw It Coming,spotify:track:7u5c0sDTq3QTIFgTaoB51d,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
4,0.588,0.449,11,-11.733,1,0.0314,0.767,0.0215,0.115,0.63,118.659,audio_features,6ac8bm5qW7xUi9mWDXTmpF,spotify:track:6ac8bm5qW7xUi9mWDXTmpF,https://api.spotify.com/v1/tracks/6ac8bm5qW7xUi9mWDXTmpF,https://api.spotify.com/v1/audio-analysis/6ac8bm5qW7xUi9mWDXTmpF,262838,3,If Only Bad Things Could Happen,spotify:track:6ac8bm5qW7xUi9mWDXTmpF,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
5,0.274,0.203,4,-17.559,1,0.0345,0.86,0.00486,0.0757,0.273,139.439,audio_features,4uRONpmXWVaNL7rd5UQsL3,spotify:track:4uRONpmXWVaNL7rd5UQsL3,https://api.spotify.com/v1/tracks/4uRONpmXWVaNL7rd5UQsL3,https://api.spotify.com/v1/audio-analysis/4uRONpmXWVaNL7rd5UQsL3,182618,3,Lola or Lolita,spotify:track:4uRONpmXWVaNL7rd5UQsL3,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
6,0.481,0.231,10,-14.281,1,0.0319,0.869,0.0596,0.116,0.0695,112.837,audio_features,1pP9iQlnriyx1qfNPjkZ33,spotify:track:1pP9iQlnriyx1qfNPjkZ33,https://api.spotify.com/v1/tracks/1pP9iQlnriyx1qfNPjkZ33,https://api.spotify.com/v1/audio-analysis/1pP9iQlnriyx1qfNPjkZ33,225315,3,Did You Lose Your Silver Mind in Nevada,spotify:track:1pP9iQlnriyx1qfNPjkZ33,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
7,0.266,0.45,11,-10.893,0,0.0388,0.81,0.483,0.0913,0.15,82.278,audio_features,7hhvQYMn5ab0r8l420rn02,spotify:track:7hhvQYMn5ab0r8l420rn02,https://api.spotify.com/v1/tracks/7hhvQYMn5ab0r8l420rn02,https://api.spotify.com/v1/audio-analysis/7hhvQYMn5ab0r8l420rn02,295819,4,I Can't Complain,spotify:track:7hhvQYMn5ab0r8l420rn02,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
8,0.216,0.425,10,-10.891,1,0.0309,0.736,0.723,0.171,0.104,133.191,audio_features,0zCiugbv1x55qrfs8Iv5Ad,spotify:track:0zCiugbv1x55qrfs8Iv5Ad,https://api.spotify.com/v1/tracks/0zCiugbv1x55qrfs8Iv5Ad,https://api.spotify.com/v1/audio-analysis/0zCiugbv1x55qrfs8Iv5Ad,274432,4,Meet Me at the Avalanche,spotify:track:0zCiugbv1x55qrfs8Iv5Ad,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
9,0.588,0.449,11,-11.733,1,0.0314,0.767,0.0215,0.115,0.63,118.659,audio_features,2hW7vRFqFOuY73zwZQrtpA,spotify:track:2hW7vRFqFOuY73zwZQrtpA,https://api.spotify.com/v1/tracks/2hW7vRFqFOuY73zwZQrtpA,https://api.spotify.com/v1/audio-analysis/2hW7vRFqFOuY73zwZQrtpA,262838,3,If Only Bad Things Could Happen,spotify:track:2hW7vRFqFOuY73zwZQrtpA,Pet Deaths,3iPEsc0kMbbEZTeffKAa3x
