,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.651,0.603,1,-8.866,1,0.156,0.00784,0.0221,0.78,0.11,146.062,audio_features,4APEMyyHOHZbutuFCYRk0g,spotify:track:4APEMyyHOHZbutuFCYRk0g,https://api.spotify.com/v1/tracks/4APEMyyHOHZbutuFCYRk0g,https://api.spotify.com/v1/audio-analysis/4APEMyyHOHZbutuFCYRk0g,152500,4,Bricks,spotify:track:4APEMyyHOHZbutuFCYRk0g,Poetics,6sdgbah9YMIS5jSYdyzpBP
1,0.882,0.539,1,-6.87,1,0.289,0.0172,2.84e-06,0.299,0.467,145.001,audio_features,7n3jf3w2dGGkrKHHMaksIS,spotify:track:7n3jf3w2dGGkrKHHMaksIS,https://api.spotify.com/v1/tracks/7n3jf3w2dGGkrKHHMaksIS,https://api.spotify.com/v1/audio-analysis/7n3jf3w2dGGkrKHHMaksIS,150000,4,Narcoleptik (feat. KMO Shamaal),spotify:track:7n3jf3w2dGGkrKHHMaksIS,Poetics,6sdgbah9YMIS5jSYdyzpBP
2,0.788,0.676,8,-6.647,1,0.18,0.0319,9.65e-06,0.36,0.481,128.099,audio_features,2BDpU88aV1moUUClQqo0Yt,spotify:track:2BDpU88aV1moUUClQqo0Yt,https://api.spotify.com/v1/tracks/2BDpU88aV1moUUClQqo0Yt,https://api.spotify.com/v1/audio-analysis/2BDpU88aV1moUUClQqo0Yt,122000,4,Salt,spotify:track:2BDpU88aV1moUUClQqo0Yt,Poetics,6sdgbah9YMIS5jSYdyzpBP
3,0.696,0.727,7,-9.485,0,0.042,0.14,0.0,0.26,0.378,139.946,audio_features,2NrO2kuuSGV5ZJCaCj2x1A,spotify:track:2NrO2kuuSGV5ZJCaCj2x1A,https://api.spotify.com/v1/tracks/2NrO2kuuSGV5ZJCaCj2x1A,https://api.spotify.com/v1/audio-analysis/2NrO2kuuSGV5ZJCaCj2x1A,180000,4,Wrist,spotify:track:2NrO2kuuSGV5ZJCaCj2x1A,Poetics,6sdgbah9YMIS5jSYdyzpBP
4,0.487,0.642,7,-9.422,1,0.358,0.0662,0.0,0.118,0.254,82.706,audio_features,4SgTfMR9IlKmO08Eg9WoWF,spotify:track:4SgTfMR9IlKmO08Eg9WoWF,https://api.spotify.com/v1/tracks/4SgTfMR9IlKmO08Eg9WoWF,https://api.spotify.com/v1/audio-analysis/4SgTfMR9IlKmO08Eg9WoWF,121000,4,Magic,spotify:track:4SgTfMR9IlKmO08Eg9WoWF,Poetics,6sdgbah9YMIS5jSYdyzpBP
5,0.561,0.511,1,-9.986,1,0.112,0.00128,0.0,0.129,0.0886,151.88,audio_features,6N4EsYRhluWoHvz20oGb1R,spotify:track:6N4EsYRhluWoHvz20oGb1R,https://api.spotify.com/v1/tracks/6N4EsYRhluWoHvz20oGb1R,https://api.spotify.com/v1/audio-analysis/6N4EsYRhluWoHvz20oGb1R,168500,4,I Made It (feat. Xay Hill),spotify:track:6N4EsYRhluWoHvz20oGb1R,Poetics,6sdgbah9YMIS5jSYdyzpBP
6,0.693,0.816,7,-7.753,1,0.184,0.0499,1.13e-06,0.317,0.71,85.023,audio_features,2Uxd6hrz8giGvOr1WFBJtP,spotify:track:2Uxd6hrz8giGvOr1WFBJtP,https://api.spotify.com/v1/tracks/2Uxd6hrz8giGvOr1WFBJtP,https://api.spotify.com/v1/audio-analysis/2Uxd6hrz8giGvOr1WFBJtP,153500,4,Loco,spotify:track:2Uxd6hrz8giGvOr1WFBJtP,Poetics,6sdgbah9YMIS5jSYdyzpBP
7,0.718,0.124,8,-21.839,0,0.0529,0.893,0.935,0.12,0.327,140.055,audio_features,2N7ke1f6fV4fzR6MRv6sqZ,spotify:track:2N7ke1f6fV4fzR6MRv6sqZ,https://api.spotify.com/v1/tracks/2N7ke1f6fV4fzR6MRv6sqZ,https://api.spotify.com/v1/audio-analysis/2N7ke1f6fV4fzR6MRv6sqZ,96009,4,Majinbuu94,spotify:track:2N7ke1f6fV4fzR6MRv6sqZ,Poetics,6sdgbah9YMIS5jSYdyzpBP
8,0.63,0.341,11,-17.416,1,0.0366,0.628,0.389,0.12,0.536,118.98,audio_features,63t8X0qJMyvBvUd6KNNr8t,spotify:track:63t8X0qJMyvBvUd6KNNr8t,https://api.spotify.com/v1/tracks/63t8X0qJMyvBvUd6KNNr8t,https://api.spotify.com/v1/audio-analysis/63t8X0qJMyvBvUd6KNNr8t,101329,4,Spirited,spotify:track:63t8X0qJMyvBvUd6KNNr8t,Poetics,6sdgbah9YMIS5jSYdyzpBP
9,0.819,0.127,11,-19.743,0,0.0525,0.789,0.885,0.109,0.381,131.982,audio_features,6HYAnSUSOOj6kVADN1IndB,spotify:track:6HYAnSUSOOj6kVADN1IndB,https://api.spotify.com/v1/tracks/6HYAnSUSOOj6kVADN1IndB,https://api.spotify.com/v1/audio-analysis/6HYAnSUSOOj6kVADN1IndB,89687,4,Away,spotify:track:6HYAnSUSOOj6kVADN1IndB,Poetics,6sdgbah9YMIS5jSYdyzpBP
