,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.513,0.941,4,-8.266,0,0.0927,0.0244,0.551,0.309,0.43,174.041,audio_features,5I31EqzRDHfKnVOdjHvNLG,spotify:track:5I31EqzRDHfKnVOdjHvNLG,https://api.spotify.com/v1/tracks/5I31EqzRDHfKnVOdjHvNLG,https://api.spotify.com/v1/audio-analysis/5I31EqzRDHfKnVOdjHvNLG,233793,4,Can't Stop - Egg Remix,spotify:track:5I31EqzRDHfKnVOdjHvNLG,Porij,5Ph4BCHTBnS7CJctvtUDkp
1,0.871,0.445,6,-10.905,0,0.113,0.0206,0.462,0.111,0.579,129.984,audio_features,750HTTrLm1XTf2msIcFiCs,spotify:track:750HTTrLm1XTf2msIcFiCs,https://api.spotify.com/v1/tracks/750HTTrLm1XTf2msIcFiCs,https://api.spotify.com/v1/audio-analysis/750HTTrLm1XTf2msIcFiCs,224769,4,Heaven Knows - James Remix,spotify:track:750HTTrLm1XTf2msIcFiCs,Porij,5Ph4BCHTBnS7CJctvtUDkp
2,0.455,0.767,6,-10.243,0,0.106,0.00797,0.484,0.35,0.186,128.067,audio_features,6aMh4L8wFVa7KLV53HEt2U,spotify:track:6aMh4L8wFVa7KLV53HEt2U,https://api.spotify.com/v1/tracks/6aMh4L8wFVa7KLV53HEt2U,https://api.spotify.com/v1/audio-analysis/6aMh4L8wFVa7KLV53HEt2U,250000,3,Ego - Tom Remix,spotify:track:6aMh4L8wFVa7KLV53HEt2U,Porij,5Ph4BCHTBnS7CJctvtUDkp
3,0.793,0.49,11,-11.191,0,0.0382,0.625,0.768,0.105,0.439,115.956,audio_features,1xAHR5oihy1WyPtpAfGZ0p,spotify:track:1xAHR5oihy1WyPtpAfGZ0p,https://api.spotify.com/v1/tracks/1xAHR5oihy1WyPtpAfGZ0p,https://api.spotify.com/v1/audio-analysis/1xAHR5oihy1WyPtpAfGZ0p,219083,4,Nobody Scared,spotify:track:1xAHR5oihy1WyPtpAfGZ0p,Porij,5Ph4BCHTBnS7CJctvtUDkp
4,0.411,0.623,5,-9.725,0,0.0377,0.00727,0.0168,0.279,0.34,133.792,audio_features,3Nx2uCqvlkaXRDftoLei6K,spotify:track:3Nx2uCqvlkaXRDftoLei6K,https://api.spotify.com/v1/tracks/3Nx2uCqvlkaXRDftoLei6K,https://api.spotify.com/v1/audio-analysis/3Nx2uCqvlkaXRDftoLei6K,194225,4,Ego,spotify:track:3Nx2uCqvlkaXRDftoLei6K,Porij,5Ph4BCHTBnS7CJctvtUDkp
5,0.701,0.659,5,-9.926,0,0.0823,0.0491,0.000356,0.308,0.585,130.021,audio_features,2unc7laWSwoA3o2sQFZiK2,spotify:track:2unc7laWSwoA3o2sQFZiK2,https://api.spotify.com/v1/tracks/2unc7laWSwoA3o2sQFZiK2,https://api.spotify.com/v1/audio-analysis/2unc7laWSwoA3o2sQFZiK2,195750,4,Divine,spotify:track:2unc7laWSwoA3o2sQFZiK2,Porij,5Ph4BCHTBnS7CJctvtUDkp
6,0.791,0.783,5,-10.414,0,0.142,0.152,0.0473,0.327,0.829,132.009,audio_features,2by7v6eAod6OBDmB5SKZe1,spotify:track:2by7v6eAod6OBDmB5SKZe1,https://api.spotify.com/v1/tracks/2by7v6eAod6OBDmB5SKZe1,https://api.spotify.com/v1/audio-analysis/2by7v6eAod6OBDmB5SKZe1,156597,4,Can't Stop,spotify:track:2by7v6eAod6OBDmB5SKZe1,Porij,5Ph4BCHTBnS7CJctvtUDkp
7,0.517,0.497,2,-11.807,1,0.0577,0.0327,0.255,0.1,0.165,125.031,audio_features,0hf0I1n0eBkiyctHtfzcsE,spotify:track:0hf0I1n0eBkiyctHtfzcsE,https://api.spotify.com/v1/tracks/0hf0I1n0eBkiyctHtfzcsE,https://api.spotify.com/v1/audio-analysis/0hf0I1n0eBkiyctHtfzcsE,182430,4,Heaven Knows,spotify:track:0hf0I1n0eBkiyctHtfzcsE,Porij,5Ph4BCHTBnS7CJctvtUDkp
8,0.791,0.783,5,-10.414,0,0.142,0.152,0.0473,0.327,0.829,132.009,audio_features,2tvwKkNtHc2P4FYE8QycDk,spotify:track:2tvwKkNtHc2P4FYE8QycDk,https://api.spotify.com/v1/tracks/2tvwKkNtHc2P4FYE8QycDk,https://api.spotify.com/v1/audio-analysis/2tvwKkNtHc2P4FYE8QycDk,156597,4,Can't Stop,spotify:track:2tvwKkNtHc2P4FYE8QycDk,Porij,5Ph4BCHTBnS7CJctvtUDkp
9,0.82,0.674,6,-7.052,0,0.0545,0.0094,0.45,0.0338,0.771,130.012,audio_features,2KvEFgbq3fEi4rAlqtKhFU,spotify:track:2KvEFgbq3fEi4rAlqtKhFU,https://api.spotify.com/v1/tracks/2KvEFgbq3fEi4rAlqtKhFU,https://api.spotify.com/v1/audio-analysis/2KvEFgbq3fEi4rAlqtKhFU,236510,4,Nobody Scared - Tommy Remix,spotify:track:2KvEFgbq3fEi4rAlqtKhFU,Porij,5Ph4BCHTBnS7CJctvtUDkp
