,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.338,0.953,2,-6.556,1,0.07,0.0255,0.000128,0.671,0.455,89.517,audio_features,1yC38HYUucZ5xIbviw8HGY,spotify:track:1yC38HYUucZ5xIbviw8HGY,https://api.spotify.com/v1/tracks/1yC38HYUucZ5xIbviw8HGY,https://api.spotify.com/v1/audio-analysis/1yC38HYUucZ5xIbviw8HGY,184115,4,"Tear It Up - Live At The O2, London, UK, 02/07/2018",spotify:track:1yC38HYUucZ5xIbviw8HGY,Queen,1dfeR4HaWDbWqFHLkxsg1d
1,0.262,0.936,9,-8.52,1,0.0971,0.0103,0.00353,0.958,0.12,138.148,audio_features,38sIa2gfv4NsA5UFDXSw4y,spotify:track:38sIa2gfv4NsA5UFDXSw4y,https://api.spotify.com/v1/tracks/38sIa2gfv4NsA5UFDXSw4y,https://api.spotify.com/v1/audio-analysis/38sIa2gfv4NsA5UFDXSw4y,306061,4,"Now I'm Here - Live At Summer Sonic, Tokyo, Japan, 2014",spotify:track:38sIa2gfv4NsA5UFDXSw4y,Queen,1dfeR4HaWDbWqFHLkxsg1d
2,0.585,0.914,5,-8.261,1,0.0719,0.0922,0.00683,0.963,0.458,111.479,audio_features,57wxyRRrBfWl6BUSsHwvYB,spotify:track:57wxyRRrBfWl6BUSsHwvYB,https://api.spotify.com/v1/tracks/57wxyRRrBfWl6BUSsHwvYB,https://api.spotify.com/v1/audio-analysis/57wxyRRrBfWl6BUSsHwvYB,202557,4,"Another One Bites The Dust - Live At Summer Sonic, Tokyo, Japan, 2014",spotify:track:57wxyRRrBfWl6BUSsHwvYB,Queen,1dfeR4HaWDbWqFHLkxsg1d
3,0.248,0.878,9,-7.748,0,0.0572,0.0984,0.000988,0.978,0.298,88.571,audio_features,70XSaLtwXKOTkeZakThreu,spotify:track:70XSaLtwXKOTkeZakThreu,https://api.spotify.com/v1/tracks/70XSaLtwXKOTkeZakThreu,https://api.spotify.com/v1/audio-analysis/70XSaLtwXKOTkeZakThreu,327389,4,"Fat Bottomed Girls - Live At The American Airlines Center, Dallas, USA, 2019",spotify:track:70XSaLtwXKOTkeZakThreu,Queen,1dfeR4HaWDbWqFHLkxsg1d
4,0.293,0.901,5,-7.328,1,0.093,0.362,0.0,0.971,0.421,150.561,audio_features,3DjWQwqsSwG42vWioRKb1M,spotify:track:3DjWQwqsSwG42vWioRKb1M,https://api.spotify.com/v1/tracks/3DjWQwqsSwG42vWioRKb1M,https://api.spotify.com/v1/audio-analysis/3DjWQwqsSwG42vWioRKb1M,250049,4,"Don't Stop Me Now - Live At Rock In Rio, Lisbon, Portugal, 2016",spotify:track:3DjWQwqsSwG42vWioRKb1M,Queen,1dfeR4HaWDbWqFHLkxsg1d
5,0.415,0.803,2,-8.366,1,0.0505,0.245,0.0,0.972,0.472,117.13,audio_features,0yijh2N9Dq1djVgXd3Ip1V,spotify:track:0yijh2N9Dq1djVgXd3Ip1V,https://api.spotify.com/v1/tracks/0yijh2N9Dq1djVgXd3Ip1V,https://api.spotify.com/v1/audio-analysis/0yijh2N9Dq1djVgXd3Ip1V,213637,4,"I Want To Break Free - Live At Rock In Rio, Lisbon, Portugal, 2016",spotify:track:0yijh2N9Dq1djVgXd3Ip1V,Queen,1dfeR4HaWDbWqFHLkxsg1d
6,0.244,0.798,8,-8.225,1,0.068,0.288,0.0,0.945,0.438,109.203,audio_features,6OOa6Scdf31huoAILgDkFZ,spotify:track:6OOa6Scdf31huoAILgDkFZ,https://api.spotify.com/v1/tracks/6OOa6Scdf31huoAILgDkFZ,https://api.spotify.com/v1/audio-analysis/6OOa6Scdf31huoAILgDkFZ,358867,4,"Somebody To Love - Live At The Isle Of Wight Festival, UK, 2016",spotify:track:6OOa6Scdf31huoAILgDkFZ,Queen,1dfeR4HaWDbWqFHLkxsg1d
7,0.273,0.522,6,-9.778,0,0.0356,0.309,2.6e-06,0.671,0.185,128.094,audio_features,5A63vGO15binp9BGSkixeW,spotify:track:5A63vGO15binp9BGSkixeW,https://api.spotify.com/v1/tracks/5A63vGO15binp9BGSkixeW,https://api.spotify.com/v1/audio-analysis/5A63vGO15binp9BGSkixeW,257021,4,"Love Kills - The Ballad - Live At The iHeart Radio Theater, Los Angeles, USA, 2014",spotify:track:5A63vGO15binp9BGSkixeW,Queen,1dfeR4HaWDbWqFHLkxsg1d
8,0.265,0.807,7,-8.01,1,0.0641,0.0399,0.0,0.967,0.292,144.495,audio_features,1n2Em3oCIafPXdnsZDZCgH,spotify:track:1n2Em3oCIafPXdnsZDZCgH,https://api.spotify.com/v1/tracks/1n2Em3oCIafPXdnsZDZCgH,https://api.spotify.com/v1/audio-analysis/1n2Em3oCIafPXdnsZDZCgH,244691,4,"I Was Born To Love You - Live At Summer Sonic, Tokyo, Japan, 2014",spotify:track:1n2Em3oCIafPXdnsZDZCgH,Queen,1dfeR4HaWDbWqFHLkxsg1d
9,0.445,0.882,2,-7.818,1,0.0528,0.118,1.87e-05,0.951,0.417,117.307,audio_features,5xBwxKnJthGpRiJoNJDVl3,spotify:track:5xBwxKnJthGpRiJoNJDVl3,https://api.spotify.com/v1/tracks/5xBwxKnJthGpRiJoNJDVl3,https://api.spotify.com/v1/audio-analysis/5xBwxKnJthGpRiJoNJDVl3,225149,4,"Under Pressure - Live At Global Citizen Festival, New York, USA, 2019",spotify:track:5xBwxKnJthGpRiJoNJDVl3,Queen,1dfeR4HaWDbWqFHLkxsg1d
