,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.683,0.675,6,-7.213,0,0.0536,0.042,0.0,0.06,0.59,110.037,audio_features,6xMupyM19GE0W34T0b3DS7,spotify:track:6xMupyM19GE0W34T0b3DS7,https://api.spotify.com/v1/tracks/6xMupyM19GE0W34T0b3DS7,https://api.spotify.com/v1/audio-analysis/6xMupyM19GE0W34T0b3DS7,126545,4,Attention,spotify:track:6xMupyM19GE0W34T0b3DS7,R3YAN,6oRmvag0pQojcoSnLNsZel
1,0.458,0.521,3,-9.529,0,0.0417,0.043,0.0272,0.217,0.0394,79.933,audio_features,6vAghAitNFHoGUEbhJPI6n,spotify:track:6vAghAitNFHoGUEbhJPI6n,https://api.spotify.com/v1/tracks/6vAghAitNFHoGUEbhJPI6n,https://api.spotify.com/v1/audio-analysis/6vAghAitNFHoGUEbhJPI6n,151015,4,I Can Feel,spotify:track:6vAghAitNFHoGUEbhJPI6n,R3YAN,6oRmvag0pQojcoSnLNsZel
2,0.443,0.314,11,-9.345,1,0.0388,0.108,0.681,0.122,0.0606,160.007,audio_features,786d2dLhtox5oPb3VL9Nfo,spotify:track:786d2dLhtox5oPb3VL9Nfo,https://api.spotify.com/v1/tracks/786d2dLhtox5oPb3VL9Nfo,https://api.spotify.com/v1/audio-analysis/786d2dLhtox5oPb3VL9Nfo,151259,4,I Can Feel - Instrumental Version,spotify:track:786d2dLhtox5oPb3VL9Nfo,R3YAN,6oRmvag0pQojcoSnLNsZel
3,0.543,0.732,10,-6.649,1,0.0588,0.0257,6.49e-05,0.143,0.406,134.047,audio_features,0eIzXKc9RCAeHPQiNZPMvS,spotify:track:0eIzXKc9RCAeHPQiNZPMvS,https://api.spotify.com/v1/tracks/0eIzXKc9RCAeHPQiNZPMvS,https://api.spotify.com/v1/audio-analysis/0eIzXKc9RCAeHPQiNZPMvS,118175,4,Fighter,spotify:track:0eIzXKc9RCAeHPQiNZPMvS,R3YAN,6oRmvag0pQojcoSnLNsZel
4,0.691,0.677,10,-8.831,0,0.0501,0.00554,1.57e-06,0.113,0.222,124.989,audio_features,1D1x7nypV6CjEZ8kswlyCx,spotify:track:1D1x7nypV6CjEZ8kswlyCx,https://api.spotify.com/v1/tracks/1D1x7nypV6CjEZ8kswlyCx,https://api.spotify.com/v1/audio-analysis/1D1x7nypV6CjEZ8kswlyCx,130600,4,Sweet Dreams,spotify:track:1D1x7nypV6CjEZ8kswlyCx,R3YAN,6oRmvag0pQojcoSnLNsZel
5,0.663,0.601,7,-4.637,0,0.0636,0.0233,0.0,0.066,0.448,106.13,audio_features,3uhGc3Z4NMu7jrCCBM5Qbl,spotify:track:3uhGc3Z4NMu7jrCCBM5Qbl,https://api.spotify.com/v1/tracks/3uhGc3Z4NMu7jrCCBM5Qbl,https://api.spotify.com/v1/audio-analysis/3uhGc3Z4NMu7jrCCBM5Qbl,164717,4,Like In Vegas,spotify:track:3uhGc3Z4NMu7jrCCBM5Qbl,R3YAN,6oRmvag0pQojcoSnLNsZel
6,0.611,0.607,4,-9.906,0,0.0814,0.0153,0.0,0.131,0.19,160.102,audio_features,2yBlMKaGsQtDOb8t1434in,spotify:track:2yBlMKaGsQtDOb8t1434in,https://api.spotify.com/v1/tracks/2yBlMKaGsQtDOb8t1434in,https://api.spotify.com/v1/audio-analysis/2yBlMKaGsQtDOb8t1434in,142543,4,Skin Starts To Crack,spotify:track:2yBlMKaGsQtDOb8t1434in,R3YAN,6oRmvag0pQojcoSnLNsZel
7,0.672,0.652,10,-8.444,0,0.0482,0.0239,0.0,0.158,0.252,120.014,audio_features,4FpNV3Ow3vzzTMoWoIoEVg,spotify:track:4FpNV3Ow3vzzTMoWoIoEVg,https://api.spotify.com/v1/tracks/4FpNV3Ow3vzzTMoWoIoEVg,https://api.spotify.com/v1/audio-analysis/4FpNV3Ow3vzzTMoWoIoEVg,156000,4,The Business,spotify:track:4FpNV3Ow3vzzTMoWoIoEVg,R3YAN,6oRmvag0pQojcoSnLNsZel
8,0.688,0.647,4,-8.566,0,0.0482,0.00727,0.0,0.107,0.292,120.014,audio_features,6r6DJU8H1kGLWxfV5T3dRk,spotify:track:6r6DJU8H1kGLWxfV5T3dRk,https://api.spotify.com/v1/tracks/6r6DJU8H1kGLWxfV5T3dRk,https://api.spotify.com/v1/audio-analysis/6r6DJU8H1kGLWxfV5T3dRk,140000,4,Save Your Tears,spotify:track:6r6DJU8H1kGLWxfV5T3dRk,R3YAN,6oRmvag0pQojcoSnLNsZel
9,0.536,0.467,10,-9.071,1,0.08,0.153,0.0,0.0994,0.285,84.523,audio_features,1pp0rjgiceyDsPgOOWk7bu,spotify:track:1pp0rjgiceyDsPgOOWk7bu,https://api.spotify.com/v1/tracks/1pp0rjgiceyDsPgOOWk7bu,https://api.spotify.com/v1/audio-analysis/1pp0rjgiceyDsPgOOWk7bu,183529,4,No Responsibilities,spotify:track:1pp0rjgiceyDsPgOOWk7bu,R3YAN,6oRmvag0pQojcoSnLNsZel
10,0.564,0.546,9,-6.899,0,0.0278,0.139,0.0,0.419,0.187,99.93,audio_features,3xQSVngL4OJu5RXAchFQPm,spotify:track:3xQSVngL4OJu5RXAchFQPm,https://api.spotify.com/v1/tracks/3xQSVngL4OJu5RXAchFQPm,https://api.spotify.com/v1/audio-analysis/3xQSVngL4OJu5RXAchFQPm,146469,4,Black Blood,spotify:track:3xQSVngL4OJu5RXAchFQPm,R3YAN,6oRmvag0pQojcoSnLNsZel
11,0.588,0.654,5,-8.104,1,0.0313,0.0209,3.76e-05,0.449,0.165,119.988,audio_features,472Q1GRd6nX7px4nyZ9eqv,spotify:track:472Q1GRd6nX7px4nyZ9eqv,https://api.spotify.com/v1/tracks/472Q1GRd6nX7px4nyZ9eqv,https://api.spotify.com/v1/audio-analysis/472Q1GRd6nX7px4nyZ9eqv,142068,4,Faded,spotify:track:472Q1GRd6nX7px4nyZ9eqv,R3YAN,6oRmvag0pQojcoSnLNsZel
12,0.527,0.538,7,-8.051,0,0.04,0.0544,0.0,0.0909,0.158,79.942,audio_features,4tErfg1Mdem5MLJ7dRMqlc,spotify:track:4tErfg1Mdem5MLJ7dRMqlc,https://api.spotify.com/v1/tracks/4tErfg1Mdem5MLJ7dRMqlc,https://api.spotify.com/v1/audio-analysis/4tErfg1Mdem5MLJ7dRMqlc,189000,4,Leave Me Lonely,spotify:track:4tErfg1Mdem5MLJ7dRMqlc,R3YAN,6oRmvag0pQojcoSnLNsZel
13,0.537,0.57,11,-8.625,0,0.0516,0.0635,0.0,0.387,0.524,156.02,audio_features,5w3YwMecYpnRZoQVm3HQHm,spotify:track:5w3YwMecYpnRZoQVm3HQHm,https://api.spotify.com/v1/tracks/5w3YwMecYpnRZoQVm3HQHm,https://api.spotify.com/v1/audio-analysis/5w3YwMecYpnRZoQVm3HQHm,164615,4,Villain,spotify:track:5w3YwMecYpnRZoQVm3HQHm,R3YAN,6oRmvag0pQojcoSnLNsZel
14,0.732,0.712,1,-8.222,1,0.0875,0.0119,0.0,0.0836,0.235,127.014,audio_features,0y5Izk9eDikFgo3KSXr7Ua,spotify:track:0y5Izk9eDikFgo3KSXr7Ua,https://api.spotify.com/v1/tracks/0y5Izk9eDikFgo3KSXr7Ua,https://api.spotify.com/v1/audio-analysis/0y5Izk9eDikFgo3KSXr7Ua,139842,4,Falling,spotify:track:0y5Izk9eDikFgo3KSXr7Ua,R3YAN,6oRmvag0pQojcoSnLNsZel
15,0.59,0.649,7,-7.042,1,0.0938,0.0145,9.9e-06,0.355,0.265,85.086,audio_features,3jVmI8NUrUa82STvZLj7v2,spotify:track:3jVmI8NUrUa82STvZLj7v2,https://api.spotify.com/v1/tracks/3jVmI8NUrUa82STvZLj7v2,https://api.spotify.com/v1/audio-analysis/3jVmI8NUrUa82STvZLj7v2,127059,4,Seduction,spotify:track:3jVmI8NUrUa82STvZLj7v2,R3YAN,6oRmvag0pQojcoSnLNsZel
16,0.352,0.684,8,-6.658,1,0.0583,0.0321,0.000191,0.0867,0.242,117.393,audio_features,7fCshTtiZyTyLjP98QFEkb,spotify:track:7fCshTtiZyTyLjP98QFEkb,https://api.spotify.com/v1/tracks/7fCshTtiZyTyLjP98QFEkb,https://api.spotify.com/v1/audio-analysis/7fCshTtiZyTyLjP98QFEkb,140043,4,Dangerous Woman,spotify:track:7fCshTtiZyTyLjP98QFEkb,R3YAN,6oRmvag0pQojcoSnLNsZel
17,0.801,0.72,7,-6.237,0,0.234,0.0358,0.0,0.141,0.481,127.97,audio_features,5tV4D7Exqg0gUMl2Ijl6Kd,spotify:track:5tV4D7Exqg0gUMl2Ijl6Kd,https://api.spotify.com/v1/tracks/5tV4D7Exqg0gUMl2Ijl6Kd,https://api.spotify.com/v1/audio-analysis/5tV4D7Exqg0gUMl2Ijl6Kd,128484,4,Take Me Away,spotify:track:5tV4D7Exqg0gUMl2Ijl6Kd,R3YAN,6oRmvag0pQojcoSnLNsZel
18,0.472,0.545,8,-7.867,1,0.0395,0.368,0.00183,0.0971,0.113,168.047,audio_features,00c7UIWG3xqDJfPETpnpJg,spotify:track:00c7UIWG3xqDJfPETpnpJg,https://api.spotify.com/v1/tracks/00c7UIWG3xqDJfPETpnpJg,https://api.spotify.com/v1/audio-analysis/00c7UIWG3xqDJfPETpnpJg,137143,3,Gallery Of Souls,spotify:track:00c7UIWG3xqDJfPETpnpJg,R3YAN,6oRmvag0pQojcoSnLNsZel
