,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.618,0.72,9,-5.364,1,0.0642,0.0297,1.17e-06,0.0872,0.367,141.045,audio_features,4t8fUqPdSbtQCZJ0iqyl0i,spotify:track:4t8fUqPdSbtQCZJ0iqyl0i,https://api.spotify.com/v1/tracks/4t8fUqPdSbtQCZJ0iqyl0i,https://api.spotify.com/v1/audio-analysis/4t8fUqPdSbtQCZJ0iqyl0i,228587,4,Go Away,spotify:track:4t8fUqPdSbtQCZJ0iqyl0i,Rae Spoon,507TICFblljsw2Nbk7wXbx
1,0.575,0.622,11,-7.654,0,0.0368,0.00443,0.00206,0.0924,0.255,123.036,audio_features,5UBfS7HCVPk34cIWQvYsmO,spotify:track:5UBfS7HCVPk34cIWQvYsmO,https://api.spotify.com/v1/tracks/5UBfS7HCVPk34cIWQvYsmO,https://api.spotify.com/v1/audio-analysis/5UBfS7HCVPk34cIWQvYsmO,214693,4,Shame,spotify:track:5UBfS7HCVPk34cIWQvYsmO,Rae Spoon,507TICFblljsw2Nbk7wXbx
2,0.565,0.696,9,-6.432,0,0.0411,0.000541,1.32e-06,0.15,0.411,125.019,audio_features,6tgYjmpzqqFyVq1f0MCUlO,spotify:track:6tgYjmpzqqFyVq1f0MCUlO,https://api.spotify.com/v1/tracks/6tgYjmpzqqFyVq1f0MCUlO,https://api.spotify.com/v1/audio-analysis/6tgYjmpzqqFyVq1f0MCUlO,213667,4,I Can't Sleep,spotify:track:6tgYjmpzqqFyVq1f0MCUlO,Rae Spoon,507TICFblljsw2Nbk7wXbx
3,0.6,0.242,11,-11.852,0,0.0307,0.297,0.000261,0.101,0.298,130.059,audio_features,4EiSx8pwixGQAaeQE68EpC,spotify:track:4EiSx8pwixGQAaeQE68EpC,https://api.spotify.com/v1/tracks/4EiSx8pwixGQAaeQE68EpC,https://api.spotify.com/v1/audio-analysis/4EiSx8pwixGQAaeQE68EpC,199253,4,Blaring,spotify:track:4EiSx8pwixGQAaeQE68EpC,Rae Spoon,507TICFblljsw2Nbk7wXbx
4,0.663,0.664,9,-6.307,0,0.0284,0.318,0.0,0.125,0.329,125.996,audio_features,3IK0Wa7htANb1rlHUvZB38,spotify:track:3IK0Wa7htANb1rlHUvZB38,https://api.spotify.com/v1/tracks/3IK0Wa7htANb1rlHUvZB38,https://api.spotify.com/v1/audio-analysis/3IK0Wa7htANb1rlHUvZB38,195133,4,Again + Again + Again,spotify:track:3IK0Wa7htANb1rlHUvZB38,Rae Spoon,507TICFblljsw2Nbk7wXbx
5,0.646,0.717,7,-5.866,1,0.0286,0.00046,0.0,0.236,0.434,124.897,audio_features,1npMrG6cXWOxSMgpykug2K,spotify:track:1npMrG6cXWOxSMgpykug2K,https://api.spotify.com/v1/tracks/1npMrG6cXWOxSMgpykug2K,https://api.spotify.com/v1/audio-analysis/1npMrG6cXWOxSMgpykug2K,235133,4,Money,spotify:track:1npMrG6cXWOxSMgpykug2K,Rae Spoon,507TICFblljsw2Nbk7wXbx
6,0.641,0.635,5,-8.271,0,0.05,0.262,3.72e-06,0.115,0.211,135.937,audio_features,6uVAjI1mWcbT1aWAlM4w6o,spotify:track:6uVAjI1mWcbT1aWAlM4w6o,https://api.spotify.com/v1/tracks/6uVAjI1mWcbT1aWAlM4w6o,https://api.spotify.com/v1/audio-analysis/6uVAjI1mWcbT1aWAlM4w6o,192707,4,Inheritance,spotify:track:6uVAjI1mWcbT1aWAlM4w6o,Rae Spoon,507TICFblljsw2Nbk7wXbx
7,0.554,0.791,11,-5.766,0,0.0415,0.0773,0.000148,0.0902,0.421,108.024,audio_features,2uUM7S72umVAuqPYDBk5iL,spotify:track:2uUM7S72umVAuqPYDBk5iL,https://api.spotify.com/v1/tracks/2uUM7S72umVAuqPYDBk5iL,https://api.spotify.com/v1/audio-analysis/2uUM7S72umVAuqPYDBk5iL,227680,4,There's No End,spotify:track:2uUM7S72umVAuqPYDBk5iL,Rae Spoon,507TICFblljsw2Nbk7wXbx
8,0.495,0.249,4,-8.133,1,0.029,0.945,1.06e-05,0.104,0.268,90.176,audio_features,26X2eMKoRuMqGQ24bYGWoG,spotify:track:26X2eMKoRuMqGQ24bYGWoG,https://api.spotify.com/v1/tracks/26X2eMKoRuMqGQ24bYGWoG,https://api.spotify.com/v1/audio-analysis/26X2eMKoRuMqGQ24bYGWoG,181960,4,I Held My Breath,spotify:track:26X2eMKoRuMqGQ24bYGWoG,Rae Spoon,507TICFblljsw2Nbk7wXbx
9,0.739,0.529,2,-6.781,1,0.0373,0.334,0.0,0.0909,0.339,120.07,audio_features,4BfP15Q42pAp2AXqQ2UNow,spotify:track:4BfP15Q42pAp2AXqQ2UNow,https://api.spotify.com/v1/tracks/4BfP15Q42pAp2AXqQ2UNow,https://api.spotify.com/v1/audio-analysis/4BfP15Q42pAp2AXqQ2UNow,215307,4,It's Getting Close,spotify:track:4BfP15Q42pAp2AXqQ2UNow,Rae Spoon,507TICFblljsw2Nbk7wXbx
