,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.234,0.997,2,-3.065,1,0.132,0.0226,0.000207,0.361,0.123,198.726,audio_features,7gwZ5Oo3MUN3pCr1fvWmvB,spotify:track:7gwZ5Oo3MUN3pCr1fvWmvB,https://api.spotify.com/v1/tracks/7gwZ5Oo3MUN3pCr1fvWmvB,https://api.spotify.com/v1/audio-analysis/7gwZ5Oo3MUN3pCr1fvWmvB,143720,4,"Rockaway Beach - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:7gwZ5Oo3MUN3pCr1fvWmvB,Ramones,1co4F2pPNH8JjTutZkmgSm
1,0.216,0.995,9,-2.017,1,0.0719,0.00414,0.000132,0.362,0.656,196.666,audio_features,35tbx06ddeAwLOxK0yNG0v,spotify:track:35tbx06ddeAwLOxK0yNG0v,https://api.spotify.com/v1/tracks/35tbx06ddeAwLOxK0yNG0v,https://api.spotify.com/v1/audio-analysis/35tbx06ddeAwLOxK0yNG0v,113173,4,"Teenage Lobotomy - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:35tbx06ddeAwLOxK0yNG0v,Ramones,1co4F2pPNH8JjTutZkmgSm
2,0.211,0.996,9,-2.209,1,0.0655,0.00439,0.00371,0.484,0.655,200.339,audio_features,0zBTwK5iDjCqniTJCwjGv8,spotify:track:0zBTwK5iDjCqniTJCwjGv8,https://api.spotify.com/v1/tracks/0zBTwK5iDjCqniTJCwjGv8,https://api.spotify.com/v1/audio-analysis/0zBTwK5iDjCqniTJCwjGv8,126053,4,"Blitzkrieg Bop - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:0zBTwK5iDjCqniTJCwjGv8,Ramones,1co4F2pPNH8JjTutZkmgSm
3,0.469,0.998,2,-2.428,1,0.0478,0.00397,0.00972,0.281,0.31,136.953,audio_features,694Y2eJfZqmh2IC9h5fBdB,spotify:track:694Y2eJfZqmh2IC9h5fBdB,https://api.spotify.com/v1/tracks/694Y2eJfZqmh2IC9h5fBdB,https://api.spotify.com/v1/audio-analysis/694Y2eJfZqmh2IC9h5fBdB,142880,4,"I Wanna Be Well - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:694Y2eJfZqmh2IC9h5fBdB,Ramones,1co4F2pPNH8JjTutZkmgSm
4,0.195,0.997,2,-1.948,1,0.0962,0.00181,4.76e-05,0.535,0.335,205.354,audio_features,0r3DjO2oT0FwrAlwfJ4nZj,spotify:track:0r3DjO2oT0FwrAlwfJ4nZj,https://api.spotify.com/v1/tracks/0r3DjO2oT0FwrAlwfJ4nZj,https://api.spotify.com/v1/audio-analysis/0r3DjO2oT0FwrAlwfJ4nZj,109640,4,"Glad to See You Go - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:0r3DjO2oT0FwrAlwfJ4nZj,Ramones,1co4F2pPNH8JjTutZkmgSm
5,0.206,0.999,11,-1.992,0,0.176,0.00179,0.000683,0.401,0.147,204.81,audio_features,0y84pRSYJnc7DgkUiUbD3h,spotify:track:0y84pRSYJnc7DgkUiUbD3h,https://api.spotify.com/v1/tracks/0y84pRSYJnc7DgkUiUbD3h,https://api.spotify.com/v1/audio-analysis/0y84pRSYJnc7DgkUiUbD3h,95587,4,"Gimme Gimme Shock Treatment - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:0y84pRSYJnc7DgkUiUbD3h,Ramones,1co4F2pPNH8JjTutZkmgSm
6,0.204,0.996,9,-3.251,1,0.404,0.00328,0.000123,0.791,0.132,208.455,audio_features,5F7Fe9kPtuD7sIyOXv4KSy,spotify:track:5F7Fe9kPtuD7sIyOXv4KSy,https://api.spotify.com/v1/tracks/5F7Fe9kPtuD7sIyOXv4KSy,https://api.spotify.com/v1/audio-analysis/5F7Fe9kPtuD7sIyOXv4KSy,152813,4,"You're Gonna Kill That Girl - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:5F7Fe9kPtuD7sIyOXv4KSy,Ramones,1co4F2pPNH8JjTutZkmgSm
7,0.386,0.992,2,-2.999,1,0.0657,0.15,0.0,0.523,0.37,139.589,audio_features,5BdkIwVIo82lRyQs94leZT,spotify:track:5BdkIwVIo82lRyQs94leZT,https://api.spotify.com/v1/tracks/5BdkIwVIo82lRyQs94leZT,https://api.spotify.com/v1/audio-analysis/5BdkIwVIo82lRyQs94leZT,99347,4,"I Don't Care - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:5BdkIwVIo82lRyQs94leZT,Ramones,1co4F2pPNH8JjTutZkmgSm
8,0.18,0.989,0,-2.9,1,0.0588,0.00741,6.05e-05,0.721,0.431,207.872,audio_features,1wFMMa3dNjWdlL5zrn1Pez,spotify:track:1wFMMa3dNjWdlL5zrn1Pez,https://api.spotify.com/v1/tracks/1wFMMa3dNjWdlL5zrn1Pez,https://api.spotify.com/v1/audio-analysis/1wFMMa3dNjWdlL5zrn1Pez,134773,4,"Sheena Is a Punk Rocker - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:1wFMMa3dNjWdlL5zrn1Pez,Ramones,1co4F2pPNH8JjTutZkmgSm
9,0.22,0.998,11,-2.25,0,0.0631,0.0174,6e-05,0.451,0.315,211.391,audio_features,70UfodvyWzZ2FxfcAJSLn0,spotify:track:70UfodvyWzZ2FxfcAJSLn0,https://api.spotify.com/v1/tracks/70UfodvyWzZ2FxfcAJSLn0,https://api.spotify.com/v1/audio-analysis/70UfodvyWzZ2FxfcAJSLn0,94133,4,"Havana Affair - Live at Rainbow Theatre, London, 12/31/77; 2019 Remaster",spotify:track:70UfodvyWzZ2FxfcAJSLn0,Ramones,1co4F2pPNH8JjTutZkmgSm
