,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.667,0.764,2,-6.97,1,0.0477,0.0197,0.273,0.0633,0.446,89.976,audio_features,1ADeKKyjsc7FbgieffGAD8,spotify:track:1ADeKKyjsc7FbgieffGAD8,https://api.spotify.com/v1/tracks/1ADeKKyjsc7FbgieffGAD8,https://api.spotify.com/v1/audio-analysis/1ADeKKyjsc7FbgieffGAD8,291333,4,Plus haut plus haut - Remix,spotify:track:1ADeKKyjsc7FbgieffGAD8,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
1,0.582,0.763,11,-7.545,0,0.0312,0.0249,0.343,0.214,0.16,130.011,audio_features,7AygnqOXLdWCHYDuir3R8Z,spotify:track:7AygnqOXLdWCHYDuir3R8Z,https://api.spotify.com/v1/tracks/7AygnqOXLdWCHYDuir3R8Z,https://api.spotify.com/v1/audio-analysis/7AygnqOXLdWCHYDuir3R8Z,596471,4,Aie aie aie - Remix,spotify:track:7AygnqOXLdWCHYDuir3R8Z,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
2,0.608,0.49,5,-6.909,0,0.0306,0.178,0.911,0.173,0.335,144.014,audio_features,63840QCJyUX6Vl0gZt7jw4,spotify:track:63840QCJyUX6Vl0gZt7jw4,https://api.spotify.com/v1/tracks/63840QCJyUX6Vl0gZt7jw4,https://api.spotify.com/v1/audio-analysis/63840QCJyUX6Vl0gZt7jw4,255484,4,Cette semaine - Remix,spotify:track:63840QCJyUX6Vl0gZt7jw4,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
3,0.517,0.774,2,-6.746,1,0.0467,0.0176,0.46,0.51,0.538,88.007,audio_features,31jM4DFDZOBsJWJGdyaBxs,spotify:track:31jM4DFDZOBsJWJGdyaBxs,https://api.spotify.com/v1/tracks/31jM4DFDZOBsJWJGdyaBxs,https://api.spotify.com/v1/audio-analysis/31jM4DFDZOBsJWJGdyaBxs,234814,4,L'après fête - Remix,spotify:track:31jM4DFDZOBsJWJGdyaBxs,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
4,0.634,0.758,1,-9.162,1,0.06,0.00126,0.706,0.0477,0.342,116.001,audio_features,5y5fGlcAOmoz4nISHzKINI,spotify:track:5y5fGlcAOmoz4nISHzKINI,https://api.spotify.com/v1/tracks/5y5fGlcAOmoz4nISHzKINI,https://api.spotify.com/v1/audio-analysis/5y5fGlcAOmoz4nISHzKINI,357931,4,Ni un ni deux - Remix,spotify:track:5y5fGlcAOmoz4nISHzKINI,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
5,0.743,0.648,4,-10.713,0,0.0618,0.0564,0.87,0.115,0.126,116.012,audio_features,5RXN1BiU4MOlS2R2L7MX5A,spotify:track:5RXN1BiU4MOlS2R2L7MX5A,https://api.spotify.com/v1/tracks/5RXN1BiU4MOlS2R2L7MX5A,https://api.spotify.com/v1/audio-analysis/5RXN1BiU4MOlS2R2L7MX5A,529655,4,Ceci et cela - Remix,spotify:track:5RXN1BiU4MOlS2R2L7MX5A,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
6,0.333,0.983,1,-9.009,0,0.403,0.56,0.979,0.186,0.128,141.798,audio_features,2TeuWLUg0Kly0ZboO89pwR,spotify:track:2TeuWLUg0Kly0ZboO89pwR,https://api.spotify.com/v1/tracks/2TeuWLUg0Kly0ZboO89pwR,https://api.spotify.com/v1/audio-analysis/2TeuWLUg0Kly0ZboO89pwR,345990,4,Au fond du fond - Remix,spotify:track:2TeuWLUg0Kly0ZboO89pwR,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
7,0.664,0.857,4,-7.604,0,0.039,0.00168,0.0513,0.148,0.184,101.992,audio_features,0jo1DN0ftiLxZiXYbkws3d,spotify:track:0jo1DN0ftiLxZiXYbkws3d,https://api.spotify.com/v1/tracks/0jo1DN0ftiLxZiXYbkws3d,https://api.spotify.com/v1/audio-analysis/0jo1DN0ftiLxZiXYbkws3d,357647,4,J'avais oublié - Remix,spotify:track:0jo1DN0ftiLxZiXYbkws3d,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
8,0.767,0.367,10,-12.746,0,0.0397,0.296,0.429,0.197,0.416,128.635,audio_features,2HV53dM53jomvhfDCdNR5A,spotify:track:2HV53dM53jomvhfDCdNR5A,https://api.spotify.com/v1/tracks/2HV53dM53jomvhfDCdNR5A,https://api.spotify.com/v1/audio-analysis/2HV53dM53jomvhfDCdNR5A,313783,4,Au Moment De S'Endormir,spotify:track:2HV53dM53jomvhfDCdNR5A,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
9,0.622,0.562,2,-10.935,1,0.0727,0.163,0.291,0.0917,0.672,180.073,audio_features,7lM9fRSW3bZJbHUCBxFHyj,spotify:track:7lM9fRSW3bZJbHUCBxFHyj,https://api.spotify.com/v1/tracks/7lM9fRSW3bZJbHUCBxFHyj,https://api.spotify.com/v1/audio-analysis/7lM9fRSW3bZJbHUCBxFHyj,204000,4,Plus Haut Plus Haut,spotify:track:7lM9fRSW3bZJbHUCBxFHyj,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
10,0.707,0.493,0,-10.729,1,0.0412,0.0492,0.112,0.259,0.306,128.663,audio_features,6f3YBu02CN5a94o0UkqWaE,spotify:track:6f3YBu02CN5a94o0UkqWaE,https://api.spotify.com/v1/tracks/6f3YBu02CN5a94o0UkqWaE,https://api.spotify.com/v1/audio-analysis/6f3YBu02CN5a94o0UkqWaE,324000,4,Aie Aie Aie,spotify:track:6f3YBu02CN5a94o0UkqWaE,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
11,0.575,0.681,2,-9.879,1,0.0339,0.00125,3.45e-05,0.157,0.378,89.111,audio_features,3cy6gOQ2xZG7pAO53k44vr,spotify:track:3cy6gOQ2xZG7pAO53k44vr,https://api.spotify.com/v1/tracks/3cy6gOQ2xZG7pAO53k44vr,https://api.spotify.com/v1/audio-analysis/3cy6gOQ2xZG7pAO53k44vr,265246,4,Un Coeur Blanc,spotify:track:3cy6gOQ2xZG7pAO53k44vr,Ramuntcho Matta,1jlX3PVJNF1RKmxn7JmCJx
