,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.805,0.68,5,-11.217,1,0.25,0.457,0.467,0.0927,0.296,88.024,audio_features,0KEMuXca2oq3Ox62KoHBB3,spotify:track:0KEMuXca2oq3Ox62KoHBB3,https://api.spotify.com/v1/tracks/0KEMuXca2oq3Ox62KoHBB3,https://api.spotify.com/v1/audio-analysis/0KEMuXca2oq3Ox62KoHBB3,153108,4,Majestic,spotify:track:0KEMuXca2oq3Ox62KoHBB3,Raxon,6gp9WP1OleU89x2gF9w2ID
1,0.674,0.651,7,-10.622,1,0.374,0.522,0.569,0.0965,0.212,93.938,audio_features,5vPr6KhmVQ1ge0IKmsUs4C,spotify:track:5vPr6KhmVQ1ge0IKmsUs4C,https://api.spotify.com/v1/tracks/5vPr6KhmVQ1ge0IKmsUs4C,https://api.spotify.com/v1/audio-analysis/5vPr6KhmVQ1ge0IKmsUs4C,255006,4,Flyby,spotify:track:5vPr6KhmVQ1ge0IKmsUs4C,Raxon,6gp9WP1OleU89x2gF9w2ID
2,0.756,0.82,1,-8.829,0,0.0606,0.0035,0.883,0.107,0.394,124.998,audio_features,3h3qPuymT2OW9SHtzjbV7l,spotify:track:3h3qPuymT2OW9SHtzjbV7l,https://api.spotify.com/v1/tracks/3h3qPuymT2OW9SHtzjbV7l,https://api.spotify.com/v1/audio-analysis/3h3qPuymT2OW9SHtzjbV7l,330058,4,Phantom Report,spotify:track:3h3qPuymT2OW9SHtzjbV7l,Raxon,6gp9WP1OleU89x2gF9w2ID
3,0.729,0.482,10,-9.882,0,0.0436,0.282,0.888,0.106,0.039,100.011,audio_features,43chhjL46qK7qGZzZ2d7ba,spotify:track:43chhjL46qK7qGZzZ2d7ba,https://api.spotify.com/v1/tracks/43chhjL46qK7qGZzZ2d7ba,https://api.spotify.com/v1/audio-analysis/43chhjL46qK7qGZzZ2d7ba,197248,4,Droid Solo,spotify:track:43chhjL46qK7qGZzZ2d7ba,Raxon,6gp9WP1OleU89x2gF9w2ID
4,0.46,0.751,10,-8.307,0,0.0725,0.0591,0.537,0.0868,0.598,122.221,audio_features,6a5licA54qjPttheV6NGiy,spotify:track:6a5licA54qjPttheV6NGiy,https://api.spotify.com/v1/tracks/6a5licA54qjPttheV6NGiy,https://api.spotify.com/v1/audio-analysis/6a5licA54qjPttheV6NGiy,277446,4,Vice,spotify:track:6a5licA54qjPttheV6NGiy,Raxon,6gp9WP1OleU89x2gF9w2ID
5,0.8,0.983,1,-7.047,1,0.0615,0.0264,0.848,0.0449,0.651,126.026,audio_features,3trZ7IV4AtzFyELkipOEer,spotify:track:3trZ7IV4AtzFyELkipOEer,https://api.spotify.com/v1/tracks/3trZ7IV4AtzFyELkipOEer,https://api.spotify.com/v1/audio-analysis/3trZ7IV4AtzFyELkipOEer,251632,4,Almost Human,spotify:track:3trZ7IV4AtzFyELkipOEer,Raxon,6gp9WP1OleU89x2gF9w2ID
6,0.292,0.384,8,-24.998,1,0.441,0.966,0.771,0.288,0.138,65.744,audio_features,0pwBvb8f7pJL8Nd94ATuv5,spotify:track:0pwBvb8f7pJL8Nd94ATuv5,https://api.spotify.com/v1/tracks/0pwBvb8f7pJL8Nd94ATuv5,https://api.spotify.com/v1/audio-analysis/0pwBvb8f7pJL8Nd94ATuv5,189524,4,Exit Station,spotify:track:0pwBvb8f7pJL8Nd94ATuv5,Raxon,6gp9WP1OleU89x2gF9w2ID
7,0.703,0.934,7,-8.156,1,0.0423,0.0112,0.687,0.0504,0.928,129.029,audio_features,0wgFYukCo6LPqNZnqWaFOm,spotify:track:0wgFYukCo6LPqNZnqWaFOm,https://api.spotify.com/v1/tracks/0wgFYukCo6LPqNZnqWaFOm,https://api.spotify.com/v1/audio-analysis/0wgFYukCo6LPqNZnqWaFOm,217598,4,Journey Mode,spotify:track:0wgFYukCo6LPqNZnqWaFOm,Raxon,6gp9WP1OleU89x2gF9w2ID
8,0.851,0.616,7,-9.949,1,0.134,0.0183,0.627,0.128,0.483,129.993,audio_features,2UCcbwSr6EgirgJV95n4s0,spotify:track:2UCcbwSr6EgirgJV95n4s0,https://api.spotify.com/v1/tracks/2UCcbwSr6EgirgJV95n4s0,https://api.spotify.com/v1/audio-analysis/2UCcbwSr6EgirgJV95n4s0,384811,4,El Multiverse,spotify:track:2UCcbwSr6EgirgJV95n4s0,Raxon,6gp9WP1OleU89x2gF9w2ID
9,0.69,0.673,1,-7.116,1,0.0422,0.0104,0.842,0.0837,0.843,134.994,audio_features,6CRDMIINmQJ78L0gA6CpOT,spotify:track:6CRDMIINmQJ78L0gA6CpOT,https://api.spotify.com/v1/tracks/6CRDMIINmQJ78L0gA6CpOT,https://api.spotify.com/v1/audio-analysis/6CRDMIINmQJ78L0gA6CpOT,342219,4,Outworld,spotify:track:6CRDMIINmQJ78L0gA6CpOT,Raxon,6gp9WP1OleU89x2gF9w2ID
10,0.795,0.689,2,-9.373,1,0.157,0.0128,0.316,0.128,0.574,129.998,audio_features,5i6wnrC2Jf0iWgZl5qcGJS,spotify:track:5i6wnrC2Jf0iWgZl5qcGJS,https://api.spotify.com/v1/tracks/5i6wnrC2Jf0iWgZl5qcGJS,https://api.spotify.com/v1/audio-analysis/5i6wnrC2Jf0iWgZl5qcGJS,234923,4,El Multiverse - Edit,spotify:track:5i6wnrC2Jf0iWgZl5qcGJS,Raxon,6gp9WP1OleU89x2gF9w2ID
11,0.851,0.616,7,-9.949,1,0.134,0.0183,0.627,0.128,0.483,129.993,audio_features,3gUmEeQDdCDxVaVvoKcO6D,spotify:track:3gUmEeQDdCDxVaVvoKcO6D,https://api.spotify.com/v1/tracks/3gUmEeQDdCDxVaVvoKcO6D,https://api.spotify.com/v1/audio-analysis/3gUmEeQDdCDxVaVvoKcO6D,384811,4,El Multiverse,spotify:track:3gUmEeQDdCDxVaVvoKcO6D,Raxon,6gp9WP1OleU89x2gF9w2ID
12,0.46,0.751,10,-8.307,0,0.0725,0.0591,0.537,0.0868,0.598,122.221,audio_features,5LKXix8MeUnkuO3JQO7lVa,spotify:track:5LKXix8MeUnkuO3JQO7lVa,https://api.spotify.com/v1/tracks/5LKXix8MeUnkuO3JQO7lVa,https://api.spotify.com/v1/audio-analysis/5LKXix8MeUnkuO3JQO7lVa,277446,4,Vice,spotify:track:5LKXix8MeUnkuO3JQO7lVa,Raxon,6gp9WP1OleU89x2gF9w2ID
13,0.836,0.635,11,-7.915,0,0.0999,0.0108,0.94,0.103,0.481,126.96,audio_features,0vnN8DFeScDXrvDYWPz9Sw,spotify:track:0vnN8DFeScDXrvDYWPz9Sw,https://api.spotify.com/v1/tracks/0vnN8DFeScDXrvDYWPz9Sw,https://api.spotify.com/v1/audio-analysis/0vnN8DFeScDXrvDYWPz9Sw,371120,4,Doom,spotify:track:0vnN8DFeScDXrvDYWPz9Sw,Raxon,6gp9WP1OleU89x2gF9w2ID
14,0.804,0.585,1,-9.968,1,0.0582,0.00125,0.762,0.0667,0.191,125.004,audio_features,79Gpdobtxbp2TEkhWomfeo,spotify:track:79Gpdobtxbp2TEkhWomfeo,https://api.spotify.com/v1/tracks/79Gpdobtxbp2TEkhWomfeo,https://api.spotify.com/v1/audio-analysis/79Gpdobtxbp2TEkhWomfeo,383679,4,2121,spotify:track:79Gpdobtxbp2TEkhWomfeo,Raxon,6gp9WP1OleU89x2gF9w2ID
15,0.799,0.711,0,-9.961,1,0.0689,0.00138,0.916,0.0961,0.345,128.028,audio_features,2FmiOnsEJb0mNrXFTdSfQK,spotify:track:2FmiOnsEJb0mNrXFTdSfQK,https://api.spotify.com/v1/tracks/2FmiOnsEJb0mNrXFTdSfQK,https://api.spotify.com/v1/audio-analysis/2FmiOnsEJb0mNrXFTdSfQK,364219,5,Connection,spotify:track:2FmiOnsEJb0mNrXFTdSfQK,Raxon,6gp9WP1OleU89x2gF9w2ID
