,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.375,0.951,4,-3.412,1,0.076,0.00277,8.6e-06,0.619,0.854,178.1,audio_features,1nD314wUPCu7NVTHv9g2ap,spotify:track:1nD314wUPCu7NVTHv9g2ap,https://api.spotify.com/v1/tracks/1nD314wUPCu7NVTHv9g2ap,https://api.spotify.com/v1/audio-analysis/1nD314wUPCu7NVTHv9g2ap,169707,4,Olympus Sleeping,spotify:track:1nD314wUPCu7NVTHv9g2ap,Razorlight,450iujbtN6XgiA9pv6fVZz
1,0.579,0.331,9,-7.532,0,0.0288,0.585,0.0,0.172,0.139,117.33,audio_features,5YFEqFTmsbqyamFvFA7Wdc,spotify:track:5YFEqFTmsbqyamFvFA7Wdc,https://api.spotify.com/v1/tracks/5YFEqFTmsbqyamFvFA7Wdc,https://api.spotify.com/v1/audio-analysis/5YFEqFTmsbqyamFvFA7Wdc,178280,4,Wire To Wire,spotify:track:5YFEqFTmsbqyamFvFA7Wdc,Razorlight,450iujbtN6XgiA9pv6fVZz
2,0.355,0.78,11,-6.089,0,0.0282,0.00755,0.0,0.615,0.589,107.034,audio_features,3krXJlmDbrTRpT2g8QriAe,spotify:track:3krXJlmDbrTRpT2g8QriAe,https://api.spotify.com/v1/tracks/3krXJlmDbrTRpT2g8QriAe,https://api.spotify.com/v1/audio-analysis/3krXJlmDbrTRpT2g8QriAe,224267,4,Hostage Of Love,spotify:track:3krXJlmDbrTRpT2g8QriAe,Razorlight,450iujbtN6XgiA9pv6fVZz
3,0.762,0.648,1,-7.724,0,0.0477,0.027,0.000152,0.346,0.899,114.559,audio_features,3Mc03c9dWkscvz5FaubP0n,spotify:track:3Mc03c9dWkscvz5FaubP0n,https://api.spotify.com/v1/tracks/3Mc03c9dWkscvz5FaubP0n,https://api.spotify.com/v1/audio-analysis/3Mc03c9dWkscvz5FaubP0n,204773,4,You And The Rest,spotify:track:3Mc03c9dWkscvz5FaubP0n,Razorlight,450iujbtN6XgiA9pv6fVZz
4,0.369,0.93,0,-4.825,1,0.128,0.00251,0.0,0.175,0.682,139.235,audio_features,27evtjHq40S5KgC1VPySPd,spotify:track:27evtjHq40S5KgC1VPySPd,https://api.spotify.com/v1/tracks/27evtjHq40S5KgC1VPySPd,https://api.spotify.com/v1/audio-analysis/27evtjHq40S5KgC1VPySPd,176293,4,Tabloid Lover,spotify:track:27evtjHq40S5KgC1VPySPd,Razorlight,450iujbtN6XgiA9pv6fVZz
5,0.544,0.766,2,-4.797,0,0.035,0.00102,0.00973,0.0857,0.873,121.154,audio_features,5SPFbUb09KubAi0oFh7ZT3,spotify:track:5SPFbUb09KubAi0oFh7ZT3,https://api.spotify.com/v1/tracks/5SPFbUb09KubAi0oFh7ZT3,https://api.spotify.com/v1/audio-analysis/5SPFbUb09KubAi0oFh7ZT3,204920,4,North London Trash,spotify:track:5SPFbUb09KubAi0oFh7ZT3,Razorlight,450iujbtN6XgiA9pv6fVZz
6,0.652,0.489,11,-13.841,0,0.0719,0.504,0.000416,0.0948,0.28,109.111,audio_features,37r061e9pMuQH2eiok4Byi,spotify:track:37r061e9pMuQH2eiok4Byi,https://api.spotify.com/v1/tracks/37r061e9pMuQH2eiok4Byi,https://api.spotify.com/v1/audio-analysis/37r061e9pMuQH2eiok4Byi,154067,4,60 Thompson,spotify:track:37r061e9pMuQH2eiok4Byi,Razorlight,450iujbtN6XgiA9pv6fVZz
7,0.29,0.503,9,-7.266,0,0.0342,0.000832,0.000155,0.135,0.471,179.016,audio_features,3Ms7UysuHRQzqrB5poOJxF,spotify:track:3Ms7UysuHRQzqrB5poOJxF,https://api.spotify.com/v1/tracks/3Ms7UysuHRQzqrB5poOJxF,https://api.spotify.com/v1/audio-analysis/3Ms7UysuHRQzqrB5poOJxF,253827,3,Stinger,spotify:track:3Ms7UysuHRQzqrB5poOJxF,Razorlight,450iujbtN6XgiA9pv6fVZz
8,0.637,0.945,2,-5.989,1,0.0592,0.000361,2.55e-05,0.187,0.757,129.996,audio_features,3yNYIDH6X9Syo3sVwt9FGk,spotify:track:3yNYIDH6X9Syo3sVwt9FGk,https://api.spotify.com/v1/tracks/3yNYIDH6X9Syo3sVwt9FGk,https://api.spotify.com/v1/audio-analysis/3yNYIDH6X9Syo3sVwt9FGk,208213,4,Burberry Blue Eyes,spotify:track:3yNYIDH6X9Syo3sVwt9FGk,Razorlight,450iujbtN6XgiA9pv6fVZz
9,0.326,0.578,0,-6.885,1,0.0415,0.0145,0.000255,0.0845,0.199,178.438,audio_features,3xPIq5sitwfiMRG820fy0M,spotify:track:3xPIq5sitwfiMRG820fy0M,https://api.spotify.com/v1/tracks/3xPIq5sitwfiMRG820fy0M,https://api.spotify.com/v1/audio-analysis/3xPIq5sitwfiMRG820fy0M,188987,4,Blood For Wild Blood,spotify:track:3xPIq5sitwfiMRG820fy0M,Razorlight,450iujbtN6XgiA9pv6fVZz
