,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.741,0.666,1,-5.936,0,0.0448,0.0329,1.89e-05,0.044,0.552,91.044,audio_features,1ovtvpb50WVY9VFZzHp77r,spotify:track:1ovtvpb50WVY9VFZzHp77r,https://api.spotify.com/v1/tracks/1ovtvpb50WVY9VFZzHp77r,https://api.spotify.com/v1/audio-analysis/1ovtvpb50WVY9VFZzHp77r,172057,4,Liquor Store,spotify:track:1ovtvpb50WVY9VFZzHp77r,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
1,0.754,0.672,0,-5.641,0,0.0466,0.0279,1.78e-06,0.0884,0.866,95.05,audio_features,3xJu5hrOU9OvFQSGLQiwQS,spotify:track:3xJu5hrOU9OvFQSGLQiwQS,https://api.spotify.com/v1/tracks/3xJu5hrOU9OvFQSGLQiwQS,https://api.spotify.com/v1/audio-analysis/3xJu5hrOU9OvFQSGLQiwQS,171897,4,Anthony Kiedis,spotify:track:3xJu5hrOU9OvFQSGLQiwQS,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
2,0.845,0.869,5,-5.863,1,0.081,0.0139,0.0314,0.0325,0.821,103.0,audio_features,2W47Qlm2vTrGXWXdf4lxka,spotify:track:2W47Qlm2vTrGXWXdf4lxka,https://api.spotify.com/v1/tracks/2W47Qlm2vTrGXWXdf4lxka,https://api.spotify.com/v1/audio-analysis/2W47Qlm2vTrGXWXdf4lxka,199157,4,wyd,spotify:track:2W47Qlm2vTrGXWXdf4lxka,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
3,0.802,0.771,0,-4.455,0,0.103,0.0287,0.000188,0.053,0.478,95.996,audio_features,5u7jcaSQzataRZ3EHDGGN7,spotify:track:5u7jcaSQzataRZ3EHDGGN7,https://api.spotify.com/v1/tracks/5u7jcaSQzataRZ3EHDGGN7,https://api.spotify.com/v1/audio-analysis/5u7jcaSQzataRZ3EHDGGN7,164783,4,Guerrilla,spotify:track:5u7jcaSQzataRZ3EHDGGN7,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
4,0.84,0.572,9,-4.796,1,0.28,0.0129,6.81e-06,0.0714,0.653,100.085,audio_features,1MayFYhQQvVD4IzD7dqBBj,spotify:track:1MayFYhQQvVD4IzD7dqBBj,https://api.spotify.com/v1/tracks/1MayFYhQQvVD4IzD7dqBBj,https://api.spotify.com/v1/audio-analysis/1MayFYhQQvVD4IzD7dqBBj,195039,4,Quiet On Set,spotify:track:1MayFYhQQvVD4IzD7dqBBj,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
5,0.7,0.525,5,-7.275,0,0.0673,0.0156,0.000296,0.0967,0.359,89.48,audio_features,3AwP1m76J9EXtotkxLr71B,spotify:track:3AwP1m76J9EXtotkxLr71B,https://api.spotify.com/v1/tracks/3AwP1m76J9EXtotkxLr71B,https://api.spotify.com/v1/audio-analysis/3AwP1m76J9EXtotkxLr71B,235304,4,Volkiano,spotify:track:3AwP1m76J9EXtotkxLr71B,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
6,0.559,0.717,7,-4.854,1,0.273,0.0424,0.0,0.0914,0.65,154.053,audio_features,15jNKKCmLjyGQnKzphBiO2,spotify:track:15jNKKCmLjyGQnKzphBiO2,https://api.spotify.com/v1/tracks/15jNKKCmLjyGQnKzphBiO2,https://api.spotify.com/v1/audio-analysis/15jNKKCmLjyGQnKzphBiO2,165411,4,Front Tooth,spotify:track:15jNKKCmLjyGQnKzphBiO2,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
7,0.736,0.83,5,-5.526,0,0.0657,0.0909,0.0,0.123,0.758,120.028,audio_features,5ODinRgSeHlL2Egqe3DKmb,spotify:track:5ODinRgSeHlL2Egqe3DKmb,https://api.spotify.com/v1/tracks/5ODinRgSeHlL2Egqe3DKmb,https://api.spotify.com/v1/audio-analysis/5ODinRgSeHlL2Egqe3DKmb,211186,4,Grumpy Old Man,spotify:track:5ODinRgSeHlL2Egqe3DKmb,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
8,0.59,0.909,0,-4.176,1,0.231,0.12,4.28e-05,0.0784,0.885,175.491,audio_features,5M61SSuOopCWYiZrpf8suA,spotify:track:5M61SSuOopCWYiZrpf8suA,https://api.spotify.com/v1/tracks/5M61SSuOopCWYiZrpf8suA,https://api.spotify.com/v1/audio-analysis/5M61SSuOopCWYiZrpf8suA,137168,3,Buttermilk,spotify:track:5M61SSuOopCWYiZrpf8suA,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
9,0.601,0.859,6,-3.859,0,0.0489,0.211,9.42e-05,0.107,0.632,139.808,audio_features,3V6qdRnCq1SDQh7HiWuOyH,spotify:track:3V6qdRnCq1SDQh7HiWuOyH,https://api.spotify.com/v1/tracks/3V6qdRnCq1SDQh7HiWuOyH,https://api.spotify.com/v1/audio-analysis/3V6qdRnCq1SDQh7HiWuOyH,163060,4,Sally,spotify:track:3V6qdRnCq1SDQh7HiWuOyH,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d
