,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.47,0.969,11,-6.916,0,0.106,0.000142,0.0487,0.125,0.402,135.055,audio_features,3xzPT6PC6o88vwHF06CntA,spotify:track:3xzPT6PC6o88vwHF06CntA,https://api.spotify.com/v1/tracks/3xzPT6PC6o88vwHF06CntA,https://api.spotify.com/v1/audio-analysis/3xzPT6PC6o88vwHF06CntA,232040,3,Hypnic Jerks,spotify:track:3xzPT6PC6o88vwHF06CntA,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
1,0.674,0.697,1,-6.735,1,0.513,0.00148,0.00531,0.188,0.286,135.282,audio_features,1k9Za9BAsQWUxzxDCY2RQp,spotify:track:1k9Za9BAsQWUxzxDCY2RQp,https://api.spotify.com/v1/tracks/1k9Za9BAsQWUxzxDCY2RQp,https://api.spotify.com/v1/audio-analysis/1k9Za9BAsQWUxzxDCY2RQp,197200,3,Vacuum Angle,spotify:track:1k9Za9BAsQWUxzxDCY2RQp,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
2,0.549,0.947,6,-7.034,0,0.0844,0.00339,0.905,0.044,0.96,116.581,audio_features,3GuIPfxPvS4K4ZUMJYPedD,spotify:track:3GuIPfxPvS4K4ZUMJYPedD,https://api.spotify.com/v1/tracks/3GuIPfxPvS4K4ZUMJYPedD,https://api.spotify.com/v1/audio-analysis/3GuIPfxPvS4K4ZUMJYPedD,237387,5,Mirror Instant,spotify:track:3GuIPfxPvS4K4ZUMJYPedD,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
3,0.702,0.956,9,-6.509,0,0.237,0.00917,0.846,0.102,0.425,134.985,audio_features,70cgCHyubH4Ujv13hcXiz1,spotify:track:70cgCHyubH4Ujv13hcXiz1,https://api.spotify.com/v1/tracks/70cgCHyubH4Ujv13hcXiz1,https://api.spotify.com/v1/audio-analysis/70cgCHyubH4Ujv13hcXiz1,312547,3,Metrogazer,spotify:track:70cgCHyubH4Ujv13hcXiz1,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
4,0.427,0.662,1,-8.917,0,0.164,0.00849,0.842,0.326,0.218,180.038,audio_features,3tXMsUB2y34fg0FHvI4XJj,spotify:track:3tXMsUB2y34fg0FHvI4XJj,https://api.spotify.com/v1/tracks/3tXMsUB2y34fg0FHvI4XJj,https://api.spotify.com/v1/audio-analysis/3tXMsUB2y34fg0FHvI4XJj,309333,4,Closed Curve,spotify:track:3tXMsUB2y34fg0FHvI4XJj,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
5,0.599,0.77,4,-6.204,0,0.264,0.00039,0.262,0.0198,0.396,179.955,audio_features,46UDmx81WWgIbDnWivZXn2,spotify:track:46UDmx81WWgIbDnWivZXn2,https://api.spotify.com/v1/tracks/46UDmx81WWgIbDnWivZXn2,https://api.spotify.com/v1/audio-analysis/46UDmx81WWgIbDnWivZXn2,225827,4,Opponent Process,spotify:track:46UDmx81WWgIbDnWivZXn2,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
6,0.626,0.912,8,-4.284,1,0.0588,0.000969,0.28,0.251,0.864,180.055,audio_features,40vRNLa5Z1N3jv1JM3iFlL,spotify:track:40vRNLa5Z1N3jv1JM3iFlL,https://api.spotify.com/v1/tracks/40vRNLa5Z1N3jv1JM3iFlL,https://api.spotify.com/v1/audio-analysis/40vRNLa5Z1N3jv1JM3iFlL,239667,4,Debouncing,spotify:track:40vRNLa5Z1N3jv1JM3iFlL,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
7,0.418,0.95,7,-4.397,1,0.307,0.00129,0.795,0.24,0.643,179.918,audio_features,7Jmmb4sGHSOrShAPqPbfNA,spotify:track:7Jmmb4sGHSOrShAPqPbfNA,https://api.spotify.com/v1/tracks/7Jmmb4sGHSOrShAPqPbfNA,https://api.spotify.com/v1/audio-analysis/7Jmmb4sGHSOrShAPqPbfNA,245440,4,Metaplasm,spotify:track:7Jmmb4sGHSOrShAPqPbfNA,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
8,0.693,0.52,4,-7.335,0,0.239,5.76e-05,0.935,0.0815,0.646,179.998,audio_features,4vyPuqTvZHVKsYib5nbq4O,spotify:track:4vyPuqTvZHVKsYib5nbq4O,https://api.spotify.com/v1/tracks/4vyPuqTvZHVKsYib5nbq4O,https://api.spotify.com/v1/audio-analysis/4vyPuqTvZHVKsYib5nbq4O,312587,4,Orders From the Pausing,spotify:track:4vyPuqTvZHVKsYib5nbq4O,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
9,0.564,0.856,0,-9.746,1,0.103,0.0944,0.65,0.105,0.596,95.319,audio_features,5hgyru9Gfvu81iIw1wA4g2,spotify:track:5hgyru9Gfvu81iIw1wA4g2,https://api.spotify.com/v1/tracks/5hgyru9Gfvu81iIw1wA4g2,https://api.spotify.com/v1/audio-analysis/5hgyru9Gfvu81iIw1wA4g2,237711,3,ATAXIA_A1,spotify:track:5hgyru9Gfvu81iIw1wA4g2,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
10,0.423,0.824,0,-9.59,1,0.128,0.019,0.0157,0.138,0.681,147.436,audio_features,33ykDUBEwZt11j72ImqtCi,spotify:track:33ykDUBEwZt11j72ImqtCi,https://api.spotify.com/v1/tracks/33ykDUBEwZt11j72ImqtCi,https://api.spotify.com/v1/audio-analysis/33ykDUBEwZt11j72ImqtCi,294607,4,ATAXIA_A2,spotify:track:33ykDUBEwZt11j72ImqtCi,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
11,0.304,0.921,1,-6.22,1,0.0536,0.00713,0.889,0.0708,0.0369,141.347,audio_features,6SEpy7v2yf7WOHwUmy7BuV,spotify:track:6SEpy7v2yf7WOHwUmy7BuV,https://api.spotify.com/v1/tracks/6SEpy7v2yf7WOHwUmy7BuV,https://api.spotify.com/v1/audio-analysis/6SEpy7v2yf7WOHwUmy7BuV,268782,4,ATAXIA_B1,spotify:track:6SEpy7v2yf7WOHwUmy7BuV,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
12,0.749,0.668,6,-6.055,1,0.0556,0.143,0.557,0.16,0.606,149.968,audio_features,5Fl45d6MaJN12nTso9TcvW,spotify:track:5Fl45d6MaJN12nTso9TcvW,https://api.spotify.com/v1/tracks/5Fl45d6MaJN12nTso9TcvW,https://api.spotify.com/v1/audio-analysis/5Fl45d6MaJN12nTso9TcvW,206773,4,ATAXIA_B2,spotify:track:5Fl45d6MaJN12nTso9TcvW,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
13,0.484,0.83,9,-8.372,0,0.156,0.00173,0.483,0.0949,0.546,149.656,audio_features,0Zb88atfwt4Hqbs2ANjckp,spotify:track:0Zb88atfwt4Hqbs2ANjckp,https://api.spotify.com/v1/tracks/0Zb88atfwt4Hqbs2ANjckp,https://api.spotify.com/v1/audio-analysis/0Zb88atfwt4Hqbs2ANjckp,356083,4,ATAXIA_C1,spotify:track:0Zb88atfwt4Hqbs2ANjckp,Rian Treanor,6un6trkuuP46AZM0kkY8Yx
