,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.514,0.752,4,-7.123,1,0.0386,0.185,0.0,0.113,0.816,129.716,audio_features,6LYYvLb6nG8ncuS7xHzlkt,spotify:track:6LYYvLb6nG8ncuS7xHzlkt,https://api.spotify.com/v1/tracks/6LYYvLb6nG8ncuS7xHzlkt,https://api.spotify.com/v1/audio-analysis/6LYYvLb6nG8ncuS7xHzlkt,162168,4,Be My Baby,spotify:track:6LYYvLb6nG8ncuS7xHzlkt,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
1,0.601,0.503,2,-9.004,1,0.0303,0.513,1.56e-06,0.256,0.796,121.403,audio_features,5ZtQ91qrtZnUYdzfRvkxOr,spotify:track:5ZtQ91qrtZnUYdzfRvkxOr,https://api.spotify.com/v1/tracks/5ZtQ91qrtZnUYdzfRvkxOr,https://api.spotify.com/v1/audio-analysis/5ZtQ91qrtZnUYdzfRvkxOr,197303,4,I Can Hear Music,spotify:track:5ZtQ91qrtZnUYdzfRvkxOr,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
2,0.484,0.71,2,-9.167,1,0.0499,0.389,0.00288,0.114,0.672,105.275,audio_features,2AyCjTIT0oXtDN3vOLeTcr,spotify:track:2AyCjTIT0oXtDN3vOLeTcr,https://api.spotify.com/v1/tracks/2AyCjTIT0oXtDN3vOLeTcr,https://api.spotify.com/v1/audio-analysis/2AyCjTIT0oXtDN3vOLeTcr,186514,4,(The Best Part Of) Breakin' Up,spotify:track:2AyCjTIT0oXtDN3vOLeTcr,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
3,0.458,0.708,1,-8.87,1,0.0398,0.565,0.00391,0.0362,0.357,145.042,audio_features,7boV72tTw9C2xKBVZQD3WL,spotify:track:7boV72tTw9C2xKBVZQD3WL,https://api.spotify.com/v1/tracks/7boV72tTw9C2xKBVZQD3WL,https://api.spotify.com/v1/audio-analysis/7boV72tTw9C2xKBVZQD3WL,177972,4,Do I Love You?,spotify:track:7boV72tTw9C2xKBVZQD3WL,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
4,0.424,0.45,4,-10.231,1,0.0281,0.574,5.09e-05,0.221,0.415,103.918,audio_features,1j3ZrKReZupXoiAnSJOPg0,spotify:track:1j3ZrKReZupXoiAnSJOPg0,https://api.spotify.com/v1/tracks/1j3ZrKReZupXoiAnSJOPg0,https://api.spotify.com/v1/audio-analysis/1j3ZrKReZupXoiAnSJOPg0,203651,4,Is This What I Get for Loving You?,spotify:track:1j3ZrKReZupXoiAnSJOPg0,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
5,0.549,0.8,3,-8.384,1,0.035,0.224,2.54e-05,0.0724,0.833,115.671,audio_features,5jc1utD0vP3o3jjcHoCTin,spotify:track:5jc1utD0vP3o3jjcHoCTin,https://api.spotify.com/v1/tracks/5jc1utD0vP3o3jjcHoCTin,https://api.spotify.com/v1/audio-analysis/5jc1utD0vP3o3jjcHoCTin,172225,4,"Baby, I Love You",spotify:track:5jc1utD0vP3o3jjcHoCTin,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
6,0.516,0.69,2,-7.203,1,0.034,0.247,1.39e-06,0.0771,0.664,117.932,audio_features,6ppsFVhSNszapT03LS9DW0,spotify:track:6ppsFVhSNszapT03LS9DW0,https://api.spotify.com/v1/tracks/6ppsFVhSNszapT03LS9DW0,https://api.spotify.com/v1/audio-analysis/6ppsFVhSNszapT03LS9DW0,181264,4,Here I Sit,spotify:track:6ppsFVhSNszapT03LS9DW0,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
7,0.174,0.571,2,-6.947,1,0.044,0.773,0.0002,0.146,0.272,172.843,audio_features,1Q54joLkfJiWfn6Qm98za5,spotify:track:1Q54joLkfJiWfn6Qm98za5,https://api.spotify.com/v1/tracks/1Q54joLkfJiWfn6Qm98za5,https://api.spotify.com/v1/audio-analysis/1Q54joLkfJiWfn6Qm98za5,157153,3,So Young,spotify:track:1Q54joLkfJiWfn6Qm98za5,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
8,0.495,0.655,10,-8.406,1,0.0319,0.425,0.0,0.0882,0.431,107.989,audio_features,3tSlJwwLoLVGnII7Usax3s,spotify:track:3tSlJwwLoLVGnII7Usax3s,https://api.spotify.com/v1/tracks/3tSlJwwLoLVGnII7Usax3s,https://api.spotify.com/v1/audio-analysis/3tSlJwwLoLVGnII7Usax3s,198374,4,Walking in the Rain,spotify:track:3tSlJwwLoLVGnII7Usax3s,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
9,0.397,0.79,0,-6.75,1,0.0566,0.345,0.0178,0.499,0.635,135.969,audio_features,0MMSeFaX4nAc19gaPiQt6U,spotify:track:0MMSeFaX4nAc19gaPiQt6U,https://api.spotify.com/v1/tracks/0MMSeFaX4nAc19gaPiQt6U,https://api.spotify.com/v1/audio-analysis/0MMSeFaX4nAc19gaPiQt6U,172304,4,"You Came, You Saw, You Conquered",spotify:track:0MMSeFaX4nAc19gaPiQt6U,The Ronettes,7CyeXFnOrfC1N6z4naIpgo
