,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.801,0.617,1,-7.881,1,0.447,0.0715,0.0,0.429,0.345,140.086,audio_features,2ssqGtDahECYgA3xAng0j5,spotify:track:2ssqGtDahECYgA3xAng0j5,https://api.spotify.com/v1/tracks/2ssqGtDahECYgA3xAng0j5,https://api.spotify.com/v1/audio-analysis/2ssqGtDahECYgA3xAng0j5,103131,4,The Remix,spotify:track:2ssqGtDahECYgA3xAng0j5,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
1,0.702,0.226,2,-16.08,1,0.876,0.697,0.0,0.632,0.744,135.245,audio_features,4KQU6Jmq08rG6d6vHJAzyG,spotify:track:4KQU6Jmq08rG6d6vHJAzyG,https://api.spotify.com/v1/tracks/4KQU6Jmq08rG6d6vHJAzyG,https://api.spotify.com/v1/audio-analysis/4KQU6Jmq08rG6d6vHJAzyG,48666,3,Sorry for the wait,spotify:track:4KQU6Jmq08rG6d6vHJAzyG,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
2,0.783,0.763,1,-6.181,1,0.0564,0.00353,0.0,0.459,0.457,140.13,audio_features,5uAdbUxiD52QG2nlDLdxor,spotify:track:5uAdbUxiD52QG2nlDLdxor,https://api.spotify.com/v1/tracks/5uAdbUxiD52QG2nlDLdxor,https://api.spotify.com/v1/audio-analysis/5uAdbUxiD52QG2nlDLdxor,219847,4,Awsome,spotify:track:5uAdbUxiD52QG2nlDLdxor,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
3,0.567,0.505,5,-9.225,0,0.0556,0.808,2.23e-05,0.605,0.828,125.768,audio_features,51o0ByyzXxXDLUoQ9Hsglg,spotify:track:51o0ByyzXxXDLUoQ9Hsglg,https://api.spotify.com/v1/tracks/51o0ByyzXxXDLUoQ9Hsglg,https://api.spotify.com/v1/audio-analysis/51o0ByyzXxXDLUoQ9Hsglg,54779,3,Talk to me,spotify:track:51o0ByyzXxXDLUoQ9Hsglg,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
4,0.779,0.888,4,-7.342,0,0.236,0.194,0.0,0.558,0.919,134.907,audio_features,0DNijsUNil3QqhhL5btIdk,spotify:track:0DNijsUNil3QqhhL5btIdk,https://api.spotify.com/v1/tracks/0DNijsUNil3QqhhL5btIdk,https://api.spotify.com/v1/audio-analysis/0DNijsUNil3QqhhL5btIdk,192131,4,Juice,spotify:track:0DNijsUNil3QqhhL5btIdk,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
5,0.752,0.618,5,-7.558,0,0.0644,0.00412,0.0,0.449,0.715,136.039,audio_features,1taxgKQ23PIgrg3GQh3jhA,spotify:track:1taxgKQ23PIgrg3GQh3jhA,https://api.spotify.com/v1/tracks/1taxgKQ23PIgrg3GQh3jhA,https://api.spotify.com/v1/audio-analysis/1taxgKQ23PIgrg3GQh3jhA,165747,4,Do your dance,spotify:track:1taxgKQ23PIgrg3GQh3jhA,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
6,0.639,0.861,11,-5.611,0,0.0926,0.0884,0.0,0.375,0.795,133.082,audio_features,21GBGZz2prqPrbRai2SBwZ,spotify:track:21GBGZz2prqPrbRai2SBwZ,https://api.spotify.com/v1/tracks/21GBGZz2prqPrbRai2SBwZ,https://api.spotify.com/v1/audio-analysis/21GBGZz2prqPrbRai2SBwZ,100911,4,Got you in the mood,spotify:track:21GBGZz2prqPrbRai2SBwZ,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
7,0.673,0.716,7,-4.775,0,0.0664,0.388,0.0,0.186,0.486,135.038,audio_features,75o2c34Q44qSIVOwh3R3sY,spotify:track:75o2c34Q44qSIVOwh3R3sY,https://api.spotify.com/v1/tracks/75o2c34Q44qSIVOwh3R3sY,https://api.spotify.com/v1/audio-analysis/75o2c34Q44qSIVOwh3R3sY,184163,4,Diamond girl,spotify:track:75o2c34Q44qSIVOwh3R3sY,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
8,0.654,0.283,8,-14.438,1,0.756,0.709,0.0,0.678,0.784,85.619,audio_features,0Bjl0lYpRJVf6FfnUrI9Kr,spotify:track:0Bjl0lYpRJVf6FfnUrI9Kr,https://api.spotify.com/v1/tracks/0Bjl0lYpRJVf6FfnUrI9Kr,https://api.spotify.com/v1/audio-analysis/0Bjl0lYpRJVf6FfnUrI9Kr,52846,3,Interlude,spotify:track:0Bjl0lYpRJVf6FfnUrI9Kr,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
9,0.717,0.876,11,-6.361,1,0.171,0.206,0.0,0.586,0.862,149.016,audio_features,2XYFB7unc3rlpIqm395vL9,spotify:track:2XYFB7unc3rlpIqm395vL9,https://api.spotify.com/v1/tracks/2XYFB7unc3rlpIqm395vL9,https://api.spotify.com/v1/audio-analysis/2XYFB7unc3rlpIqm395vL9,174002,4,Swish,spotify:track:2XYFB7unc3rlpIqm395vL9,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
10,0.601,0.713,7,-5.403,1,0.0356,0.0442,0.0,0.485,0.584,150.018,audio_features,3lJz8U7WnyRmaF7H5GeuWh,spotify:track:3lJz8U7WnyRmaF7H5GeuWh,https://api.spotify.com/v1/tracks/3lJz8U7WnyRmaF7H5GeuWh,https://api.spotify.com/v1/audio-analysis/3lJz8U7WnyRmaF7H5GeuWh,208039,4,Keep em coming,spotify:track:3lJz8U7WnyRmaF7H5GeuWh,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
11,0.666,0.842,1,-6.368,1,0.0699,0.00484,0.0,0.788,0.841,142.045,audio_features,5QsUKbF5cJ8fgzoLnXT0sx,spotify:track:5QsUKbF5cJ8fgzoLnXT0sx,https://api.spotify.com/v1/tracks/5QsUKbF5cJ8fgzoLnXT0sx,https://api.spotify.com/v1/audio-analysis/5QsUKbF5cJ8fgzoLnXT0sx,244140,4,Im da shit,spotify:track:5QsUKbF5cJ8fgzoLnXT0sx,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
12,0.82,0.754,1,-5.157,1,0.126,0.00836,0.0,0.396,0.2,140.075,audio_features,2dilBmRXIzh70ch6Xw3zWk,spotify:track:2dilBmRXIzh70ch6Xw3zWk,https://api.spotify.com/v1/tracks/2dilBmRXIzh70ch6Xw3zWk,https://api.spotify.com/v1/audio-analysis/2dilBmRXIzh70ch6Xw3zWk,92473,4,Still Hustlin,spotify:track:2dilBmRXIzh70ch6Xw3zWk,Roscoe Dash,0bfX8pF8kuHNCs57Ms4jZb
