,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.71,0.541,0,-6.666,1,0.0245,0.573,4.64e-05,0.203,0.582,86.971,audio_features,56xmRzvNLyYIrnwqo1xt4P,spotify:track:56xmRzvNLyYIrnwqo1xt4P,https://api.spotify.com/v1/tracks/56xmRzvNLyYIrnwqo1xt4P,https://api.spotify.com/v1/audio-analysis/56xmRzvNLyYIrnwqo1xt4P,193277,4,The Benefits of Being Alone,spotify:track:56xmRzvNLyYIrnwqo1xt4P,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
1,0.561,0.652,10,-11.094,1,0.0375,0.617,0.00194,0.183,0.469,88.431,audio_features,2kfzVzDVqCBXjI3iohwdtg,spotify:track:2kfzVzDVqCBXjI3iohwdtg,https://api.spotify.com/v1/tracks/2kfzVzDVqCBXjI3iohwdtg,https://api.spotify.com/v1/audio-analysis/2kfzVzDVqCBXjI3iohwdtg,213927,4,The Expert,spotify:track:2kfzVzDVqCBXjI3iohwdtg,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
2,0.615,0.156,0,-14.499,1,0.0333,0.948,6.45e-05,0.111,0.269,132.169,audio_features,781aL2J4XW9LVCiv7nm6Hj,spotify:track:781aL2J4XW9LVCiv7nm6Hj,https://api.spotify.com/v1/tracks/781aL2J4XW9LVCiv7nm6Hj,https://api.spotify.com/v1/audio-analysis/781aL2J4XW9LVCiv7nm6Hj,180657,3,The Agreement,spotify:track:781aL2J4XW9LVCiv7nm6Hj,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
3,0.291,0.192,0,-9.023,1,0.0343,0.954,0.000865,0.105,0.226,87.935,audio_features,2dwJjjE4Spt2ZHh2P2fYWA,spotify:track:2dwJjjE4Spt2ZHh2P2fYWA,https://api.spotify.com/v1/tracks/2dwJjjE4Spt2ZHh2P2fYWA,https://api.spotify.com/v1/audio-analysis/2dwJjjE4Spt2ZHh2P2fYWA,229600,1,The Fraud,spotify:track:2dwJjjE4Spt2ZHh2P2fYWA,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
4,0.383,0.205,0,-11.518,1,0.0563,0.957,0.0,0.123,0.489,171.473,audio_features,39SsDvzunB6KXbx1IOhnXK,spotify:track:39SsDvzunB6KXbx1IOhnXK,https://api.spotify.com/v1/tracks/39SsDvzunB6KXbx1IOhnXK,https://api.spotify.com/v1/audio-analysis/39SsDvzunB6KXbx1IOhnXK,120865,3,The Time Being (Impending Mortality Awareness Society),spotify:track:39SsDvzunB6KXbx1IOhnXK,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
5,0.502,0.0617,0,-19.251,1,0.0409,0.777,0.000771,0.145,0.0596,77.941,audio_features,0pc4qdnJ7p8Ah3YVh8cNBx,spotify:track:0pc4qdnJ7p8Ah3YVh8cNBx,https://api.spotify.com/v1/tracks/0pc4qdnJ7p8Ah3YVh8cNBx,https://api.spotify.com/v1/audio-analysis/0pc4qdnJ7p8Ah3YVh8cNBx,37290,4,The Din,spotify:track:0pc4qdnJ7p8Ah3YVh8cNBx,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
6,0.432,0.479,0,-8.513,1,0.0295,0.831,0.00218,0.098,0.197,87.523,audio_features,329KulBKIGZW1DscmYxuJo,spotify:track:329KulBKIGZW1DscmYxuJo,https://api.spotify.com/v1/tracks/329KulBKIGZW1DscmYxuJo,https://api.spotify.com/v1/audio-analysis/329KulBKIGZW1DscmYxuJo,223485,4,The Return (Love Comes Back),spotify:track:329KulBKIGZW1DscmYxuJo,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
7,0.354,0.262,2,-11.762,0,0.0282,0.91,0.00315,0.121,0.177,87.72,audio_features,7LEGwwvRtilCPvNrHxxRGw,spotify:track:7LEGwwvRtilCPvNrHxxRGw,https://api.spotify.com/v1/tracks/7LEGwwvRtilCPvNrHxxRGw,https://api.spotify.com/v1/audio-analysis/7LEGwwvRtilCPvNrHxxRGw,247631,3,The Swimmer (To Be an Old Man),spotify:track:7LEGwwvRtilCPvNrHxxRGw,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
8,0.336,0.0901,0,-12.082,1,0.037,0.981,0.000239,0.113,0.116,73.965,audio_features,4hZTVciFZZGFY71t8PqzMh,spotify:track:4hZTVciFZZGFY71t8PqzMh,https://api.spotify.com/v1/tracks/4hZTVciFZZGFY71t8PqzMh,https://api.spotify.com/v1/audio-analysis/4hZTVciFZZGFY71t8PqzMh,225043,1,The Lullaby (My Oldest Love),spotify:track:4hZTVciFZZGFY71t8PqzMh,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
9,0.271,0.289,0,-9.925,1,0.0332,0.942,0.00493,0.263,0.325,202.49,audio_features,7MY9P1FfQtQZLmwHkrVRnJ,spotify:track:7MY9P1FfQtQZLmwHkrVRnJ,https://api.spotify.com/v1/tracks/7MY9P1FfQtQZLmwHkrVRnJ,https://api.spotify.com/v1/audio-analysis/7MY9P1FfQtQZLmwHkrVRnJ,194734,3,The Benediction (A Good Woman),spotify:track:7MY9P1FfQtQZLmwHkrVRnJ,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
10,0.474,0.0821,7,-13.719,1,0.0379,0.959,0.0,0.099,0.402,126.648,audio_features,0O8x3NfiE3WyPpLWd5Wl6t,spotify:track:0O8x3NfiE3WyPpLWd5Wl6t,https://api.spotify.com/v1/tracks/0O8x3NfiE3WyPpLWd5Wl6t,https://api.spotify.com/v1/audio-analysis/0O8x3NfiE3WyPpLWd5Wl6t,242566,5,The Reprise (The Benefits of Being Alone),spotify:track:0O8x3NfiE3WyPpLWd5Wl6t,Rose Cousins,3DIk8KcmVKTr4uGw3AuCtJ
