,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.409,0.225,7,-15.091,1,0.0301,0.979,0.579,0.0871,0.0389,97.254,audio_features,2It2zlo0Ne32d6e9XsahrF,spotify:track:2It2zlo0Ne32d6e9XsahrF,https://api.spotify.com/v1/tracks/2It2zlo0Ne32d6e9XsahrF,https://api.spotify.com/v1/audio-analysis/2It2zlo0Ne32d6e9XsahrF,187293,4,Move,spotify:track:2It2zlo0Ne32d6e9XsahrF,S. Carey,2LSJrlndCuTpdEluvYHc2E
1,0.442,0.509,0,-14.601,1,0.0306,0.962,0.533,0.0952,0.281,135.934,audio_features,6xpldCdbKbxWKbJEgcgs5n,spotify:track:6xpldCdbKbxWKbJEgcgs5n,https://api.spotify.com/v1/tracks/6xpldCdbKbxWKbJEgcgs5n,https://api.spotify.com/v1/audio-analysis/6xpldCdbKbxWKbJEgcgs5n,295400,4,We Fell,spotify:track:6xpldCdbKbxWKbJEgcgs5n,S. Carey,2LSJrlndCuTpdEluvYHc2E
2,0.45,0.439,8,-12.482,1,0.0307,0.98,0.761,0.124,0.172,150.008,audio_features,7Iz1yntAp4A0OBAbQNzalc,spotify:track:7Iz1yntAp4A0OBAbQNzalc,https://api.spotify.com/v1/tracks/7Iz1yntAp4A0OBAbQNzalc,https://api.spotify.com/v1/audio-analysis/7Iz1yntAp4A0OBAbQNzalc,321813,1,In the Dirt,spotify:track:7Iz1yntAp4A0OBAbQNzalc,S. Carey,2LSJrlndCuTpdEluvYHc2E
3,0.16,0.107,4,-21.39,0,0.039,0.929,0.912,0.14,0.0368,132.009,audio_features,6USzNqNwemjZoCUcXNsmDz,spotify:track:6USzNqNwemjZoCUcXNsmDz,https://api.spotify.com/v1/tracks/6USzNqNwemjZoCUcXNsmDz,https://api.spotify.com/v1/audio-analysis/6USzNqNwemjZoCUcXNsmDz,112640,4,Rothko Fields,spotify:track:6USzNqNwemjZoCUcXNsmDz,S. Carey,2LSJrlndCuTpdEluvYHc2E
4,0.334,0.283,11,-15.497,0,0.0344,0.896,0.216,0.112,0.145,83.293,audio_features,5nIRNmns0x2Scn6bcPwCZW,spotify:track:5nIRNmns0x2Scn6bcPwCZW,https://api.spotify.com/v1/tracks/5nIRNmns0x2Scn6bcPwCZW,https://api.spotify.com/v1/audio-analysis/5nIRNmns0x2Scn6bcPwCZW,302707,4,Mothers,spotify:track:5nIRNmns0x2Scn6bcPwCZW,S. Carey,2LSJrlndCuTpdEluvYHc2E
5,0.514,0.659,2,-7.644,1,0.0305,0.323,0.743,0.102,0.505,165.964,audio_features,3zkxjxrg4AlElWKNa636xl,spotify:track:3zkxjxrg4AlElWKNa636xl,https://api.spotify.com/v1/tracks/3zkxjxrg4AlElWKNa636xl,https://api.spotify.com/v1/audio-analysis/3zkxjxrg4AlElWKNa636xl,165520,1,Action,spotify:track:3zkxjxrg4AlElWKNa636xl,S. Carey,2LSJrlndCuTpdEluvYHc2E
6,0.345,0.243,3,-16.96,1,0.0328,0.951,0.182,0.12,0.0756,129.134,audio_features,6Sd0mK1QImvbPi7SitZxx0,spotify:track:6Sd0mK1QImvbPi7SitZxx0,https://api.spotify.com/v1/tracks/6Sd0mK1QImvbPi7SitZxx0,https://api.spotify.com/v1/audio-analysis/6Sd0mK1QImvbPi7SitZxx0,310733,3,In the Stream,spotify:track:6Sd0mK1QImvbPi7SitZxx0,S. Carey,2LSJrlndCuTpdEluvYHc2E
7,0.184,0.0481,7,-15.012,1,0.0396,0.908,0.451,0.223,0.135,170.434,audio_features,6HS4Ll5SsmjxD2mb4nuLgv,spotify:track:6HS4Ll5SsmjxD2mb4nuLgv,https://api.spotify.com/v1/tracks/6HS4Ll5SsmjxD2mb4nuLgv,https://api.spotify.com/v1/audio-analysis/6HS4Ll5SsmjxD2mb4nuLgv,278587,3,All We Grow,spotify:track:6HS4Ll5SsmjxD2mb4nuLgv,S. Carey,2LSJrlndCuTpdEluvYHc2E
8,0.305,0.245,2,-12.83,1,0.0274,0.959,0.683,0.132,0.16,77.065,audio_features,5oa9syrbhQkUHU5TRgKGew,spotify:track:5oa9syrbhQkUHU5TRgKGew,https://api.spotify.com/v1/tracks/5oa9syrbhQkUHU5TRgKGew,https://api.spotify.com/v1/audio-analysis/5oa9syrbhQkUHU5TRgKGew,402213,4,Broken,spotify:track:5oa9syrbhQkUHU5TRgKGew,S. Carey,2LSJrlndCuTpdEluvYHc2E
9,0.414,0.0726,0,-17.634,1,0.0427,0.966,0.000293,0.351,0.269,113.721,audio_features,5B0FqWcBm3TKdZVn6DcYnZ,spotify:track:5B0FqWcBm3TKdZVn6DcYnZ,https://api.spotify.com/v1/tracks/5B0FqWcBm3TKdZVn6DcYnZ,https://api.spotify.com/v1/audio-analysis/5B0FqWcBm3TKdZVn6DcYnZ,299199,4,Take It With Me,spotify:track:5B0FqWcBm3TKdZVn6DcYnZ,S. Carey,2LSJrlndCuTpdEluvYHc2E
