,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.553,0.936,3,-5.563,0,0.0363,0.00932,0.0646,0.0971,0.17,129.964,audio_features,0YoQlQpZ8igWtXsS5K7ztJ,spotify:track:0YoQlQpZ8igWtXsS5K7ztJ,https://api.spotify.com/v1/tracks/0YoQlQpZ8igWtXsS5K7ztJ,https://api.spotify.com/v1/audio-analysis/0YoQlQpZ8igWtXsS5K7ztJ,196154,4,Love Is Gone - Armin van Buuren Remix,spotify:track:0YoQlQpZ8igWtXsS5K7ztJ,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
1,0.626,0.787,6,-6.102,1,0.0461,0.0554,1.51e-05,0.0995,0.386,129.972,audio_features,23BLGGKuPPVHRTSdhbKO5W,spotify:track:23BLGGKuPPVHRTSdhbKO5W,https://api.spotify.com/v1/tracks/23BLGGKuPPVHRTSdhbKO5W,https://api.spotify.com/v1/audio-analysis/23BLGGKuPPVHRTSdhbKO5W,137125,4,Love Is Gone - Alok Remix,spotify:track:23BLGGKuPPVHRTSdhbKO5W,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
2,0.559,0.953,3,-3.786,0,0.135,0.044,0.0144,0.525,0.0848,125.964,audio_features,5nZsm5B2QncR204CngdoRe,spotify:track:5nZsm5B2QncR204CngdoRe,https://api.spotify.com/v1/tracks/5nZsm5B2QncR204CngdoRe,https://api.spotify.com/v1/audio-analysis/5nZsm5B2QncR204CngdoRe,243429,4,Love Is Gone - Kaskade Remix,spotify:track:5nZsm5B2QncR204CngdoRe,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
3,0.657,0.67,6,-8.179,1,0.0803,0.0644,0.0,0.432,0.299,109.966,audio_features,5O6KWni3z47qonA3Rk5A8h,spotify:track:5O6KWni3z47qonA3Rk5A8h,https://api.spotify.com/v1/tracks/5O6KWni3z47qonA3Rk5A8h,https://api.spotify.com/v1/audio-analysis/5O6KWni3z47qonA3Rk5A8h,150545,4,Love Is Gone - R3HAB Remix,spotify:track:5O6KWni3z47qonA3Rk5A8h,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
4,0.264,0.956,11,-1.758,1,0.0694,0.00182,0.151,0.0919,0.0361,138.143,audio_features,5gopgUCFUOnS60WqZRvDX4,spotify:track:5gopgUCFUOnS60WqZRvDX4,https://api.spotify.com/v1/tracks/5gopgUCFUOnS60WqZRvDX4,https://api.spotify.com/v1/audio-analysis/5gopgUCFUOnS60WqZRvDX4,363429,4,Suffer (feat. Elle Vee),spotify:track:5gopgUCFUOnS60WqZRvDX4,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
5,0.626,0.787,6,-6.102,1,0.0461,0.0554,1.51e-05,0.0995,0.386,129.972,audio_features,1tpTV7D5TwPBKgb2JaciMm,spotify:track:1tpTV7D5TwPBKgb2JaciMm,https://api.spotify.com/v1/tracks/1tpTV7D5TwPBKgb2JaciMm,https://api.spotify.com/v1/audio-analysis/1tpTV7D5TwPBKgb2JaciMm,137125,4,Love Is Gone - Alok Remix,spotify:track:1tpTV7D5TwPBKgb2JaciMm,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
6,0.559,0.953,3,-3.786,0,0.135,0.044,0.0144,0.525,0.0848,125.964,audio_features,5eMZu4uqS0Bcg00N5EPP8P,spotify:track:5eMZu4uqS0Bcg00N5EPP8P,https://api.spotify.com/v1/tracks/5eMZu4uqS0Bcg00N5EPP8P,https://api.spotify.com/v1/audio-analysis/5eMZu4uqS0Bcg00N5EPP8P,243429,4,Love Is Gone - Kaskade Remix,spotify:track:5eMZu4uqS0Bcg00N5EPP8P,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
7,0.657,0.67,6,-8.179,1,0.0803,0.0644,0.0,0.432,0.299,109.966,audio_features,7aMvsW0oMIKMgsDHmwP9vn,spotify:track:7aMvsW0oMIKMgsDHmwP9vn,https://api.spotify.com/v1/tracks/7aMvsW0oMIKMgsDHmwP9vn,https://api.spotify.com/v1/audio-analysis/7aMvsW0oMIKMgsDHmwP9vn,150545,4,Love Is Gone - R3HAB Remix,spotify:track:7aMvsW0oMIKMgsDHmwP9vn,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
8,0.559,0.953,3,-3.786,0,0.135,0.044,0.0144,0.525,0.0848,125.964,audio_features,6UMbXtJQL8dRQfiLdFh63O,spotify:track:6UMbXtJQL8dRQfiLdFh63O,https://api.spotify.com/v1/tracks/6UMbXtJQL8dRQfiLdFh63O,https://api.spotify.com/v1/audio-analysis/6UMbXtJQL8dRQfiLdFh63O,243429,4,Love Is Gone - Kaskade Remix,spotify:track:6UMbXtJQL8dRQfiLdFh63O,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
9,0.657,0.67,6,-8.179,1,0.0803,0.0644,0.0,0.432,0.299,109.966,audio_features,0CDE5WIhDCFBfdyVY3jaqD,spotify:track:0CDE5WIhDCFBfdyVY3jaqD,https://api.spotify.com/v1/tracks/0CDE5WIhDCFBfdyVY3jaqD,https://api.spotify.com/v1/audio-analysis/0CDE5WIhDCFBfdyVY3jaqD,150545,4,Love Is Gone - R3HAB Remix,spotify:track:0CDE5WIhDCFBfdyVY3jaqD,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
10,0.392,0.472,1,-7.225,0,0.0481,0.0883,1.42e-06,0.0954,0.0526,74.473,audio_features,2lxoIZS8tpFwbiJyrDYguI,spotify:track:2lxoIZS8tpFwbiJyrDYguI,https://api.spotify.com/v1/tracks/2lxoIZS8tpFwbiJyrDYguI,https://api.spotify.com/v1/audio-analysis/2lxoIZS8tpFwbiJyrDYguI,200000,4,Miss You,spotify:track:2lxoIZS8tpFwbiJyrDYguI,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
11,0.657,0.67,6,-8.179,1,0.0803,0.0644,0.0,0.432,0.299,109.966,audio_features,356bcy3BLWuyUwOi56pb87,spotify:track:356bcy3BLWuyUwOi56pb87,https://api.spotify.com/v1/tracks/356bcy3BLWuyUwOi56pb87,https://api.spotify.com/v1/audio-analysis/356bcy3BLWuyUwOi56pb87,150545,4,Love Is Gone - R3HAB Remix,spotify:track:356bcy3BLWuyUwOi56pb87,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
12,0.631,0.862,2,-3.642,0,0.0999,0.153,0.00109,0.107,0.39,149.939,audio_features,5qCpcgqwL1Hum85sAQz3W7,spotify:track:5qCpcgqwL1Hum85sAQz3W7,https://api.spotify.com/v1/tracks/5qCpcgqwL1Hum85sAQz3W7,https://api.spotify.com/v1/audio-analysis/5qCpcgqwL1Hum85sAQz3W7,364800,4,Gravity,spotify:track:5qCpcgqwL1Hum85sAQz3W7,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
13,0.403,0.75,11,-4.781,1,0.0419,0.0157,0.0,0.117,0.187,145.204,audio_features,6bKr1OdjfJq2zv297uQlCq,spotify:track:6bKr1OdjfJq2zv297uQlCq,https://api.spotify.com/v1/tracks/6bKr1OdjfJq2zv297uQlCq,https://api.spotify.com/v1/audio-analysis/6bKr1OdjfJq2zv297uQlCq,258000,4,When I'm With You (feat. neverwaves),spotify:track:6bKr1OdjfJq2zv297uQlCq,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
14,0.383,0.843,1,-6.438,1,0.0656,0.00672,0.0,0.176,0.314,149.978,audio_features,07ImPoPqKNwqucuPEZooBj,spotify:track:07ImPoPqKNwqucuPEZooBj,https://api.spotify.com/v1/tracks/07ImPoPqKNwqucuPEZooBj,https://api.spotify.com/v1/audio-analysis/07ImPoPqKNwqucuPEZooBj,287600,4,"Anywhere (feat. shYbeast, PLYA)",spotify:track:07ImPoPqKNwqucuPEZooBj,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
15,0.58,0.392,6,-8.92,1,0.0332,0.422,0.0156,0.114,0.173,139.985,audio_features,3F4HFMlD7l1qKTG4h4CALU,spotify:track:3F4HFMlD7l1qKTG4h4CALU,https://api.spotify.com/v1/tracks/3F4HFMlD7l1qKTG4h4CALU,https://api.spotify.com/v1/audio-analysis/3F4HFMlD7l1qKTG4h4CALU,476977,4,Love Is Gone (Orchestral Cover),spotify:track:3F4HFMlD7l1qKTG4h4CALU,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
16,0.533,0.919,4,-3.395,1,0.0477,0.000404,0.185,0.525,0.23,173.972,audio_features,04gpFR5gsNonaD6nLu5ync,spotify:track:04gpFR5gsNonaD6nLu5ync,https://api.spotify.com/v1/tracks/04gpFR5gsNonaD6nLu5ync,https://api.spotify.com/v1/audio-analysis/04gpFR5gsNonaD6nLu5ync,259397,4,Back To U - Matrix & Futurebound Remix,spotify:track:04gpFR5gsNonaD6nLu5ync,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
17,0.583,0.76,4,-6.156,1,0.0378,0.0976,0.0,0.158,0.368,75.004,audio_features,5ZACIpXSNa9YhFk49VAoEy,spotify:track:5ZACIpXSNa9YhFk49VAoEy,https://api.spotify.com/v1/tracks/5ZACIpXSNa9YhFk49VAoEy,https://api.spotify.com/v1/audio-analysis/5ZACIpXSNa9YhFk49VAoEy,208000,4,Back To U - Fairlane Remix,spotify:track:5ZACIpXSNa9YhFk49VAoEy,SLANDER,20DZAfCuP1TKZl5KcY7z3Q
