,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.547,0.523,8,-5.941,0,0.0417,0.263,0.0,0.119,0.552,139.877,audio_features,2eERPCnEASDryboG6CVNxL,spotify:track:2eERPCnEASDryboG6CVNxL,https://api.spotify.com/v1/tracks/2eERPCnEASDryboG6CVNxL,https://api.spotify.com/v1/audio-analysis/2eERPCnEASDryboG6CVNxL,216155,4,We Forgot We Were Dreaming,spotify:track:2eERPCnEASDryboG6CVNxL,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
1,0.683,0.875,0,-4.61,0,0.0364,0.0217,0.0266,0.12,0.646,102.997,audio_features,4aqaZVU31tQIq5don6wZ66,spotify:track:4aqaZVU31tQIq5don6wZ66,https://api.spotify.com/v1/tracks/4aqaZVU31tQIq5don6wZ66,https://api.spotify.com/v1/audio-analysis/4aqaZVU31tQIq5don6wZ66,204428,4,Right Way Round,spotify:track:4aqaZVU31tQIq5don6wZ66,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
2,0.461,0.692,11,-5.389,0,0.122,0.26,0.0,0.103,0.653,113.0,audio_features,1kEVtfdojsbjGpLG3GtBoo,spotify:track:1kEVtfdojsbjGpLG3GtBoo,https://api.spotify.com/v1/tracks/1kEVtfdojsbjGpLG3GtBoo,https://api.spotify.com/v1/audio-analysis/1kEVtfdojsbjGpLG3GtBoo,162551,4,Love This Way,spotify:track:1kEVtfdojsbjGpLG3GtBoo,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
3,0.648,0.787,11,-5.874,1,0.042,0.0501,0.0,0.0532,0.858,100.044,audio_features,6cVv0XEGTLdbTzjNQTqS3c,spotify:track:6cVv0XEGTLdbTzjNQTqS3c,https://api.spotify.com/v1/tracks/6cVv0XEGTLdbTzjNQTqS3c,https://api.spotify.com/v1/audio-analysis/6cVv0XEGTLdbTzjNQTqS3c,217721,4,Talk,spotify:track:6cVv0XEGTLdbTzjNQTqS3c,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
4,0.507,0.445,2,-8.263,1,0.127,0.771,0.0,0.11,0.332,169.842,audio_features,7nqSjm7gjiqwhqs7D5VAtj,spotify:track:7nqSjm7gjiqwhqs7D5VAtj,https://api.spotify.com/v1/tracks/7nqSjm7gjiqwhqs7D5VAtj,https://api.spotify.com/v1/audio-analysis/7nqSjm7gjiqwhqs7D5VAtj,186944,4,Alright,spotify:track:7nqSjm7gjiqwhqs7D5VAtj,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
5,0.675,0.737,11,-5.453,1,0.0369,0.0233,0.0051,0.184,0.805,139.977,audio_features,2rn5JyZov4pDxdc9cxaMkC,spotify:track:2rn5JyZov4pDxdc9cxaMkC,https://api.spotify.com/v1/tracks/2rn5JyZov4pDxdc9cxaMkC,https://api.spotify.com/v1/audio-analysis/2rn5JyZov4pDxdc9cxaMkC,204057,4,Wide Eyed Blind,spotify:track:2rn5JyZov4pDxdc9cxaMkC,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
6,0.565,0.737,6,-6.731,0,0.0409,0.109,0.000861,0.121,0.536,168.037,audio_features,4QZ6ZdTglMt2SHazWTRAxw,spotify:track:4QZ6ZdTglMt2SHazWTRAxw,https://api.spotify.com/v1/tracks/4QZ6ZdTglMt2SHazWTRAxw,https://api.spotify.com/v1/audio-analysis/4QZ6ZdTglMt2SHazWTRAxw,200707,4,Solid Gold,spotify:track:4QZ6ZdTglMt2SHazWTRAxw,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
7,0.626,0.64,1,-7.788,0,0.0542,0.447,0.00926,0.0938,0.338,157.947,audio_features,3pnqV6kNJDH9HGCaPBLxL1,spotify:track:3pnqV6kNJDH9HGCaPBLxL1,https://api.spotify.com/v1/tracks/3pnqV6kNJDH9HGCaPBLxL1,https://api.spotify.com/v1/audio-analysis/3pnqV6kNJDH9HGCaPBLxL1,237401,4,Soft Landing,spotify:track:3pnqV6kNJDH9HGCaPBLxL1,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
8,0.539,0.932,10,-6.749,1,0.0361,0.00425,0.000553,0.106,0.935,150.028,audio_features,03ZubJaOQB1bnrpYXwXmL7,spotify:track:03ZubJaOQB1bnrpYXwXmL7,https://api.spotify.com/v1/tracks/03ZubJaOQB1bnrpYXwXmL7,https://api.spotify.com/v1/audio-analysis/03ZubJaOQB1bnrpYXwXmL7,197648,4,Gone by Morning,spotify:track:03ZubJaOQB1bnrpYXwXmL7,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
9,0.529,0.843,7,-6.045,0,0.0679,0.0278,1.68e-05,0.0865,0.902,196.928,audio_features,7l0TmG1Y8gY2lrFNrtl5FP,spotify:track:7l0TmG1Y8gY2lrFNrtl5FP,https://api.spotify.com/v1/tracks/7l0TmG1Y8gY2lrFNrtl5FP,https://api.spotify.com/v1/audio-analysis/7l0TmG1Y8gY2lrFNrtl5FP,199924,4,Killer,spotify:track:7l0TmG1Y8gY2lrFNrtl5FP,Saint Raymond,1eIoJGCu3rShrRm2wfOhN8
