,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.491,0.31,3,-16.497,1,0.0307,0.617,0.506,0.108,0.292,75.044,audio_features,6EVOAAcn3TZu6JW9ktVTUe,spotify:track:6EVOAAcn3TZu6JW9ktVTUe,https://api.spotify.com/v1/tracks/6EVOAAcn3TZu6JW9ktVTUe,https://api.spotify.com/v1/audio-analysis/6EVOAAcn3TZu6JW9ktVTUe,219807,3,Oheja,spotify:track:6EVOAAcn3TZu6JW9ktVTUe,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
1,0.641,0.595,5,-15.819,0,0.0369,0.23,0.278,0.164,0.449,109.995,audio_features,37LW3mRhTxd31cnmvZDMAN,spotify:track:37LW3mRhTxd31cnmvZDMAN,https://api.spotify.com/v1/tracks/37LW3mRhTxd31cnmvZDMAN,https://api.spotify.com/v1/audio-analysis/37LW3mRhTxd31cnmvZDMAN,226640,4,In Circles,spotify:track:37LW3mRhTxd31cnmvZDMAN,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
2,0.569,0.205,3,-18.123,0,0.0347,0.87,0.0686,0.111,0.125,131.787,audio_features,5T116NnDXJd7HOG7h3zxjV,spotify:track:5T116NnDXJd7HOG7h3zxjV,https://api.spotify.com/v1/tracks/5T116NnDXJd7HOG7h3zxjV,https://api.spotify.com/v1/audio-analysis/5T116NnDXJd7HOG7h3zxjV,267955,4,Ocean Child,spotify:track:5T116NnDXJd7HOG7h3zxjV,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
3,0.604,0.259,2,-14.252,0,0.0388,0.159,0.372,0.143,0.0698,77.105,audio_features,5iUij4XXp1hkU11qxN1yiw,spotify:track:5iUij4XXp1hkU11qxN1yiw,https://api.spotify.com/v1/tracks/5iUij4XXp1hkU11qxN1yiw,https://api.spotify.com/v1/audio-analysis/5iUij4XXp1hkU11qxN1yiw,198000,4,Glow,spotify:track:5iUij4XXp1hkU11qxN1yiw,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
4,0.619,0.399,1,-15.793,0,0.0303,0.457,0.0163,0.0809,0.326,99.973,audio_features,5wQkBUCDOfY1iGqNX1UvWP,spotify:track:5wQkBUCDOfY1iGqNX1UvWP,https://api.spotify.com/v1/tracks/5wQkBUCDOfY1iGqNX1UvWP,https://api.spotify.com/v1/audio-analysis/5wQkBUCDOfY1iGqNX1UvWP,188086,4,Indigo Blue,spotify:track:5wQkBUCDOfY1iGqNX1UvWP,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
5,0.469,0.298,2,-13.463,0,0.0272,0.315,0.167,0.172,0.101,95.947,audio_features,16dLlX89HCh3ZogNmULswM,spotify:track:16dLlX89HCh3ZogNmULswM,https://api.spotify.com/v1/tracks/16dLlX89HCh3ZogNmULswM,https://api.spotify.com/v1/audio-analysis/16dLlX89HCh3ZogNmULswM,283958,4,Colossus,spotify:track:16dLlX89HCh3ZogNmULswM,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
6,0.651,0.155,0,-17.034,1,0.0333,0.759,0.0296,0.0809,0.161,120.018,audio_features,3g1uQWVjFdAJHRaFTeVv5h,spotify:track:3g1uQWVjFdAJHRaFTeVv5h,https://api.spotify.com/v1/tracks/3g1uQWVjFdAJHRaFTeVv5h,https://api.spotify.com/v1/audio-analysis/3g1uQWVjFdAJHRaFTeVv5h,284163,4,Our Home,spotify:track:3g1uQWVjFdAJHRaFTeVv5h,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
7,0.576,0.338,11,-15.527,0,0.0401,0.346,0.483,0.113,0.0797,99.99,audio_features,6eenN4O3R8vTjniY5uBYKn,spotify:track:6eenN4O3R8vTjniY5uBYKn,https://api.spotify.com/v1/tracks/6eenN4O3R8vTjniY5uBYKn,https://api.spotify.com/v1/audio-analysis/6eenN4O3R8vTjniY5uBYKn,243900,4,Children of the Universe,spotify:track:6eenN4O3R8vTjniY5uBYKn,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
8,0.521,0.243,10,-15.407,1,0.034,0.377,0.0374,0.119,0.0586,119.944,audio_features,22josMnweuZ1oAuoLVCQqL,spotify:track:22josMnweuZ1oAuoLVCQqL,https://api.spotify.com/v1/tracks/22josMnweuZ1oAuoLVCQqL,https://api.spotify.com/v1/audio-analysis/22josMnweuZ1oAuoLVCQqL,225750,4,Continue,spotify:track:22josMnweuZ1oAuoLVCQqL,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
9,0.448,0.191,8,-18.237,1,0.0355,0.837,0.00221,0.109,0.217,160.106,audio_features,2YH988wszx353J2D8qO9tT,spotify:track:2YH988wszx353J2D8qO9tT,https://api.spotify.com/v1/tracks/2YH988wszx353J2D8qO9tT,https://api.spotify.com/v1/audio-analysis/2YH988wszx353J2D8qO9tT,234703,3,Doors,spotify:track:2YH988wszx353J2D8qO9tT,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
10,0.243,0.0226,0,-27.717,1,0.0382,0.887,0.933,0.111,0.0792,112.782,audio_features,2eCmYaIpEu1hmuqu8J8tYg,spotify:track:2eCmYaIpEu1hmuqu8J8tYg,https://api.spotify.com/v1/tracks/2eCmYaIpEu1hmuqu8J8tYg,https://api.spotify.com/v1/audio-analysis/2eCmYaIpEu1hmuqu8J8tYg,98375,4,Wander,spotify:track:2eCmYaIpEu1hmuqu8J8tYg,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
11,0.618,0.0493,11,-17.546,1,0.0366,0.946,9.99e-05,0.113,0.134,138.959,audio_features,6jwKJGakof1tMmVddKnWoW,spotify:track:6jwKJGakof1tMmVddKnWoW,https://api.spotify.com/v1/tracks/6jwKJGakof1tMmVddKnWoW,https://api.spotify.com/v1/audio-analysis/6jwKJGakof1tMmVddKnWoW,308107,4,A Thousand Hues - After Midnight,spotify:track:6jwKJGakof1tMmVddKnWoW,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
12,0.421,0.116,10,-17.916,1,0.0446,0.939,0.000399,0.113,0.414,90.727,audio_features,0bIHT2AaXfaOu1kFu6fpAU,spotify:track:0bIHT2AaXfaOu1kFu6fpAU,https://api.spotify.com/v1/tracks/0bIHT2AaXfaOu1kFu6fpAU,https://api.spotify.com/v1/audio-analysis/0bIHT2AaXfaOu1kFu6fpAU,200822,3,Carry On - After Midnight,spotify:track:0bIHT2AaXfaOu1kFu6fpAU,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
13,0.694,0.0503,11,-18.223,0,0.0487,0.929,0.0,0.109,0.263,116.543,audio_features,0F0UiqIoVq01FaVVoQ0Lps,spotify:track:0F0UiqIoVq01FaVVoQ0Lps,https://api.spotify.com/v1/tracks/0F0UiqIoVq01FaVVoQ0Lps,https://api.spotify.com/v1/audio-analysis/0F0UiqIoVq01FaVVoQ0Lps,218904,3,Cherokee - After Midnight,spotify:track:0F0UiqIoVq01FaVVoQ0Lps,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
14,0.587,0.0371,1,-16.898,1,0.0401,0.943,1.39e-05,0.128,0.121,105.41,audio_features,4E0sXrGoDnGS20Bq2RMSS3,spotify:track:4E0sXrGoDnGS20Bq2RMSS3,https://api.spotify.com/v1/tracks/4E0sXrGoDnGS20Bq2RMSS3,https://api.spotify.com/v1/audio-analysis/4E0sXrGoDnGS20Bq2RMSS3,245773,4,Don't Panic - After Midnight,spotify:track:4E0sXrGoDnGS20Bq2RMSS3,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
15,0.675,0.0584,10,-19.385,1,0.0418,0.943,1.64e-05,0.111,0.445,105.729,audio_features,18N7y8CQornzh0wknhu36R,spotify:track:18N7y8CQornzh0wknhu36R,https://api.spotify.com/v1/tracks/18N7y8CQornzh0wknhu36R,https://api.spotify.com/v1/audio-analysis/18N7y8CQornzh0wknhu36R,242122,4,Paper Plane Pilot - After Midnight,spotify:track:18N7y8CQornzh0wknhu36R,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
16,0.691,0.0165,7,-21.749,0,0.0925,0.929,0.0137,0.111,0.073,99.184,audio_features,7bVJfNIWSmxkXdpkfk21Cm,spotify:track:7bVJfNIWSmxkXdpkfk21Cm,https://api.spotify.com/v1/tracks/7bVJfNIWSmxkXdpkfk21Cm,https://api.spotify.com/v1/audio-analysis/7bVJfNIWSmxkXdpkfk21Cm,55217,3,Yonder - After Midnight,spotify:track:7bVJfNIWSmxkXdpkfk21Cm,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
17,0.586,0.0281,1,-19.678,1,0.0387,0.976,0.0336,0.103,0.152,134.693,audio_features,2DixyXyZXTzBTOKAQ5d3lr,spotify:track:2DixyXyZXTzBTOKAQ5d3lr,https://api.spotify.com/v1/tracks/2DixyXyZXTzBTOKAQ5d3lr,https://api.spotify.com/v1/audio-analysis/2DixyXyZXTzBTOKAQ5d3lr,206628,4,Tomorrow Never Ends - After Midnight,spotify:track:2DixyXyZXTzBTOKAQ5d3lr,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
18,0.559,0.0475,6,-18.968,0,0.0398,0.927,1.3e-05,0.0977,0.173,105.743,audio_features,0FEWePC86jQHYzsBneY38y,spotify:track:0FEWePC86jQHYzsBneY38y,https://api.spotify.com/v1/tracks/0FEWePC86jQHYzsBneY38y,https://api.spotify.com/v1/audio-analysis/0FEWePC86jQHYzsBneY38y,259549,4,Lazarus - After Midnight,spotify:track:0FEWePC86jQHYzsBneY38y,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
19,0.56,0.04,4,-20.643,0,0.0399,0.941,0.00972,0.0714,0.174,138.109,audio_features,52b031sXbngTccNh58XWBd,spotify:track:52b031sXbngTccNh58XWBd,https://api.spotify.com/v1/tracks/52b031sXbngTccNh58XWBd,https://api.spotify.com/v1/audio-analysis/52b031sXbngTccNh58XWBd,241124,4,Everything - After Midnight,spotify:track:52b031sXbngTccNh58XWBd,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
20,0.515,0.0608,0,-17.93,1,0.0493,0.957,7.45e-06,0.381,0.329,90.924,audio_features,0lMuFsA9l1xm59y5H6S55z,spotify:track:0lMuFsA9l1xm59y5H6S55z,https://api.spotify.com/v1/tracks/0lMuFsA9l1xm59y5H6S55z,https://api.spotify.com/v1/audio-analysis/0lMuFsA9l1xm59y5H6S55z,246893,4,Zanzibar - After Midnight,spotify:track:0lMuFsA9l1xm59y5H6S55z,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
21,0.603,0.00722,8,-21.603,0,0.0448,0.939,0.00142,0.124,0.213,117.257,audio_features,5e3J28eP9FcGMwyosmWBeK,spotify:track:5e3J28eP9FcGMwyosmWBeK,https://api.spotify.com/v1/tracks/5e3J28eP9FcGMwyosmWBeK,https://api.spotify.com/v1/audio-analysis/5e3J28eP9FcGMwyosmWBeK,229793,4,Asphalt - After Midnight,spotify:track:5e3J28eP9FcGMwyosmWBeK,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
22,0.419,0.0427,11,-18.55,0,0.0596,0.933,0.0,0.0909,0.241,198.895,audio_features,6p5nZRSkKQC75ZrJDR9LEc,spotify:track:6p5nZRSkKQC75ZrJDR9LEc,https://api.spotify.com/v1/tracks/6p5nZRSkKQC75ZrJDR9LEc,https://api.spotify.com/v1/audio-analysis/6p5nZRSkKQC75ZrJDR9LEc,162464,3,The End of My Odyssey - After Midnight,spotify:track:6p5nZRSkKQC75ZrJDR9LEc,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
23,0.528,0.23,11,-17.422,1,0.0336,0.8,0.00796,0.107,0.28,96.3,audio_features,5rY5CppUtXXvg3Aa1viHnd,spotify:track:5rY5CppUtXXvg3Aa1viHnd,https://api.spotify.com/v1/tracks/5rY5CppUtXXvg3Aa1viHnd,https://api.spotify.com/v1/audio-analysis/5rY5CppUtXXvg3Aa1viHnd,270960,4,A Thousand Hues,spotify:track:5rY5CppUtXXvg3Aa1viHnd,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
24,0.373,0.358,10,-11.464,1,0.0395,0.76,0.00848,0.101,0.104,99.842,audio_features,0N6NxmdWSRlHMJeMYNIu3R,spotify:track:0N6NxmdWSRlHMJeMYNIu3R,https://api.spotify.com/v1/tracks/0N6NxmdWSRlHMJeMYNIu3R,https://api.spotify.com/v1/audio-analysis/0N6NxmdWSRlHMJeMYNIu3R,235813,3,Carry On,spotify:track:0N6NxmdWSRlHMJeMYNIu3R,Sean Christopher,0e4vnHBYwY6LQqrhutIcnj
