,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.625,0.863,1,-5.009,0,0.04,0.00557,0.00138,0.0916,0.631,100.04,audio_features,0ahwWC6WVFaHaSCu26Meec,spotify:track:0ahwWC6WVFaHaSCu26Meec,https://api.spotify.com/v1/tracks/0ahwWC6WVFaHaSCu26Meec,https://api.spotify.com/v1/audio-analysis/0ahwWC6WVFaHaSCu26Meec,251464,4,On My Own,spotify:track:0ahwWC6WVFaHaSCu26Meec,Shamir,7JgXEHI1oEiQICAMeCsKTj
1,0.727,0.633,6,-11.586,1,0.564,0.813,0.0,0.825,0.892,121.257,audio_features,59gffxI3hYkoirvOMSPXmt,spotify:track:59gffxI3hYkoirvOMSPXmt,https://api.spotify.com/v1/tracks/59gffxI3hYkoirvOMSPXmt,https://api.spotify.com/v1/audio-analysis/59gffxI3hYkoirvOMSPXmt,15126,3,Junglepussy Juice,spotify:track:59gffxI3hYkoirvOMSPXmt,Shamir,7JgXEHI1oEiQICAMeCsKTj
2,0.611,0.639,7,-7.573,1,0.0271,7.46e-05,0.0226,0.274,0.504,107.001,audio_features,6elhJIygvlAJWprhPOSqX7,spotify:track:6elhJIygvlAJWprhPOSqX7,https://api.spotify.com/v1/tracks/6elhJIygvlAJWprhPOSqX7,https://api.spotify.com/v1/audio-analysis/6elhJIygvlAJWprhPOSqX7,169936,4,Paranoia,spotify:track:6elhJIygvlAJWprhPOSqX7,Shamir,7JgXEHI1oEiQICAMeCsKTj
3,0.619,0.917,0,-5.775,1,0.0304,0.00107,0.471,0.375,0.855,119.984,audio_features,2CQg3H5Ac50mwqAIIvzX51,spotify:track:2CQg3H5Ac50mwqAIIvzX51,https://api.spotify.com/v1/tracks/2CQg3H5Ac50mwqAIIvzX51,https://api.spotify.com/v1/audio-analysis/2CQg3H5Ac50mwqAIIvzX51,178030,4,Running,spotify:track:2CQg3H5Ac50mwqAIIvzX51,Shamir,7JgXEHI1oEiQICAMeCsKTj
4,0.636,0.405,8,-9.46,1,0.663,0.924,0.0,0.839,0.788,77.247,audio_features,6MIbzmIdIY4qGIhKfLTD23,spotify:track:6MIbzmIdIY4qGIhKfLTD23,https://api.spotify.com/v1/tracks/6MIbzmIdIY4qGIhKfLTD23,https://api.spotify.com/v1/audio-analysis/6MIbzmIdIY4qGIhKfLTD23,15170,3,River Is About to Die in This Garage,spotify:track:6MIbzmIdIY4qGIhKfLTD23,Shamir,7JgXEHI1oEiQICAMeCsKTj
5,0.597,0.922,4,-4.764,0,0.0386,0.00343,0.283,0.289,0.375,99.981,audio_features,48VXUEzk4vfVuHNznH9msl,spotify:track:48VXUEzk4vfVuHNznH9msl,https://api.spotify.com/v1/tracks/48VXUEzk4vfVuHNznH9msl,https://api.spotify.com/v1/audio-analysis/48VXUEzk4vfVuHNznH9msl,198950,4,Other Side,spotify:track:48VXUEzk4vfVuHNznH9msl,Shamir,7JgXEHI1oEiQICAMeCsKTj
6,0.388,0.744,11,-7.043,0,0.0446,8.88e-06,0.873,0.216,0.501,169.994,audio_features,25o8N4GXIgs67SYAWizO7K,spotify:track:25o8N4GXIgs67SYAWizO7K,https://api.spotify.com/v1/tracks/25o8N4GXIgs67SYAWizO7K,https://api.spotify.com/v1/audio-analysis/25o8N4GXIgs67SYAWizO7K,223139,4,Pretty When I’m Sad,spotify:track:25o8N4GXIgs67SYAWizO7K,Shamir,7JgXEHI1oEiQICAMeCsKTj
7,0.0,0.603,11,-11.159,1,0.0,0.547,3.26e-05,0.395,0.0,0.0,audio_features,5XayNRHtZVnKAzA9mGc4Ll,spotify:track:5XayNRHtZVnKAzA9mGc4Ll,https://api.spotify.com/v1/tracks/5XayNRHtZVnKAzA9mGc4Ll,https://api.spotify.com/v1/audio-analysis/5XayNRHtZVnKAzA9mGc4Ll,14032,0,There We Go,spotify:track:5XayNRHtZVnKAzA9mGc4Ll,Shamir,7JgXEHI1oEiQICAMeCsKTj
8,0.654,0.696,7,-6.795,1,0.0482,0.000646,1.42e-05,0.395,0.702,119.993,audio_features,5k0yxFSktMecsYRc0O3mEo,spotify:track:5k0yxFSktMecsYRc0O3mEo,https://api.spotify.com/v1/tracks/5k0yxFSktMecsYRc0O3mEo,https://api.spotify.com/v1/audio-analysis/5k0yxFSktMecsYRc0O3mEo,197101,4,Diet,spotify:track:5k0yxFSktMecsYRc0O3mEo,Shamir,7JgXEHI1oEiQICAMeCsKTj
9,0.491,0.697,7,-6.186,1,0.0318,0.0509,0.0172,0.0925,0.249,120.11,audio_features,0CjPPbmBJUUN7LopRPkR7P,spotify:track:0CjPPbmBJUUN7LopRPkR7P,https://api.spotify.com/v1/tracks/0CjPPbmBJUUN7LopRPkR7P,https://api.spotify.com/v1/audio-analysis/0CjPPbmBJUUN7LopRPkR7P,185082,4,I Wonder,spotify:track:0CjPPbmBJUUN7LopRPkR7P,Shamir,7JgXEHI1oEiQICAMeCsKTj
