,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.736,0.766,0,-5.136,1,0.0436,0.0245,1.67e-05,0.293,0.585,123.035,audio_features,3P7DcnCBGDeVrvwNpuNzDM,spotify:track:3P7DcnCBGDeVrvwNpuNzDM,https://api.spotify.com/v1/tracks/3P7DcnCBGDeVrvwNpuNzDM,https://api.spotify.com/v1/audio-analysis/3P7DcnCBGDeVrvwNpuNzDM,181000,4,Crazy Daisy,spotify:track:3P7DcnCBGDeVrvwNpuNzDM,Sheffield,4CDXbURs9NxZWRLVZ2HHto
1,0.641,0.685,4,-7.557,1,0.0364,0.0255,0.0,0.372,0.712,91.498,audio_features,07iSPxMiPykX9ErcOhqZcr,spotify:track:07iSPxMiPykX9ErcOhqZcr,https://api.spotify.com/v1/tracks/07iSPxMiPykX9ErcOhqZcr,https://api.spotify.com/v1/audio-analysis/07iSPxMiPykX9ErcOhqZcr,154426,4,Things Are Looking Up,spotify:track:07iSPxMiPykX9ErcOhqZcr,Sheffield,4CDXbURs9NxZWRLVZ2HHto
2,0.625,0.402,5,-11.034,1,0.0274,0.14,0.0,0.13,0.427,90.015,audio_features,0XnGg2z0RCnnDR3eOfMxJ0,spotify:track:0XnGg2z0RCnnDR3eOfMxJ0,https://api.spotify.com/v1/tracks/0XnGg2z0RCnnDR3eOfMxJ0,https://api.spotify.com/v1/audio-analysis/0XnGg2z0RCnnDR3eOfMxJ0,194500,4,Second Nature,spotify:track:0XnGg2z0RCnnDR3eOfMxJ0,Sheffield,4CDXbURs9NxZWRLVZ2HHto
3,0.785,0.292,0,-11.481,1,0.0377,0.531,0.0,0.151,0.682,113.101,audio_features,3CuhYiUmPIKv3zx853Tm41,spotify:track:3CuhYiUmPIKv3zx853Tm41,https://api.spotify.com/v1/tracks/3CuhYiUmPIKv3zx853Tm41,https://api.spotify.com/v1/audio-analysis/3CuhYiUmPIKv3zx853Tm41,136106,4,Love Safe,spotify:track:3CuhYiUmPIKv3zx853Tm41,Sheffield,4CDXbURs9NxZWRLVZ2HHto
4,0.631,0.683,2,-4.598,1,0.0314,0.106,0.0,0.0492,0.351,120.056,audio_features,0htsxUnEQoxED9gxSbW6uX,spotify:track:0htsxUnEQoxED9gxSbW6uX,https://api.spotify.com/v1/tracks/0htsxUnEQoxED9gxSbW6uX,https://api.spotify.com/v1/audio-analysis/0htsxUnEQoxED9gxSbW6uX,187001,4,Feels Like Home,spotify:track:0htsxUnEQoxED9gxSbW6uX,Sheffield,4CDXbURs9NxZWRLVZ2HHto
5,0.468,0.301,9,-13.42,1,0.0326,0.65,0.000279,0.314,0.271,85.513,audio_features,4kUZfBScT77kP2TYKjQQ8y,spotify:track:4kUZfBScT77kP2TYKjQQ8y,https://api.spotify.com/v1/tracks/4kUZfBScT77kP2TYKjQQ8y,https://api.spotify.com/v1/audio-analysis/4kUZfBScT77kP2TYKjQQ8y,214495,4,Forever From Now,spotify:track:4kUZfBScT77kP2TYKjQQ8y,Sheffield,4CDXbURs9NxZWRLVZ2HHto
6,0.814,0.364,6,-11.799,1,0.0341,0.783,0.000955,0.129,0.264,113.098,audio_features,0AHMafZfTtHvzXqdn9iCCS,spotify:track:0AHMafZfTtHvzXqdn9iCCS,https://api.spotify.com/v1/tracks/0AHMafZfTtHvzXqdn9iCCS,https://api.spotify.com/v1/audio-analysis/0AHMafZfTtHvzXqdn9iCCS,178409,4,Lucky,spotify:track:0AHMafZfTtHvzXqdn9iCCS,Sheffield,4CDXbURs9NxZWRLVZ2HHto
7,0.612,0.329,0,-12.327,0,0.0363,0.693,0.0,0.123,0.239,96.069,audio_features,0JgJSrA3VR9Stqqa6DEPUR,spotify:track:0JgJSrA3VR9Stqqa6DEPUR,https://api.spotify.com/v1/tracks/0JgJSrA3VR9Stqqa6DEPUR,https://api.spotify.com/v1/audio-analysis/0JgJSrA3VR9Stqqa6DEPUR,139729,4,Bottle You Up,spotify:track:0JgJSrA3VR9Stqqa6DEPUR,Sheffield,4CDXbURs9NxZWRLVZ2HHto
8,0.772,0.245,1,-12.091,1,0.034,0.324,0.0,0.111,0.292,84.034,audio_features,1VYJpMMYJ04kfTAZp9eu2L,spotify:track:1VYJpMMYJ04kfTAZp9eu2L,https://api.spotify.com/v1/tracks/1VYJpMMYJ04kfTAZp9eu2L,https://api.spotify.com/v1/audio-analysis/1VYJpMMYJ04kfTAZp9eu2L,154645,4,"Merry Christmas, Baby",spotify:track:1VYJpMMYJ04kfTAZp9eu2L,Sheffield,4CDXbURs9NxZWRLVZ2HHto
9,0.603,0.454,2,-9.817,1,0.0325,0.386,0.0,0.275,0.517,78.98,audio_features,22H6Pm1m8z2ay1AhLFaV0y,spotify:track:22H6Pm1m8z2ay1AhLFaV0y,https://api.spotify.com/v1/tracks/22H6Pm1m8z2ay1AhLFaV0y,https://api.spotify.com/v1/audio-analysis/22H6Pm1m8z2ay1AhLFaV0y,156333,4,Merry Day,spotify:track:22H6Pm1m8z2ay1AhLFaV0y,Sheffield,4CDXbURs9NxZWRLVZ2HHto
10,0.796,0.408,4,-10.629,1,0.0532,0.28,0.0,0.12,0.391,120.084,audio_features,6X4CPDVVei2wevKoIYdolx,spotify:track:6X4CPDVVei2wevKoIYdolx,https://api.spotify.com/v1/tracks/6X4CPDVVei2wevKoIYdolx,https://api.spotify.com/v1/audio-analysis/6X4CPDVVei2wevKoIYdolx,194087,4,You and Me and Christmastime,spotify:track:6X4CPDVVei2wevKoIYdolx,Sheffield,4CDXbURs9NxZWRLVZ2HHto
11,0.612,0.36,0,-10.225,1,0.0308,0.163,1.46e-06,0.118,0.186,79.986,audio_features,66LqsmEYdb7G9RqtBzzrCD,spotify:track:66LqsmEYdb7G9RqtBzzrCD,https://api.spotify.com/v1/tracks/66LqsmEYdb7G9RqtBzzrCD,https://api.spotify.com/v1/audio-analysis/66LqsmEYdb7G9RqtBzzrCD,164356,4,It Takes Two,spotify:track:66LqsmEYdb7G9RqtBzzrCD,Sheffield,4CDXbURs9NxZWRLVZ2HHto
12,0.69,0.461,7,-9.778,1,0.0259,0.297,9.23e-05,0.16,0.206,94.026,audio_features,3CYARMNMGg6jDez00SXSf3,spotify:track:3CYARMNMGg6jDez00SXSf3,https://api.spotify.com/v1/tracks/3CYARMNMGg6jDez00SXSf3,https://api.spotify.com/v1/audio-analysis/3CYARMNMGg6jDez00SXSf3,200226,4,I Will Always Find A Way,spotify:track:3CYARMNMGg6jDez00SXSf3,Sheffield,4CDXbURs9NxZWRLVZ2HHto
13,0.614,0.521,5,-6.444,1,0.0283,0.529,1.11e-06,0.117,0.525,141.873,audio_features,6E3f16YuLxV2Kax0YT3MTG,spotify:track:6E3f16YuLxV2Kax0YT3MTG,https://api.spotify.com/v1/tracks/6E3f16YuLxV2Kax0YT3MTG,https://api.spotify.com/v1/audio-analysis/6E3f16YuLxV2Kax0YT3MTG,155915,4,What I'd Do,spotify:track:6E3f16YuLxV2Kax0YT3MTG,Sheffield,4CDXbURs9NxZWRLVZ2HHto
14,0.383,0.31,2,-9.027,1,0.0295,0.574,1.63e-06,0.129,0.3,89.899,audio_features,6z9ghfm35J58h55BoU0eT1,spotify:track:6z9ghfm35J58h55BoU0eT1,https://api.spotify.com/v1/tracks/6z9ghfm35J58h55BoU0eT1,https://api.spotify.com/v1/audio-analysis/6z9ghfm35J58h55BoU0eT1,198171,4,When I'm With You,spotify:track:6z9ghfm35J58h55BoU0eT1,Sheffield,4CDXbURs9NxZWRLVZ2HHto
15,0.467,0.45,5,-9.274,1,0.0353,0.711,0.0,0.108,0.58,93.356,audio_features,42zGTilk5dyAuNWrtOcogY,spotify:track:42zGTilk5dyAuNWrtOcogY,https://api.spotify.com/v1/tracks/42zGTilk5dyAuNWrtOcogY,https://api.spotify.com/v1/audio-analysis/42zGTilk5dyAuNWrtOcogY,157893,4,Say I Do,spotify:track:42zGTilk5dyAuNWrtOcogY,Sheffield,4CDXbURs9NxZWRLVZ2HHto
16,0.547,0.186,4,-10.739,1,0.04,0.854,0.0,0.101,0.195,142.804,audio_features,15FwYnO2jPSlTHiaeUoTBR,spotify:track:15FwYnO2jPSlTHiaeUoTBR,https://api.spotify.com/v1/tracks/15FwYnO2jPSlTHiaeUoTBR,https://api.spotify.com/v1/audio-analysis/15FwYnO2jPSlTHiaeUoTBR,213891,3,What Love Can Do,spotify:track:15FwYnO2jPSlTHiaeUoTBR,Sheffield,4CDXbURs9NxZWRLVZ2HHto
17,0.832,0.295,10,-8.451,1,0.0325,0.648,0.0,0.105,0.821,95.004,audio_features,2DtVpIfVPc0q16Myp2H6UT,spotify:track:2DtVpIfVPc0q16Myp2H6UT,https://api.spotify.com/v1/tracks/2DtVpIfVPc0q16Myp2H6UT,https://api.spotify.com/v1/audio-analysis/2DtVpIfVPc0q16Myp2H6UT,130415,4,Seven Billion People,spotify:track:2DtVpIfVPc0q16Myp2H6UT,Sheffield,4CDXbURs9NxZWRLVZ2HHto
18,0.71,0.397,2,-6.6,1,0.0339,0.454,0.0,0.0997,0.213,120.098,audio_features,4S7YM644A1myyTBU2pmyYa,spotify:track:4S7YM644A1myyTBU2pmyYa,https://api.spotify.com/v1/tracks/4S7YM644A1myyTBU2pmyYa,https://api.spotify.com/v1/audio-analysis/4S7YM644A1myyTBU2pmyYa,153915,4,Feels Like Home (Acoustic Version),spotify:track:4S7YM644A1myyTBU2pmyYa,Sheffield,4CDXbURs9NxZWRLVZ2HHto
