,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.457,0.445,0,-5.682,0,0.0679,0.913,0.0,0.236,0.121,95.697,audio_features,6LmakooIlxvAL0Zf1JeDRE,spotify:track:6LmakooIlxvAL0Zf1JeDRE,https://api.spotify.com/v1/tracks/6LmakooIlxvAL0Zf1JeDRE,https://api.spotify.com/v1/audio-analysis/6LmakooIlxvAL0Zf1JeDRE,63014,4,Black breath (intro),spotify:track:6LmakooIlxvAL0Zf1JeDRE,Shungudzo,1zC5fndU0aEvINmBra2M3T
1,0.589,0.893,9,-4.014,1,0.0447,0.221,0.000412,0.224,0.338,99.995,audio_features,4dxd3tUsKT52EMboYtceOQ,spotify:track:4dxd3tUsKT52EMboYtceOQ,https://api.spotify.com/v1/tracks/4dxd3tUsKT52EMboYtceOQ,https://api.spotify.com/v1/audio-analysis/4dxd3tUsKT52EMboYtceOQ,197475,4,It's a good day (to fight the system),spotify:track:4dxd3tUsKT52EMboYtceOQ,Shungudzo,1zC5fndU0aEvINmBra2M3T
2,0.642,0.586,11,-8.307,0,0.0361,0.149,0.00528,0.172,0.252,90.041,audio_features,7gG2RYMtau6eXbf1nHyqYS,spotify:track:7gG2RYMtau6eXbf1nHyqYS,https://api.spotify.com/v1/tracks/7gG2RYMtau6eXbf1nHyqYS,https://api.spotify.com/v1/audio-analysis/7gG2RYMtau6eXbf1nHyqYS,188391,4,Fatherless child,spotify:track:7gG2RYMtau6eXbf1nHyqYS,Shungudzo,1zC5fndU0aEvINmBra2M3T
3,0.591,0.5,7,-9.6,1,0.0442,0.549,0.00407,0.0773,0.115,141.0,audio_features,2ImkgJQJSv593TydhVqgGc,spotify:track:2ImkgJQJSv593TydhVqgGc,https://api.spotify.com/v1/tracks/2ImkgJQJSv593TydhVqgGc,https://api.spotify.com/v1/audio-analysis/2ImkgJQJSv593TydhVqgGc,192061,4,Trippin',spotify:track:2ImkgJQJSv593TydhVqgGc,Shungudzo,1zC5fndU0aEvINmBra2M3T
4,0.706,0.923,5,-3.818,0,0.0347,0.081,0.000599,0.0856,0.831,104.937,audio_features,4uKWYRVofoWFUooW2pEy9g,spotify:track:4uKWYRVofoWFUooW2pEy9g,https://api.spotify.com/v1/tracks/4uKWYRVofoWFUooW2pEy9g,https://api.spotify.com/v1/audio-analysis/4uKWYRVofoWFUooW2pEy9g,168262,4,There's only so much a soul can take,spotify:track:4uKWYRVofoWFUooW2pEy9g,Shungudzo,1zC5fndU0aEvINmBra2M3T
5,0.278,0.459,4,-6.141,0,0.0305,0.642,0.00065,0.185,0.111,122.267,audio_features,490EqYY9AyPeJAlblh3s6C,spotify:track:490EqYY9AyPeJAlblh3s6C,https://api.spotify.com/v1/tracks/490EqYY9AyPeJAlblh3s6C,https://api.spotify.com/v1/audio-analysis/490EqYY9AyPeJAlblh3s6C,220166,5,"I'm not a mother, but I have children",spotify:track:490EqYY9AyPeJAlblh3s6C,Shungudzo,1zC5fndU0aEvINmBra2M3T
6,0.505,0.768,5,-4.902,0,0.0425,0.000586,0.0004,0.234,0.28,123.023,audio_features,4lRR8B85KE9PUEoCObgGsm,spotify:track:4lRR8B85KE9PUEoCObgGsm,https://api.spotify.com/v1/tracks/4lRR8B85KE9PUEoCObgGsm,https://api.spotify.com/v1/audio-analysis/4lRR8B85KE9PUEoCObgGsm,198176,4,'Merican dream,spotify:track:4lRR8B85KE9PUEoCObgGsm,Shungudzo,1zC5fndU0aEvINmBra2M3T
7,0.568,0.276,10,-8.549,1,0.0304,0.896,0.0,0.1,0.231,119.51,audio_features,07z2e6ENBGR9DzMYkH21zk,spotify:track:07z2e6ENBGR9DzMYkH21zk,https://api.spotify.com/v1/tracks/07z2e6ENBGR9DzMYkH21zk,https://api.spotify.com/v1/audio-analysis/07z2e6ENBGR9DzMYkH21zk,201062,4,To be me,spotify:track:07z2e6ENBGR9DzMYkH21zk,Shungudzo,1zC5fndU0aEvINmBra2M3T
8,0.494,0.513,11,-5.574,1,0.0927,0.906,0.0,0.14,0.226,101.634,audio_features,4aNjIARayJ7p7Z9vdCpPHN,spotify:track:4aNjIARayJ7p7Z9vdCpPHN,https://api.spotify.com/v1/tracks/4aNjIARayJ7p7Z9vdCpPHN,https://api.spotify.com/v1/audio-analysis/4aNjIARayJ7p7Z9vdCpPHN,77578,5,When to stop talking about it (intermission),spotify:track:4aNjIARayJ7p7Z9vdCpPHN,Shungudzo,1zC5fndU0aEvINmBra2M3T
9,0.361,0.707,7,-5.561,0,0.0357,0.279,0.00337,0.137,0.371,139.742,audio_features,1yni4WnK9yF3doU8JwtWui,spotify:track:1yni4WnK9yF3doU8JwtWui,https://api.spotify.com/v1/tracks/1yni4WnK9yF3doU8JwtWui,https://api.spotify.com/v1/audio-analysis/1yni4WnK9yF3doU8JwtWui,205071,4,Where are my friends?,spotify:track:1yni4WnK9yF3doU8JwtWui,Shungudzo,1zC5fndU0aEvINmBra2M3T
