,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.603,0.928,9,-2.598,1,0.057,0.0452,0.0,0.0432,0.815,109.938,audio_features,19gnMIMxiNbAYMaIVx1MJo,spotify:track:19gnMIMxiNbAYMaIVx1MJo,https://api.spotify.com/v1/tracks/19gnMIMxiNbAYMaIVx1MJo,https://api.spotify.com/v1/audio-analysis/19gnMIMxiNbAYMaIVx1MJo,177280,4,Beer With My Friends (feat. Cole Swindell and David Lee Murphy),spotify:track:19gnMIMxiNbAYMaIVx1MJo,Shy Carter,7JZafQsN8syJ9agEtcyP4V
1,0.595,0.864,4,-4.861,1,0.0329,0.000484,3.56e-06,0.114,0.666,97.028,audio_features,22sRvaY1kJ1HhpmVR4t8mv,spotify:track:22sRvaY1kJ1HhpmVR4t8mv,https://api.spotify.com/v1/tracks/22sRvaY1kJ1HhpmVR4t8mv,https://api.spotify.com/v1/audio-analysis/22sRvaY1kJ1HhpmVR4t8mv,176213,4,Wild,spotify:track:22sRvaY1kJ1HhpmVR4t8mv,Shy Carter,7JZafQsN8syJ9agEtcyP4V
2,0.734,0.581,9,-4.247,1,0.0514,0.366,4.98e-05,0.0923,0.448,120.015,audio_features,2kMARX1YbBQgZUwkDo7kMj,spotify:track:2kMARX1YbBQgZUwkDo7kMj,https://api.spotify.com/v1/tracks/2kMARX1YbBQgZUwkDo7kMj,https://api.spotify.com/v1/audio-analysis/2kMARX1YbBQgZUwkDo7kMj,190213,4,Hurry,spotify:track:2kMARX1YbBQgZUwkDo7kMj,Shy Carter,7JZafQsN8syJ9agEtcyP4V
3,0.642,0.795,7,-5.101,1,0.0336,0.0114,0.0,0.172,0.666,93.907,audio_features,6SZhxxfHFmmHorRcwX4Hsy,spotify:track:6SZhxxfHFmmHorRcwX4Hsy,https://api.spotify.com/v1/tracks/6SZhxxfHFmmHorRcwX4Hsy,https://api.spotify.com/v1/audio-analysis/6SZhxxfHFmmHorRcwX4Hsy,168587,4,Lay You Down,spotify:track:6SZhxxfHFmmHorRcwX4Hsy,Shy Carter,7JZafQsN8syJ9agEtcyP4V
4,0.456,0.541,4,-5.748,0,0.0413,0.212,0.0,0.0831,0.329,143.967,audio_features,1HUTW5tArwqiT0qeaYSjr9,spotify:track:1HUTW5tArwqiT0qeaYSjr9,https://api.spotify.com/v1/tracks/1HUTW5tArwqiT0qeaYSjr9,https://api.spotify.com/v1/audio-analysis/1HUTW5tArwqiT0qeaYSjr9,191427,4,Hard,spotify:track:1HUTW5tArwqiT0qeaYSjr9,Shy Carter,7JZafQsN8syJ9agEtcyP4V
5,0.583,0.699,6,-4.98,1,0.0412,0.139,0.0,0.268,0.486,157.959,audio_features,6oVe44Ize7PEOkI4ndIFn5,spotify:track:6oVe44Ize7PEOkI4ndIFn5,https://api.spotify.com/v1/tracks/6oVe44Ize7PEOkI4ndIFn5,https://api.spotify.com/v1/audio-analysis/6oVe44Ize7PEOkI4ndIFn5,179000,4,Good Love,spotify:track:6oVe44Ize7PEOkI4ndIFn5,Shy Carter,7JZafQsN8syJ9agEtcyP4V
6,0.447,0.657,0,-5.873,1,0.0353,0.283,0.0,0.112,0.417,79.433,audio_features,7xnO1Ezt3GfymnaIaHij72,spotify:track:7xnO1Ezt3GfymnaIaHij72,https://api.spotify.com/v1/tracks/7xnO1Ezt3GfymnaIaHij72,https://api.spotify.com/v1/audio-analysis/7xnO1Ezt3GfymnaIaHij72,205693,4,The Rest Of Us,spotify:track:7xnO1Ezt3GfymnaIaHij72,Shy Carter,7JZafQsN8syJ9agEtcyP4V
7,0.811,0.697,10,-6.494,1,0.033,0.153,0.0,0.459,0.883,121.447,audio_features,5p6LKasLFcj3yEn4gPqZgE,spotify:track:5p6LKasLFcj3yEn4gPqZgE,https://api.spotify.com/v1/tracks/5p6LKasLFcj3yEn4gPqZgE,https://api.spotify.com/v1/audio-analysis/5p6LKasLFcj3yEn4gPqZgE,190613,4,Rhythm And Blue Jeans,spotify:track:5p6LKasLFcj3yEn4gPqZgE,Shy Carter,7JZafQsN8syJ9agEtcyP4V
8,0.603,0.927,9,-2.598,1,0.0562,0.0446,0.0,0.0565,0.815,109.938,audio_features,5YsPrfAtcCzMIc4BHTsxP5,spotify:track:5YsPrfAtcCzMIc4BHTsxP5,https://api.spotify.com/v1/tracks/5YsPrfAtcCzMIc4BHTsxP5,https://api.spotify.com/v1/audio-analysis/5YsPrfAtcCzMIc4BHTsxP5,176533,4,Beer With My Friends (feat. Cole Swindell and David Lee Murphy),spotify:track:5YsPrfAtcCzMIc4BHTsxP5,Shy Carter,7JZafQsN8syJ9agEtcyP4V
9,0.633,0.875,11,-4.747,0,0.116,0.0416,0.000104,0.108,0.714,152.046,audio_features,2eVjwdtfFveTtDcYjJd2EB,spotify:track:2eVjwdtfFveTtDcYjJd2EB,https://api.spotify.com/v1/tracks/2eVjwdtfFveTtDcYjJd2EB,https://api.spotify.com/v1/audio-analysis/2eVjwdtfFveTtDcYjJd2EB,182813,4,Boom In The Boondocks,spotify:track:2eVjwdtfFveTtDcYjJd2EB,Shy Carter,7JZafQsN8syJ9agEtcyP4V
10,0.583,0.699,6,-4.98,1,0.0412,0.139,0.0,0.268,0.486,157.959,audio_features,1JywGYNBbnX7qARpsKMpRK,spotify:track:1JywGYNBbnX7qARpsKMpRK,https://api.spotify.com/v1/tracks/1JywGYNBbnX7qARpsKMpRK,https://api.spotify.com/v1/audio-analysis/1JywGYNBbnX7qARpsKMpRK,179000,4,Good Love,spotify:track:1JywGYNBbnX7qARpsKMpRK,Shy Carter,7JZafQsN8syJ9agEtcyP4V
11,0.609,0.756,4,-5.751,1,0.0312,0.00232,0.00218,0.141,0.514,144.008,audio_features,7ub8oFOW1rCz5F31HCI5mj,spotify:track:7ub8oFOW1rCz5F31HCI5mj,https://api.spotify.com/v1/tracks/7ub8oFOW1rCz5F31HCI5mj,https://api.spotify.com/v1/audio-analysis/7ub8oFOW1rCz5F31HCI5mj,171067,4,All Night,spotify:track:7ub8oFOW1rCz5F31HCI5mj,Shy Carter,7JZafQsN8syJ9agEtcyP4V
12,0.473,0.622,6,-3.964,1,0.0332,0.222,0.0,0.0799,0.266,78.016,audio_features,5gMZiiA7kJb2ewn03MAfes,spotify:track:5gMZiiA7kJb2ewn03MAfes,https://api.spotify.com/v1/tracks/5gMZiiA7kJb2ewn03MAfes,https://api.spotify.com/v1/audio-analysis/5gMZiiA7kJb2ewn03MAfes,184215,4,Good Love - Alt Mix,spotify:track:5gMZiiA7kJb2ewn03MAfes,Shy Carter,7JZafQsN8syJ9agEtcyP4V
13,0.583,0.699,6,-4.98,1,0.0412,0.139,0.0,0.268,0.486,157.959,audio_features,0pzDIeyFkaaWhPPFiwUpxw,spotify:track:0pzDIeyFkaaWhPPFiwUpxw,https://api.spotify.com/v1/tracks/0pzDIeyFkaaWhPPFiwUpxw,https://api.spotify.com/v1/audio-analysis/0pzDIeyFkaaWhPPFiwUpxw,179000,4,Good Love,spotify:track:0pzDIeyFkaaWhPPFiwUpxw,Shy Carter,7JZafQsN8syJ9agEtcyP4V
14,0.536,0.624,6,-5.657,1,0.0538,0.383,0.0,0.0909,0.36,150.065,audio_features,5QcbWukYFHHV3RIAPsuyLb,spotify:track:5QcbWukYFHHV3RIAPsuyLb,https://api.spotify.com/v1/tracks/5QcbWukYFHHV3RIAPsuyLb,https://api.spotify.com/v1/audio-analysis/5QcbWukYFHHV3RIAPsuyLb,255866,4,All I Want For Christmas Is You,spotify:track:5QcbWukYFHHV3RIAPsuyLb,Shy Carter,7JZafQsN8syJ9agEtcyP4V
