,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.595,0.988,6,-1.718,0,0.238,0.0147,0.000138,0.571,0.284,159.916,audio_features,6XXXaxgQpfFzi4XM4TnQHe,spotify:track:6XXXaxgQpfFzi4XM4TnQHe,https://api.spotify.com/v1/tracks/6XXXaxgQpfFzi4XM4TnQHe,https://api.spotify.com/v1/audio-analysis/6XXXaxgQpfFzi4XM4TnQHe,112875,4,HEY X 2,spotify:track:6XXXaxgQpfFzi4XM4TnQHe,Sickmode,5PbgCU02dfdBCAzpOaNmYW
1,0.559,0.973,6,-0.728,0,0.12,0.0024,0.000645,0.5,0.528,159.989,audio_features,1EgbIqgavumRLKMK18Nm1c,spotify:track:1EgbIqgavumRLKMK18Nm1c,https://api.spotify.com/v1/tracks/1EgbIqgavumRLKMK18Nm1c,https://api.spotify.com/v1/audio-analysis/1EgbIqgavumRLKMK18Nm1c,223582,4,EMOJI 2.0,spotify:track:1EgbIqgavumRLKMK18Nm1c,Sickmode,5PbgCU02dfdBCAzpOaNmYW
2,0.737,0.994,7,-1.007,1,0.354,0.063,0.0151,0.317,0.172,160.06,audio_features,32P7PYz3Icd7Cf1NXLct4F,spotify:track:32P7PYz3Icd7Cf1NXLct4F,https://api.spotify.com/v1/tracks/32P7PYz3Icd7Cf1NXLct4F,https://api.spotify.com/v1/audio-analysis/32P7PYz3Icd7Cf1NXLct4F,151500,4,FULL TANK (L4MBO 2.0),spotify:track:32P7PYz3Icd7Cf1NXLct4F,Sickmode,5PbgCU02dfdBCAzpOaNmYW
3,0.666,0.974,10,-2.41,0,0.358,0.0475,0.0099,0.319,0.532,160.053,audio_features,33yBzZFZLwsCq12DYpnAkW,spotify:track:33yBzZFZLwsCq12DYpnAkW,https://api.spotify.com/v1/tracks/33yBzZFZLwsCq12DYpnAkW,https://api.spotify.com/v1/audio-analysis/33yBzZFZLwsCq12DYpnAkW,194332,4,MAKE IT POP,spotify:track:33yBzZFZLwsCq12DYpnAkW,Sickmode,5PbgCU02dfdBCAzpOaNmYW
4,0.592,0.919,8,-1.219,1,0.166,0.0616,0.0,0.97,0.628,159.995,audio_features,1v3zq2WCyqzreDJde3Lesi,spotify:track:1v3zq2WCyqzreDJde3Lesi,https://api.spotify.com/v1/tracks/1v3zq2WCyqzreDJde3Lesi,https://api.spotify.com/v1/audio-analysis/1v3zq2WCyqzreDJde3Lesi,147000,4,ROCK THE PARTY,spotify:track:1v3zq2WCyqzreDJde3Lesi,Sickmode,5PbgCU02dfdBCAzpOaNmYW
5,0.399,0.957,9,0.194,0,0.258,0.0131,2.65e-06,0.786,0.165,160.027,audio_features,7glSuORatQDmdiJStLopPC,spotify:track:7glSuORatQDmdiJStLopPC,https://api.spotify.com/v1/tracks/7glSuORatQDmdiJStLopPC,https://api.spotify.com/v1/audio-analysis/7glSuORatQDmdiJStLopPC,145500,4,No Time To Waste,spotify:track:7glSuORatQDmdiJStLopPC,Sickmode,5PbgCU02dfdBCAzpOaNmYW
6,0.529,0.983,0,-1.213,0,0.0918,0.00996,7.26e-06,0.367,0.481,160.022,audio_features,5XNT0tPqnw6F3UCaBgC67Y,spotify:track:5XNT0tPqnw6F3UCaBgC67Y,https://api.spotify.com/v1/tracks/5XNT0tPqnw6F3UCaBgC67Y,https://api.spotify.com/v1/audio-analysis/5XNT0tPqnw6F3UCaBgC67Y,154500,4,One And Only,spotify:track:5XNT0tPqnw6F3UCaBgC67Y,Sickmode,5PbgCU02dfdBCAzpOaNmYW
7,0.692,0.966,0,-1.174,1,0.103,0.204,0.00387,0.205,0.466,160.039,audio_features,1QPbJChjmO2UQC18Ex8Pcg,spotify:track:1QPbJChjmO2UQC18Ex8Pcg,https://api.spotify.com/v1/tracks/1QPbJChjmO2UQC18Ex8Pcg,https://api.spotify.com/v1/audio-analysis/1QPbJChjmO2UQC18Ex8Pcg,154594,4,TOO HOT,spotify:track:1QPbJChjmO2UQC18Ex8Pcg,Sickmode,5PbgCU02dfdBCAzpOaNmYW
8,0.517,0.976,1,-0.331,0,0.505,0.137,1.32e-06,0.849,0.325,159.987,audio_features,7ofCRS8S2xvNjPGGAWJBmh,spotify:track:7ofCRS8S2xvNjPGGAWJBmh,https://api.spotify.com/v1/tracks/7ofCRS8S2xvNjPGGAWJBmh,https://api.spotify.com/v1/audio-analysis/7ofCRS8S2xvNjPGGAWJBmh,154500,4,Break This,spotify:track:7ofCRS8S2xvNjPGGAWJBmh,Sickmode,5PbgCU02dfdBCAzpOaNmYW
9,0.71,0.966,2,-0.005,1,0.335,0.0228,0.000255,0.301,0.259,159.994,audio_features,1lZzAzSQLSV8NAtsnwzw5I,spotify:track:1lZzAzSQLSV8NAtsnwzw5I,https://api.spotify.com/v1/tracks/1lZzAzSQLSV8NAtsnwzw5I,https://api.spotify.com/v1/audio-analysis/1lZzAzSQLSV8NAtsnwzw5I,135000,4,AUDIO DAMAGE,spotify:track:1lZzAzSQLSV8NAtsnwzw5I,Sickmode,5PbgCU02dfdBCAzpOaNmYW
10,0.661,0.972,11,-2.304,0,0.39,0.0761,0.00594,0.497,0.302,159.963,audio_features,1ptI7SsCGuO8aqDy7yrqXy,spotify:track:1ptI7SsCGuO8aqDy7yrqXy,https://api.spotify.com/v1/tracks/1ptI7SsCGuO8aqDy7yrqXy,https://api.spotify.com/v1/audio-analysis/1ptI7SsCGuO8aqDy7yrqXy,218730,4,DISCOTEK,spotify:track:1ptI7SsCGuO8aqDy7yrqXy,Sickmode,5PbgCU02dfdBCAzpOaNmYW
11,0.522,0.973,1,-1.431,1,0.305,0.036,0.000272,0.414,0.327,160.034,audio_features,1rHrd6PwaH81q26dFrhnzN,spotify:track:1rHrd6PwaH81q26dFrhnzN,https://api.spotify.com/v1/tracks/1rHrd6PwaH81q26dFrhnzN,https://api.spotify.com/v1/audio-analysis/1rHrd6PwaH81q26dFrhnzN,228375,4,Demon Inside Me,spotify:track:1rHrd6PwaH81q26dFrhnzN,Sickmode,5PbgCU02dfdBCAzpOaNmYW
12,0.72,0.944,8,-2.093,0,0.231,0.0408,0.00697,0.219,0.52,160.044,audio_features,3fowg7PSXS1AtWPDHssnyy,spotify:track:3fowg7PSXS1AtWPDHssnyy,https://api.spotify.com/v1/tracks/3fowg7PSXS1AtWPDHssnyy,https://api.spotify.com/v1/audio-analysis/3fowg7PSXS1AtWPDHssnyy,189000,4,RIP SUMMER 2K20,spotify:track:3fowg7PSXS1AtWPDHssnyy,Sickmode,5PbgCU02dfdBCAzpOaNmYW
13,0.369,0.997,7,-1.067,1,0.5,0.0138,0.000215,0.835,0.0998,159.345,audio_features,47ZM5TILTpMa1maCNGBjkg,spotify:track:47ZM5TILTpMa1maCNGBjkg,https://api.spotify.com/v1/tracks/47ZM5TILTpMa1maCNGBjkg,https://api.spotify.com/v1/audio-analysis/47ZM5TILTpMa1maCNGBjkg,169516,4,PARANOIA,spotify:track:47ZM5TILTpMa1maCNGBjkg,Sickmode,5PbgCU02dfdBCAzpOaNmYW
14,0.625,0.984,5,-0.328,1,0.318,0.0495,0.0033,0.0807,0.367,160.13,audio_features,1GiW346Y6i7TRmL9SLrDkN,spotify:track:1GiW346Y6i7TRmL9SLrDkN,https://api.spotify.com/v1/tracks/1GiW346Y6i7TRmL9SLrDkN,https://api.spotify.com/v1/audio-analysis/1GiW346Y6i7TRmL9SLrDkN,142500,4,Authority & Justice,spotify:track:1GiW346Y6i7TRmL9SLrDkN,Sickmode,5PbgCU02dfdBCAzpOaNmYW
15,0.548,0.967,5,-2.268,0,0.173,0.0079,0.00605,0.319,0.138,160.027,audio_features,7bE3IubGAV0w09iAvUTojl,spotify:track:7bE3IubGAV0w09iAvUTojl,https://api.spotify.com/v1/tracks/7bE3IubGAV0w09iAvUTojl,https://api.spotify.com/v1/audio-analysis/7bE3IubGAV0w09iAvUTojl,140957,4,THE RULES - Live Edit,spotify:track:7bE3IubGAV0w09iAvUTojl,Sickmode,5PbgCU02dfdBCAzpOaNmYW
16,0.703,0.956,4,-0.25,0,0.256,0.0181,0.138,0.572,0.372,159.996,audio_features,664Iv9ma8YRmupzpjDENur,spotify:track:664Iv9ma8YRmupzpjDENur,https://api.spotify.com/v1/tracks/664Iv9ma8YRmupzpjDENur,https://api.spotify.com/v1/audio-analysis/664Iv9ma8YRmupzpjDENur,144000,4,OH RIGHT,spotify:track:664Iv9ma8YRmupzpjDENur,Sickmode,5PbgCU02dfdBCAzpOaNmYW
17,0.503,0.985,1,-1.25,1,0.718,0.104,4.88e-06,0.249,0.266,159.999,audio_features,5gdkYjlClays3pYtHxzWzn,spotify:track:5gdkYjlClays3pYtHxzWzn,https://api.spotify.com/v1/tracks/5gdkYjlClays3pYtHxzWzn,https://api.spotify.com/v1/audio-analysis/5gdkYjlClays3pYtHxzWzn,156086,4,Breed Of Man,spotify:track:5gdkYjlClays3pYtHxzWzn,Sickmode,5PbgCU02dfdBCAzpOaNmYW
18,0.561,0.989,7,-3.014,1,0.367,0.248,1.6e-06,0.129,0.161,160.033,audio_features,37fyspuxzVgyISU5qcIosp,spotify:track:37fyspuxzVgyISU5qcIosp,https://api.spotify.com/v1/tracks/37fyspuxzVgyISU5qcIosp,https://api.spotify.com/v1/audio-analysis/37fyspuxzVgyISU5qcIosp,129766,4,N.S.G. - Malice Live Edit,spotify:track:37fyspuxzVgyISU5qcIosp,Sickmode,5PbgCU02dfdBCAzpOaNmYW
19,0.438,0.899,9,-4.431,1,0.21,0.0901,0.00793,0.421,0.0442,159.998,audio_features,62rJzwA80DbL8qNHsfMuvX,spotify:track:62rJzwA80DbL8qNHsfMuvX,https://api.spotify.com/v1/tracks/62rJzwA80DbL8qNHsfMuvX,https://api.spotify.com/v1/audio-analysis/62rJzwA80DbL8qNHsfMuvX,155246,4,BRAIN DEAD,spotify:track:62rJzwA80DbL8qNHsfMuvX,Sickmode,5PbgCU02dfdBCAzpOaNmYW
20,0.608,0.956,10,-0.289,0,0.295,0.152,0.000145,0.648,0.517,160.034,audio_features,2W0j7t7VsCC2NfxfZzbJ3t,spotify:track:2W0j7t7VsCC2NfxfZzbJ3t,https://api.spotify.com/v1/tracks/2W0j7t7VsCC2NfxfZzbJ3t,https://api.spotify.com/v1/audio-analysis/2W0j7t7VsCC2NfxfZzbJ3t,192000,4,IMPACT!,spotify:track:2W0j7t7VsCC2NfxfZzbJ3t,Sickmode,5PbgCU02dfdBCAzpOaNmYW
