,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.234,0.011,10,-33.092,1,0.0703,0.995,0.955,0.108,0.0383,167.833,audio_features,1kvKkZOhvOvombJX4GEp2Y,spotify:track:1kvKkZOhvOvombJX4GEp2Y,https://api.spotify.com/v1/tracks/1kvKkZOhvOvombJX4GEp2Y,https://api.spotify.com/v1/audio-analysis/1kvKkZOhvOvombJX4GEp2Y,18324,5,Intro,spotify:track:1kvKkZOhvOvombJX4GEp2Y,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
1,0.674,0.596,0,-8.075,1,0.0331,0.373,9.76e-06,0.145,0.618,91.985,audio_features,6QOYdbTaldHlNVNKzw7PNi,spotify:track:6QOYdbTaldHlNVNKzw7PNi,https://api.spotify.com/v1/tracks/6QOYdbTaldHlNVNKzw7PNi,https://api.spotify.com/v1/audio-analysis/6QOYdbTaldHlNVNKzw7PNi,197753,4,Schritte,spotify:track:6QOYdbTaldHlNVNKzw7PNi,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
2,0.675,0.576,1,-6.443,1,0.026,0.212,0.000205,0.159,0.448,114.964,audio_features,7McvEhrGvGs5DkecovhPm7,spotify:track:7McvEhrGvGs5DkecovhPm7,https://api.spotify.com/v1/tracks/7McvEhrGvGs5DkecovhPm7,https://api.spotify.com/v1/audio-analysis/7McvEhrGvGs5DkecovhPm7,206934,4,Ein anderer Sommer,spotify:track:7McvEhrGvGs5DkecovhPm7,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
3,0.654,0.798,1,-4.672,1,0.0289,0.0284,9.39e-05,0.337,0.497,137.015,audio_features,4UK6vzVHcNRWwD09mcyBOu,spotify:track:4UK6vzVHcNRWwD09mcyBOu,https://api.spotify.com/v1/tracks/4UK6vzVHcNRWwD09mcyBOu,https://api.spotify.com/v1/audio-analysis/4UK6vzVHcNRWwD09mcyBOu,174763,4,Bestes Leben,spotify:track:4UK6vzVHcNRWwD09mcyBOu,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
4,0.658,0.721,2,-6.161,0,0.0351,0.276,8.12e-05,0.262,0.28,117.996,audio_features,2R5WSkIu3aXRxe0ERY2eQT,spotify:track:2R5WSkIu3aXRxe0ERY2eQT,https://api.spotify.com/v1/tracks/2R5WSkIu3aXRxe0ERY2eQT,https://api.spotify.com/v1/audio-analysis/2R5WSkIu3aXRxe0ERY2eQT,215938,4,Genauso,spotify:track:2R5WSkIu3aXRxe0ERY2eQT,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
5,0.573,0.457,1,-10.01,1,0.0428,0.78,0.0001,0.187,0.249,124.919,audio_features,4SRSY9Xe8qxNp9YNFIAUyn,spotify:track:4SRSY9Xe8qxNp9YNFIAUyn,https://api.spotify.com/v1/tracks/4SRSY9Xe8qxNp9YNFIAUyn,https://api.spotify.com/v1/audio-analysis/4SRSY9Xe8qxNp9YNFIAUyn,224108,4,In meiner Erinnerung,spotify:track:4SRSY9Xe8qxNp9YNFIAUyn,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
6,0.6,0.515,0,-9.505,1,0.034,0.387,0.00566,0.137,0.487,148.132,audio_features,2M2pNvFV5vuEQmo4koHVAD,spotify:track:2M2pNvFV5vuEQmo4koHVAD,https://api.spotify.com/v1/tracks/2M2pNvFV5vuEQmo4koHVAD,https://api.spotify.com/v1/audio-analysis/2M2pNvFV5vuEQmo4koHVAD,166797,4,Für Amy,spotify:track:2M2pNvFV5vuEQmo4koHVAD,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
7,0.623,0.537,7,-8.103,1,0.027,0.0306,3.78e-06,0.146,0.123,106.06,audio_features,2OJcnaJRklmo3cdBchr4dX,spotify:track:2OJcnaJRklmo3cdBchr4dX,https://api.spotify.com/v1/tracks/2OJcnaJRklmo3cdBchr4dX,https://api.spotify.com/v1/audio-analysis/2OJcnaJRklmo3cdBchr4dX,176677,4,Machen wir das Beste draus (homerecordings),spotify:track:2OJcnaJRklmo3cdBchr4dX,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
8,0.607,0.626,1,-7.091,1,0.0317,0.00211,0.0,0.125,0.288,139.905,audio_features,3o5EPD7brABfkh4hW0GnOI,spotify:track:3o5EPD7brABfkh4hW0GnOI,https://api.spotify.com/v1/tracks/3o5EPD7brABfkh4hW0GnOI,https://api.spotify.com/v1/audio-analysis/3o5EPD7brABfkh4hW0GnOI,199897,4,Luftschloss,spotify:track:3o5EPD7brABfkh4hW0GnOI,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
9,0.49,0.471,9,-7.439,1,0.0274,0.112,0.001,0.0895,0.298,147.824,audio_features,7yKdO1pvOyGoNrAKcZHjIu,spotify:track:7yKdO1pvOyGoNrAKcZHjIu,https://api.spotify.com/v1/tracks/7yKdO1pvOyGoNrAKcZHjIu,https://api.spotify.com/v1/audio-analysis/7yKdO1pvOyGoNrAKcZHjIu,167360,4,Was Freiheit ist,spotify:track:7yKdO1pvOyGoNrAKcZHjIu,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
10,0.458,0.322,2,-11.189,1,0.0611,0.868,6.93e-06,0.107,0.321,77.431,audio_features,1yUKHAszjs9lLRJ2OSwJNp,spotify:track:1yUKHAszjs9lLRJ2OSwJNp,https://api.spotify.com/v1/tracks/1yUKHAszjs9lLRJ2OSwJNp,https://api.spotify.com/v1/audio-analysis/1yUKHAszjs9lLRJ2OSwJNp,169070,3,Mein Osten,spotify:track:1yUKHAszjs9lLRJ2OSwJNp,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
11,0.578,0.538,2,-7.564,1,0.0626,0.11,7.51e-05,0.138,0.415,86.024,audio_features,1kqJKXWNx5iYXnZLcJByNp,spotify:track:1kqJKXWNx5iYXnZLcJByNp,https://api.spotify.com/v1/tracks/1kqJKXWNx5iYXnZLcJByNp,https://api.spotify.com/v1/audio-analysis/1kqJKXWNx5iYXnZLcJByNp,186798,4,Träum ja nur (Hippies),spotify:track:1kqJKXWNx5iYXnZLcJByNp,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
12,0.549,0.454,0,-9.194,1,0.0319,0.228,0.000727,0.105,0.306,135.864,audio_features,6S2CpEjqGG4ml0LjYsA1h3,spotify:track:6S2CpEjqGG4ml0LjYsA1h3,https://api.spotify.com/v1/tracks/6S2CpEjqGG4ml0LjYsA1h3,https://api.spotify.com/v1/audio-analysis/6S2CpEjqGG4ml0LjYsA1h3,229454,4,Hand aufs Herz,spotify:track:6S2CpEjqGG4ml0LjYsA1h3,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
13,0.555,0.598,11,-11.05,1,0.0612,0.121,0.0482,0.102,0.0916,141.985,audio_features,01MVer0JfitvxUnecag4RZ,spotify:track:01MVer0JfitvxUnecag4RZ,https://api.spotify.com/v1/tracks/01MVer0JfitvxUnecag4RZ,https://api.spotify.com/v1/audio-analysis/01MVer0JfitvxUnecag4RZ,279485,4,Silbermond,spotify:track:01MVer0JfitvxUnecag4RZ,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
14,0.311,0.263,5,-9.94,1,0.0345,0.902,1.95e-05,0.0977,0.192,203.472,audio_features,6DJpbSoZYwEy6SNeN8z1rG,spotify:track:6DJpbSoZYwEy6SNeN8z1rG,https://api.spotify.com/v1/tracks/6DJpbSoZYwEy6SNeN8z1rG,https://api.spotify.com/v1/audio-analysis/6DJpbSoZYwEy6SNeN8z1rG,225468,3,Ein schöner Schluss,spotify:track:6DJpbSoZYwEy6SNeN8z1rG,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
15,0.228,0.625,9,-6.818,1,0.0417,0.0274,3.83e-05,0.901,0.162,145.129,audio_features,3E8rKjUxR82skh3TmxFGbx,spotify:track:3E8rKjUxR82skh3TmxFGbx,https://api.spotify.com/v1/tracks/3E8rKjUxR82skh3TmxFGbx,https://api.spotify.com/v1/audio-analysis/3E8rKjUxR82skh3TmxFGbx,211836,4,Was Freiheit ist - Live in Berlin 2020,spotify:track:3E8rKjUxR82skh3TmxFGbx,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
16,0.418,0.827,1,-5.86,1,0.038,0.0231,0.0036,0.831,0.222,141.429,audio_features,65YTfewAKImDJP7JfVwKpd,spotify:track:65YTfewAKImDJP7JfVwKpd,https://api.spotify.com/v1/tracks/65YTfewAKImDJP7JfVwKpd,https://api.spotify.com/v1/audio-analysis/65YTfewAKImDJP7JfVwKpd,251836,4,Silbermond - Live in Berlin 2020,spotify:track:65YTfewAKImDJP7JfVwKpd,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
17,0.308,0.953,4,-5.298,1,0.183,0.0121,1.68e-06,0.962,0.395,153.805,audio_features,7q9owzH71HBewvMXGwbmX3,spotify:track:7q9owzH71HBewvMXGwbmX3,https://api.spotify.com/v1/tracks/7q9owzH71HBewvMXGwbmX3,https://api.spotify.com/v1/audio-analysis/7q9owzH71HBewvMXGwbmX3,223369,4,Die Mutigen - Live in Berlin 2020,spotify:track:7q9owzH71HBewvMXGwbmX3,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
18,0.49,0.867,5,-5.825,0,0.0424,0.068,0.000112,0.798,0.593,89.591,audio_features,4seHFVupjZvBsqmE4buDc9,spotify:track:4seHFVupjZvBsqmE4buDc9,https://api.spotify.com/v1/tracks/4seHFVupjZvBsqmE4buDc9,https://api.spotify.com/v1/audio-analysis/4seHFVupjZvBsqmE4buDc9,333903,4,Lass mal - Live in Berlin 2020,spotify:track:4seHFVupjZvBsqmE4buDc9,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
19,0.367,0.853,11,-5.574,0,0.0488,0.0252,3.79e-06,0.976,0.573,130.153,audio_features,3CYtxF0Ee22gmKd7ivVyXq,spotify:track:3CYtxF0Ee22gmKd7ivVyXq,https://api.spotify.com/v1/tracks/3CYtxF0Ee22gmKd7ivVyXq,https://api.spotify.com/v1/audio-analysis/3CYtxF0Ee22gmKd7ivVyXq,267223,4,Zeit zu tanzen - Live in Berlin 2020,spotify:track:3CYtxF0Ee22gmKd7ivVyXq,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
20,0.356,0.924,10,-4.936,0,0.0747,0.00825,0.0,0.952,0.49,86.528,audio_features,4kSeW8zvz8aTNlU38CIgnU,spotify:track:4kSeW8zvz8aTNlU38CIgnU,https://api.spotify.com/v1/tracks/4kSeW8zvz8aTNlU38CIgnU,https://api.spotify.com/v1/audio-analysis/4kSeW8zvz8aTNlU38CIgnU,323369,4,Indigo - Live in Berlin 2020,spotify:track:4kSeW8zvz8aTNlU38CIgnU,Silbermond,3GbUWWI1rMwAIPbUVPvnPA
