,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.65,0.3,4,-14.388,1,0.0349,0.96,0.0732,0.144,0.198,126.056,audio_features,7gPbdb2VejaHsWJbshsHhE,spotify:track:7gPbdb2VejaHsWJbshsHhE,https://api.spotify.com/v1/tracks/7gPbdb2VejaHsWJbshsHhE,https://api.spotify.com/v1/audio-analysis/7gPbdb2VejaHsWJbshsHhE,206486,4,Last of Us - for PS4 in B Major,spotify:track:7gPbdb2VejaHsWJbshsHhE,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
1,0.373,0.492,3,-10.21,1,0.0384,0.929,0.0166,0.581,0.448,91.939,audio_features,0HLSEsMArtVaPgDb4YGvwv,spotify:track:0HLSEsMArtVaPgDb4YGvwv,https://api.spotify.com/v1/tracks/0HLSEsMArtVaPgDb4YGvwv,https://api.spotify.com/v1/audio-analysis/0HLSEsMArtVaPgDb4YGvwv,218219,4,Weeks,spotify:track:0HLSEsMArtVaPgDb4YGvwv,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
2,0.427,0.284,3,-15.632,1,0.0376,0.99,0.396,0.122,0.47,89.889,audio_features,0DWbI5GD3d7cJ0yu1FrABg,spotify:track:0DWbI5GD3d7cJ0yu1FrABg,https://api.spotify.com/v1/tracks/0DWbI5GD3d7cJ0yu1FrABg,https://api.spotify.com/v1/audio-analysis/0DWbI5GD3d7cJ0yu1FrABg,164281,4,Anything,spotify:track:0DWbI5GD3d7cJ0yu1FrABg,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
3,0.456,0.661,0,-11.582,1,0.0997,0.875,0.00897,0.171,0.814,91.357,audio_features,2D2jmA7ENbY17YqS3UtfbG,spotify:track:2D2jmA7ENbY17YqS3UtfbG,https://api.spotify.com/v1/tracks/2D2jmA7ENbY17YqS3UtfbG,https://api.spotify.com/v1/audio-analysis/2D2jmA7ENbY17YqS3UtfbG,187624,4,Grateful Dead,spotify:track:2D2jmA7ENbY17YqS3UtfbG,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
4,0.214,0.138,3,-16.381,1,0.0395,0.932,0.924,0.144,0.176,115.485,audio_features,4IazvfDtU82ox6gbhkJodL,spotify:track:4IazvfDtU82ox6gbhkJodL,https://api.spotify.com/v1/tracks/4IazvfDtU82ox6gbhkJodL,https://api.spotify.com/v1/audio-analysis/4IazvfDtU82ox6gbhkJodL,92100,5,Yuri's Choice,spotify:track:4IazvfDtU82ox6gbhkJodL,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
5,0.501,0.357,3,-12.226,1,0.0411,0.901,0.0136,0.134,0.399,164.463,audio_features,7q5UmD4RnweZOG7Bd4gUu1,spotify:track:7q5UmD4RnweZOG7Bd4gUu1,https://api.spotify.com/v1/tracks/7q5UmD4RnweZOG7Bd4gUu1,https://api.spotify.com/v1/audio-analysis/7q5UmD4RnweZOG7Bd4gUu1,235900,4,Birds,spotify:track:7q5UmD4RnweZOG7Bd4gUu1,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
6,0.446,0.278,9,-14.33,1,0.0371,0.83,0.00966,0.105,0.211,96.408,audio_features,7hp5db2fnBKiJNQXkG6NTu,spotify:track:7hp5db2fnBKiJNQXkG6NTu,https://api.spotify.com/v1/tracks/7hp5db2fnBKiJNQXkG6NTu,https://api.spotify.com/v1/audio-analysis/7hp5db2fnBKiJNQXkG6NTu,253349,4,While Heaven Is on Fire,spotify:track:7hp5db2fnBKiJNQXkG6NTu,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
7,0.362,0.411,7,-11.032,1,0.0312,0.823,0.00335,0.523,0.373,84.442,audio_features,3vkETFjKUAQ4iwKVk7ut1E,spotify:track:3vkETFjKUAQ4iwKVk7ut1E,https://api.spotify.com/v1/tracks/3vkETFjKUAQ4iwKVk7ut1E,https://api.spotify.com/v1/audio-analysis/3vkETFjKUAQ4iwKVk7ut1E,172031,4,Recurring Dreams,spotify:track:3vkETFjKUAQ4iwKVk7ut1E,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
8,0.532,0.281,0,-13.43,1,0.0369,0.957,0.000252,0.116,0.259,149.821,audio_features,6DzUtZf4XQpn4V8b1tEwqS,spotify:track:6DzUtZf4XQpn4V8b1tEwqS,https://api.spotify.com/v1/tracks/6DzUtZf4XQpn4V8b1tEwqS,https://api.spotify.com/v1/audio-analysis/6DzUtZf4XQpn4V8b1tEwqS,214548,4,Smoke,spotify:track:6DzUtZf4XQpn4V8b1tEwqS,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
9,0.631,0.397,11,-14.095,0,0.0248,0.719,0.0175,0.105,0.282,98.038,audio_features,43S4Xptwh3SbvFuoD6Npip,spotify:track:43S4Xptwh3SbvFuoD6Npip,https://api.spotify.com/v1/tracks/43S4Xptwh3SbvFuoD6Npip,https://api.spotify.com/v1/audio-analysis/43S4Xptwh3SbvFuoD6Npip,200319,4,Murders,spotify:track:43S4Xptwh3SbvFuoD6Npip,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
10,0.193,0.102,0,-16.759,1,0.0325,0.98,0.0703,0.142,0.0535,75.965,audio_features,49tDznN2wkJJbRSn8nrNUw,spotify:track:49tDznN2wkJJbRSn8nrNUw,https://api.spotify.com/v1/tracks/49tDznN2wkJJbRSn8nrNUw,https://api.spotify.com/v1/audio-analysis/49tDznN2wkJJbRSn8nrNUw,228545,4,Grønland,spotify:track:49tDznN2wkJJbRSn8nrNUw,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
11,0.592,0.693,8,-9.775,1,0.0263,0.5,0.319,0.548,0.653,98.97,audio_features,7LE3R4GhVG36kzPkObeqYi,spotify:track:7LE3R4GhVG36kzPkObeqYi,https://api.spotify.com/v1/tracks/7LE3R4GhVG36kzPkObeqYi,https://api.spotify.com/v1/audio-analysis/7LE3R4GhVG36kzPkObeqYi,243760,4,Tell Me Everything,spotify:track:7LE3R4GhVG36kzPkObeqYi,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
12,0.583,0.548,0,-10.93,1,0.036,0.565,0.042,0.081,0.475,92.001,audio_features,7DzTSZa8pQ3Epqu5BpQmSW,spotify:track:7DzTSZa8pQ3Epqu5BpQmSW,https://api.spotify.com/v1/tracks/7DzTSZa8pQ3Epqu5BpQmSW,https://api.spotify.com/v1/audio-analysis/7DzTSZa8pQ3Epqu5BpQmSW,197733,4,Chaotic Good,spotify:track:7DzTSZa8pQ3Epqu5BpQmSW,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
13,0.631,0.232,1,-15.448,1,0.0412,0.919,0.262,0.115,0.202,127.816,audio_features,4rFn5EXkziapvXnxevw9oS,spotify:track:4rFn5EXkziapvXnxevw9oS,https://api.spotify.com/v1/tracks/4rFn5EXkziapvXnxevw9oS,https://api.spotify.com/v1/audio-analysis/4rFn5EXkziapvXnxevw9oS,205160,5,After a While,spotify:track:4rFn5EXkziapvXnxevw9oS,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
14,0.655,0.709,5,-12.919,1,0.0519,0.672,0.303,0.131,0.864,171.971,audio_features,6sYxTirJepITMNVtzf85WI,spotify:track:6sYxTirJepITMNVtzf85WI,https://api.spotify.com/v1/tracks/6sYxTirJepITMNVtzf85WI,https://api.spotify.com/v1/audio-analysis/6sYxTirJepITMNVtzf85WI,134107,4,Trying,spotify:track:6sYxTirJepITMNVtzf85WI,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
15,0.483,0.578,4,-11.9,1,0.0335,0.441,0.358,0.0979,0.11,83.952,audio_features,3JIiyUFQMrIBrtNFLcH1vS,spotify:track:3JIiyUFQMrIBrtNFLcH1vS,https://api.spotify.com/v1/tracks/3JIiyUFQMrIBrtNFLcH1vS,https://api.spotify.com/v1/audio-analysis/3JIiyUFQMrIBrtNFLcH1vS,215293,4,Continue,spotify:track:3JIiyUFQMrIBrtNFLcH1vS,Simen Mitlid,3AE2EXc8hnJxb0AoGf3i2A
