,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.478,0.839,0,-6.723,1,0.0671,0.0275,0.0497,0.331,0.498,153.142,audio_features,776j2Ul5y2c15i32vujrQB,spotify:track:776j2Ul5y2c15i32vujrQB,https://api.spotify.com/v1/tracks/776j2Ul5y2c15i32vujrQB,https://api.spotify.com/v1/audio-analysis/776j2Ul5y2c15i32vujrQB,255027,3,Dépaysé - Edit,spotify:track:776j2Ul5y2c15i32vujrQB,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
1,0.474,0.825,0,-6.931,1,0.0632,0.0231,0.17,0.258,0.556,153.116,audio_features,30n7MSLpovB9IkXgnKojbq,spotify:track:30n7MSLpovB9IkXgnKojbq,https://api.spotify.com/v1/tracks/30n7MSLpovB9IkXgnKojbq,https://api.spotify.com/v1/audio-analysis/30n7MSLpovB9IkXgnKojbq,311785,3,Dépaysé,spotify:track:30n7MSLpovB9IkXgnKojbq,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
2,0.577,0.701,5,-6.634,0,0.0329,0.315,0.0738,0.113,0.509,79.987,audio_features,2zthVGBkkP2Kn7jRXFSEBu,spotify:track:2zthVGBkkP2Kn7jRXFSEBu,https://api.spotify.com/v1/tracks/2zthVGBkkP2Kn7jRXFSEBu,https://api.spotify.com/v1/audio-analysis/2zthVGBkkP2Kn7jRXFSEBu,280587,4,Deadweight,spotify:track:2zthVGBkkP2Kn7jRXFSEBu,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
3,0.717,0.815,0,-5.022,1,0.0514,0.1,1.64e-05,0.0627,0.785,103.97,audio_features,3ZzBne04a8VsrjDCR0NCpR,spotify:track:3ZzBne04a8VsrjDCR0NCpR,https://api.spotify.com/v1/tracks/3ZzBne04a8VsrjDCR0NCpR,https://api.spotify.com/v1/audio-analysis/3ZzBne04a8VsrjDCR0NCpR,247347,4,U'Huh,spotify:track:3ZzBne04a8VsrjDCR0NCpR,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
4,0.601,0.713,5,-4.987,0,0.0251,0.000379,0.0618,0.348,0.57,100.013,audio_features,09W0CaD6t2ZbaO7RABZUKF,spotify:track:09W0CaD6t2ZbaO7RABZUKF,https://api.spotify.com/v1/tracks/09W0CaD6t2ZbaO7RABZUKF,https://api.spotify.com/v1/audio-analysis/09W0CaD6t2ZbaO7RABZUKF,293253,4,Favorite Song,spotify:track:09W0CaD6t2ZbaO7RABZUKF,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
5,0.622,0.783,10,-5.824,0,0.0338,0.0674,0.022,0.121,0.684,145.899,audio_features,1TOcmizJmkVqfIv8huLMn3,spotify:track:1TOcmizJmkVqfIv8huLMn3,https://api.spotify.com/v1/tracks/1TOcmizJmkVqfIv8huLMn3,https://api.spotify.com/v1/audio-analysis/1TOcmizJmkVqfIv8huLMn3,288613,4,Fire,spotify:track:1TOcmizJmkVqfIv8huLMn3,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
6,0.672,0.875,4,-5.734,0,0.0347,0.00268,0.00202,0.0446,0.704,107.493,audio_features,3Xke0iraqVxe9beRVoOomL,spotify:track:3Xke0iraqVxe9beRVoOomL,https://api.spotify.com/v1/tracks/3Xke0iraqVxe9beRVoOomL,https://api.spotify.com/v1/audio-analysis/3Xke0iraqVxe9beRVoOomL,185573,4,Telephone,spotify:track:3Xke0iraqVxe9beRVoOomL,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
7,0.635,0.901,10,-5.457,0,0.0373,0.022,0.0714,0.0747,0.813,92.509,audio_features,4RQyO3ZC4hbUVNgj4X8dfL,spotify:track:4RQyO3ZC4hbUVNgj4X8dfL,https://api.spotify.com/v1/tracks/4RQyO3ZC4hbUVNgj4X8dfL,https://api.spotify.com/v1/audio-analysis/4RQyO3ZC4hbUVNgj4X8dfL,199093,4,Passenger,spotify:track:4RQyO3ZC4hbUVNgj4X8dfL,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
8,0.658,0.817,7,-6.885,1,0.0619,0.000977,2.26e-05,0.15,0.91,94.983,audio_features,38qpg5312zAOpwMLbxlEJS,spotify:track:38qpg5312zAOpwMLbxlEJS,https://api.spotify.com/v1/tracks/38qpg5312zAOpwMLbxlEJS,https://api.spotify.com/v1/audio-analysis/38qpg5312zAOpwMLbxlEJS,295413,4,Theme from Life & Livin' It,spotify:track:38qpg5312zAOpwMLbxlEJS,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
9,0.741,0.542,4,-8.357,0,0.031,0.344,0.118,0.0958,0.694,97.001,audio_features,1V7s9t9HpU1LYqbvHDNkK9,spotify:track:1V7s9t9HpU1LYqbvHDNkK9,https://api.spotify.com/v1/tracks/1V7s9t9HpU1LYqbvHDNkK9,https://api.spotify.com/v1/audio-analysis/1V7s9t9HpU1LYqbvHDNkK9,244213,4,Won't Follow,spotify:track:1V7s9t9HpU1LYqbvHDNkK9,Sinkane,0ip3L7jX2aq8T1VTJRFZ9w
