,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.473,0.177,5,-13.264,1,0.0306,0.906,0.00147,0.129,0.138,137.798,audio_features,62ehE1W5UQfKMfTdFZOWKM,spotify:track:62ehE1W5UQfKMfTdFZOWKM,https://api.spotify.com/v1/tracks/62ehE1W5UQfKMfTdFZOWKM,https://api.spotify.com/v1/audio-analysis/62ehE1W5UQfKMfTdFZOWKM,278614,4,Cloudy Shoes,spotify:track:62ehE1W5UQfKMfTdFZOWKM,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
1,0.532,0.394,2,-7.444,1,0.0292,0.488,0.713,0.38,0.182,129.908,audio_features,0cKtQJ21b6adfzO82U0Tvq,spotify:track:0cKtQJ21b6adfzO82U0Tvq,https://api.spotify.com/v1/tracks/0cKtQJ21b6adfzO82U0Tvq,https://api.spotify.com/v1/audio-analysis/0cKtQJ21b6adfzO82U0Tvq,181489,4,Windshield,spotify:track:0cKtQJ21b6adfzO82U0Tvq,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
2,0.427,0.285,4,-12.259,1,0.0288,0.896,0.0325,0.113,0.191,97.985,audio_features,3tDWh4b1pg7OS1bSDdFAdF,spotify:track:3tDWh4b1pg7OS1bSDdFAdF,https://api.spotify.com/v1/tracks/3tDWh4b1pg7OS1bSDdFAdF,https://api.spotify.com/v1/audio-analysis/3tDWh4b1pg7OS1bSDdFAdF,177388,4,Song for Nick Drake,spotify:track:3tDWh4b1pg7OS1bSDdFAdF,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
3,0.621,0.435,8,-7.88,1,0.0398,0.79,0.000434,0.106,0.12,110.0,audio_features,45wvsBV2S5VVstF6hTwnT8,spotify:track:45wvsBV2S5VVstF6hTwnT8,https://api.spotify.com/v1/tracks/45wvsBV2S5VVstF6hTwnT8,https://api.spotify.com/v1/audio-analysis/45wvsBV2S5VVstF6hTwnT8,111153,4,Steps,spotify:track:45wvsBV2S5VVstF6hTwnT8,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
4,0.392,0.674,3,-5.809,1,0.0304,0.326,0.000583,0.142,0.602,171.946,audio_features,6X379GF8mLCS3IYHcrACUc,spotify:track:6X379GF8mLCS3IYHcrACUc,https://api.spotify.com/v1/tracks/6X379GF8mLCS3IYHcrACUc,https://api.spotify.com/v1/audio-analysis/6X379GF8mLCS3IYHcrACUc,260318,4,Storm in Summer,spotify:track:6X379GF8mLCS3IYHcrACUc,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
5,0.468,0.268,5,-15.969,1,0.0303,0.927,0.247,0.107,0.164,103.109,audio_features,2f8ocXNwGl0iCtfLll8z5O,spotify:track:2f8ocXNwGl0iCtfLll8z5O,https://api.spotify.com/v1/tracks/2f8ocXNwGl0iCtfLll8z5O,https://api.spotify.com/v1/audio-analysis/2f8ocXNwGl0iCtfLll8z5O,208568,4,Prefer,spotify:track:2f8ocXNwGl0iCtfLll8z5O,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
6,0.448,0.283,4,-12.255,1,0.0282,0.895,0.039,0.114,0.188,98.02,audio_features,1ZMpeW7DIRIpWCpFxAFuf6,spotify:track:1ZMpeW7DIRIpWCpFxAFuf6,https://api.spotify.com/v1/tracks/1ZMpeW7DIRIpWCpFxAFuf6,https://api.spotify.com/v1/audio-analysis/1ZMpeW7DIRIpWCpFxAFuf6,177388,4,Song for Nick Drake,spotify:track:1ZMpeW7DIRIpWCpFxAFuf6,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
7,0.439,0.185,5,-13.846,1,0.0284,0.724,0.0997,0.262,0.07,153.911,audio_features,2C4ESQIc6lROCWKMwffsU6,spotify:track:2C4ESQIc6lROCWKMwffsU6,https://api.spotify.com/v1/tracks/2C4ESQIc6lROCWKMwffsU6,https://api.spotify.com/v1/audio-analysis/2C4ESQIc6lROCWKMwffsU6,283097,4,Farm,spotify:track:2C4ESQIc6lROCWKMwffsU6,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
8,0.283,0.465,7,-8.598,1,0.0332,0.738,0.00784,0.103,0.368,168.022,audio_features,3UCBTyHhvkJtdNbvGGWkQe,spotify:track:3UCBTyHhvkJtdNbvGGWkQe,https://api.spotify.com/v1/tracks/3UCBTyHhvkJtdNbvGGWkQe,https://api.spotify.com/v1/audio-analysis/3UCBTyHhvkJtdNbvGGWkQe,227685,4,Lift,spotify:track:3UCBTyHhvkJtdNbvGGWkQe,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
9,0.346,0.113,5,-14.233,1,0.0308,0.882,0.000507,0.124,0.172,131.702,audio_features,4FAuCkNkIlQnqfZiu60xd6,spotify:track:4FAuCkNkIlQnqfZiu60xd6,https://api.spotify.com/v1/tracks/4FAuCkNkIlQnqfZiu60xd6,https://api.spotify.com/v1/audio-analysis/4FAuCkNkIlQnqfZiu60xd6,183116,4,Places/Plans,spotify:track:4FAuCkNkIlQnqfZiu60xd6,Skullcrusher,1GUaQ6GpaxFPKZ0SCSsnwD
