,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.312,0.151,2,-11.677,0,0.0446,0.935,0.0,0.0653,0.0369,80.79,audio_features,6nFBmzXd3Uj7XuMmsdBPCO,spotify:track:6nFBmzXd3Uj7XuMmsdBPCO,https://api.spotify.com/v1/tracks/6nFBmzXd3Uj7XuMmsdBPCO,https://api.spotify.com/v1/audio-analysis/6nFBmzXd3Uj7XuMmsdBPCO,94333,4,Intro - Wilderness,spotify:track:6nFBmzXd3Uj7XuMmsdBPCO,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
1,0.739,0.461,9,-7.004,0,0.0274,0.807,0.0058,0.117,0.337,111.01,audio_features,72kQYzq27zrzNty7GcH5oA,spotify:track:72kQYzq27zrzNty7GcH5oA,https://api.spotify.com/v1/tracks/72kQYzq27zrzNty7GcH5oA,https://api.spotify.com/v1/audio-analysis/72kQYzq27zrzNty7GcH5oA,268373,4,Jump,spotify:track:72kQYzq27zrzNty7GcH5oA,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
2,0.498,0.687,7,-7.119,0,0.0444,0.32,1.45e-05,0.13,0.464,124.975,audio_features,69YdO7Ae0Uducqma1worc4,spotify:track:69YdO7Ae0Uducqma1worc4,https://api.spotify.com/v1/tracks/69YdO7Ae0Uducqma1worc4,https://api.spotify.com/v1/audio-analysis/69YdO7Ae0Uducqma1worc4,233733,4,Lemonade,spotify:track:69YdO7Ae0Uducqma1worc4,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
3,0.67,0.8,4,-5.933,0,0.297,0.151,3.47e-06,0.613,0.268,95.693,audio_features,0rI56S1biB0efYypn7eNpP,spotify:track:0rI56S1biB0efYypn7eNpP,https://api.spotify.com/v1/tracks/0rI56S1biB0efYypn7eNpP,https://api.spotify.com/v1/audio-analysis/0rI56S1biB0efYypn7eNpP,291667,4,Kill For You,spotify:track:0rI56S1biB0efYypn7eNpP,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
4,0.645,0.713,2,-7.396,1,0.047,0.104,1.57e-05,0.132,0.44,144.396,audio_features,4EvGu1Sv84Y0nOoAIJvXFS,spotify:track:4EvGu1Sv84Y0nOoAIJvXFS,https://api.spotify.com/v1/tracks/4EvGu1Sv84Y0nOoAIJvXFS,https://api.spotify.com/v1/audio-analysis/4EvGu1Sv84Y0nOoAIJvXFS,260920,4,Come Up For Air,spotify:track:4EvGu1Sv84Y0nOoAIJvXFS,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
5,0.475,0.767,8,-7.486,0,0.0331,0.445,0.0111,0.102,0.548,76.79,audio_features,0mJjX2hOLNBxz9L9qVTWEb,spotify:track:0mJjX2hOLNBxz9L9qVTWEb,https://api.spotify.com/v1/tracks/0mJjX2hOLNBxz9L9qVTWEb,https://api.spotify.com/v1/audio-analysis/0mJjX2hOLNBxz9L9qVTWEb,242027,4,Real World,spotify:track:0mJjX2hOLNBxz9L9qVTWEb,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
6,0.739,0.745,8,-3.933,0,0.048,0.00121,0.00506,0.083,0.364,151.93,audio_features,3KAjqAFhXe94e9AzeU10Rr,spotify:track:3KAjqAFhXe94e9AzeU10Rr,https://api.spotify.com/v1/tracks/3KAjqAFhXe94e9AzeU10Rr,https://api.spotify.com/v1/audio-analysis/3KAjqAFhXe94e9AzeU10Rr,178493,4,Straight Shooter,spotify:track:3KAjqAFhXe94e9AzeU10Rr,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
7,0.707,0.421,9,-6.439,0,0.174,0.0584,0.00333,0.0654,0.462,89.011,audio_features,0BA0aOLPsf4iOmgetTJEzU,spotify:track:0BA0aOLPsf4iOmgetTJEzU,https://api.spotify.com/v1/tracks/0BA0aOLPsf4iOmgetTJEzU,https://api.spotify.com/v1/audio-analysis/0BA0aOLPsf4iOmgetTJEzU,197107,4,Off Road,spotify:track:0BA0aOLPsf4iOmgetTJEzU,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
8,0.494,0.695,6,-7.491,0,0.0815,0.0207,0.0,0.129,0.401,167.874,audio_features,2RsZmktOHeZ2CZUqiMJd5m,spotify:track:2RsZmktOHeZ2CZUqiMJd5m,https://api.spotify.com/v1/tracks/2RsZmktOHeZ2CZUqiMJd5m,https://api.spotify.com/v1/audio-analysis/2RsZmktOHeZ2CZUqiMJd5m,195693,4,In My Garden,spotify:track:2RsZmktOHeZ2CZUqiMJd5m,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
9,0.381,0.198,0,-12.864,0,0.0299,0.911,7.96e-05,0.116,0.2,95.586,audio_features,1t0cpbl4u8PDW3u29z60x8,spotify:track:1t0cpbl4u8PDW3u29z60x8,https://api.spotify.com/v1/tracks/1t0cpbl4u8PDW3u29z60x8,https://api.spotify.com/v1/audio-analysis/1t0cpbl4u8PDW3u29z60x8,253613,4,Moving Mountains,spotify:track:1t0cpbl4u8PDW3u29z60x8,Skylar Grey,4utLUGcTvOJFr6aqIJtYWV
