,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.572,0.571,9,-5.923,0,0.027,0.0102,0.0619,0.109,0.0843,115.45,audio_features,678AC5haIAGHrkgIuKzq0f,spotify:track:678AC5haIAGHrkgIuKzq0f,https://api.spotify.com/v1/tracks/678AC5haIAGHrkgIuKzq0f,https://api.spotify.com/v1/audio-analysis/678AC5haIAGHrkgIuKzq0f,290499,4,Cranium,spotify:track:678AC5haIAGHrkgIuKzq0f,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
1,0.511,0.964,11,-4.726,0,0.155,0.0131,0.0,0.176,0.641,163.885,audio_features,6NpnneI7QmyW69KoPu75gH,spotify:track:6NpnneI7QmyW69KoPu75gH,https://api.spotify.com/v1/tracks/6NpnneI7QmyW69KoPu75gH,https://api.spotify.com/v1/audio-analysis/6NpnneI7QmyW69KoPu75gH,217160,4,Once More For The Ocean,spotify:track:6NpnneI7QmyW69KoPu75gH,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
2,0.476,0.494,0,-7.47,1,0.0294,0.0261,0.000255,0.126,0.214,127.657,audio_features,1Vz4ll4p5RQ4M9MJ6vy3Q6,spotify:track:1Vz4ll4p5RQ4M9MJ6vy3Q6,https://api.spotify.com/v1/tracks/1Vz4ll4p5RQ4M9MJ6vy3Q6,https://api.spotify.com/v1/audio-analysis/1Vz4ll4p5RQ4M9MJ6vy3Q6,198217,4,Courtesy,spotify:track:1Vz4ll4p5RQ4M9MJ6vy3Q6,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
3,0.464,0.891,9,-4.474,0,0.0985,0.00535,4.65e-05,0.129,0.184,140.977,audio_features,3rJbLF89afWKhz2tuyJsyL,spotify:track:3rJbLF89afWKhz2tuyJsyL,https://api.spotify.com/v1/tracks/3rJbLF89afWKhz2tuyJsyL,https://api.spotify.com/v1/audio-analysis/3rJbLF89afWKhz2tuyJsyL,241639,4,The Next Curse,spotify:track:3rJbLF89afWKhz2tuyJsyL,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
4,0.623,0.671,6,-7.006,0,0.0313,0.393,0.000966,0.0782,0.312,109.981,audio_features,1N9zXa0yzUh6biwS9J94qj,spotify:track:1N9zXa0yzUh6biwS9J94qj,https://api.spotify.com/v1/tracks/1N9zXa0yzUh6biwS9J94qj,https://api.spotify.com/v1/audio-analysis/1N9zXa0yzUh6biwS9J94qj,241548,4,Strange Astrology,spotify:track:1N9zXa0yzUh6biwS9J94qj,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
5,0.608,0.554,9,-6.378,1,0.0301,0.0504,0.000156,0.0748,0.124,122.046,audio_features,7Fej4yhXNj3hBFHOrcwiuR,spotify:track:7Fej4yhXNj3hBFHOrcwiuR,https://api.spotify.com/v1/tracks/7Fej4yhXNj3hBFHOrcwiuR,https://api.spotify.com/v1/audio-analysis/7Fej4yhXNj3hBFHOrcwiuR,189962,4,Waiting,spotify:track:7Fej4yhXNj3hBFHOrcwiuR,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
6,0.413,0.551,0,-6.675,1,0.0289,0.064,2.18e-06,0.368,0.266,135.232,audio_features,6BHycjEzUtQmL3lrTJbW5K,spotify:track:6BHycjEzUtQmL3lrTJbW5K,https://api.spotify.com/v1/tracks/6BHycjEzUtQmL3lrTJbW5K,https://api.spotify.com/v1/audio-analysis/6BHycjEzUtQmL3lrTJbW5K,278309,4,King Arthur's Seat,spotify:track:6BHycjEzUtQmL3lrTJbW5K,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
7,0.724,0.541,10,-7.917,1,0.0255,0.693,3.01e-05,0.0899,0.289,110.947,audio_features,5MTqCH2eDOtPrJVwFuVplM,spotify:track:5MTqCH2eDOtPrJVwFuVplM,https://api.spotify.com/v1/tracks/5MTqCH2eDOtPrJVwFuVplM,https://api.spotify.com/v1/audio-analysis/5MTqCH2eDOtPrJVwFuVplM,269192,4,A Giant Swallow,spotify:track:5MTqCH2eDOtPrJVwFuVplM,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
8,0.412,0.525,9,-6.372,0,0.0409,0.188,0.000253,0.0596,0.148,132.847,audio_features,1TSztHNjGc8ZV7AFvMrbec,spotify:track:1TSztHNjGc8ZV7AFvMrbec,https://api.spotify.com/v1/tracks/1TSztHNjGc8ZV7AFvMrbec,https://api.spotify.com/v1/audio-analysis/1TSztHNjGc8ZV7AFvMrbec,213368,4,White Rabbits,spotify:track:1TSztHNjGc8ZV7AFvMrbec,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
9,0.271,0.444,8,-6.11,1,0.0264,0.718,5.91e-05,0.0689,0.405,83.182,audio_features,73Oec5YRwfZc6WKMCHapx7,spotify:track:73Oec5YRwfZc6WKMCHapx7,https://api.spotify.com/v1/tracks/73Oec5YRwfZc6WKMCHapx7,https://api.spotify.com/v1/audio-analysis/73Oec5YRwfZc6WKMCHapx7,206427,4,Parallel Timeline,spotify:track:73Oec5YRwfZc6WKMCHapx7,Slothrust,6Nwhmo3adbTqPMCsgBgkf4
