,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.624,0.456,4,-8.868,0,0.0328,0.654,4.16e-06,0.122,0.119,120.098,audio_features,6RkRUuD6TowtgTZhPl6mSi,spotify:track:6RkRUuD6TowtgTZhPl6mSi,https://api.spotify.com/v1/tracks/6RkRUuD6TowtgTZhPl6mSi,https://api.spotify.com/v1/audio-analysis/6RkRUuD6TowtgTZhPl6mSi,187781,4,Stuck,spotify:track:6RkRUuD6TowtgTZhPl6mSi,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
1,0.6,0.548,7,-6.977,1,0.0328,0.784,3.02e-05,0.116,0.263,89.98,audio_features,0o0BtyLhvu05czmflES2tH,spotify:track:0o0BtyLhvu05czmflES2tH,https://api.spotify.com/v1/tracks/0o0BtyLhvu05czmflES2tH,https://api.spotify.com/v1/audio-analysis/0o0BtyLhvu05czmflES2tH,264873,4,My Own Person,spotify:track:0o0BtyLhvu05czmflES2tH,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
2,0.517,0.29,10,-11.383,0,0.0291,0.897,1.34e-05,0.12,0.133,112.507,audio_features,5UzLtSEMu69unpoXYWAIgK,spotify:track:5UzLtSEMu69unpoXYWAIgK,https://api.spotify.com/v1/tracks/5UzLtSEMu69unpoXYWAIgK,https://api.spotify.com/v1/audio-analysis/5UzLtSEMu69unpoXYWAIgK,196071,4,Familiar Sadness Is Too Comforting,spotify:track:5UzLtSEMu69unpoXYWAIgK,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
3,0.303,0.287,4,-10.254,1,0.0324,0.856,5.29e-06,0.102,0.155,82.546,audio_features,0W6AFAPkaQ2zW0vu8Ls7l0,spotify:track:0W6AFAPkaQ2zW0vu8Ls7l0,https://api.spotify.com/v1/tracks/0W6AFAPkaQ2zW0vu8Ls7l0,https://api.spotify.com/v1/audio-analysis/0W6AFAPkaQ2zW0vu8Ls7l0,267273,3,Never Get Over,spotify:track:0W6AFAPkaQ2zW0vu8Ls7l0,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
4,0.45,0.405,9,-10.663,0,0.0432,0.948,0.00536,0.103,0.0695,170.097,audio_features,1v0bsgw68BHhLNjRcPyVRX,spotify:track:1v0bsgw68BHhLNjRcPyVRX,https://api.spotify.com/v1/tracks/1v0bsgw68BHhLNjRcPyVRX,https://api.spotify.com/v1/audio-analysis/1v0bsgw68BHhLNjRcPyVRX,172235,4,Not the Same,spotify:track:1v0bsgw68BHhLNjRcPyVRX,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
5,0.597,0.29,8,-16.265,0,0.0329,0.924,0.00085,0.11,0.311,143.926,audio_features,2BfBtfhylYlYLhWrKjqfid,spotify:track:2BfBtfhylYlYLhWrKjqfid,https://api.spotify.com/v1/tracks/2BfBtfhylYlYLhWrKjqfid,https://api.spotify.com/v1/audio-analysis/2BfBtfhylYlYLhWrKjqfid,193333,4,Messing with my head,spotify:track:2BfBtfhylYlYLhWrKjqfid,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
6,0.721,0.193,4,-18.845,0,0.0385,0.788,0.00622,0.0552,0.254,109.967,audio_features,4qy5PGGtgExXHtOUGfAs6x,spotify:track:4qy5PGGtgExXHtOUGfAs6x,https://api.spotify.com/v1/tracks/4qy5PGGtgExXHtOUGfAs6x,https://api.spotify.com/v1/audio-analysis/4qy5PGGtgExXHtOUGfAs6x,144545,4,Hypocrite,spotify:track:4qy5PGGtgExXHtOUGfAs6x,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
7,0.662,0.103,2,-20.63,1,0.031,0.804,0.0141,0.108,0.503,86.033,audio_features,3pXKkUy4ytduDfa4sjB6iq,spotify:track:3pXKkUy4ytduDfa4sjB6iq,https://api.spotify.com/v1/tracks/3pXKkUy4ytduDfa4sjB6iq,https://api.spotify.com/v1/audio-analysis/3pXKkUy4ytduDfa4sjB6iq,146512,4,Is It,spotify:track:3pXKkUy4ytduDfa4sjB6iq,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
8,0.597,0.29,8,-16.265,0,0.0329,0.924,0.00085,0.11,0.311,143.926,audio_features,5hj4ypVfhPgKYDzabs6l7z,spotify:track:5hj4ypVfhPgKYDzabs6l7z,https://api.spotify.com/v1/tracks/5hj4ypVfhPgKYDzabs6l7z,https://api.spotify.com/v1/audio-analysis/5hj4ypVfhPgKYDzabs6l7z,193333,4,Messing with my head,spotify:track:5hj4ypVfhPgKYDzabs6l7z,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
9,0.509,0.131,2,-18.475,0,0.0321,0.983,0.00285,0.0874,0.115,80.017,audio_features,4eLUvmMiylbkDd2OXIOikO,spotify:track:4eLUvmMiylbkDd2OXIOikO,https://api.spotify.com/v1/tracks/4eLUvmMiylbkDd2OXIOikO,https://api.spotify.com/v1/audio-analysis/4eLUvmMiylbkDd2OXIOikO,297226,4,Seventeen,spotify:track:4eLUvmMiylbkDd2OXIOikO,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
10,0.636,0.167,6,-17.022,1,0.0577,0.873,7.8e-06,0.144,0.411,84.977,audio_features,5OuFTPtZyRJIjkCL1YActY,spotify:track:5OuFTPtZyRJIjkCL1YActY,https://api.spotify.com/v1/tracks/5OuFTPtZyRJIjkCL1YActY,https://api.spotify.com/v1/audio-analysis/5OuFTPtZyRJIjkCL1YActY,226072,4,Alone Again,spotify:track:5OuFTPtZyRJIjkCL1YActY,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
11,0.452,0.0661,2,-19.856,1,0.0416,0.933,0.0,0.155,0.364,70.079,audio_features,1diTjRkxPmKYlRpr0YbDHx,spotify:track:1diTjRkxPmKYlRpr0YbDHx,https://api.spotify.com/v1/tracks/1diTjRkxPmKYlRpr0YbDHx,https://api.spotify.com/v1/audio-analysis/1diTjRkxPmKYlRpr0YbDHx,295580,4,Water,spotify:track:1diTjRkxPmKYlRpr0YbDHx,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
12,0.568,0.1,2,-15.016,1,0.0736,0.993,8.82e-06,0.124,0.288,109.103,audio_features,47jrxVq0IvRRVvg1aQAHIu,spotify:track:47jrxVq0IvRRVvg1aQAHIu,https://api.spotify.com/v1/tracks/47jrxVq0IvRRVvg1aQAHIu,https://api.spotify.com/v1/audio-analysis/47jrxVq0IvRRVvg1aQAHIu,150116,4,U Could Find,spotify:track:47jrxVq0IvRRVvg1aQAHIu,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
13,0.518,0.0659,6,-20.389,1,0.0659,0.965,0.0588,0.0924,0.189,118.252,audio_features,15ZQD1iYC6kZ0Z07D2aTcT,spotify:track:15ZQD1iYC6kZ0Z07D2aTcT,https://api.spotify.com/v1/tracks/15ZQD1iYC6kZ0Z07D2aTcT,https://api.spotify.com/v1/audio-analysis/15ZQD1iYC6kZ0Z07D2aTcT,115657,4,A Shitty Gay Song About You,spotify:track:15ZQD1iYC6kZ0Z07D2aTcT,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
14,0.671,0.333,6,-15.435,0,0.479,0.729,0.234,0.118,0.381,160.021,audio_features,00slPW2hNEqF22b1KZrC1P,spotify:track:00slPW2hNEqF22b1KZrC1P,https://api.spotify.com/v1/tracks/00slPW2hNEqF22b1KZrC1P,https://api.spotify.com/v1/audio-analysis/00slPW2hNEqF22b1KZrC1P,73535,4,Thinking of You,spotify:track:00slPW2hNEqF22b1KZrC1P,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
15,0.36,0.528,11,-12.178,1,0.0521,0.484,0.734,0.107,0.617,170.021,audio_features,2KS7IshEkzhFuHAfKs8i52,spotify:track:2KS7IshEkzhFuHAfKs8i52,https://api.spotify.com/v1/tracks/2KS7IshEkzhFuHAfKs8i52,https://api.spotify.com/v1/audio-analysis/2KS7IshEkzhFuHAfKs8i52,215275,4,Soapy Rain,spotify:track:2KS7IshEkzhFuHAfKs8i52,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
16,0.571,0.565,0,-8.909,1,0.0608,0.681,0.619,0.106,0.824,159.53,audio_features,69RbjgysF9nvmC0SuNrocs,spotify:track:69RbjgysF9nvmC0SuNrocs,https://api.spotify.com/v1/tracks/69RbjgysF9nvmC0SuNrocs,https://api.spotify.com/v1/audio-analysis/69RbjgysF9nvmC0SuNrocs,231497,4,East,spotify:track:69RbjgysF9nvmC0SuNrocs,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
17,0.646,0.58,10,-8.309,1,0.0437,0.0543,0.76,0.159,0.514,100.028,audio_features,0Pr7Yhm8uo9oTmlpIi6Ysd,spotify:track:0Pr7Yhm8uo9oTmlpIi6Ysd,https://api.spotify.com/v1/tracks/0Pr7Yhm8uo9oTmlpIi6Ysd,https://api.spotify.com/v1/audio-analysis/0Pr7Yhm8uo9oTmlpIi6Ysd,245211,4,West,spotify:track:0Pr7Yhm8uo9oTmlpIi6Ysd,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
18,0.696,0.721,4,-9.266,0,0.198,0.582,0.442,0.135,0.664,99.961,audio_features,6eeS2s6bH7XtTSmJwG0kFh,spotify:track:6eeS2s6bH7XtTSmJwG0kFh,https://api.spotify.com/v1/tracks/6eeS2s6bH7XtTSmJwG0kFh,https://api.spotify.com/v1/audio-analysis/6eeS2s6bH7XtTSmJwG0kFh,263001,4,Japan Funk,spotify:track:6eeS2s6bH7XtTSmJwG0kFh,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
19,0.484,0.551,5,-8.966,1,0.191,0.382,0.837,0.106,0.0411,169.988,audio_features,69o8l6d0Uvy1gwov2z1yBU,spotify:track:69o8l6d0Uvy1gwov2z1yBU,https://api.spotify.com/v1/tracks/69o8l6d0Uvy1gwov2z1yBU,https://api.spotify.com/v1/audio-analysis/69o8l6d0Uvy1gwov2z1yBU,265456,4,Orange,spotify:track:69o8l6d0Uvy1gwov2z1yBU,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
20,0.73,0.589,0,-12.715,1,0.0669,0.139,0.216,0.246,0.604,80.025,audio_features,4vvhBWFIap5ceaftnQwSPh,spotify:track:4vvhBWFIap5ceaftnQwSPh,https://api.spotify.com/v1/tracks/4vvhBWFIap5ceaftnQwSPh,https://api.spotify.com/v1/audio-analysis/4vvhBWFIap5ceaftnQwSPh,342021,4,Why Is New Music Always Out of Tune?,spotify:track:4vvhBWFIap5ceaftnQwSPh,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
21,0.421,0.72,9,-10.43,0,0.096,0.3,0.0497,0.112,0.181,99.943,audio_features,4OuR9MIoX2uzPRHmBI5JXK,spotify:track:4OuR9MIoX2uzPRHmBI5JXK,https://api.spotify.com/v1/tracks/4OuR9MIoX2uzPRHmBI5JXK,https://api.spotify.com/v1/audio-analysis/4OuR9MIoX2uzPRHmBI5JXK,347298,4,The Process of Breaking Glass,spotify:track:4OuR9MIoX2uzPRHmBI5JXK,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
22,0.549,0.238,8,-18.004,1,0.91,0.96,0.0,0.282,0.694,168.086,audio_features,5tooJYgKgCokXse5We3s1D,spotify:track:5tooJYgKgCokXse5We3s1D,https://api.spotify.com/v1/tracks/5tooJYgKgCokXse5We3s1D,https://api.spotify.com/v1/audio-analysis/5tooJYgKgCokXse5We3s1D,39773,1,Intro (do nauki),spotify:track:5tooJYgKgCokXse5We3s1D,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
23,0.58,0.721,1,-7.371,1,0.162,0.0938,4.82e-06,0.103,0.151,73.683,audio_features,7BGYwpS2RJ9Cp6YB6H0Xgd,spotify:track:7BGYwpS2RJ9Cp6YB6H0Xgd,https://api.spotify.com/v1/tracks/7BGYwpS2RJ9Cp6YB6H0Xgd,https://api.spotify.com/v1/audio-analysis/7BGYwpS2RJ9Cp6YB6H0Xgd,215680,4,Biblioteka Trap,spotify:track:7BGYwpS2RJ9Cp6YB6H0Xgd,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
24,0.71,0.5,8,-9.923,1,0.253,0.567,0.000207,0.107,0.439,100.025,audio_features,0l9XhUIYk2EjT6MHdh4wJU,spotify:track:0l9XhUIYk2EjT6MHdh4wJU,https://api.spotify.com/v1/tracks/0l9XhUIYk2EjT6MHdh4wJU,https://api.spotify.com/v1/audio-analysis/0l9XhUIYk2EjT6MHdh4wJU,257400,4,Piszę to na matmie,spotify:track:0l9XhUIYk2EjT6MHdh4wJU,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
25,0.598,0.579,0,-10.392,0,0.475,0.698,0.0,0.425,0.636,127.977,audio_features,5wVQafI8nMlodh2wnTj9K4,spotify:track:5wVQafI8nMlodh2wnTj9K4,https://api.spotify.com/v1/tracks/5wVQafI8nMlodh2wnTj9K4,https://api.spotify.com/v1/audio-analysis/5wVQafI8nMlodh2wnTj9K4,228453,4,Konkubinat,spotify:track:5wVQafI8nMlodh2wnTj9K4,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
26,0.71,0.444,7,-10.417,0,0.634,0.547,0.0,0.217,0.534,83.62,audio_features,7jeqHTL5LN4YEyMhiqf9Ei,spotify:track:7jeqHTL5LN4YEyMhiqf9Ei,https://api.spotify.com/v1/tracks/7jeqHTL5LN4YEyMhiqf9Ei,https://api.spotify.com/v1/audio-analysis/7jeqHTL5LN4YEyMhiqf9Ei,201853,4,Homo ludens,spotify:track:7jeqHTL5LN4YEyMhiqf9Ei,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
27,0.904,0.64,0,-9.095,0,0.242,0.331,0.0,0.141,0.745,109.995,audio_features,4fxdAGtDLyKnPXGpc1AwYM,spotify:track:4fxdAGtDLyKnPXGpc1AwYM,https://api.spotify.com/v1/tracks/4fxdAGtDLyKnPXGpc1AwYM,https://api.spotify.com/v1/audio-analysis/4fxdAGtDLyKnPXGpc1AwYM,208427,4,Cafe PRL,spotify:track:4fxdAGtDLyKnPXGpc1AwYM,Smoothboi Ezra,2efF0JsHHsKKyjceFHUMFj
