,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.377,0.559,1,-9.927,0,0.0954,0.464,0.919,0.147,0.273,127.868,audio_features,4unE6fywqCDfsaacxxbGvi,spotify:track:4unE6fywqCDfsaacxxbGvi,https://api.spotify.com/v1/tracks/4unE6fywqCDfsaacxxbGvi,https://api.spotify.com/v1/audio-analysis/4unE6fywqCDfsaacxxbGvi,300246,4,Juntos - Laurence Guy Remix,spotify:track:4unE6fywqCDfsaacxxbGvi,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
1,0.784,0.707,6,-11.095,0,0.0724,0.00224,0.00438,0.108,0.141,121.982,audio_features,57hPvkbXk9HKXCF9KmYbih,spotify:track:57hPvkbXk9HKXCF9KmYbih,https://api.spotify.com/v1/tracks/57hPvkbXk9HKXCF9KmYbih,https://api.spotify.com/v1/audio-analysis/57hPvkbXk9HKXCF9KmYbih,283266,4,Juntos,spotify:track:57hPvkbXk9HKXCF9KmYbih,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
2,0.664,0.524,7,-10.5,1,0.0509,0.0316,0.892,0.176,0.403,124.0,audio_features,1V2Z18nOByb7DqCECFh2Yt,spotify:track:1V2Z18nOByb7DqCECFh2Yt,https://api.spotify.com/v1/tracks/1V2Z18nOByb7DqCECFh2Yt,https://api.spotify.com/v1/audio-analysis/1V2Z18nOByb7DqCECFh2Yt,317004,4,La Perla - Tourist Remix,spotify:track:1V2Z18nOByb7DqCECFh2Yt,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
3,0.631,0.654,7,-11.427,1,0.0482,0.179,0.939,0.106,0.665,124.016,audio_features,128Imu3Z7l234ihO6vktaQ,spotify:track:128Imu3Z7l234ihO6vktaQ,https://api.spotify.com/v1/tracks/128Imu3Z7l234ihO6vktaQ,https://api.spotify.com/v1/audio-analysis/128Imu3Z7l234ihO6vktaQ,327097,4,La Perla,spotify:track:128Imu3Z7l234ihO6vktaQ,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
4,0.764,0.889,11,-6.918,0,0.0512,0.000202,0.902,0.348,0.47,122.998,audio_features,2nKJ4kOIoSiGd2jTtyf5x8,spotify:track:2nKJ4kOIoSiGd2jTtyf5x8,https://api.spotify.com/v1/tracks/2nKJ4kOIoSiGd2jTtyf5x8,https://api.spotify.com/v1/audio-analysis/2nKJ4kOIoSiGd2jTtyf5x8,251707,4,One By One (feat. Elderbrook & Andhim) - Sofia Kourtesis Remix,spotify:track:2nKJ4kOIoSiGd2jTtyf5x8,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
5,0.631,0.651,7,-11.427,1,0.0482,0.18,0.931,0.106,0.666,124.013,audio_features,4spjVQuvIk5zgLKzGeZHLR,spotify:track:4spjVQuvIk5zgLKzGeZHLR,https://api.spotify.com/v1/tracks/4spjVQuvIk5zgLKzGeZHLR,https://api.spotify.com/v1/audio-analysis/4spjVQuvIk5zgLKzGeZHLR,327097,4,La Perla,spotify:track:4spjVQuvIk5zgLKzGeZHLR,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
6,0.887,0.823,5,-7.569,0,0.0465,0.0242,0.706,0.593,0.64,121.997,audio_features,4T2jelr7kwitYUTRRKHuCB,spotify:track:4T2jelr7kwitYUTRRKHuCB,https://api.spotify.com/v1/tracks/4T2jelr7kwitYUTRRKHuCB,https://api.spotify.com/v1/audio-analysis/4T2jelr7kwitYUTRRKHuCB,367363,4,By Your Side,spotify:track:4T2jelr7kwitYUTRRKHuCB,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
7,0.812,0.746,10,-8.821,0,0.128,0.000564,0.144,0.785,0.559,120.013,audio_features,3YNLMwCmMBaBOoxkcM6xCE,spotify:track:3YNLMwCmMBaBOoxkcM6xCE,https://api.spotify.com/v1/tracks/3YNLMwCmMBaBOoxkcM6xCE,https://api.spotify.com/v1/audio-analysis/3YNLMwCmMBaBOoxkcM6xCE,296408,4,Nicolas,spotify:track:3YNLMwCmMBaBOoxkcM6xCE,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
8,0.783,0.706,6,-11.098,0,0.0703,0.00214,0.0037,0.109,0.124,121.982,audio_features,72O4Zk916HBRyxrfS5RjEV,spotify:track:72O4Zk916HBRyxrfS5RjEV,https://api.spotify.com/v1/tracks/72O4Zk916HBRyxrfS5RjEV,https://api.spotify.com/v1/audio-analysis/72O4Zk916HBRyxrfS5RjEV,283266,4,Juntos,spotify:track:72O4Zk916HBRyxrfS5RjEV,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
9,0.622,0.653,8,-9.21,1,0.0334,0.00209,0.875,0.106,0.122,123.991,audio_features,7pSnot5WqIw4s4foj7q8t8,spotify:track:7pSnot5WqIw4s4foj7q8t8,https://api.spotify.com/v1/tracks/7pSnot5WqIw4s4foj7q8t8,https://api.spotify.com/v1/audio-analysis/7pSnot5WqIw4s4foj7q8t8,401728,4,Dakotas,spotify:track:7pSnot5WqIw4s4foj7q8t8,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
10,0.887,0.823,5,-7.57,0,0.0462,0.0237,0.731,0.593,0.641,121.993,audio_features,69uPNh3b6VKdMZMbIKYQ1l,spotify:track:69uPNh3b6VKdMZMbIKYQ1l,https://api.spotify.com/v1/tracks/69uPNh3b6VKdMZMbIKYQ1l,https://api.spotify.com/v1/audio-analysis/69uPNh3b6VKdMZMbIKYQ1l,367363,4,By Your Side,spotify:track:69uPNh3b6VKdMZMbIKYQ1l,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
11,0.595,0.735,7,-10.996,1,0.0439,0.183,0.928,0.111,0.656,124.064,audio_features,154s7WzZxV99iv7enyK0UK,spotify:track:154s7WzZxV99iv7enyK0UK,https://api.spotify.com/v1/tracks/154s7WzZxV99iv7enyK0UK,https://api.spotify.com/v1/audio-analysis/154s7WzZxV99iv7enyK0UK,226431,4,La Perla - Edit,spotify:track:154s7WzZxV99iv7enyK0UK,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
12,0.631,0.651,7,-11.427,1,0.0482,0.18,0.931,0.106,0.666,124.013,audio_features,4pNlEl7y5pT9f9zFy0oxXb,spotify:track:4pNlEl7y5pT9f9zFy0oxXb,https://api.spotify.com/v1/tracks/4pNlEl7y5pT9f9zFy0oxXb,https://api.spotify.com/v1/audio-analysis/4pNlEl7y5pT9f9zFy0oxXb,327097,4,La Perla,spotify:track:4pNlEl7y5pT9f9zFy0oxXb,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
13,0.595,0.736,7,-11.004,1,0.0439,0.183,0.925,0.111,0.665,124.058,audio_features,6CldyxMa4XuHWAhAlaPWmt,spotify:track:6CldyxMa4XuHWAhAlaPWmt,https://api.spotify.com/v1/tracks/6CldyxMa4XuHWAhAlaPWmt,https://api.spotify.com/v1/audio-analysis/6CldyxMa4XuHWAhAlaPWmt,226431,4,La Perla - Edit,spotify:track:6CldyxMa4XuHWAhAlaPWmt,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
14,0.779,0.649,4,-8.297,0,0.13,0.0025,0.889,0.0989,0.446,122.993,audio_features,0VNtKhOQZConLZc1GjQckk,spotify:track:0VNtKhOQZConLZc1GjQckk,https://api.spotify.com/v1/tracks/0VNtKhOQZConLZc1GjQckk,https://api.spotify.com/v1/audio-analysis/0VNtKhOQZConLZc1GjQckk,227317,4,Sarita Colonia - Edit,spotify:track:0VNtKhOQZConLZc1GjQckk,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
15,0.812,0.541,4,-8.758,0,0.101,0.00131,0.888,0.0927,0.339,123.002,audio_features,4gd6EqJtyzA2BuAWS3uKsa,spotify:track:4gd6EqJtyzA2BuAWS3uKsa,https://api.spotify.com/v1/tracks/4gd6EqJtyzA2BuAWS3uKsa,https://api.spotify.com/v1/audio-analysis/4gd6EqJtyzA2BuAWS3uKsa,378206,4,Sarita Colonia,spotify:track:4gd6EqJtyzA2BuAWS3uKsa,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
16,0.725,0.852,11,-12.785,0,0.0665,0.00964,0.61,0.112,0.0793,124.0,audio_features,0r7FsCKTL3ztZVHpZ9pSqT,spotify:track:0r7FsCKTL3ztZVHpZ9pSqT,https://api.spotify.com/v1/tracks/0r7FsCKTL3ztZVHpZ9pSqT,https://api.spotify.com/v1/audio-analysis/0r7FsCKTL3ztZVHpZ9pSqT,364084,4,Lana Gaye,spotify:track:0r7FsCKTL3ztZVHpZ9pSqT,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
17,0.619,0.883,6,-10.142,1,0.0413,0.0195,0.908,0.197,0.294,124.004,audio_features,4nLYuqQrjVZu6zVNqmsTfI,spotify:track:4nLYuqQrjVZu6zVNqmsTfI,https://api.spotify.com/v1/tracks/4nLYuqQrjVZu6zVNqmsTfI,https://api.spotify.com/v1/audio-analysis/4nLYuqQrjVZu6zVNqmsTfI,398232,4,Trains & Airports,spotify:track:4nLYuqQrjVZu6zVNqmsTfI,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
18,0.659,0.917,8,-10.587,1,0.0489,0.359,0.599,0.137,0.193,122.99,audio_features,75IEY1BA1fO6YL537oV1Vi,spotify:track:75IEY1BA1fO6YL537oV1Vi,https://api.spotify.com/v1/tracks/75IEY1BA1fO6YL537oV1Vi,https://api.spotify.com/v1/audio-analysis/75IEY1BA1fO6YL537oV1Vi,376793,4,Ios Santos - feat. Kid Simius,spotify:track:75IEY1BA1fO6YL537oV1Vi,Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
