,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.528,0.524,9,-9.84,0,0.0376,0.0922,0.00501,0.165,0.433,142.176,audio_features,5j2SrD21vkSdJp4h0qQrDj,spotify:track:5j2SrD21vkSdJp4h0qQrDj,https://api.spotify.com/v1/tracks/5j2SrD21vkSdJp4h0qQrDj,https://api.spotify.com/v1/audio-analysis/5j2SrD21vkSdJp4h0qQrDj,294507,4,Revenge (feat. The Flaming Lips),spotify:track:5j2SrD21vkSdJp4h0qQrDj,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
1,0.52,0.521,3,-6.805,1,0.0301,0.0212,0.000206,0.171,0.116,98.226,audio_features,5Jzem1mrJy5du7UZaaq4Z4,spotify:track:5Jzem1mrJy5du7UZaaq4Z4,https://api.spotify.com/v1/tracks/5Jzem1mrJy5du7UZaaq4Z4,https://api.spotify.com/v1/audio-analysis/5Jzem1mrJy5du7UZaaq4Z4,224187,4,Just War (feat. Gruff Rhys),spotify:track:5Jzem1mrJy5du7UZaaq4Z4,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
2,0.545,0.659,9,-7.077,1,0.028,0.00084,0.177,0.0681,0.375,119.007,audio_features,3K5BRMHp6A5o3IRbuTWidd,spotify:track:3K5BRMHp6A5o3IRbuTWidd,https://api.spotify.com/v1/tracks/3K5BRMHp6A5o3IRbuTWidd,https://api.spotify.com/v1/audio-analysis/3K5BRMHp6A5o3IRbuTWidd,232440,4,Jaykub (feat. Jason Lytle),spotify:track:3K5BRMHp6A5o3IRbuTWidd,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
3,0.54,0.912,1,-5.678,1,0.0376,0.000108,0.00298,0.134,0.839,146.033,audio_features,0Ih55K62jZIbeTysGHJkW0,spotify:track:0Ih55K62jZIbeTysGHJkW0,https://api.spotify.com/v1/tracks/0Ih55K62jZIbeTysGHJkW0,https://api.spotify.com/v1/audio-analysis/0Ih55K62jZIbeTysGHJkW0,272933,4,Little Girl (feat. Julian Casablancas),spotify:track:0Ih55K62jZIbeTysGHJkW0,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
4,0.503,0.69,11,-5.252,0,0.0689,0.000613,6.43e-05,0.324,0.423,136.314,audio_features,1EO6z80PXEGgdLAEoxUVrW,spotify:track:1EO6z80PXEGgdLAEoxUVrW,https://api.spotify.com/v1/tracks/1EO6z80PXEGgdLAEoxUVrW,https://api.spotify.com/v1/audio-analysis/1EO6z80PXEGgdLAEoxUVrW,175813,3,Angel's Harp (feat. Black Francis),spotify:track:1EO6z80PXEGgdLAEoxUVrW,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
5,0.303,0.978,1,-4.532,1,0.0813,6.06e-05,0.00128,0.205,0.0919,164.072,audio_features,1ldHSHhkILltDOVOKWUWJH,spotify:track:1ldHSHhkILltDOVOKWUWJH,https://api.spotify.com/v1/tracks/1ldHSHhkILltDOVOKWUWJH,https://api.spotify.com/v1/audio-analysis/1ldHSHhkILltDOVOKWUWJH,171053,4,Pain (feat. Iggy Pop),spotify:track:1ldHSHhkILltDOVOKWUWJH,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
6,0.47,0.546,4,-4.971,1,0.0296,0.412,0.00596,0.117,0.197,125.963,audio_features,1c0NlnRc9OA4T9MfCdxKdK,spotify:track:1c0NlnRc9OA4T9MfCdxKdK,https://api.spotify.com/v1/tracks/1c0NlnRc9OA4T9MfCdxKdK,https://api.spotify.com/v1/audio-analysis/1c0NlnRc9OA4T9MfCdxKdK,190480,4,Star Eyes (I Can't Catch It) (feat. David Lynch),spotify:track:1c0NlnRc9OA4T9MfCdxKdK,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
7,0.582,0.522,9,-8.019,0,0.0266,0.291,0.000225,0.0906,0.393,108.031,audio_features,5YGtvY2sjf2cl64jJg3Rfz,spotify:track:5YGtvY2sjf2cl64jJg3Rfz,https://api.spotify.com/v1/tracks/5YGtvY2sjf2cl64jJg3Rfz,https://api.spotify.com/v1/audio-analysis/5YGtvY2sjf2cl64jJg3Rfz,191667,4,Everytime I'm with You (feat. Jason Lytle),spotify:track:5YGtvY2sjf2cl64jJg3Rfz,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
8,0.362,0.671,0,-4.796,1,0.0286,0.0152,0.0,0.237,0.25,85.021,audio_features,7AiV68RrMMnlhqlM6qwyd7,spotify:track:7AiV68RrMMnlhqlM6qwyd7,https://api.spotify.com/v1/tracks/7AiV68RrMMnlhqlM6qwyd7,https://api.spotify.com/v1/audio-analysis/7AiV68RrMMnlhqlM6qwyd7,190267,4,Insane Lullaby (feat. James Mercer),spotify:track:7AiV68RrMMnlhqlM6qwyd7,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
9,0.513,0.728,9,-6.832,1,0.0282,0.00176,0.000772,0.814,0.383,136.648,audio_features,3nHPOvZvide7YxDbi81m4j,spotify:track:3nHPOvZvide7YxDbi81m4j,https://api.spotify.com/v1/tracks/3nHPOvZvide7YxDbi81m4j,https://api.spotify.com/v1/audio-analysis/3nHPOvZvide7YxDbi81m4j,188320,4,Daddy's Gone (feat. Mark Linkous & Nina Persson),spotify:track:3nHPOvZvide7YxDbi81m4j,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
10,0.561,0.634,4,-5.563,1,0.0252,0.0125,0.000134,0.285,0.395,70.493,audio_features,6kL3fqqaasAkKMvTjQitWf,spotify:track:6kL3fqqaasAkKMvTjQitWf,https://api.spotify.com/v1/tracks/6kL3fqqaasAkKMvTjQitWf,https://api.spotify.com/v1/audio-analysis/6kL3fqqaasAkKMvTjQitWf,189960,4,The Man Who Played God (feat. Suzanne Vega),spotify:track:6kL3fqqaasAkKMvTjQitWf,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
11,0.397,0.616,8,-7.308,0,0.0312,0.794,0.246,0.0919,0.535,78.483,audio_features,0tKuAFd7yiWBXdaad2dHem,spotify:track:0tKuAFd7yiWBXdaad2dHem,https://api.spotify.com/v1/tracks/0tKuAFd7yiWBXdaad2dHem,https://api.spotify.com/v1/audio-analysis/0tKuAFd7yiWBXdaad2dHem,151533,3,Grim Augury (feat. Vic Chesnutt),spotify:track:0tKuAFd7yiWBXdaad2dHem,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
12,0.322,0.75,3,-6.858,1,0.0918,0.942,0.421,0.662,0.293,70.501,audio_features,3pfBHp4Q7z1DYNg7Dr40vn,spotify:track:3pfBHp4Q7z1DYNg7Dr40vn,https://api.spotify.com/v1/tracks/3pfBHp4Q7z1DYNg7Dr40vn,https://api.spotify.com/v1/audio-analysis/3pfBHp4Q7z1DYNg7Dr40vn,280507,4,Dark Night of the Soul (feat. David Lynch),spotify:track:3pfBHp4Q7z1DYNg7Dr40vn,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
13,0.12,0.352,7,-15.902,1,0.0402,0.87,0.698,0.216,0.0886,81.844,audio_features,6sXWByrWu1nT0ueFUeTxQE,spotify:track:6sXWByrWu1nT0ueFUeTxQE,https://api.spotify.com/v1/tracks/6sXWByrWu1nT0ueFUeTxQE,https://api.spotify.com/v1/audio-analysis/6sXWByrWu1nT0ueFUeTxQE,586000,4,Music Box Of Snakes,spotify:track:6sXWByrWu1nT0ueFUeTxQE,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
14,0.231,0.373,6,-13.91,1,0.0371,0.939,0.863,0.141,0.252,103.028,audio_features,2DcI5m3c4HuPtfV3IIoXFl,spotify:track:2DcI5m3c4HuPtfV3IIoXFl,https://api.spotify.com/v1/tracks/2DcI5m3c4HuPtfV3IIoXFl,https://api.spotify.com/v1/audio-analysis/2DcI5m3c4HuPtfV3IIoXFl,324000,3,Goodnight Sweetheart,spotify:track:2DcI5m3c4HuPtfV3IIoXFl,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
15,0.517,0.916,1,-12.594,0,0.21,0.0487,0.704,0.112,0.455,112.421,audio_features,1TcjJKHiVk9tw8eZyciWrr,spotify:track:1TcjJKHiVk9tw8eZyciWrr,https://api.spotify.com/v1/tracks/1TcjJKHiVk9tw8eZyciWrr,https://api.spotify.com/v1/audio-analysis/1TcjJKHiVk9tw8eZyciWrr,156000,1,Shai-Hulud,spotify:track:1TcjJKHiVk9tw8eZyciWrr,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
16,0.0659,0.351,0,-13.357,1,0.0346,0.0495,0.865,0.296,0.0795,59.362,audio_features,3mB4tsb8Sq0OTZ69S4bWOi,spotify:track:3mB4tsb8Sq0OTZ69S4bWOi,https://api.spotify.com/v1/tracks/3mB4tsb8Sq0OTZ69S4bWOi,https://api.spotify.com/v1/audio-analysis/3mB4tsb8Sq0OTZ69S4bWOi,313000,4,If My Heart,spotify:track:3mB4tsb8Sq0OTZ69S4bWOi,Sparklehorse,64tVHZVSAZhDEiOJxnb6hE
