,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.532,0.795,11,-3.46,1,0.327,0.121,0.0,0.142,0.579,155.595,audio_features,2BebsgURFz2BPXMO95vxdJ,spotify:track:2BebsgURFz2BPXMO95vxdJ,https://api.spotify.com/v1/tracks/2BebsgURFz2BPXMO95vxdJ,https://api.spotify.com/v1/audio-analysis/2BebsgURFz2BPXMO95vxdJ,102269,4,Lil Bitch (Intro),spotify:track:2BebsgURFz2BPXMO95vxdJ,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
1,0.571,0.745,5,-4.512,0,0.281,0.041,0.0,0.148,0.362,160.405,audio_features,5VfowCagr2kyjAQPyR3tqs,spotify:track:5VfowCagr2kyjAQPyR3tqs,https://api.spotify.com/v1/tracks/5VfowCagr2kyjAQPyR3tqs,https://api.spotify.com/v1/audio-analysis/5VfowCagr2kyjAQPyR3tqs,185749,4,Jellio,spotify:track:5VfowCagr2kyjAQPyR3tqs,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
2,0.687,0.684,1,-3.556,0,0.0849,0.00344,5.1e-06,0.238,0.347,94.025,audio_features,25hKHxBGCZqAd3KW6WlNuu,spotify:track:25hKHxBGCZqAd3KW6WlNuu,https://api.spotify.com/v1/tracks/25hKHxBGCZqAd3KW6WlNuu,https://api.spotify.com/v1/audio-analysis/25hKHxBGCZqAd3KW6WlNuu,105683,4,Finesse,spotify:track:25hKHxBGCZqAd3KW6WlNuu,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
3,0.455,0.369,8,-14.65,0,0.29,0.759,0.0,0.381,0.837,170.848,audio_features,1IAaAjmPMjyToGvtZXt4Gt,spotify:track:1IAaAjmPMjyToGvtZXt4Gt,https://api.spotify.com/v1/tracks/1IAaAjmPMjyToGvtZXt4Gt,https://api.spotify.com/v1/audio-analysis/1IAaAjmPMjyToGvtZXt4Gt,62838,3,Interlude,spotify:track:1IAaAjmPMjyToGvtZXt4Gt,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
4,0.509,0.744,8,-4.936,0,0.074,0.115,1.33e-05,0.135,0.415,152.262,audio_features,2CpnVLGUCb3yKVpghYsbBL,spotify:track:2CpnVLGUCb3yKVpghYsbBL,https://api.spotify.com/v1/tracks/2CpnVLGUCb3yKVpghYsbBL,https://api.spotify.com/v1/audio-analysis/2CpnVLGUCb3yKVpghYsbBL,267603,4,What You Want,spotify:track:2CpnVLGUCb3yKVpghYsbBL,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
5,0.702,0.715,6,-4.303,1,0.311,0.124,0.0,0.0794,0.642,189.847,audio_features,6mzuhkLnwRNcVVRrA4v1r1,spotify:track:6mzuhkLnwRNcVVRrA4v1r1,https://api.spotify.com/v1/tracks/6mzuhkLnwRNcVVRrA4v1r1,https://api.spotify.com/v1/audio-analysis/6mzuhkLnwRNcVVRrA4v1r1,194050,4,Pretty Girl,spotify:track:6mzuhkLnwRNcVVRrA4v1r1,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
6,0.505,0.84,6,-2.051,0,0.263,0.127,0.00457,0.105,0.47,192.074,audio_features,5CKyZbNRrvC98mPcScIUtT,spotify:track:5CKyZbNRrvC98mPcScIUtT,https://api.spotify.com/v1/tracks/5CKyZbNRrvC98mPcScIUtT,https://api.spotify.com/v1/audio-analysis/5CKyZbNRrvC98mPcScIUtT,227500,4,Uber,spotify:track:5CKyZbNRrvC98mPcScIUtT,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
7,0.479,0.845,10,-4.561,0,0.176,0.00688,7.09e-05,0.0919,0.471,170.093,audio_features,5ngbvSnoZh1Kj5GUozoXfR,spotify:track:5ngbvSnoZh1Kj5GUozoXfR,https://api.spotify.com/v1/tracks/5ngbvSnoZh1Kj5GUozoXfR,https://api.spotify.com/v1/audio-analysis/5ngbvSnoZh1Kj5GUozoXfR,173073,4,Precious Heavy,spotify:track:5ngbvSnoZh1Kj5GUozoXfR,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
8,0.747,0.785,11,-3.218,0,0.272,0.00312,0.0,0.22,0.476,148.053,audio_features,6uiclS3XuoX3AHNq6OVJXY,spotify:track:6uiclS3XuoX3AHNq6OVJXY,https://api.spotify.com/v1/tracks/6uiclS3XuoX3AHNq6OVJXY,https://api.spotify.com/v1/audio-analysis/6uiclS3XuoX3AHNq6OVJXY,242024,4,Both Ways,spotify:track:6uiclS3XuoX3AHNq6OVJXY,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
9,0.766,0.561,1,-6.01,1,0.121,0.0172,0.0,0.112,0.356,76.794,audio_features,7GucpqkJRENIN9F1LMlWhx,spotify:track:7GucpqkJRENIN9F1LMlWhx,https://api.spotify.com/v1/tracks/7GucpqkJRENIN9F1LMlWhx,https://api.spotify.com/v1/audio-analysis/7GucpqkJRENIN9F1LMlWhx,152668,4,Crunch Time,spotify:track:7GucpqkJRENIN9F1LMlWhx,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
10,0.823,0.6,8,-3.913,1,0.179,0.446,2.06e-05,0.105,0.412,101.991,audio_features,6UL4o3fCsOAfgPow7Rck81,spotify:track:6UL4o3fCsOAfgPow7Rck81,https://api.spotify.com/v1/tracks/6UL4o3fCsOAfgPow7Rck81,https://api.spotify.com/v1/audio-analysis/6UL4o3fCsOAfgPow7Rck81,202619,4,Favourite Girl,spotify:track:6UL4o3fCsOAfgPow7Rck81,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
11,0.506,0.822,0,-3.348,1,0.282,0.179,0.0,0.31,0.738,203.276,audio_features,3UMhetaB5d2Egu49pfpNQA,spotify:track:3UMhetaB5d2Egu49pfpNQA,https://api.spotify.com/v1/tracks/3UMhetaB5d2Egu49pfpNQA,https://api.spotify.com/v1/audio-analysis/3UMhetaB5d2Egu49pfpNQA,241025,4,Hurtin' Me - The Remix,spotify:track:3UMhetaB5d2Egu49pfpNQA,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD
