,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.326,0.0945,0,-26.768,1,0.046,0.98,0.87,0.366,0.291,99.269,audio_features,3iCvLAdsFiqlnusTzGSG64,spotify:track:3iCvLAdsFiqlnusTzGSG64,https://api.spotify.com/v1/tracks/3iCvLAdsFiqlnusTzGSG64,https://api.spotify.com/v1/audio-analysis/3iCvLAdsFiqlnusTzGSG64,99400,3,Bloodwork,spotify:track:3iCvLAdsFiqlnusTzGSG64,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
1,0.372,0.13,2,-26.28,0,0.0424,0.967,0.934,0.0923,0.0957,113.497,audio_features,3LTPFZ0gT1NgNCjODWZ8OO,spotify:track:3LTPFZ0gT1NgNCjODWZ8OO,https://api.spotify.com/v1/tracks/3LTPFZ0gT1NgNCjODWZ8OO,https://api.spotify.com/v1/audio-analysis/3LTPFZ0gT1NgNCjODWZ8OO,133840,4,Life Of Emily,spotify:track:3LTPFZ0gT1NgNCjODWZ8OO,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
2,0.401,0.0212,7,-28.151,1,0.0426,0.96,0.295,0.102,0.339,132.417,audio_features,5Rp4K9wV3NMoYUnjjLtz0P,spotify:track:5Rp4K9wV3NMoYUnjjLtz0P,https://api.spotify.com/v1/tracks/5Rp4K9wV3NMoYUnjjLtz0P,https://api.spotify.com/v1/audio-analysis/5Rp4K9wV3NMoYUnjjLtz0P,150280,4,Life Of Someone,spotify:track:5Rp4K9wV3NMoYUnjjLtz0P,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
3,0.455,0.05,9,-28.914,0,0.0357,0.956,0.843,0.106,0.0981,110.932,audio_features,4dc1PbxBXyDjNVKT37trkd,spotify:track:4dc1PbxBXyDjNVKT37trkd,https://api.spotify.com/v1/tracks/4dc1PbxBXyDjNVKT37trkd,https://api.spotify.com/v1/audio-analysis/4dc1PbxBXyDjNVKT37trkd,351440,3,Life Of Mir,spotify:track:4dc1PbxBXyDjNVKT37trkd,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
4,0.443,0.0393,5,-28.199,1,0.04,0.951,0.506,0.112,0.145,124.419,audio_features,1vkXeAn2WaUwpwYRsm71Ru,spotify:track:1vkXeAn2WaUwpwYRsm71Ru,https://api.spotify.com/v1/tracks/1vkXeAn2WaUwpwYRsm71Ru,https://api.spotify.com/v1/audio-analysis/1vkXeAn2WaUwpwYRsm71Ru,208520,3,Life Of Lowell,spotify:track:1vkXeAn2WaUwpwYRsm71Ru,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
5,0.327,0.0814,2,-26.146,0,0.0378,0.953,0.823,0.0959,0.233,65.962,audio_features,544YTWzzd5qmgqT2DoKJEW,spotify:track:544YTWzzd5qmgqT2DoKJEW,https://api.spotify.com/v1/tracks/544YTWzzd5qmgqT2DoKJEW,https://api.spotify.com/v1/audio-analysis/544YTWzzd5qmgqT2DoKJEW,255440,3,Life Of Joel,spotify:track:544YTWzzd5qmgqT2DoKJEW,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
6,0.239,0.0953,2,-26.483,0,0.0388,0.959,0.909,0.0747,0.149,85.09,audio_features,3k6qJAB3D1bNIZtHlPlj0L,spotify:track:3k6qJAB3D1bNIZtHlPlj0L,https://api.spotify.com/v1/tracks/3k6qJAB3D1bNIZtHlPlj0L,https://api.spotify.com/v1/audio-analysis/3k6qJAB3D1bNIZtHlPlj0L,213467,4,Life Of Alice,spotify:track:3k6qJAB3D1bNIZtHlPlj0L,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
7,0.397,0.0186,2,-28.968,0,0.0381,0.977,0.879,0.089,0.0921,114.229,audio_features,3mg656a9thbqsjD1XF5o5K,spotify:track:3mg656a9thbqsjD1XF5o5K,https://api.spotify.com/v1/tracks/3mg656a9thbqsjD1XF5o5K,https://api.spotify.com/v1/audio-analysis/3mg656a9thbqsjD1XF5o5K,261787,3,Life Of Dot,spotify:track:3mg656a9thbqsjD1XF5o5K,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
8,0.3,0.00999,2,-29.037,0,0.036,0.984,0.673,0.0845,0.227,74.326,audio_features,5orTh7VIBv2twqsFjcbTPG,spotify:track:5orTh7VIBv2twqsFjcbTPG,https://api.spotify.com/v1/tracks/5orTh7VIBv2twqsFjcbTPG,https://api.spotify.com/v1/audio-analysis/5orTh7VIBv2twqsFjcbTPG,182760,4,Life Of Carol,spotify:track:5orTh7VIBv2twqsFjcbTPG,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
9,0.401,0.0426,0,-27.083,1,0.0452,0.968,0.754,0.0756,0.255,91.317,audio_features,0JqriJMgtiy0emYZjmjr1Q,spotify:track:0JqriJMgtiy0emYZjmjr1Q,https://api.spotify.com/v1/tracks/0JqriJMgtiy0emYZjmjr1Q,https://api.spotify.com/v1/audio-analysis/0JqriJMgtiy0emYZjmjr1Q,268013,4,Life Of Joan,spotify:track:0JqriJMgtiy0emYZjmjr1Q,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
10,0.409,0.0583,2,-27.412,0,0.0386,0.977,0.834,0.111,0.177,139.538,audio_features,6S7bnfz4pTizTRrhCk0tzh,spotify:track:6S7bnfz4pTizTRrhCk0tzh,https://api.spotify.com/v1/tracks/6S7bnfz4pTizTRrhCk0tzh,https://api.spotify.com/v1/audio-analysis/6S7bnfz4pTizTRrhCk0tzh,211920,3,Life Of El,spotify:track:6S7bnfz4pTizTRrhCk0tzh,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
11,0.366,0.0666,7,-25.876,1,0.0348,0.974,0.926,0.112,0.241,101.048,audio_features,5qhsduocElJvkmQQNHtIWc,spotify:track:5qhsduocElJvkmQQNHtIWc,https://api.spotify.com/v1/tracks/5qhsduocElJvkmQQNHtIWc,https://api.spotify.com/v1/audio-analysis/5qhsduocElJvkmQQNHtIWc,163800,5,End Again,spotify:track:5qhsduocElJvkmQQNHtIWc,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
12,0.407,0.0606,2,-26.897,0,0.033,0.949,0.819,0.0708,0.128,104.493,audio_features,5JGzw5MG1Xzvq4SlTg8BUr,spotify:track:5JGzw5MG1Xzvq4SlTg8BUr,https://api.spotify.com/v1/tracks/5JGzw5MG1Xzvq4SlTg8BUr,https://api.spotify.com/v1/audio-analysis/5JGzw5MG1Xzvq4SlTg8BUr,546720,4,Start Again,spotify:track:5JGzw5MG1Xzvq4SlTg8BUr,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
13,0.267,0.0346,9,-21.59,0,0.0514,0.898,0.0,0.101,0.0798,119.572,audio_features,3MTvITBTgK00WgZ2xtwSQS,spotify:track:3MTvITBTgK00WgZ2xtwSQS,https://api.spotify.com/v1/tracks/3MTvITBTgK00WgZ2xtwSQS,https://api.spotify.com/v1/audio-analysis/3MTvITBTgK00WgZ2xtwSQS,79827,4,Padmakara,spotify:track:3MTvITBTgK00WgZ2xtwSQS,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
14,0.345,0.115,9,-18.837,1,0.0482,0.695,4.21e-05,0.136,0.382,166.683,audio_features,4w8eqp5bFH7zj1DvIQgkv5,spotify:track:4w8eqp5bFH7zj1DvIQgkv5,https://api.spotify.com/v1/tracks/4w8eqp5bFH7zj1DvIQgkv5,https://api.spotify.com/v1/audio-analysis/4w8eqp5bFH7zj1DvIQgkv5,175067,4,Palden Rangjung,spotify:track:4w8eqp5bFH7zj1DvIQgkv5,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y
