,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.709,0.379,8,-16.872,0,0.0412,0.702,0.238,0.26,0.256,110.083,audio_features,621m6cs0lrxOQSvKSSjWsn,spotify:track:621m6cs0lrxOQSvKSSjWsn,https://api.spotify.com/v1/tracks/621m6cs0lrxOQSvKSSjWsn,https://api.spotify.com/v1/audio-analysis/621m6cs0lrxOQSvKSSjWsn,122088,4,Intro,spotify:track:621m6cs0lrxOQSvKSSjWsn,Stimming,2yPveJtn9DpeN0CgNJHvAQ
1,0.658,0.448,0,-14.206,1,0.135,0.681,0.254,0.242,0.197,103.895,audio_features,7xYxbJmDD2ICvZPsLg7Wet,spotify:track:7xYxbJmDD2ICvZPsLg7Wet,https://api.spotify.com/v1/tracks/7xYxbJmDD2ICvZPsLg7Wet,https://api.spotify.com/v1/audio-analysis/7xYxbJmDD2ICvZPsLg7Wet,170919,4,Pidgeons,spotify:track:7xYxbJmDD2ICvZPsLg7Wet,Stimming,2yPveJtn9DpeN0CgNJHvAQ
2,0.523,0.328,5,-18.663,1,0.216,0.907,0.699,0.135,0.305,100.967,audio_features,15GWPnzn5poRcipQOBwsYg,spotify:track:15GWPnzn5poRcipQOBwsYg,https://api.spotify.com/v1/tracks/15GWPnzn5poRcipQOBwsYg,https://api.spotify.com/v1/audio-analysis/15GWPnzn5poRcipQOBwsYg,209385,4,Celestophone,spotify:track:15GWPnzn5poRcipQOBwsYg,Stimming,2yPveJtn9DpeN0CgNJHvAQ
3,0.435,0.382,9,-15.511,0,0.0996,0.8,0.883,0.29,0.29,100.762,audio_features,4kAr8IgHsCupjZRHNIpJBB,spotify:track:4kAr8IgHsCupjZRHNIpJBB,https://api.spotify.com/v1/tracks/4kAr8IgHsCupjZRHNIpJBB,https://api.spotify.com/v1/audio-analysis/4kAr8IgHsCupjZRHNIpJBB,228296,4,The Hyve,spotify:track:4kAr8IgHsCupjZRHNIpJBB,Stimming,2yPveJtn9DpeN0CgNJHvAQ
4,0.646,0.49,2,-14.222,0,0.14,0.728,0.497,0.112,0.444,124.01,audio_features,5DspluzoQ95038EszIQqLX,spotify:track:5DspluzoQ95038EszIQqLX,https://api.spotify.com/v1/tracks/5DspluzoQ95038EszIQqLX,https://api.spotify.com/v1/audio-analysis/5DspluzoQ95038EszIQqLX,218562,4,10 000 Miles from Home,spotify:track:5DspluzoQ95038EszIQqLX,Stimming,2yPveJtn9DpeN0CgNJHvAQ
5,0.862,0.401,10,-14.576,0,0.114,0.845,0.755,0.113,0.806,123.025,audio_features,37E6roAWZAo61W2QBAbG62,spotify:track:37E6roAWZAo61W2QBAbG62,https://api.spotify.com/v1/tracks/37E6roAWZAo61W2QBAbG62,https://api.spotify.com/v1/audio-analysis/37E6roAWZAo61W2QBAbG62,218957,4,Judith Maria,spotify:track:37E6roAWZAo61W2QBAbG62,Stimming,2yPveJtn9DpeN0CgNJHvAQ
6,0.47,0.384,7,-19.355,1,0.294,0.371,0.752,0.122,0.265,186.17,audio_features,65CbsmKEx1xiko8T1ivXUx,spotify:track:65CbsmKEx1xiko8T1ivXUx,https://api.spotify.com/v1/tracks/65CbsmKEx1xiko8T1ivXUx,https://api.spotify.com/v1/audio-analysis/65CbsmKEx1xiko8T1ivXUx,201741,3,9pm,spotify:track:65CbsmKEx1xiko8T1ivXUx,Stimming,2yPveJtn9DpeN0CgNJHvAQ
7,0.852,0.268,6,-18.055,0,0.244,0.411,0.868,0.118,0.451,125.993,audio_features,5pOJ37Dc49nlUTM2DhLKAf,spotify:track:5pOJ37Dc49nlUTM2DhLKAf,https://api.spotify.com/v1/tracks/5pOJ37Dc49nlUTM2DhLKAf,https://api.spotify.com/v1/audio-analysis/5pOJ37Dc49nlUTM2DhLKAf,272431,4,Pelikan,spotify:track:5pOJ37Dc49nlUTM2DhLKAf,Stimming,2yPveJtn9DpeN0CgNJHvAQ
8,0.563,0.349,1,-18.376,1,0.14,0.695,0.915,0.0638,0.662,127.511,audio_features,2HtmJcPY7ssXX2eGk3sl0k,spotify:track:2HtmJcPY7ssXX2eGk3sl0k,https://api.spotify.com/v1/tracks/2HtmJcPY7ssXX2eGk3sl0k,https://api.spotify.com/v1/audio-analysis/2HtmJcPY7ssXX2eGk3sl0k,243762,4,Mango und Mangan,spotify:track:2HtmJcPY7ssXX2eGk3sl0k,Stimming,2yPveJtn9DpeN0CgNJHvAQ
9,0.668,0.248,0,-17.662,0,0.075,0.447,0.749,0.176,0.308,130.088,audio_features,6lK3nVEiiK4K48lI2zVKWf,spotify:track:6lK3nVEiiK4K48lI2zVKWf,https://api.spotify.com/v1/tracks/6lK3nVEiiK4K48lI2zVKWf,https://api.spotify.com/v1/audio-analysis/6lK3nVEiiK4K48lI2zVKWf,315354,4,Arc De Triomphe,spotify:track:6lK3nVEiiK4K48lI2zVKWf,Stimming,2yPveJtn9DpeN0CgNJHvAQ
