,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.393,0.891,9,-3.179,1,0.0407,0.0345,0.0,0.0421,0.538,95.6,audio_features,26vHnoxnnK4piNZf5qWGk4,spotify:track:26vHnoxnnK4piNZf5qWGk4,https://api.spotify.com/v1/tracks/26vHnoxnnK4piNZf5qWGk4,https://api.spotify.com/v1/audio-analysis/26vHnoxnnK4piNZf5qWGk4,213456,4,Cute Without The 'E' (Cut From The Team),spotify:track:26vHnoxnnK4piNZf5qWGk4,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
1,0.355,0.753,11,-5.093,0,0.0457,0.00668,0.0,0.0699,0.688,154.384,audio_features,3EOMZiOqeWbWofib48H6iD,spotify:track:3EOMZiOqeWbWofib48H6iD,https://api.spotify.com/v1/tracks/3EOMZiOqeWbWofib48H6iD,https://api.spotify.com/v1/audio-analysis/3EOMZiOqeWbWofib48H6iD,181558,4,You're So Last Summer,spotify:track:3EOMZiOqeWbWofib48H6iD,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
2,0.499,0.704,0,-4.871,1,0.0636,0.00165,0.0,0.0773,0.523,90.598,audio_features,2gHotMlR8pCBv2SU7lUI44,spotify:track:2gHotMlR8pCBv2SU7lUI44,https://api.spotify.com/v1/tracks/2gHotMlR8pCBv2SU7lUI44,https://api.spotify.com/v1/audio-analysis/2gHotMlR8pCBv2SU7lUI44,205374,4,Timberwolves At New Jersey,spotify:track:2gHotMlR8pCBv2SU7lUI44,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
3,0.501,0.924,9,-3.746,1,0.0778,0.0091,0.0,0.126,0.568,156.036,audio_features,4Fz1kI10b4pjityToNxCDe,spotify:track:4Fz1kI10b4pjityToNxCDe,https://api.spotify.com/v1/tracks/4Fz1kI10b4pjityToNxCDe,https://api.spotify.com/v1/audio-analysis/4Fz1kI10b4pjityToNxCDe,248596,4,A Decade Under The Influence,spotify:track:4Fz1kI10b4pjityToNxCDe,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
4,0.505,0.937,1,-2.85,0,0.158,0.00181,3.38e-06,0.0512,0.761,167.004,audio_features,4M6ZSb2GY829De6YbEK5YZ,spotify:track:4M6ZSb2GY829De6YbEK5YZ,https://api.spotify.com/v1/tracks/4M6ZSb2GY829De6YbEK5YZ,https://api.spotify.com/v1/audio-analysis/4M6ZSb2GY829De6YbEK5YZ,184761,4,Set Phasers To Stun,spotify:track:4M6ZSb2GY829De6YbEK5YZ,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
5,0.318,0.955,7,-3.697,1,0.116,0.000478,2.59e-06,0.239,0.333,152.218,audio_features,6cMLBDuodguUABf9mU6dWN,spotify:track:6cMLBDuodguUABf9mU6dWN,https://api.spotify.com/v1/tracks/6cMLBDuodguUABf9mU6dWN,https://api.spotify.com/v1/audio-analysis/6cMLBDuodguUABf9mU6dWN,235691,4,One-Eighty By Summer,spotify:track:6cMLBDuodguUABf9mU6dWN,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
6,0.439,0.944,8,-4.642,0,0.101,0.00111,0.0,0.199,0.607,93.561,audio_features,3lqGvPZgkLYuuTxw2IZiyw,spotify:track:3lqGvPZgkLYuuTxw2IZiyw,https://api.spotify.com/v1/tracks/3lqGvPZgkLYuuTxw2IZiyw,https://api.spotify.com/v1/audio-analysis/3lqGvPZgkLYuuTxw2IZiyw,191422,4,Liar (It Takes One To Know One),spotify:track:3lqGvPZgkLYuuTxw2IZiyw,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
7,0.57,0.894,6,-3.71,1,0.0447,0.0196,0.0,0.379,0.556,140.48,audio_features,1HWWJBbwLslvDvloFoPG9O,spotify:track:1HWWJBbwLslvDvloFoPG9O,https://api.spotify.com/v1/tracks/1HWWJBbwLslvDvloFoPG9O,https://api.spotify.com/v1/audio-analysis/1HWWJBbwLslvDvloFoPG9O,212814,4,MakeDamnSure,spotify:track:1HWWJBbwLslvDvloFoPG9O,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
8,0.456,0.878,11,-3.823,1,0.0318,0.00466,6.91e-05,0.145,0.621,74.354,audio_features,4OLQT0myagPuEp009RZmTo,spotify:track:4OLQT0myagPuEp009RZmTo,https://api.spotify.com/v1/tracks/4OLQT0myagPuEp009RZmTo,https://api.spotify.com/v1/audio-analysis/4OLQT0myagPuEp009RZmTo,224696,4,What's It Feel Like To Be A Ghost?,spotify:track:4OLQT0myagPuEp009RZmTo,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
9,0.362,0.919,1,-4.101,1,0.0765,0.00182,0.0,0.0961,0.391,138.265,audio_features,1uPMZsTzewAifp7OXpMwa5,spotify:track:1uPMZsTzewAifp7OXpMwa5,https://api.spotify.com/v1/tracks/1uPMZsTzewAifp7OXpMwa5,https://api.spotify.com/v1/audio-analysis/1uPMZsTzewAifp7OXpMwa5,249274,4,My Blue Heaven,spotify:track:1uPMZsTzewAifp7OXpMwa5,Taking Back Sunday,24XtlMhEMNdi822vi0MhY1
