,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.585,0.719,5,-3.231,1,0.0307,0.0108,0.0,0.0494,0.479,76.989,audio_features,3wAKfgic0OANcWf2QBxT8t,spotify:track:3wAKfgic0OANcWf2QBxT8t,https://api.spotify.com/v1/tracks/3wAKfgic0OANcWf2QBxT8t,https://api.spotify.com/v1/audio-analysis/3wAKfgic0OANcWf2QBxT8t,182667,4,"Back Then, Right Now",spotify:track:3wAKfgic0OANcWf2QBxT8t,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
1,0.412,0.852,7,-3.847,1,0.122,0.0447,0.0,0.0532,0.629,187.816,audio_features,3Ew4hnpcXUhuPy4Ov0rJcf,spotify:track:3Ew4hnpcXUhuPy4Ov0rJcf,https://api.spotify.com/v1/tracks/3Ew4hnpcXUhuPy4Ov0rJcf,https://api.spotify.com/v1/audio-analysis/3Ew4hnpcXUhuPy4Ov0rJcf,195293,4,That's My Friend You're Talkin' About,spotify:track:3Ew4hnpcXUhuPy4Ov0rJcf,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
2,0.415,0.566,7,-4.262,1,0.0302,0.454,0.0,0.103,0.308,81.655,audio_features,21VFbcae8NGCySCSxEH1EF,spotify:track:21VFbcae8NGCySCSxEH1EF,https://api.spotify.com/v1/tracks/21VFbcae8NGCySCSxEH1EF,https://api.spotify.com/v1/audio-analysis/21VFbcae8NGCySCSxEH1EF,217387,4,One Bedroom Apartment,spotify:track:21VFbcae8NGCySCSxEH1EF,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
3,0.507,0.647,11,-5.264,1,0.0358,0.124,1.21e-06,0.246,0.321,78.981,audio_features,1I61HvSgwBChHuxtk6JWcC,spotify:track:1I61HvSgwBChHuxtk6JWcC,https://api.spotify.com/v1/tracks/1I61HvSgwBChHuxtk6JWcC,https://api.spotify.com/v1/audio-analysis/1I61HvSgwBChHuxtk6JWcC,192800,4,Breakup Songs (feat. Callista Clark),spotify:track:1I61HvSgwBChHuxtk6JWcC,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
4,0.53,0.919,1,-3.403,1,0.0759,0.0487,0.0,0.0438,0.781,158.012,audio_features,2bKtd3Rz74x2EdX4mXNDlx,spotify:track:2bKtd3Rz74x2EdX4mXNDlx,https://api.spotify.com/v1/tracks/2bKtd3Rz74x2EdX4mXNDlx,https://api.spotify.com/v1/audio-analysis/2bKtd3Rz74x2EdX4mXNDlx,186773,4,Life Goes Like That,spotify:track:2bKtd3Rz74x2EdX4mXNDlx,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
5,0.673,0.77,2,-3.366,1,0.0327,0.0925,0.0,0.0565,0.619,115.501,audio_features,6RkFLIE8UZLK1Z0bJUStwZ,spotify:track:6RkFLIE8UZLK1Z0bJUStwZ,https://api.spotify.com/v1/tracks/6RkFLIE8UZLK1Z0bJUStwZ,https://api.spotify.com/v1/audio-analysis/6RkFLIE8UZLK1Z0bJUStwZ,192760,4,Girl to Girl,spotify:track:6RkFLIE8UZLK1Z0bJUStwZ,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
6,0.615,0.743,8,-4.97,1,0.0295,0.223,0.0,0.103,0.693,94.98,audio_features,0XEHFxW8ZFdQGWeLX3JzXN,spotify:track:0XEHFxW8ZFdQGWeLX3JzXN,https://api.spotify.com/v1/tracks/0XEHFxW8ZFdQGWeLX3JzXN,https://api.spotify.com/v1/audio-analysis/0XEHFxW8ZFdQGWeLX3JzXN,221333,4,Heartbreak Regulars,spotify:track:0XEHFxW8ZFdQGWeLX3JzXN,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
7,0.575,0.831,0,-4.136,1,0.0486,0.0502,0.0,0.21,0.712,154.914,audio_features,4o5bcZacyU2V9Z8PZp5eQU,spotify:track:4o5bcZacyU2V9Z8PZp5eQU,https://api.spotify.com/v1/tracks/4o5bcZacyU2V9Z8PZp5eQU,https://api.spotify.com/v1/audio-analysis/4o5bcZacyU2V9Z8PZp5eQU,199907,4,Mama's Boy,spotify:track:4o5bcZacyU2V9Z8PZp5eQU,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
8,0.453,0.859,2,-3.818,1,0.0722,0.107,0.0,0.111,0.537,162.131,audio_features,6Y4PZXKRfWrlwIkRbPPYyn,spotify:track:6Y4PZXKRfWrlwIkRbPPYyn,https://api.spotify.com/v1/tracks/6Y4PZXKRfWrlwIkRbPPYyn,https://api.spotify.com/v1/audio-analysis/6Y4PZXKRfWrlwIkRbPPYyn,185133,4,Over You is You (feat. Matt Stell),spotify:track:6Y4PZXKRfWrlwIkRbPPYyn,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
9,0.474,0.806,0,-4.103,1,0.0386,0.195,0.0,0.0893,0.228,83.29,audio_features,7Df1lPz6tdvFdA3KMVSKGs,spotify:track:7Df1lPz6tdvFdA3KMVSKGs,https://api.spotify.com/v1/tracks/7Df1lPz6tdvFdA3KMVSKGs,https://api.spotify.com/v1/audio-analysis/7Df1lPz6tdvFdA3KMVSKGs,194453,4,Give It To Me Straight,spotify:track:7Df1lPz6tdvFdA3KMVSKGs,Tenille Arts,0gSAxSvAApQc71cTpoXDFu
