,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.457,0.95,2,-2.533,1,0.0776,0.000482,0.00189,0.141,0.27,128.034,audio_features,3XXkwHcdDSx25VmH7Rq3rx,spotify:track:3XXkwHcdDSx25VmH7Rq3rx,https://api.spotify.com/v1/tracks/3XXkwHcdDSx25VmH7Rq3rx,https://api.spotify.com/v1/audio-analysis/3XXkwHcdDSx25VmH7Rq3rx,167344,4,My Name Is Thunder,spotify:track:3XXkwHcdDSx25VmH7Rq3rx,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
1,0.492,0.916,2,-2.578,0,0.0833,6.84e-05,0.0,0.373,0.271,129.981,audio_features,4CdkUCfjPtDBnsYKW09eiU,spotify:track:4CdkUCfjPtDBnsYKW09eiU,https://api.spotify.com/v1/tracks/4CdkUCfjPtDBnsYKW09eiU,https://api.spotify.com/v1/audio-analysis/4CdkUCfjPtDBnsYKW09eiU,210461,4,Wolfpack,spotify:track:4CdkUCfjPtDBnsYKW09eiU,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
2,0.407,0.743,2,-4.957,0,0.0452,0.0177,0.00209,0.0487,0.0774,95.078,audio_features,64ZtJqY2w5hoV1IiEkq8IN,spotify:track:64ZtJqY2w5hoV1IiEkq8IN,https://api.spotify.com/v1/tracks/64ZtJqY2w5hoV1IiEkq8IN,https://api.spotify.com/v1/audio-analysis/64ZtJqY2w5hoV1IiEkq8IN,232420,4,Nothing But Love,spotify:track:64ZtJqY2w5hoV1IiEkq8IN,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
3,0.414,0.948,1,-3.629,0,0.176,3.07e-05,0.0944,0.537,0.641,180.008,audio_features,2M6FEnvGrs0t9qQzHu64NX,spotify:track:2M6FEnvGrs0t9qQzHu64NX,https://api.spotify.com/v1/tracks/2M6FEnvGrs0t9qQzHu64NX,https://api.spotify.com/v1/audio-analysis/2M6FEnvGrs0t9qQzHu64NX,202667,4,"Pirates, Punks & Politics",spotify:track:2M6FEnvGrs0t9qQzHu64NX,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
4,0.493,0.701,1,-5.723,1,0.0533,0.018,0.0,0.0799,0.106,128.016,audio_features,7mqRmEXIbiIyZ6Sp1pZrs7,spotify:track:7mqRmEXIbiIyZ6Sp1pZrs7,https://api.spotify.com/v1/tracks/7mqRmEXIbiIyZ6Sp1pZrs7,https://api.spotify.com/v1/audio-analysis/7mqRmEXIbiIyZ6Sp1pZrs7,266247,4,Invisible,spotify:track:7mqRmEXIbiIyZ6Sp1pZrs7,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
5,0.407,0.969,10,-3.75,1,0.134,5.63e-05,0.000591,0.382,0.585,159.752,audio_features,67tCZtFOysU0hM0ch7kDfW,spotify:track:67tCZtFOysU0hM0ch7kDfW,https://api.spotify.com/v1/tracks/67tCZtFOysU0hM0ch7kDfW,https://api.spotify.com/v1/audio-analysis/67tCZtFOysU0hM0ch7kDfW,200623,4,All Black Everything,spotify:track:67tCZtFOysU0hM0ch7kDfW,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
6,0.225,0.684,5,-4.005,0,0.0431,6.14e-05,0.00479,0.352,0.113,135.286,audio_features,0jUF37sGy8GwxbDdtnJtL2,spotify:track:0jUF37sGy8GwxbDdtnJtL2,https://api.spotify.com/v1/tracks/0jUF37sGy8GwxbDdtnJtL2,https://api.spotify.com/v1/audio-analysis/0jUF37sGy8GwxbDdtnJtL2,185333,4,Irreversible,spotify:track:0jUF37sGy8GwxbDdtnJtL2,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
7,0.498,0.834,9,-4.454,0,0.0593,0.0058,0.0139,0.307,0.0411,127.987,audio_features,5GGR7WU4uaze4kgShLoQrg,spotify:track:5GGR7WU4uaze4kgShLoQrg,https://api.spotify.com/v1/tracks/5GGR7WU4uaze4kgShLoQrg,https://api.spotify.com/v1/audio-analysis/5GGR7WU4uaze4kgShLoQrg,315000,4,Enter The Void,spotify:track:5GGR7WU4uaze4kgShLoQrg,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
8,0.148,0.74,5,-5.475,1,0.0405,0.0167,0.264,0.0752,0.075,144.271,audio_features,67OgUtf74aJDLPgOmtH515,spotify:track:67OgUtf74aJDLPgOmtH515,https://api.spotify.com/v1/tracks/67OgUtf74aJDLPgOmtH515,https://api.spotify.com/v1/audio-analysis/67OgUtf74aJDLPgOmtH515,247451,4,Future Memories,spotify:track:67OgUtf74aJDLPgOmtH515,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
9,0.513,0.536,11,-5.55,0,0.0282,0.0413,0.0238,0.596,0.0972,135.943,audio_features,6gsJfo7IWrhutoFfK1sgqK,spotify:track:6gsJfo7IWrhutoFfK1sgqK,https://api.spotify.com/v1/tracks/6gsJfo7IWrhutoFfK1sgqK,https://api.spotify.com/v1/audio-analysis/6gsJfo7IWrhutoFfK1sgqK,195990,3,The Great Run,spotify:track:6gsJfo7IWrhutoFfK1sgqK,The Bloody Beetroots,0QJKELJZZuLAjqLOOixJm5
