,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.704,0.921,4,-5.859,1,0.211,0.00917,2.27e-06,0.328,0.843,149.884,audio_features,1gcypiiUe3fFfj7k86p3yx,spotify:track:1gcypiiUe3fFfj7k86p3yx,https://api.spotify.com/v1/tracks/1gcypiiUe3fFfj7k86p3yx,https://api.spotify.com/v1/audio-analysis/1gcypiiUe3fFfj7k86p3yx,142800,4,Back It Up,spotify:track:1gcypiiUe3fFfj7k86p3yx,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
1,0.726,0.768,0,-5.875,1,0.302,0.00376,1.57e-06,0.459,0.584,128.062,audio_features,4giHvGBdZzQOTiC8F5VvFw,spotify:track:4giHvGBdZzQOTiC8F5VvFw,https://api.spotify.com/v1/tracks/4giHvGBdZzQOTiC8F5VvFw,https://api.spotify.com/v1/audio-analysis/4giHvGBdZzQOTiC8F5VvFw,123750,4,They 'Bout To See,spotify:track:4giHvGBdZzQOTiC8F5VvFw,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
2,0.459,0.638,0,-7.063,1,0.0476,0.0261,0.00647,0.104,0.0684,160.213,audio_features,2vb9rUeOor1JJ0As3ostUY,spotify:track:2vb9rUeOor1JJ0As3ostUY,https://api.spotify.com/v1/tracks/2vb9rUeOor1JJ0As3ostUY,https://api.spotify.com/v1/audio-analysis/2vb9rUeOor1JJ0As3ostUY,195000,3,Arcade,spotify:track:2vb9rUeOor1JJ0As3ostUY,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
3,0.457,0.709,4,-7.469,0,0.0738,0.0203,0.0,0.232,0.171,159.923,audio_features,4jS5uR6agOCvl2q2CYRmF7,spotify:track:4jS5uR6agOCvl2q2CYRmF7,https://api.spotify.com/v1/tracks/4jS5uR6agOCvl2q2CYRmF7,https://api.spotify.com/v1/audio-analysis/4jS5uR6agOCvl2q2CYRmF7,148875,4,All For You,spotify:track:4jS5uR6agOCvl2q2CYRmF7,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
4,0.806,0.686,6,-7.502,1,0.123,0.0488,0.664,0.119,0.834,114.978,audio_features,4jzoUI5RDGwyJZaP1gWCEm,spotify:track:4jzoUI5RDGwyJZaP1gWCEm,https://api.spotify.com/v1/tracks/4jzoUI5RDGwyJZaP1gWCEm,https://api.spotify.com/v1/audio-analysis/4jzoUI5RDGwyJZaP1gWCEm,136696,4,Satisfaction,spotify:track:4jzoUI5RDGwyJZaP1gWCEm,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
5,0.57,0.729,5,-6.886,0,0.0276,0.0263,0.00692,0.122,0.134,123.945,audio_features,1sZEQK7lrDYNqK6HC0NXhh,spotify:track:1sZEQK7lrDYNqK6HC0NXhh,https://api.spotify.com/v1/tracks/1sZEQK7lrDYNqK6HC0NXhh,https://api.spotify.com/v1/audio-analysis/1sZEQK7lrDYNqK6HC0NXhh,175161,4,Overcome (On My Own),spotify:track:1sZEQK7lrDYNqK6HC0NXhh,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
6,0.676,0.862,10,-5.37,0,0.0313,0.0756,7.78e-06,0.358,0.416,120.096,audio_features,3E7gMhVjxcXsMgOIuOBT9P,spotify:track:3E7gMhVjxcXsMgOIuOBT9P,https://api.spotify.com/v1/tracks/3E7gMhVjxcXsMgOIuOBT9P,https://api.spotify.com/v1/audio-analysis/3E7gMhVjxcXsMgOIuOBT9P,150000,4,Lean,spotify:track:3E7gMhVjxcXsMgOIuOBT9P,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
7,0.517,0.737,10,-6.29,1,0.0419,0.00363,1.64e-06,0.417,0.3,81.969,audio_features,1pxt8Yy97mYwp2vmFVx3CY,spotify:track:1pxt8Yy97mYwp2vmFVx3CY,https://api.spotify.com/v1/tracks/1pxt8Yy97mYwp2vmFVx3CY,https://api.spotify.com/v1/audio-analysis/1pxt8Yy97mYwp2vmFVx3CY,227561,4,Let Me In,spotify:track:1pxt8Yy97mYwp2vmFVx3CY,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
8,0.778,0.592,1,-7.279,1,0.0346,0.156,3.89e-05,0.147,0.569,119.963,audio_features,5nFyFovHGG8eSbG4XztidE,spotify:track:5nFyFovHGG8eSbG4XztidE,https://api.spotify.com/v1/tracks/5nFyFovHGG8eSbG4XztidE,https://api.spotify.com/v1/audio-analysis/5nFyFovHGG8eSbG4XztidE,153500,4,If We Never Met,spotify:track:5nFyFovHGG8eSbG4XztidE,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
9,0.802,0.839,1,-5.499,1,0.0888,0.0394,0.00057,0.248,0.675,140.017,audio_features,15OF5yNlvyWPZotjKoBRbh,spotify:track:15OF5yNlvyWPZotjKoBRbh,https://api.spotify.com/v1/tracks/15OF5yNlvyWPZotjKoBRbh,https://api.spotify.com/v1/audio-analysis/15OF5yNlvyWPZotjKoBRbh,167143,4,Medusa (The FifthGuys Remix),spotify:track:15OF5yNlvyWPZotjKoBRbh,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
10,0.727,0.779,5,-5.498,1,0.0309,0.0153,2.44e-05,0.167,0.344,123.995,audio_features,6eAbUNSkghrZnDe7pcALDs,spotify:track:6eAbUNSkghrZnDe7pcALDs,https://api.spotify.com/v1/tracks/6eAbUNSkghrZnDe7pcALDs,https://api.spotify.com/v1/audio-analysis/6eAbUNSkghrZnDe7pcALDs,133548,4,Do Re Mi,spotify:track:6eAbUNSkghrZnDe7pcALDs,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
11,0.715,0.848,6,-3.814,0,0.0572,0.322,0.0,0.205,0.147,128.006,audio_features,4FS6BdJdivlL0ApNseD7K2,spotify:track:4FS6BdJdivlL0ApNseD7K2,https://api.spotify.com/v1/tracks/4FS6BdJdivlL0ApNseD7K2,https://api.spotify.com/v1/audio-analysis/4FS6BdJdivlL0ApNseD7K2,157500,4,Waiting For Love,spotify:track:4FS6BdJdivlL0ApNseD7K2,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
12,0.753,0.727,7,-5.221,0,0.281,0.0277,3.12e-05,0.0925,0.339,122.061,audio_features,6UcKdkODuB78fsy5jICetr,spotify:track:6UcKdkODuB78fsy5jICetr,https://api.spotify.com/v1/tracks/6UcKdkODuB78fsy5jICetr,https://api.spotify.com/v1/audio-analysis/6UcKdkODuB78fsy5jICetr,163279,4,Circus,spotify:track:6UcKdkODuB78fsy5jICetr,The FifthGuys,0Jk0TeNXrhhwOMmR2nNyZR
