,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.315,0.666,0,-5.602,1,0.0296,0.00499,0.000236,0.109,0.24,87.956,audio_features,3iDcwzGnqC9PHUUpUKtCML,spotify:track:3iDcwzGnqC9PHUUpUKtCML,https://api.spotify.com/v1/tracks/3iDcwzGnqC9PHUUpUKtCML,https://api.spotify.com/v1/audio-analysis/3iDcwzGnqC9PHUUpUKtCML,314305,4,Living Mirage,spotify:track:3iDcwzGnqC9PHUUpUKtCML,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
1,0.585,0.619,0,-7.04,1,0.0289,0.0951,0.0,0.079,0.324,86.168,audio_features,6D8dGtrEkfd2DCnsTbcxSi,spotify:track:6D8dGtrEkfd2DCnsTbcxSi,https://api.spotify.com/v1/tracks/6D8dGtrEkfd2DCnsTbcxSi,https://api.spotify.com/v1/audio-analysis/6D8dGtrEkfd2DCnsTbcxSi,234365,4,See You Through My Eyes,spotify:track:6D8dGtrEkfd2DCnsTbcxSi,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
2,0.669,0.789,0,-5.134,1,0.052,0.0117,4.72e-06,0.387,0.542,87.57,audio_features,3IYVxO2NdfWhHVOc8IUAaO,spotify:track:3IYVxO2NdfWhHVOc8IUAaO,https://api.spotify.com/v1/tracks/3IYVxO2NdfWhHVOc8IUAaO,https://api.spotify.com/v1/audio-analysis/3IYVxO2NdfWhHVOc8IUAaO,195312,4,Missed Connection,spotify:track:3IYVxO2NdfWhHVOc8IUAaO,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
3,0.366,0.466,9,-7.031,1,0.0341,0.218,0.0,0.121,0.359,80.42,audio_features,3M1Mzw4na6mKGlfti96P9N,spotify:track:3M1Mzw4na6mKGlfti96P9N,https://api.spotify.com/v1/tracks/3M1Mzw4na6mKGlfti96P9N,https://api.spotify.com/v1/audio-analysis/3M1Mzw4na6mKGlfti96P9N,205366,4,Sun Is Rising,spotify:track:3M1Mzw4na6mKGlfti96P9N,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
4,0.7,0.703,2,-5.374,1,0.0289,0.0453,0.000284,0.231,0.597,117.935,audio_features,4owBrksGX5hhX7rqdAfScg,spotify:track:4owBrksGX5hhX7rqdAfScg,https://api.spotify.com/v1/tracks/4owBrksGX5hhX7rqdAfScg,https://api.spotify.com/v1/audio-analysis/4owBrksGX5hhX7rqdAfScg,281131,4,Glory of Music II,spotify:track:4owBrksGX5hhX7rqdAfScg,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
5,0.586,0.54,0,-5.761,1,0.0255,0.192,0.0,0.127,0.162,82.156,audio_features,6ZobTk61mM0Pz9qPNV07p4,spotify:track:6ZobTk61mM0Pz9qPNV07p4,https://api.spotify.com/v1/tracks/6ZobTk61mM0Pz9qPNV07p4,https://api.spotify.com/v1/audio-analysis/6ZobTk61mM0Pz9qPNV07p4,252302,4,People Need A Melody,spotify:track:6ZobTk61mM0Pz9qPNV07p4,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
6,0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014,audio_features,6pPT6tA6FQ6Vh7BXHYNlAH,spotify:track:6pPT6tA6FQ6Vh7BXHYNlAH,https://api.spotify.com/v1/tracks/6pPT6tA6FQ6Vh7BXHYNlAH,https://api.spotify.com/v1/audio-analysis/6pPT6tA6FQ6Vh7BXHYNlAH,196055,4,Honeybee,spotify:track:6pPT6tA6FQ6Vh7BXHYNlAH,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
7,0.566,0.536,2,-7.015,1,0.0278,0.00212,0.0423,0.124,0.658,154.967,audio_features,0oyCzTHEXxHrteIH6ToOo1,spotify:track:0oyCzTHEXxHrteIH6ToOo1,https://api.spotify.com/v1/tracks/0oyCzTHEXxHrteIH6ToOo1,https://api.spotify.com/v1/audio-analysis/0oyCzTHEXxHrteIH6ToOo1,228218,4,Brenda,spotify:track:0oyCzTHEXxHrteIH6ToOo1,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
8,0.411,0.561,10,-8.748,1,0.0314,0.0753,0.0,0.281,0.351,123.801,audio_features,0khIahkzqdqrX4Yt3xz6FO,spotify:track:0khIahkzqdqrX4Yt3xz6FO,https://api.spotify.com/v1/tracks/0khIahkzqdqrX4Yt3xz6FO,https://api.spotify.com/v1/audio-analysis/0khIahkzqdqrX4Yt3xz6FO,279053,4,Backwards Breathing,spotify:track:0khIahkzqdqrX4Yt3xz6FO,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
9,0.756,0.724,7,-6.692,1,0.0329,0.00713,9.41e-05,0.118,0.952,123.029,audio_features,4b9AxYChbYBBPQQyxliXGw,spotify:track:4b9AxYChbYBBPQQyxliXGw,https://api.spotify.com/v1/tracks/4b9AxYChbYBBPQQyxliXGw,https://api.spotify.com/v1/audio-analysis/4b9AxYChbYBBPQQyxliXGw,219874,4,Running Through Hell,spotify:track:4b9AxYChbYBBPQQyxliXGw,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
10,0.494,0.819,0,-5.281,1,0.0385,0.0565,0.0,0.0777,0.476,122.923,audio_features,1YyLu0nUiNCoWG3W740zA1,spotify:track:1YyLu0nUiNCoWG3W740zA1,https://api.spotify.com/v1/tracks/1YyLu0nUiNCoWG3W740zA1,https://api.spotify.com/v1/audio-analysis/1YyLu0nUiNCoWG3W740zA1,213405,4,Up Against The Wall,spotify:track:1YyLu0nUiNCoWG3W740zA1,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
11,0.335,0.539,0,-6.98,1,0.0283,0.0737,0.00164,0.169,0.282,139.833,audio_features,5RD6OgRqU4ue5oeAo4WMkp,spotify:track:5RD6OgRqU4ue5oeAo4WMkp,https://api.spotify.com/v1/tracks/5RD6OgRqU4ue5oeAo4WMkp,https://api.spotify.com/v1/audio-analysis/5RD6OgRqU4ue5oeAo4WMkp,218434,4,Saving Grace,spotify:track:5RD6OgRqU4ue5oeAo4WMkp,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
12,0.605,0.714,2,-5.353,1,0.0296,0.0129,0.0,0.445,0.441,103.347,audio_features,7eol08QhIX2afFJvKU7KBn,spotify:track:7eol08QhIX2afFJvKU7KBn,https://api.spotify.com/v1/tracks/7eol08QhIX2afFJvKU7KBn,https://api.spotify.com/v1/audio-analysis/7eol08QhIX2afFJvKU7KBn,233039,4,I Found Out,spotify:track:7eol08QhIX2afFJvKU7KBn,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
13,0.465,0.258,11,-6.984,1,0.0281,0.932,0.0,0.0885,0.316,78.034,audio_features,36VmPlSKLSxAl8LRzfO3ji,spotify:track:36VmPlSKLSxAl8LRzfO3ji,https://api.spotify.com/v1/tracks/36VmPlSKLSxAl8LRzfO3ji,https://api.spotify.com/v1/audio-analysis/36VmPlSKLSxAl8LRzfO3ji,217012,4,One Big Mystery,spotify:track:36VmPlSKLSxAl8LRzfO3ji,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
14,0.65,0.171,2,-11.172,1,0.037,0.822,0.000106,0.139,0.195,106.87,audio_features,0wfiNwU76y3GvhjDk1G1Fv,spotify:track:0wfiNwU76y3GvhjDk1G1Fv,https://api.spotify.com/v1/tracks/0wfiNwU76y3GvhjDk1G1Fv,https://api.spotify.com/v1/audio-analysis/0wfiNwU76y3GvhjDk1G1Fv,200919,4,Glory of Music,spotify:track:0wfiNwU76y3GvhjDk1G1Fv,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
15,0.585,0.619,0,-7.04,1,0.0289,0.0951,0.0,0.079,0.324,86.168,audio_features,2XBAkFYQyVNnwhGQVNxQKZ,spotify:track:2XBAkFYQyVNnwhGQVNxQKZ,https://api.spotify.com/v1/tracks/2XBAkFYQyVNnwhGQVNxQKZ,https://api.spotify.com/v1/audio-analysis/2XBAkFYQyVNnwhGQVNxQKZ,234365,4,See You Through My Eyes,spotify:track:2XBAkFYQyVNnwhGQVNxQKZ,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
16,0.669,0.789,0,-5.134,1,0.052,0.0117,4.72e-06,0.387,0.542,87.57,audio_features,4R9KztunyNTH13KtAqePLp,spotify:track:4R9KztunyNTH13KtAqePLp,https://api.spotify.com/v1/tracks/4R9KztunyNTH13KtAqePLp,https://api.spotify.com/v1/audio-analysis/4R9KztunyNTH13KtAqePLp,195312,4,Missed Connection,spotify:track:4R9KztunyNTH13KtAqePLp,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
17,0.586,0.54,0,-5.761,1,0.0255,0.192,0.0,0.127,0.162,82.156,audio_features,5tlu2nA8GxkDx8UTKG1rLV,spotify:track:5tlu2nA8GxkDx8UTKG1rLV,https://api.spotify.com/v1/tracks/5tlu2nA8GxkDx8UTKG1rLV,https://api.spotify.com/v1/audio-analysis/5tlu2nA8GxkDx8UTKG1rLV,252302,4,People Need A Melody,spotify:track:5tlu2nA8GxkDx8UTKG1rLV,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
18,0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014,audio_features,5CalS8Gn69OOrR9aiw0ZO9,spotify:track:5CalS8Gn69OOrR9aiw0ZO9,https://api.spotify.com/v1/tracks/5CalS8Gn69OOrR9aiw0ZO9,https://api.spotify.com/v1/audio-analysis/5CalS8Gn69OOrR9aiw0ZO9,196055,4,Honeybee,spotify:track:5CalS8Gn69OOrR9aiw0ZO9,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
19,0.566,0.536,2,-7.015,1,0.0278,0.00212,0.0423,0.124,0.658,154.967,audio_features,7cRw4UbtGEwGIRgYimPQM7,spotify:track:7cRw4UbtGEwGIRgYimPQM7,https://api.spotify.com/v1/tracks/7cRw4UbtGEwGIRgYimPQM7,https://api.spotify.com/v1/audio-analysis/7cRw4UbtGEwGIRgYimPQM7,228218,4,Brenda,spotify:track:7cRw4UbtGEwGIRgYimPQM7,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
20,0.756,0.724,7,-6.692,1,0.0329,0.00713,9.41e-05,0.118,0.952,123.029,audio_features,0xTcz4CIGTvPaBeqVhXxo1,spotify:track:0xTcz4CIGTvPaBeqVhXxo1,https://api.spotify.com/v1/tracks/0xTcz4CIGTvPaBeqVhXxo1,https://api.spotify.com/v1/audio-analysis/0xTcz4CIGTvPaBeqVhXxo1,219874,4,Running Through Hell,spotify:track:0xTcz4CIGTvPaBeqVhXxo1,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
21,0.494,0.819,0,-5.281,1,0.0385,0.0565,0.0,0.0777,0.476,122.923,audio_features,6Mim9UiRx267U52L1zqD0Q,spotify:track:6Mim9UiRx267U52L1zqD0Q,https://api.spotify.com/v1/tracks/6Mim9UiRx267U52L1zqD0Q,https://api.spotify.com/v1/audio-analysis/6Mim9UiRx267U52L1zqD0Q,213405,4,Up Against The Wall,spotify:track:6Mim9UiRx267U52L1zqD0Q,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
22,0.335,0.539,0,-6.98,1,0.0283,0.0737,0.00164,0.169,0.282,139.833,audio_features,1X02d1tRJSYPoLzZNy9hFJ,spotify:track:1X02d1tRJSYPoLzZNy9hFJ,https://api.spotify.com/v1/tracks/1X02d1tRJSYPoLzZNy9hFJ,https://api.spotify.com/v1/audio-analysis/1X02d1tRJSYPoLzZNy9hFJ,218434,4,Saving Grace,spotify:track:1X02d1tRJSYPoLzZNy9hFJ,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
23,0.605,0.714,2,-5.353,1,0.0296,0.0129,0.0,0.445,0.441,103.347,audio_features,2IxOGK5JJIhi2Alx5BA7oe,spotify:track:2IxOGK5JJIhi2Alx5BA7oe,https://api.spotify.com/v1/tracks/2IxOGK5JJIhi2Alx5BA7oe,https://api.spotify.com/v1/audio-analysis/2IxOGK5JJIhi2Alx5BA7oe,233039,4,I Found Out,spotify:track:2IxOGK5JJIhi2Alx5BA7oe,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
24,0.315,0.666,0,-5.602,1,0.0296,0.00499,0.000236,0.109,0.24,87.956,audio_features,3X8p1YDdZmvVYwHq0e5oYQ,spotify:track:3X8p1YDdZmvVYwHq0e5oYQ,https://api.spotify.com/v1/tracks/3X8p1YDdZmvVYwHq0e5oYQ,https://api.spotify.com/v1/audio-analysis/3X8p1YDdZmvVYwHq0e5oYQ,314305,4,Living Mirage,spotify:track:3X8p1YDdZmvVYwHq0e5oYQ,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
25,0.65,0.171,2,-11.172,1,0.037,0.822,0.000106,0.139,0.195,106.87,audio_features,7AoYZaUW8cj6LaDmg48QLU,spotify:track:7AoYZaUW8cj6LaDmg48QLU,https://api.spotify.com/v1/tracks/7AoYZaUW8cj6LaDmg48QLU,https://api.spotify.com/v1/audio-analysis/7AoYZaUW8cj6LaDmg48QLU,200919,4,Glory of Music,spotify:track:7AoYZaUW8cj6LaDmg48QLU,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
26,0.503,0.496,2,-11.654,1,0.0291,0.143,0.03,0.13,0.539,151.81,audio_features,1HTFjJL5CV4lVUZ4YZ5kWC,spotify:track:1HTFjJL5CV4lVUZ4YZ5kWC,https://api.spotify.com/v1/tracks/1HTFjJL5CV4lVUZ4YZ5kWC,https://api.spotify.com/v1/audio-analysis/1HTFjJL5CV4lVUZ4YZ5kWC,292373,4,No Guarantees - Stinson Beach Sessions,spotify:track:1HTFjJL5CV4lVUZ4YZ5kWC,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
27,0.506,0.476,7,-9.912,1,0.0316,0.235,0.229,0.0935,0.139,118.468,audio_features,3jMNj94UkQ4CNKLo7bPPl6,spotify:track:3jMNj94UkQ4CNKLo7bPPl6,https://api.spotify.com/v1/tracks/3jMNj94UkQ4CNKLo7bPPl6,https://api.spotify.com/v1/audio-analysis/3jMNj94UkQ4CNKLo7bPPl6,253373,4,In the Summertime - Stinson Beach Sessions,spotify:track:3jMNj94UkQ4CNKLo7bPPl6,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
28,0.58,0.543,4,-9.168,1,0.0266,0.106,0.301,0.0773,0.751,81.998,audio_features,5oxwssJgLqUJju9VV0tZwk,spotify:track:5oxwssJgLqUJju9VV0tZwk,https://api.spotify.com/v1/tracks/5oxwssJgLqUJju9VV0tZwk,https://api.spotify.com/v1/audio-analysis/5oxwssJgLqUJju9VV0tZwk,261400,4,Rhythm & Blues - Stinson Beach Sessions,spotify:track:5oxwssJgLqUJju9VV0tZwk,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
29,0.433,0.703,4,-9.643,1,0.0299,0.26,0.145,0.21,0.53,135.704,audio_features,6dBXbjvjdLlvXaMFEPXweP,spotify:track:6dBXbjvjdLlvXaMFEPXweP,https://api.spotify.com/v1/tracks/6dBXbjvjdLlvXaMFEPXweP,https://api.spotify.com/v1/audio-analysis/6dBXbjvjdLlvXaMFEPXweP,255373,4,City of Angels - Stinson Beach Sessions,spotify:track:6dBXbjvjdLlvXaMFEPXweP,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
30,0.559,0.424,0,-10.423,1,0.0291,0.394,9.25e-05,0.0767,0.326,83.496,audio_features,6wzW8op4uH74647Id6jaCJ,spotify:track:6wzW8op4uH74647Id6jaCJ,https://api.spotify.com/v1/tracks/6wzW8op4uH74647Id6jaCJ,https://api.spotify.com/v1/audio-analysis/6wzW8op4uH74647Id6jaCJ,278800,4,Colors - Stinson Beach Sessions,spotify:track:6wzW8op4uH74647Id6jaCJ,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
31,0.58,0.319,4,-15.816,1,0.0433,0.434,0.0,0.12,0.532,95.355,audio_features,49wC1uSV1lGGYV6rW6Hl6P,spotify:track:49wC1uSV1lGGYV6rW6Hl6P,https://api.spotify.com/v1/tracks/49wC1uSV1lGGYV6rW6Hl6P,https://api.spotify.com/v1/audio-analysis/49wC1uSV1lGGYV6rW6Hl6P,189920,4,Library Magic - Stinson Beach Sessions,spotify:track:49wC1uSV1lGGYV6rW6Hl6P,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
32,0.528,0.369,2,-13.548,1,0.0268,0.461,4.46e-05,0.18,0.267,94.989,audio_features,4H8uLz1fhbKRLTttWIuvOk,spotify:track:4H8uLz1fhbKRLTttWIuvOk,https://api.spotify.com/v1/tracks/4H8uLz1fhbKRLTttWIuvOk,https://api.spotify.com/v1/audio-analysis/4H8uLz1fhbKRLTttWIuvOk,227840,4,Your Mother's Eyes - Stinson Beach Sessions,spotify:track:4H8uLz1fhbKRLTttWIuvOk,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
33,0.399,0.311,0,-11.184,1,0.031,0.223,0.519,0.121,0.156,129.226,audio_features,6rhFJTRP9yta2psdMtvXGq,spotify:track:6rhFJTRP9yta2psdMtvXGq,https://api.spotify.com/v1/tracks/6rhFJTRP9yta2psdMtvXGq,https://api.spotify.com/v1/audio-analysis/6rhFJTRP9yta2psdMtvXGq,226560,4,Bluebird - Stinson Beach Sessions,spotify:track:6rhFJTRP9yta2psdMtvXGq,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
34,0.487,0.724,0,-5.905,1,0.0289,0.00224,1.03e-05,0.213,0.546,102.03,audio_features,72zmwnbXjx9fMUjw3mbDSs,spotify:track:72zmwnbXjx9fMUjw3mbDSs,https://api.spotify.com/v1/tracks/72zmwnbXjx9fMUjw3mbDSs,https://api.spotify.com/v1/audio-analysis/72zmwnbXjx9fMUjw3mbDSs,225560,4,All We Ever Knew,spotify:track:72zmwnbXjx9fMUjw3mbDSs,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
35,0.411,0.815,10,-4.74,1,0.0392,0.000598,0.000731,0.23,0.434,142.36,audio_features,7f5inCfL12gHegKR4PX1IH,spotify:track:7f5inCfL12gHegKR4PX1IH,https://api.spotify.com/v1/tracks/7f5inCfL12gHegKR4PX1IH,https://api.spotify.com/v1/audio-analysis/7f5inCfL12gHegKR4PX1IH,236867,4,City of Angels,spotify:track:7f5inCfL12gHegKR4PX1IH,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
36,0.433,0.863,4,-4.452,1,0.0296,0.00148,0.00107,0.351,0.54,82.998,audio_features,5bAJhDTVCWVScr5Ev4LnB2,spotify:track:5bAJhDTVCWVScr5Ev4LnB2,https://api.spotify.com/v1/tracks/5bAJhDTVCWVScr5Ev4LnB2,https://api.spotify.com/v1/audio-analysis/5bAJhDTVCWVScr5Ev4LnB2,240253,4,Rhythm & Blues,spotify:track:5bAJhDTVCWVScr5Ev4LnB2,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
37,0.54,0.72,11,-5.048,1,0.0284,0.000978,0.0,0.102,0.679,110.028,audio_features,5Eioc2h0YdGVp3ah21nVdF,spotify:track:5Eioc2h0YdGVp3ah21nVdF,https://api.spotify.com/v1/tracks/5Eioc2h0YdGVp3ah21nVdF,https://api.spotify.com/v1/audio-analysis/5Eioc2h0YdGVp3ah21nVdF,247507,4,False Alarm,spotify:track:5Eioc2h0YdGVp3ah21nVdF,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
38,0.377,0.552,10,-5.507,1,0.0322,0.0374,0.000298,0.329,0.225,114.07,audio_features,4qUdbHlMC9sjzMmK5V7KiO,spotify:track:4qUdbHlMC9sjzMmK5V7KiO,https://api.spotify.com/v1/tracks/4qUdbHlMC9sjzMmK5V7KiO,https://api.spotify.com/v1/audio-analysis/4qUdbHlMC9sjzMmK5V7KiO,192787,4,Dreamer,spotify:track:4qUdbHlMC9sjzMmK5V7KiO,The Head And The Heart,0n94vC3S9c3mb2HyNAOcjg
