,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.378,0.937,1,-7.036,1,0.459,0.0401,8.11e-05,0.936,0.114,189.513,audio_features,7FxfQ34LUhUywYY6Dmx0WW,spotify:track:7FxfQ34LUhUywYY6Dmx0WW,https://api.spotify.com/v1/tracks/7FxfQ34LUhUywYY6Dmx0WW,https://api.spotify.com/v1/audio-analysis/7FxfQ34LUhUywYY6Dmx0WW,86536,4,Come On! - Live,spotify:track:7FxfQ34LUhUywYY6Dmx0WW,The Hives,4DToQR3aKrHQSSRzSz8Nzt
1,0.498,0.914,6,-7.109,0,0.343,0.182,2.67e-06,0.128,0.237,145.123,audio_features,1euVmDJc1qPnmOCybcSr22,spotify:track:1euVmDJc1qPnmOCybcSr22,https://api.spotify.com/v1/tracks/1euVmDJc1qPnmOCybcSr22,https://api.spotify.com/v1/audio-analysis/1euVmDJc1qPnmOCybcSr22,296398,4,Walk Idiot Walk - Live,spotify:track:1euVmDJc1qPnmOCybcSr22,The Hives,4DToQR3aKrHQSSRzSz8Nzt
2,0.442,0.896,0,-7.497,1,0.321,0.0374,3.09e-06,0.963,0.35,142.627,audio_features,0SG1wUJrinRJ5hj1tpSuCH,spotify:track:0SG1wUJrinRJ5hj1tpSuCH,https://api.spotify.com/v1/tracks/0SG1wUJrinRJ5hj1tpSuCH,https://api.spotify.com/v1/audio-analysis/0SG1wUJrinRJ5hj1tpSuCH,201604,4,Main Offender - Live,spotify:track:0SG1wUJrinRJ5hj1tpSuCH,The Hives,4DToQR3aKrHQSSRzSz8Nzt
3,0.23,0.866,6,-7.44,0,0.126,0.141,1.67e-06,0.723,0.21,163.128,audio_features,2X6onkdI9tHIGhoSieGtZA,spotify:track:2X6onkdI9tHIGhoSieGtZA,https://api.spotify.com/v1/tracks/2X6onkdI9tHIGhoSieGtZA,https://api.spotify.com/v1/audio-analysis/2X6onkdI9tHIGhoSieGtZA,228624,4,My Time is Coming - Live,spotify:track:2X6onkdI9tHIGhoSieGtZA,The Hives,4DToQR3aKrHQSSRzSz8Nzt
4,0.351,0.838,2,-7.277,0,0.123,0.105,0.000132,0.749,0.336,138.419,audio_features,2OH5l5Nt2bKvHIEp0WcbRu,spotify:track:2OH5l5Nt2bKvHIEp0WcbRu,https://api.spotify.com/v1/tracks/2OH5l5Nt2bKvHIEp0WcbRu,https://api.spotify.com/v1/audio-analysis/2OH5l5Nt2bKvHIEp0WcbRu,323918,4,Hate to Say I Told You So - Live,spotify:track:2OH5l5Nt2bKvHIEp0WcbRu,The Hives,4DToQR3aKrHQSSRzSz8Nzt
5,0.38,0.756,9,-6.873,1,0.0966,0.0585,1.25e-06,0.397,0.328,133.055,audio_features,4KoaO2XJQhulQ9qyMkDPjz,spotify:track:4KoaO2XJQhulQ9qyMkDPjz,https://api.spotify.com/v1/tracks/4KoaO2XJQhulQ9qyMkDPjz,https://api.spotify.com/v1/audio-analysis/4KoaO2XJQhulQ9qyMkDPjz,340811,3,I'm Alive - Live,spotify:track:4KoaO2XJQhulQ9qyMkDPjz,The Hives,4DToQR3aKrHQSSRzSz8Nzt
6,0.502,0.893,9,-7.745,1,0.258,0.0297,5.14e-06,0.391,0.376,140.513,audio_features,4y1nIfmrZviFXsmuPtlN6g,spotify:track:4y1nIfmrZviFXsmuPtlN6g,https://api.spotify.com/v1/tracks/4y1nIfmrZviFXsmuPtlN6g,https://api.spotify.com/v1/audio-analysis/4y1nIfmrZviFXsmuPtlN6g,532910,4,Tick Tick Boom - Live,spotify:track:4y1nIfmrZviFXsmuPtlN6g,The Hives,4DToQR3aKrHQSSRzSz8Nzt
7,0.533,0.846,9,-4.72,1,0.0522,0.00767,0.014,0.573,0.719,92.632,audio_features,5rqwuONfwOeJx4yutdzxJs,spotify:track:5rqwuONfwOeJx4yutdzxJs,https://api.spotify.com/v1/tracks/5rqwuONfwOeJx4yutdzxJs,https://api.spotify.com/v1/audio-analysis/5rqwuONfwOeJx4yutdzxJs,68133,4,Come On!,spotify:track:5rqwuONfwOeJx4yutdzxJs,The Hives,4DToQR3aKrHQSSRzSz8Nzt
8,0.482,0.956,9,-4.539,0,0.0829,0.00078,0.0,0.0421,0.585,136.436,audio_features,1KvJY0dBhENKdYqDpytE9p,spotify:track:1KvJY0dBhENKdYqDpytE9p,https://api.spotify.com/v1/tracks/1KvJY0dBhENKdYqDpytE9p,https://api.spotify.com/v1/audio-analysis/1KvJY0dBhENKdYqDpytE9p,185627,4,Go Right Ahead,spotify:track:1KvJY0dBhENKdYqDpytE9p,The Hives,4DToQR3aKrHQSSRzSz8Nzt
9,0.335,0.977,2,-3.552,1,0.0742,0.00121,3.85e-06,0.306,0.829,184.284,audio_features,62NDFNNSn55k1v1YEo8WaQ,spotify:track:62NDFNNSn55k1v1YEo8WaQ,https://api.spotify.com/v1/tracks/62NDFNNSn55k1v1YEo8WaQ,https://api.spotify.com/v1/audio-analysis/62NDFNNSn55k1v1YEo8WaQ,127067,4,1000 Answers,spotify:track:62NDFNNSn55k1v1YEo8WaQ,The Hives,4DToQR3aKrHQSSRzSz8Nzt
