,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.49,0.247,4,-10.481,1,0.035,0.96,1.78e-05,0.119,0.282,134.121,audio_features,3ZkleTkBBKIPKJh9jIqT7s,spotify:track:3ZkleTkBBKIPKJh9jIqT7s,https://api.spotify.com/v1/tracks/3ZkleTkBBKIPKJh9jIqT7s,https://api.spotify.com/v1/audio-analysis/3ZkleTkBBKIPKJh9jIqT7s,185973,4,Donna,spotify:track:3ZkleTkBBKIPKJh9jIqT7s,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
1,0.743,0.57,0,-7.376,1,0.0335,0.506,5.18e-05,0.0994,0.273,97.005,audio_features,5WyL4ZuwJ06qVd8X5bf2b5,spotify:track:5WyL4ZuwJ06qVd8X5bf2b5,https://api.spotify.com/v1/tracks/5WyL4ZuwJ06qVd8X5bf2b5,https://api.spotify.com/v1/audio-analysis/5WyL4ZuwJ06qVd8X5bf2b5,231360,3,Life In The City,spotify:track:5WyL4ZuwJ06qVd8X5bf2b5,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
2,0.523,0.714,11,-6.021,1,0.0367,0.658,5.2e-06,0.0785,0.659,78.211,audio_features,5BkGp7FLUUpKgWl29jBK0J,spotify:track:5BkGp7FLUUpKgWl29jBK0J,https://api.spotify.com/v1/tracks/5BkGp7FLUUpKgWl29jBK0J,https://api.spotify.com/v1/audio-analysis/5BkGp7FLUUpKgWl29jBK0J,216120,4,Gloria,spotify:track:5BkGp7FLUUpKgWl29jBK0J,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
3,0.765,0.373,2,-5.321,1,0.0302,0.854,0.0,0.0949,0.379,89.099,audio_features,2qhfWLkKqWripwiw8DJdGU,spotify:track:2qhfWLkKqWripwiw8DJdGU,https://api.spotify.com/v1/tracks/2qhfWLkKqWripwiw8DJdGU,https://api.spotify.com/v1/audio-analysis/2qhfWLkKqWripwiw8DJdGU,214067,4,It Wasn't Easy To Be Happy For You,spotify:track:2qhfWLkKqWripwiw8DJdGU,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
4,0.46,0.437,1,-8.822,1,0.0416,0.804,1.65e-05,0.283,0.119,127.318,audio_features,4BzYMqZUzXpLz6TULBkAFI,spotify:track:4BzYMqZUzXpLz6TULBkAFI,https://api.spotify.com/v1/tracks/4BzYMqZUzXpLz6TULBkAFI,https://api.spotify.com/v1/audio-analysis/4BzYMqZUzXpLz6TULBkAFI,354840,5,Leader Of The Landslide,spotify:track:4BzYMqZUzXpLz6TULBkAFI,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
5,0.737,0.118,5,-11.78,1,0.0338,0.908,5.21e-05,0.102,0.453,88.732,audio_features,6ZpbVWOyrNrTIQz2kZP3RS,spotify:track:6ZpbVWOyrNrTIQz2kZP3RS,https://api.spotify.com/v1/tracks/6ZpbVWOyrNrTIQz2kZP3RS,https://api.spotify.com/v1/audio-analysis/6ZpbVWOyrNrTIQz2kZP3RS,196653,4,Left For Denver,spotify:track:6ZpbVWOyrNrTIQz2kZP3RS,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
6,0.629,0.229,8,-9.29,1,0.029,0.922,0.000611,0.156,0.303,134.535,audio_features,5xhi6dgxwlMPs5IMWVs7b2,spotify:track:5xhi6dgxwlMPs5IMWVs7b2,https://api.spotify.com/v1/tracks/5xhi6dgxwlMPs5IMWVs7b2,https://api.spotify.com/v1/audio-analysis/5xhi6dgxwlMPs5IMWVs7b2,196280,4,My Cell,spotify:track:5xhi6dgxwlMPs5IMWVs7b2,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
7,0.503,0.383,1,-8.026,1,0.0351,0.734,3.75e-05,0.332,0.193,108.988,audio_features,7lD7NtMkqQfzvxDCGnCrE1,spotify:track:7lD7NtMkqQfzvxDCGnCrE1,https://api.spotify.com/v1/tracks/7lD7NtMkqQfzvxDCGnCrE1,https://api.spotify.com/v1/audio-analysis/7lD7NtMkqQfzvxDCGnCrE1,355987,4,Jimmy Sparks,spotify:track:7lD7NtMkqQfzvxDCGnCrE1,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
8,0.438,0.0311,1,-22.587,0,0.0562,0.99,0.904,0.086,0.104,179.442,audio_features,5GkLiVMMsFjvXNlPCfrAOC,spotify:track:5GkLiVMMsFjvXNlPCfrAOC,https://api.spotify.com/v1/tracks/5GkLiVMMsFjvXNlPCfrAOC,https://api.spotify.com/v1/audio-analysis/5GkLiVMMsFjvXNlPCfrAOC,50081,4,April,spotify:track:5GkLiVMMsFjvXNlPCfrAOC,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
9,0.63,0.31,9,-9.253,1,0.028,0.704,0.0011,0.128,0.0712,93.067,audio_features,5EKqsMU2tn1iAYNQF8h0ll,spotify:track:5EKqsMU2tn1iAYNQF8h0ll,https://api.spotify.com/v1/tracks/5EKqsMU2tn1iAYNQF8h0ll,https://api.spotify.com/v1/audio-analysis/5EKqsMU2tn1iAYNQF8h0ll,270893,4,Salt And The Sea,spotify:track:5EKqsMU2tn1iAYNQF8h0ll,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
10,0.441,0.487,9,-8.367,1,0.0305,0.357,0.0,0.104,0.259,87.229,audio_features,3iFC25AYyUzc0hr8OqAbuu,spotify:track:3iFC25AYyUzc0hr8OqAbuu,https://api.spotify.com/v1/tracks/3iFC25AYyUzc0hr8OqAbuu,https://api.spotify.com/v1/audio-analysis/3iFC25AYyUzc0hr8OqAbuu,404467,4,Democracy (Bonus Track),spotify:track:3iFC25AYyUzc0hr8OqAbuu,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
11,0.566,0.134,9,-15.662,0,0.0329,0.943,0.0796,0.104,0.268,142.136,audio_features,6EOqzUZDen3bgjASgcnxBA,spotify:track:6EOqzUZDen3bgjASgcnxBA,https://api.spotify.com/v1/tracks/6EOqzUZDen3bgjASgcnxBA,https://api.spotify.com/v1/audio-analysis/6EOqzUZDen3bgjASgcnxBA,257360,4,Old Lady (Bonus Track),spotify:track:6EOqzUZDen3bgjASgcnxBA,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
12,0.684,0.538,7,-7.012,1,0.032,0.702,2.59e-06,0.347,0.353,119.957,audio_features,1WWHOomqa45vPjGp90ErwI,spotify:track:1WWHOomqa45vPjGp90ErwI,https://api.spotify.com/v1/tracks/1WWHOomqa45vPjGp90ErwI,https://api.spotify.com/v1/audio-analysis/1WWHOomqa45vPjGp90ErwI,121461,4,Soundtrack Song (Bonus Track),spotify:track:1WWHOomqa45vPjGp90ErwI,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
13,0.389,0.431,7,-8.061,1,0.0344,0.249,0.0,0.13,0.275,142.14,audio_features,5MMZJtHOiH1RmQSSe3DJdg,spotify:track:5MMZJtHOiH1RmQSSe3DJdg,https://api.spotify.com/v1/tracks/5MMZJtHOiH1RmQSSe3DJdg,https://api.spotify.com/v1/audio-analysis/5MMZJtHOiH1RmQSSe3DJdg,211851,4,Sleep On The Floor,spotify:track:5MMZJtHOiH1RmQSSe3DJdg,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
14,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,audio_features,3d8y0t70g7hw2FOWl9Z4Fm,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,https://api.spotify.com/v1/tracks/3d8y0t70g7hw2FOWl9Z4Fm,https://api.spotify.com/v1/audio-analysis/3d8y0t70g7hw2FOWl9Z4Fm,160097,4,Ophelia,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
15,0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,audio_features,2ToW7zhGCrVrLU4fiKj9U1,spotify:track:2ToW7zhGCrVrLU4fiKj9U1,https://api.spotify.com/v1/tracks/2ToW7zhGCrVrLU4fiKj9U1,https://api.spotify.com/v1/audio-analysis/2ToW7zhGCrVrLU4fiKj9U1,201413,4,Cleopatra,spotify:track:2ToW7zhGCrVrLU4fiKj9U1,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
