,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.659,0.73,5,-9.145,1,0.0339,0.421,0.906,0.338,0.36,122.61,audio_features,659R8isV0frANauvSkjuMG,spotify:track:659R8isV0frANauvSkjuMG,https://api.spotify.com/v1/tracks/659R8isV0frANauvSkjuMG,https://api.spotify.com/v1/audio-analysis/659R8isV0frANauvSkjuMG,318468,4,Beyond - Remaster,spotify:track:659R8isV0frANauvSkjuMG,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
1,0.645,0.809,9,-8.656,0,0.0742,0.0422,0.512,0.0764,0.539,120.52,audio_features,4BkD2TDlfQBj55XfjIPU3p,spotify:track:4BkD2TDlfQBj55XfjIPU3p,https://api.spotify.com/v1/tracks/4BkD2TDlfQBj55XfjIPU3p,https://api.spotify.com/v1/audio-analysis/4BkD2TDlfQBj55XfjIPU3p,517947,4,Downside Up - Remaster,spotify:track:4BkD2TDlfQBj55XfjIPU3p,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
2,0.553,0.777,0,-10.083,1,0.0449,0.053,0.106,0.0774,0.442,104.856,audio_features,3qYp3DdkMK3icdVww2UXkl,spotify:track:3qYp3DdkMK3icdVww2UXkl,https://api.spotify.com/v1/tracks/3qYp3DdkMK3icdVww2UXkl,https://api.spotify.com/v1/audio-analysis/3qYp3DdkMK3icdVww2UXkl,321160,4,Out on the Edge - Remaster,spotify:track:3qYp3DdkMK3icdVww2UXkl,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
3,0.731,0.647,4,-7.891,0,0.035,0.0704,0.0652,0.0768,0.884,107.802,audio_features,34jVqnb0DijXy1umUZtrGm,spotify:track:34jVqnb0DijXy1umUZtrGm,https://api.spotify.com/v1/tracks/34jVqnb0DijXy1umUZtrGm,https://api.spotify.com/v1/audio-analysis/34jVqnb0DijXy1umUZtrGm,334836,4,Float - Remaster,spotify:track:34jVqnb0DijXy1umUZtrGm,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
4,0.581,0.69,5,-8.58,0,0.0346,0.189,0.448,0.416,0.571,104.462,audio_features,4rlDIRJLGKB97HBXoYvQYy,spotify:track:4rlDIRJLGKB97HBXoYvQYy,https://api.spotify.com/v1/tracks/4rlDIRJLGKB97HBXoYvQYy,https://api.spotify.com/v1/audio-analysis/4rlDIRJLGKB97HBXoYvQYy,389267,4,Perfumed Garden - Remaster,spotify:track:4rlDIRJLGKB97HBXoYvQYy,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
5,0.674,0.927,0,-6.738,1,0.0521,0.0632,0.00135,0.0525,0.641,126.123,audio_features,4FHipwcToatbxlSMeH1gcK,spotify:track:4FHipwcToatbxlSMeH1gcK,https://api.spotify.com/v1/tracks/4FHipwcToatbxlSMeH1gcK,https://api.spotify.com/v1/audio-analysis/4FHipwcToatbxlSMeH1gcK,382842,4,Shadow of Your Love - Remaster,spotify:track:4FHipwcToatbxlSMeH1gcK,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
6,0.418,0.635,6,-12.184,1,0.103,0.0808,0.175,0.266,0.618,102.125,audio_features,2iFohj73JeIbe75AEadLSP,spotify:track:2iFohj73JeIbe75AEadLSP,https://api.spotify.com/v1/tracks/2iFohj73JeIbe75AEadLSP,https://api.spotify.com/v1/audio-analysis/2iFohj73JeIbe75AEadLSP,420277,4,Clouds Across the Moon - Supanova Mix Remaster,spotify:track:2iFohj73JeIbe75AEadLSP,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
7,0.607,0.618,2,-8.367,1,0.028,0.134,0.827,0.0983,0.884,100.06,audio_features,3uUCXkuiMI33zHwa3slBRW,spotify:track:3uUCXkuiMI33zHwa3slBRW,https://api.spotify.com/v1/tracks/3uUCXkuiMI33zHwa3slBRW,https://api.spotify.com/v1/audio-analysis/3uUCXkuiMI33zHwa3slBRW,245897,4,Electric Fling - Remaster,spotify:track:3uUCXkuiMI33zHwa3slBRW,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
8,0.68,0.606,7,-10.242,1,0.0324,0.0765,0.000566,0.291,0.542,112.897,audio_features,4umihhuIVgyPlg3Ajg6lDN,spotify:track:4umihhuIVgyPlg3Ajg6lDN,https://api.spotify.com/v1/tracks/4umihhuIVgyPlg3Ajg6lDN,https://api.spotify.com/v1/audio-analysis/4umihhuIVgyPlg3Ajg6lDN,407119,4,Messages from the Stars - Remaster,spotify:track:4umihhuIVgyPlg3Ajg6lDN,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
9,0.645,0.665,7,-10.007,0,0.0332,0.0563,0.175,0.275,0.414,120.625,audio_features,4nU5atElxq5QTyuv7TlJAi,spotify:track:4nU5atElxq5QTyuv7TlJAi,https://api.spotify.com/v1/tracks/4nU5atElxq5QTyuv7TlJAi,https://api.spotify.com/v1/audio-analysis/4nU5atElxq5QTyuv7TlJAi,406825,4,Falcon - Remaster,spotify:track:4nU5atElxq5QTyuv7TlJAi,The Rah Band,7MDoXA8Kfykq3gkBkDBLtH
