,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.697,0.592,7,-7.042,1,0.0393,0.0561,0.00386,0.173,0.444,125.008,audio_features,2O4XtuW60jpbVQFPJaan0c,spotify:track:2O4XtuW60jpbVQFPJaan0c,https://api.spotify.com/v1/tracks/2O4XtuW60jpbVQFPJaan0c,https://api.spotify.com/v1/audio-analysis/2O4XtuW60jpbVQFPJaan0c,208960,4,Only Tonight,spotify:track:2O4XtuW60jpbVQFPJaan0c,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
1,0.449,0.869,4,-6.878,1,0.33,0.0658,0.00035,0.119,0.58,102.973,audio_features,2uyOpUa3YDW6qQdz23olTy,spotify:track:2uyOpUa3YDW6qQdz23olTy,https://api.spotify.com/v1/tracks/2uyOpUa3YDW6qQdz23olTy,https://api.spotify.com/v1/audio-analysis/2uyOpUa3YDW6qQdz23olTy,239800,4,Don`t Be Mean,spotify:track:2uyOpUa3YDW6qQdz23olTy,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
2,0.649,0.679,10,-7.952,1,0.0487,0.0892,4.58e-06,0.0684,0.415,132.804,audio_features,4xkv53vFS5SInaHXW9E81H,spotify:track:4xkv53vFS5SInaHXW9E81H,https://api.spotify.com/v1/tracks/4xkv53vFS5SInaHXW9E81H,https://api.spotify.com/v1/audio-analysis/4xkv53vFS5SInaHXW9E81H,216240,4,Forgotten Words,spotify:track:4xkv53vFS5SInaHXW9E81H,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
3,0.676,0.649,11,-8.597,1,0.0417,0.19,0.00606,0.137,0.895,126.015,audio_features,0ny47WrsemKjsCZNp8JqKp,spotify:track:0ny47WrsemKjsCZNp8JqKp,https://api.spotify.com/v1/tracks/0ny47WrsemKjsCZNp8JqKp,https://api.spotify.com/v1/audio-analysis/0ny47WrsemKjsCZNp8JqKp,257627,4,Pretty,spotify:track:0ny47WrsemKjsCZNp8JqKp,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
4,0.655,0.589,1,-9.539,1,0.0347,0.756,0.00012,0.0991,0.332,105.843,audio_features,7zJHS8S6m7TPR6BJnnwGr6,spotify:track:7zJHS8S6m7TPR6BJnnwGr6,https://api.spotify.com/v1/tracks/7zJHS8S6m7TPR6BJnnwGr6,https://api.spotify.com/v1/audio-analysis/7zJHS8S6m7TPR6BJnnwGr6,177907,4,Truth is Hard,spotify:track:7zJHS8S6m7TPR6BJnnwGr6,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
5,0.505,0.423,4,-14.272,0,0.0339,0.758,0.75,0.115,0.602,129.563,audio_features,7xeeZ3Gpr2hF8Nq9fTEXy0,spotify:track:7xeeZ3Gpr2hF8Nq9fTEXy0,https://api.spotify.com/v1/tracks/7xeeZ3Gpr2hF8Nq9fTEXy0,https://api.spotify.com/v1/audio-analysis/7xeeZ3Gpr2hF8Nq9fTEXy0,305693,4,Babydog,spotify:track:7xeeZ3Gpr2hF8Nq9fTEXy0,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
6,0.458,0.719,4,-8.097,1,0.0361,0.000732,0.295,0.164,0.331,126.757,audio_features,3bu7gq8IUdQddACLYOMbQH,spotify:track:3bu7gq8IUdQddACLYOMbQH,https://api.spotify.com/v1/tracks/3bu7gq8IUdQddACLYOMbQH,https://api.spotify.com/v1/audio-analysis/3bu7gq8IUdQddACLYOMbQH,238640,4,You Ask Why,spotify:track:3bu7gq8IUdQddACLYOMbQH,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
7,0.343,0.832,6,-7.454,1,0.0409,0.318,0.00414,0.0711,0.374,129.895,audio_features,4BbaVYdC0oR3z0erCzaK1u,spotify:track:4BbaVYdC0oR3z0erCzaK1u,https://api.spotify.com/v1/tracks/4BbaVYdC0oR3z0erCzaK1u,https://api.spotify.com/v1/audio-analysis/4BbaVYdC0oR3z0erCzaK1u,331560,4,57 Ways to End It All,spotify:track:4BbaVYdC0oR3z0erCzaK1u,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
8,0.564,0.608,4,-8.646,1,0.0292,0.114,0.133,0.145,0.628,123.088,audio_features,5NFH77uZfbIZ5BZGGJ208b,spotify:track:5NFH77uZfbIZ5BZGGJ208b,https://api.spotify.com/v1/tracks/5NFH77uZfbIZ5BZGGJ208b,https://api.spotify.com/v1/audio-analysis/5NFH77uZfbIZ5BZGGJ208b,252800,4,So Damn Early,spotify:track:5NFH77uZfbIZ5BZGGJ208b,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
9,0.421,0.582,0,-11.836,1,0.0515,0.46,0.00537,0.0843,0.64,119.086,audio_features,292TBhjrQJ4EqFeddoB4Ux,spotify:track:292TBhjrQJ4EqFeddoB4Ux,https://api.spotify.com/v1/tracks/292TBhjrQJ4EqFeddoB4Ux,https://api.spotify.com/v1/audio-analysis/292TBhjrQJ4EqFeddoB4Ux,238867,4,You Kill Me,spotify:track:292TBhjrQJ4EqFeddoB4Ux,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp
