,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.309,0.905,8,-4.061,1,0.0996,0.000558,0.0,0.23,0.39,195.834,audio_features,5xh7hbcju9JmOs975GVJ1p,spotify:track:5xh7hbcju9JmOs975GVJ1p,https://api.spotify.com/v1/tracks/5xh7hbcju9JmOs975GVJ1p,https://api.spotify.com/v1/audio-analysis/5xh7hbcju9JmOs975GVJ1p,194920,4,The Awakening,spotify:track:5xh7hbcju9JmOs975GVJ1p,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
1,0.193,0.933,10,-6.113,1,0.362,0.0037,3.33e-05,0.161,0.0412,169.9,audio_features,4CnUVBJVr5S3IHxYqtz64j,spotify:track:4CnUVBJVr5S3IHxYqtz64j,https://api.spotify.com/v1/tracks/4CnUVBJVr5S3IHxYqtz64j,https://api.spotify.com/v1/audio-analysis/4CnUVBJVr5S3IHxYqtz64j,534767,3,Grimm 2.0,spotify:track:4CnUVBJVr5S3IHxYqtz64j,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
2,0.476,0.973,9,-3.883,0,0.151,0.000347,0.0,0.0482,0.218,100.035,audio_features,3bIM3tl9k08rtoUVQti9nm,spotify:track:3bIM3tl9k08rtoUVQti9nm,https://api.spotify.com/v1/tracks/3bIM3tl9k08rtoUVQti9nm,https://api.spotify.com/v1/audio-analysis/3bIM3tl9k08rtoUVQti9nm,168762,4,Not My Style,spotify:track:3bIM3tl9k08rtoUVQti9nm,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
3,0.253,0.863,0,-3.839,1,0.0474,7.04e-05,0.0,0.108,0.277,124.727,audio_features,1a45h0MLgIGjsOdV6kHDIa,spotify:track:1a45h0MLgIGjsOdV6kHDIa,https://api.spotify.com/v1/tracks/1a45h0MLgIGjsOdV6kHDIa,https://api.spotify.com/v1/audio-analysis/1a45h0MLgIGjsOdV6kHDIa,197984,4,Other Side,spotify:track:1a45h0MLgIGjsOdV6kHDIa,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
4,0.541,0.969,0,-3.2,1,0.106,0.00413,0.0,0.221,0.635,102.007,audio_features,44wmspFobxYZrdaicBxHnr,spotify:track:44wmspFobxYZrdaicBxHnr,https://api.spotify.com/v1/tracks/44wmspFobxYZrdaicBxHnr,https://api.spotify.com/v1/audio-analysis/44wmspFobxYZrdaicBxHnr,123486,4,Who Do You Work For,spotify:track:44wmspFobxYZrdaicBxHnr,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
5,0.339,0.935,0,-3.543,1,0.057,0.000625,0.0,0.261,0.632,178.056,audio_features,7gAIXpJTFEANDd3gl2ENEq,spotify:track:7gAIXpJTFEANDd3gl2ENEq,https://api.spotify.com/v1/tracks/7gAIXpJTFEANDd3gl2ENEq,https://api.spotify.com/v1/audio-analysis/7gAIXpJTFEANDd3gl2ENEq,188841,4,California,spotify:track:7gAIXpJTFEANDd3gl2ENEq,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
6,0.376,0.953,0,-3.275,0,0.081,7.1e-05,0.0,0.0322,0.38,85.042,audio_features,0WBo4ndoJhrNVXrbR0EAKH,spotify:track:0WBo4ndoJhrNVXrbR0EAKH,https://api.spotify.com/v1/tracks/0WBo4ndoJhrNVXrbR0EAKH,https://api.spotify.com/v1/audio-analysis/0WBo4ndoJhrNVXrbR0EAKH,188113,4,The Right Direction,spotify:track:0WBo4ndoJhrNVXrbR0EAKH,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
7,0.423,0.891,10,-4.265,1,0.0423,5.87e-05,6.79e-05,0.107,0.227,139.056,audio_features,5Ua5c77bII3nZScwtXDYRg,spotify:track:5Ua5c77bII3nZScwtXDYRg,https://api.spotify.com/v1/tracks/5Ua5c77bII3nZScwtXDYRg,https://api.spotify.com/v1/audio-analysis/5Ua5c77bII3nZScwtXDYRg,182100,4,It Was You,spotify:track:5Ua5c77bII3nZScwtXDYRg,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
8,0.426,0.966,5,-3.284,1,0.122,0.000125,2.81e-06,0.306,0.686,90.057,audio_features,0RbhxQnCLhyw22IsP1oQKU,spotify:track:0RbhxQnCLhyw22IsP1oQKU,https://api.spotify.com/v1/tracks/0RbhxQnCLhyw22IsP1oQKU,https://api.spotify.com/v1/audio-analysis/0RbhxQnCLhyw22IsP1oQKU,168301,4,Ignorance Is Bliss,spotify:track:0RbhxQnCLhyw22IsP1oQKU,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
9,0.517,0.949,0,-3.378,0,0.107,0.00325,0.0,0.0962,0.385,119.973,audio_features,7jzuDdxCinstdbSS6S6ptt,spotify:track:7jzuDdxCinstdbSS6S6ptt,https://api.spotify.com/v1/tracks/7jzuDdxCinstdbSS6S6ptt,https://api.spotify.com/v1/audio-analysis/7jzuDdxCinstdbSS6S6ptt,192557,4,You're the Mocking Jay,spotify:track:7jzuDdxCinstdbSS6S6ptt,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
10,0.383,0.966,5,-3.216,1,0.193,0.000386,0.0,0.107,0.575,165.97,audio_features,5ZAJRteowG9m58IwQXiTty,spotify:track:5ZAJRteowG9m58IwQXiTty,https://api.spotify.com/v1/tracks/5ZAJRteowG9m58IwQXiTty,https://api.spotify.com/v1/audio-analysis/5ZAJRteowG9m58IwQXiTty,172181,4,I Know Right,spotify:track:5ZAJRteowG9m58IwQXiTty,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
11,0.416,0.354,2,-7.907,1,0.0312,0.742,0.0,0.126,0.108,120.195,audio_features,4bJ4fbuozueoeR55Jd8MfJ,spotify:track:4bJ4fbuozueoeR55Jd8MfJ,https://api.spotify.com/v1/tracks/4bJ4fbuozueoeR55Jd8MfJ,https://api.spotify.com/v1/audio-analysis/4bJ4fbuozueoeR55Jd8MfJ,274714,4,Jesus Is My Rock Star,spotify:track:4bJ4fbuozueoeR55Jd8MfJ,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
12,0.49,0.925,0,-3.584,0,0.0571,0.000151,0.000448,0.272,0.362,99.507,audio_features,4TNsUGx9eDqtwld7HXibch,spotify:track:4TNsUGx9eDqtwld7HXibch,https://api.spotify.com/v1/tracks/4TNsUGx9eDqtwld7HXibch,https://api.spotify.com/v1/audio-analysis/4TNsUGx9eDqtwld7HXibch,209303,4,In Fate's Hands (Alliance Edition),spotify:track:4TNsUGx9eDqtwld7HXibch,The Red Jumpsuit Apparatus,1SImpQO0GbjRgvlwCcCtFo
