,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.135,0.268,2,-19.653,1,0.0438,0.957,0.536,0.092,0.0302,75.42,audio_features,3MTM4Q0EZUBzEVnjnhz8U7,spotify:track:3MTM4Q0EZUBzEVnjnhz8U7,https://api.spotify.com/v1/tracks/3MTM4Q0EZUBzEVnjnhz8U7,https://api.spotify.com/v1/audio-analysis/3MTM4Q0EZUBzEVnjnhz8U7,190081,4,Shall,spotify:track:3MTM4Q0EZUBzEVnjnhz8U7,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
1,0.717,0.367,0,-8.818,1,0.033,0.267,0.917,0.111,0.0498,125.99,audio_features,3qs3MBsY8x42FrcVqvwF4I,spotify:track:3qs3MBsY8x42FrcVqvwF4I,https://api.spotify.com/v1/tracks/3qs3MBsY8x42FrcVqvwF4I,https://api.spotify.com/v1/audio-analysis/3qs3MBsY8x42FrcVqvwF4I,329500,4,We,spotify:track:3qs3MBsY8x42FrcVqvwF4I,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
2,0.17,0.489,9,-14.025,1,0.0452,0.898,0.84,0.602,0.0272,109.636,audio_features,5Hoji48okjNxBB47A9iQYd,spotify:track:5Hoji48okjNxBB47A9iQYd,https://api.spotify.com/v1/tracks/5Hoji48okjNxBB47A9iQYd,https://api.spotify.com/v1/audio-analysis/5Hoji48okjNxBB47A9iQYd,153773,3,Go,spotify:track:5Hoji48okjNxBB47A9iQYd,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
3,0.391,0.186,0,-22.133,1,0.0395,0.973,0.937,0.928,0.0608,120.087,audio_features,2qLu4TFjYzajnTts4qQW8D,spotify:track:2qLu4TFjYzajnTts4qQW8D,https://api.spotify.com/v1/tracks/2qLu4TFjYzajnTts4qQW8D,https://api.spotify.com/v1/audio-analysis/2qLu4TFjYzajnTts4qQW8D,282500,4,On,spotify:track:2qLu4TFjYzajnTts4qQW8D,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
4,0.545,0.703,1,-6.832,1,0.0358,0.611,0.336,0.597,0.0712,120.027,audio_features,5tb6lRC59Q049YKXrR5JVf,spotify:track:5tb6lRC59Q049YKXrR5JVf,https://api.spotify.com/v1/tracks/5tb6lRC59Q049YKXrR5JVf,https://api.spotify.com/v1/audio-analysis/5tb6lRC59Q049YKXrR5JVf,377000,4,Sinning,spotify:track:5tb6lRC59Q049YKXrR5JVf,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
5,0.136,0.292,1,-14.637,0,0.0299,0.961,0.911,0.0827,0.0377,84.356,audio_features,3yP56OvTGt7bFXcKSf2Tg4,spotify:track:3yP56OvTGt7bFXcKSf2Tg4,https://api.spotify.com/v1/tracks/3yP56OvTGt7bFXcKSf2Tg4,https://api.spotify.com/v1/audio-analysis/3yP56OvTGt7bFXcKSf2Tg4,334490,5,So,spotify:track:3yP56OvTGt7bFXcKSf2Tg4,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
6,0.213,0.328,1,-15.569,0,0.0335,0.975,0.897,0.117,0.0382,96.876,audio_features,4V6DCqEtpKdg4uyta1qIUb,spotify:track:4V6DCqEtpKdg4uyta1qIUb,https://api.spotify.com/v1/tracks/4V6DCqEtpKdg4uyta1qIUb,https://api.spotify.com/v1/audio-analysis/4V6DCqEtpKdg4uyta1qIUb,306995,3,That,spotify:track:4V6DCqEtpKdg4uyta1qIUb,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
7,0.42,0.386,1,-8.837,0,0.0297,0.125,0.0642,0.125,0.059,130.001,audio_features,5i6WvCqLuBx5AT8rVMmD7G,spotify:track:5i6WvCqLuBx5AT8rVMmD7G,https://api.spotify.com/v1/tracks/5i6WvCqLuBx5AT8rVMmD7G,https://api.spotify.com/v1/audio-analysis/5i6WvCqLuBx5AT8rVMmD7G,378358,4,Grace,spotify:track:5i6WvCqLuBx5AT8rVMmD7G,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
8,0.432,0.41,1,-11.752,0,0.028,0.971,0.901,0.112,0.103,129.916,audio_features,6C2IHM2PSoT0He7af9KOy8,spotify:track:6C2IHM2PSoT0He7af9KOy8,https://api.spotify.com/v1/tracks/6C2IHM2PSoT0He7af9KOy8,https://api.spotify.com/v1/audio-analysis/6C2IHM2PSoT0He7af9KOy8,257861,4,May Increase,spotify:track:6C2IHM2PSoT0He7af9KOy8,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
9,0.54,0.469,7,-20.417,1,0.9,0.68,0.0123,0.128,0.178,103.914,audio_features,5KIjrb6IK3zhYXhecHHIf2,spotify:track:5KIjrb6IK3zhYXhecHHIf2,https://api.spotify.com/v1/tracks/5KIjrb6IK3zhYXhecHHIf2,https://api.spotify.com/v1/audio-analysis/5KIjrb6IK3zhYXhecHHIf2,122107,4,Invocation for Strength,spotify:track:5KIjrb6IK3zhYXhecHHIf2,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
10,0.687,0.888,1,-4.589,1,0.316,0.00256,0.0324,0.0879,0.471,165.041,audio_features,4NRguJJnqhUXmhh5IyVdtt,spotify:track:4NRguJJnqhUXmhh5IyVdtt,https://api.spotify.com/v1/tracks/4NRguJJnqhUXmhh5IyVdtt,https://api.spotify.com/v1/audio-analysis/4NRguJJnqhUXmhh5IyVdtt,193867,4,Black Metal,spotify:track:4NRguJJnqhUXmhh5IyVdtt,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
11,0.652,0.715,10,-9.595,0,0.0517,0.0106,0.346,0.0694,0.414,139.956,audio_features,5Nl9wKlZUVfLyUdRGw92ex,spotify:track:5Nl9wKlZUVfLyUdRGw92ex,https://api.spotify.com/v1/tracks/5Nl9wKlZUVfLyUdRGw92ex,https://api.spotify.com/v1/audio-analysis/5Nl9wKlZUVfLyUdRGw92ex,241933,4,Sadomatic Rites,spotify:track:5Nl9wKlZUVfLyUdRGw92ex,The Soft Pink Truth,1TzvxOvPV19Pr7UiCne5Ei
