,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.608,0.827,5,-4.215,0,0.0292,0.000499,0.00223,0.0923,0.962,133.969,audio_features,4XZBtvIXApjQ75xG7RUzwu,spotify:track:4XZBtvIXApjQ75xG7RUzwu,https://api.spotify.com/v1/tracks/4XZBtvIXApjQ75xG7RUzwu,https://api.spotify.com/v1/audio-analysis/4XZBtvIXApjQ75xG7RUzwu,213880,4,Back In Love City,spotify:track:4XZBtvIXApjQ75xG7RUzwu,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
1,0.522,0.88,10,-3.873,1,0.0959,0.00186,0.0,0.16,0.659,129.971,audio_features,6pEzwMWjbwD4FLyzrtx7Dh,spotify:track:6pEzwMWjbwD4FLyzrtx7Dh,https://api.spotify.com/v1/tracks/6pEzwMWjbwD4FLyzrtx7Dh,https://api.spotify.com/v1/audio-analysis/6pEzwMWjbwD4FLyzrtx7Dh,198467,4,Headphones Baby,spotify:track:6pEzwMWjbwD4FLyzrtx7Dh,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
2,0.303,0.907,2,-1.977,1,0.0537,0.00282,0.0957,0.272,0.376,165.085,audio_features,5YzaNkfGx0sFnaLYHzSjs5,spotify:track:5YzaNkfGx0sFnaLYHzSjs5,https://api.spotify.com/v1/tracks/5YzaNkfGx0sFnaLYHzSjs5,https://api.spotify.com/v1/audio-analysis/5YzaNkfGx0sFnaLYHzSjs5,178973,4,If You Wanna - Demo,spotify:track:5YzaNkfGx0sFnaLYHzSjs5,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
3,0.557,0.945,6,-2.524,1,0.0323,0.00164,0.0,0.316,0.961,87.194,audio_features,5bdzHqMellXLRndTZHFMHM,spotify:track:5bdzHqMellXLRndTZHFMHM,https://api.spotify.com/v1/tracks/5bdzHqMellXLRndTZHFMHM,https://api.spotify.com/v1/audio-analysis/5bdzHqMellXLRndTZHFMHM,97253,4,Norgaard - Demo,spotify:track:5bdzHqMellXLRndTZHFMHM,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
4,0.492,0.899,8,-1.959,1,0.123,0.729,0.738,0.0854,0.763,154.279,audio_features,2wDLFMcTg7vW3OfBMsbVkk,spotify:track:2wDLFMcTg7vW3OfBMsbVkk,https://api.spotify.com/v1/tracks/2wDLFMcTg7vW3OfBMsbVkk,https://api.spotify.com/v1/audio-analysis/2wDLFMcTg7vW3OfBMsbVkk,68773,4,Wreckin' Bar - Demo,spotify:track:2wDLFMcTg7vW3OfBMsbVkk,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
5,0.362,0.978,4,-3.477,1,0.0896,0.0842,0.86,0.261,0.571,144.044,audio_features,26ffDPUePdSTLnH7RSkAsY,spotify:track:26ffDPUePdSTLnH7RSkAsY,https://api.spotify.com/v1/tracks/26ffDPUePdSTLnH7RSkAsY,https://api.spotify.com/v1/audio-analysis/26ffDPUePdSTLnH7RSkAsY,155053,4,Post Break Up Sex - Demo,spotify:track:26ffDPUePdSTLnH7RSkAsY,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
6,0.312,0.979,5,-3.72,1,0.074,0.00109,0.928,0.368,0.177,148.236,audio_features,27HLsLKiceaHkwD4qUkJmy,spotify:track:27HLsLKiceaHkwD4qUkJmy,https://api.spotify.com/v1/tracks/27HLsLKiceaHkwD4qUkJmy,https://api.spotify.com/v1/audio-analysis/27HLsLKiceaHkwD4qUkJmy,156147,4,We're Happening - Demo,spotify:track:27HLsLKiceaHkwD4qUkJmy,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
7,0.406,0.571,5,-4.986,1,0.0303,0.753,0.0763,0.355,0.0656,125.564,audio_features,3aanvecMjRGcdMTnuMBNf9,spotify:track:3aanvecMjRGcdMTnuMBNf9,https://api.spotify.com/v1/tracks/3aanvecMjRGcdMTnuMBNf9,https://api.spotify.com/v1/audio-analysis/3aanvecMjRGcdMTnuMBNf9,235093,4,Grow Your Hair Out Long - Demo,spotify:track:3aanvecMjRGcdMTnuMBNf9,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
8,0.243,0.0567,4,-17.233,1,0.0365,0.944,0.0215,0.362,0.107,143.223,audio_features,4ehnYD9hTPAj3QNOi7XRgN,spotify:track:4ehnYD9hTPAj3QNOi7XRgN,https://api.spotify.com/v1/tracks/4ehnYD9hTPAj3QNOi7XRgN,https://api.spotify.com/v1/audio-analysis/4ehnYD9hTPAj3QNOi7XRgN,166707,5,Somebody Else's Child - Demo,spotify:track:4ehnYD9hTPAj3QNOi7XRgN,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
9,0.364,0.656,5,-4.254,1,0.0363,0.319,0.911,0.129,0.12,132.727,audio_features,67FcjVVbtROYdUqKvRxKOD,spotify:track:67FcjVVbtROYdUqKvRxKOD,https://api.spotify.com/v1/tracks/67FcjVVbtROYdUqKvRxKOD,https://api.spotify.com/v1/audio-analysis/67FcjVVbtROYdUqKvRxKOD,270347,4,All in White - Demo,spotify:track:67FcjVVbtROYdUqKvRxKOD,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA
